Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4524531230,NBA $60K Four Point Play [20 Entry Max],170572802,$4,LaMelo Ball (36741065) (LOCKED),Stephon Castle (36741207),Brandon Miller (36741102) (LOCKED),John Collins (36741090),Moussa Diabate (36741277) (LOCKED),Anthony Black (36741250),Lauri Markkanen (36741098),Zach Collins (36741143),,1. Column A lists all of your contest entries for this draftgroup
4524531231,NBA $60K Four Point Play [20 Entry Max],170572802,$4,Jaden Ivey (36741110) (LOCKED),Nickeil Alexander-Walker (36741263),Brandon Miller (36741102) (LOCKED),Keldon Johnson (36741166),Moussa Diabate (36741277) (LOCKED),Chris Paul (36741123),John Collins (36741090),LaMelo Ball (36741065) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4524531232,NBA $60K Four Point Play [20 Entry Max],170572802,$4,Tre Mann (36741246) (LOCKED),Stephon Castle (36741207),Cody Martin (36741286) (LOCKED),Grant Williams (36741200) (LOCKED),Zach Collins (36741143),Cade Cunningham (36741058) (LOCKED),RJ Barrett (36741074),Lauri Markkanen (36741098),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4524531233,NBA $60K Four Point Play [20 Entry Max],170572802,$4,LaMelo Ball (36741065) (LOCKED),Jaden Ivey (36741110) (LOCKED),Brandon Miller (36741102) (LOCKED),Chris Boucher (36741234),Zach Collins (36741143),Anthony Black (36741250),Lauri Markkanen (36741098),Stephon Castle (36741207),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4524531234,NBA $60K Four Point Play [20 Entry Max],170572802,$4,LaMelo Ball (36741065) (LOCKED),Tre Mann (36741246) (LOCKED),Lauri Markkanen (36741098),Grant Williams (36741200) (LOCKED),Charles Bassey (36741279),Stephon Castle (36741207),Chris Boucher (36741234),Cade Cunningham (36741058) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Anthony Davis (36741050),Anthony Davis,36741050,C/UTIL,11100,ORL@LAL 11/21/2024 10:30PM ET,LAL,55.85
,,,,,,,,,,,,,C,Victor Wembanyama (36741052),Victor Wembanyama,36741052,C/UTIL,11000,UTA@SAS 11/21/2024 08:00PM ET,SAS,50.31
,,,,,,,,,,,,,SF/PF,LeBron James (36741054),LeBron James,36741054,SF/PF/F/UTIL,10100,ORL@LAL 11/21/2024 10:30PM ET,LAL,51.21
,,,,,,,,,,,,,PG,Cade Cunningham (36741058) (LOCKED),Cade Cunningham,36741058,PG/G/UTIL,9700,DET@CHA 11/21/2024 07:00PM ET,DET,49.47
,,,,,,,,,,,,,PG/SG,Anthony Edwards (36741061),Anthony Edwards,36741061,PG/SG/G/UTIL,9600,MIN@TOR 11/21/2024 07:30PM ET,MIN,44.20
,,,,,,,,,,,,,PG,LaMelo Ball (36741065) (LOCKED),LaMelo Ball,36741065,PG/G/UTIL,9500,DET@CHA 11/21/2024 07:00PM ET,CHA,47.41
,,,,,,,,,,,,,C,Paolo Banchero (36741068),Paolo Banchero,36741068,C/UTIL,9400,ORL@LAL 11/21/2024 10:30PM ET,ORL,51.8
,,,,,,,,,,,,,SF/PF,Franz Wagner (36741070),Franz Wagner,36741070,SF/PF/F/UTIL,9100,ORL@LAL 11/21/2024 10:30PM ET,ORL,40.58
,,,,,,,,,,,,,SF/PF,RJ Barrett (36741074),RJ Barrett,36741074,SF/PF/F/UTIL,8900,MIN@TOR 11/21/2024 07:30PM ET,TOR,43.31
,,,,,,,,,,,,,PG,Scottie Barnes (36741078),Scottie Barnes,36741078,PG/G/UTIL,8700,MIN@TOR 11/21/2024 07:30PM ET,TOR,41.56
,,,,,,,,,,,,,PF/C,Julius Randle (36741081),Julius Randle,36741081,PF/C/F/UTIL,8300,MIN@TOR 11/21/2024 07:30PM ET,MIN,37.52
,,,,,,,,,,,,,C,Jakob Poeltl (36741085),Jakob Poeltl,36741085,C/UTIL,8100,MIN@TOR 11/21/2024 07:30PM ET,TOR,40.47
,,,,,,,,,,,,,PG,Immanuel Quickley (36741087),Immanuel Quickley,36741087,PG/G/UTIL,7400,MIN@TOR 11/21/2024 07:30PM ET,TOR,25.5
,,,,,,,,,,,,,PF/C,John Collins (36741090),John Collins,36741090,PF/C/F/UTIL,7200,UTA@SAS 11/21/2024 08:00PM ET,UTA,35.14
,,,,,,,,,,,,,PG/SG,Austin Reaves (36741094),Austin Reaves,36741094,PG/SG/G/UTIL,7200,ORL@LAL 11/21/2024 10:30PM ET,LAL,33.96
,,,,,,,,,,,,,SF/PF,Lauri Markkanen (36741098),Lauri Markkanen,36741098,SF/PF/F/UTIL,7100,UTA@SAS 11/21/2024 08:00PM ET,UTA,31.73
,,,,,,,,,,,,,SG/SF,Brandon Miller (36741102) (LOCKED),Brandon Miller,36741102,SG/SF/F/G/UTIL,6900,DET@CHA 11/21/2024 07:00PM ET,CHA,32.12
,,,,,,,,,,,,,PG,Jalen Suggs (36741107),Jalen Suggs,36741107,PG/G/UTIL,6800,ORL@LAL 11/21/2024 10:30PM ET,ORL,31.06
,,,,,,,,,,,,,PG/SG,Jaden Ivey (36741110) (LOCKED),Jaden Ivey,36741110,PG/SG/G/UTIL,6700,DET@CHA 11/21/2024 07:00PM ET,DET,32.6
,,,,,,,,,,,,,C,Rudy Gobert (36741114),Rudy Gobert,36741114,C/UTIL,6600,MIN@TOR 11/21/2024 07:30PM ET,MIN,30.54
,,,,,,,,,,,,,C,Jeremy Sochan (36741116),Jeremy Sochan,36741116,C/UTIL,6500,UTA@SAS 11/21/2024 08:00PM ET,SAS,31.93
,,,,,,,,,,,,,C,Jalen Duren (36741118) (LOCKED),Jalen Duren,36741118,C/UTIL,6400,DET@CHA 11/21/2024 07:00PM ET,DET,28.91
,,,,,,,,,,,,,PF,Miles Bridges (36741120) (LOCKED),Miles Bridges,36741120,PF/F/UTIL,6300,DET@CHA 11/21/2024 07:00PM ET,CHA,31.27
,,,,,,,,,,,,,PG,Chris Paul (36741123),Chris Paul,36741123,PG/G/UTIL,6300,UTA@SAS 11/21/2024 08:00PM ET,SAS,31.58
