Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4563697562,NBA $30K Four Point Play [20 Entry Max],171753215,$4,Jalen Suggs (37026798) (LOCKED),Jordan Poole (37026805) (LOCKED),OG Anunoby (37026854) (LOCKED),Jonathan Kuminga (37026881),Goga Bitadze (37026910) (LOCKED),Mike Conley (37026982),Bilal Coulibaly (37026927) (LOCKED),Kristaps Porzingis (37026796) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
4563697563,NBA $30K Four Point Play [20 Entry Max],171753215,$4,Jrue Holiday (37026942) (LOCKED),Klay Thompson (37026988),Bilal Coulibaly (37026927) (LOCKED),Jayson Tatum (37026744) (LOCKED),Goga Bitadze (37026910) (LOCKED),Austin Reaves (37026858),Jonathan Kuminga (37026881),Julius Randle (37026792),,2. Your current lineup is listed next to each entry (blank for reservations)
4563697564,NBA $30K Four Point Play [20 Entry Max],171753215,$4,Jordan Poole (37026805) (LOCKED),Derrick White (37026821) (LOCKED),Justin Champagnie (37026970) (LOCKED),Kevin Durant (37026771),Goga Bitadze (37026910) (LOCKED),Mike Conley (37026982),Jonathan Kuminga (37026881),Austin Reaves (37026858),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4563697565,NBA $30K Four Point Play [20 Entry Max],171753215,$4,Jrue Holiday (37026942) (LOCKED),Derrick White (37026821) (LOCKED),Bilal Coulibaly (37026927) (LOCKED),Jonathan Kuminga (37026881),Goga Bitadze (37026910) (LOCKED),Shaedon Sharpe (37026873),Klay Thompson (37026988),Anthony Davis (37026740),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4563697566,NBA $30K Four Point Play [20 Entry Max],171753215,$4,Jrue Holiday (37026942) (LOCKED),Anthony Black (37027031) (LOCKED),Bilal Coulibaly (37026927) (LOCKED),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796) (LOCKED),Jordan Poole (37026805) (LOCKED),LeBron James (37026748),Klay Thompson (37026988),,5. For faster processing only include entries you are changing in the file you upload
4563697567,NBA $30K Four Point Play [20 Entry Max],171753215,$4,Jrue Holiday (37026942) (LOCKED),Buddy Hield (37026973),Jayson Tatum (37026744) (LOCKED),Jonathan Kuminga (37026881),Kevon Looney (37027075),Mike Conley (37026982),Toumani Camara (37027005),Anthony Davis (37026740),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Luka Doncic (37026735),Luka Doncic,37026735,PG/G/UTIL,11500,DAL@GSW 12/15/2024 08:30PM ET,DAL,56.26
,,,,,,,,,,,,,C,Victor Wembanyama (37026738),Victor Wembanyama,37026738,C/UTIL,10800,MIN@SAS 12/15/2024 07:00PM ET,SAS,51.82
,,,,,,,,,,,,,C,Anthony Davis (37026740),Anthony Davis,37026740,C/UTIL,10700,MEM@LAL 12/15/2024 09:30PM ET,LAL,53.24
,,,,,,,,,,,,,C,Karl-Anthony Towns (37026742) (LOCKED),Karl-Anthony Towns,37026742,C/UTIL,10000,NYK@ORL 12/15/2024 06:00PM ET,NYK,51.89
,,,,,,,,,,,,,SF/PF,Jayson Tatum (37026744) (LOCKED),Jayson Tatum,37026744,SF/PF/F/UTIL,9900,BOS@WAS 12/15/2024 06:00PM ET,BOS,52.59
,,,,,,,,,,,,,PF,LeBron James (37026748),LeBron James,37026748,PF/F/UTIL,9800,MEM@LAL 12/15/2024 09:30PM ET,LAL,49.96
,,,,,,,,,,,,,PG/SG,Devin Booker (37026751),Devin Booker,37026751,PG/SG/G/UTIL,9700,POR@PHX 12/15/2024 08:00PM ET,PHX,43.04
,,,,,,,,,,,,,PF,Franz Wagner (37026755) (LOCKED),Franz Wagner,37026755,PF/F/UTIL,9600,NYK@ORL 12/15/2024 06:00PM ET,ORL,44.24
,,,,,,,,,,,,,PG,Stephen Curry (37026758),Stephen Curry,37026758,PG/G/UTIL,9500,DAL@GSW 12/15/2024 08:30PM ET,GSW,43.10
,,,,,,,,,,,,,PF,Paolo Banchero (37026761) (LOCKED),Paolo Banchero,37026761,PF/F/UTIL,9400,NYK@ORL 12/15/2024 06:00PM ET,ORL,51.8
,,,,,,,,,,,,,PG/SG,Anthony Edwards (37026764),Anthony Edwards,37026764,PG/SG/G/UTIL,9300,MIN@SAS 12/15/2024 07:00PM ET,MIN,43.54
,,,,,,,,,,,,,PG,Ja Morant (37026768),Ja Morant,37026768,PG/G/UTIL,8800,MEM@LAL 12/15/2024 09:30PM ET,MEM,43.17
,,,,,,,,,,,,,PF/C,Kevin Durant (37026771),Kevin Durant,37026771,PF/C/F/UTIL,8700,POR@PHX 12/15/2024 08:00PM ET,PHX,43.11
,,,,,,,,,,,,,SG/SF,Jaylen Brown (37026775) (LOCKED),Jaylen Brown,37026775,SG/SF/F/G/UTIL,8500,BOS@WAS 12/15/2024 06:00PM ET,BOS,42.16
,,,,,,,,,,,,,PG,Jalen Brunson (37026780) (LOCKED),Jalen Brunson,37026780,PG/G/UTIL,8400,NYK@ORL 12/15/2024 06:00PM ET,NYK,42.12
,,,,,,,,,,,,,PG/SG,Kyrie Irving (37026783),Kyrie Irving,37026783,PG/SG/G/UTIL,8200,DAL@GSW 12/15/2024 08:30PM ET,DAL,41.35
,,,,,,,,,,,,,SG/SF,Bradley Beal (37026787),Bradley Beal,37026787,SG/SF/F/G/UTIL,7900,POR@PHX 12/15/2024 08:00PM ET,PHX,31.58
,,,,,,,,,,,,,PF/C,Julius Randle (37026792),Julius Randle,37026792,PF/C/F/UTIL,7800,MIN@SAS 12/15/2024 07:00PM ET,MIN,36.64
,,,,,,,,,,,,,C,Kristaps Porzingis (37026796) (LOCKED),Kristaps Porzingis,37026796,C/UTIL,7500,BOS@WAS 12/15/2024 06:00PM ET,BOS,38.62
,,,,,,,,,,,,,PG,Jalen Suggs (37026798) (LOCKED),Jalen Suggs,37026798,PG/G/UTIL,7400,NYK@ORL 12/15/2024 06:00PM ET,ORL,32.11
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (37026801),Jaren Jackson Jr.,37026801,PF/C/F/UTIL,7300,MEM@LAL 12/15/2024 09:30PM ET,MEM,37.78
,,,,,,,,,,,,,PG/SG,Jordan Poole (37026805) (LOCKED),Jordan Poole,37026805,PG/SG/G/UTIL,7200,BOS@WAS 12/15/2024 06:00PM ET,WAS,34.70
,,,,,,,,,,,,,C,Deandre Ayton (37026809),Deandre Ayton,37026809,C/UTIL,7100,POR@PHX 12/15/2024 08:00PM ET,POR,32
,,,,,,,,,,,,,SF/PF,Josh Hart (37026811) (LOCKED),Josh Hart,37026811,SF/PF/F/UTIL,7000,NYK@ORL 12/15/2024 06:00PM ET,NYK,36.84
,,,,,,,,,,,,,PG,Anfernee Simons (37026815),Anfernee Simons,37026815,PG/G/UTIL,6900,POR@PHX 12/15/2024 08:00PM ET,POR,29.10
,,,,,,,,,,,,,PG/SG,Derrick White (37026821) (LOCKED),Derrick White,37026821,PG/SG/G/UTIL,6800,BOS@WAS 12/15/2024 06:00PM ET,BOS,36.08
,,,,,,,,,,,,,PG,Chris Paul (37026818),Chris Paul,37026818,PG/G/UTIL,6800,MIN@SAS 12/15/2024 07:00PM ET,SAS,31.28
,,,,,,,,,,,,,C,Rudy Gobert (37026830),Rudy Gobert,37026830,C/UTIL,6700,MIN@SAS 12/15/2024 07:00PM ET,MIN,31.69
,,,,,,,,,,,,,SG/SF,Desmond Bane (37026825),Desmond Bane,37026825,SG/SF/F/G/UTIL,6700,MEM@LAL 12/15/2024 09:30PM ET,MEM,31.69
,,,,,,,,,,,,,PF,PJ Washington (37026832),PJ Washington,37026832,PF/F/UTIL,6700,DAL@GSW 12/15/2024 08:30PM ET,DAL,32.29
,,,,,,,,,,,,,PF,Kyle Kuzma (37026835) (LOCKED),Kyle Kuzma,37026835,PF/F/UTIL,6600,BOS@WAS 12/15/2024 06:00PM ET,WAS,26.60
,,,,,,,,,,,,,SF/PF,Andrew Wiggins (37026838),Andrew Wiggins,37026838,SF/PF/F/UTIL,6600,DAL@GSW 12/15/2024 08:30PM ET,GSW,30.08
,,,,,,,,,,,,,PF,Jeremy Sochan (37026842),Jeremy Sochan,37026842,PF/F/UTIL,6500,MIN@SAS 12/15/2024 07:00PM ET,SAS,31.40
,,,,,,,,,,,,,PF/C,Draymond Green (37026845),Draymond Green,37026845,PF/C/F/UTIL,6400,DAL@GSW 12/15/2024 08:30PM ET,GSW,29.08
,,,,,,,,,,,,,C,Jusuf Nurkic (37026849),Jusuf Nurkic,37026849,C/UTIL,6300,POR@PHX 12/15/2024 08:00PM ET,PHX,26.38
,,,,,,,,,,,,,PG,Tyus Jones (37026851),Tyus Jones,37026851,PG/G/UTIL,6200,POR@PHX 12/15/2024 08:00PM ET,PHX,29.58
,,,,,,,,,,,,,SF/PF,OG Anunoby (37026854) (LOCKED),OG Anunoby,37026854,SF/PF/F/UTIL,6200,NYK@ORL 12/15/2024 06:00PM ET,NYK,32.62
,,,,,,,,,,,,,PG/SG,Austin Reaves (37026858),Austin Reaves,37026858,PG/SG/G/UTIL,6100,MEM@LAL 12/15/2024 09:30PM ET,LAL,31.26
,,,,,,,,,,,,,PF,Jerami Grant (37026862),Jerami Grant,37026862,PF/F/UTIL,6000,POR@PHX 12/15/2024 08:00PM ET,POR,28.40
,,,,,,,,,,,,,SG/SF,Mikal Bridges (37026865) (LOCKED),Mikal Bridges,37026865,SG/SF/F/G/UTIL,6000,NYK@ORL 12/15/2024 06:00PM ET,NYK,30
,,,,,,,,,,,,,PG,D'Angelo Russell (37026870),D'Angelo Russell,37026870,PG/G/UTIL,5900,MEM@LAL 12/15/2024 09:30PM ET,LAL,25.55
,,,,,,,,,,,,,PG/SG,Shaedon Sharpe (37026873),Shaedon Sharpe,37026873,PG/SG/G/UTIL,5800,POR@PHX 12/15/2024 08:00PM ET,POR,26.57
,,,,,,,,,,,,,SF/PF,Deni Avdija (37026877),Deni Avdija,37026877,SF/PF/F/UTIL,5800,POR@PHX 12/15/2024 08:00PM ET,POR,27.31
,,,,,,,,,,,,,PG/SG,Payton Pritchard (37026888) (LOCKED),Payton Pritchard,37026888,PG/SG/G/UTIL,5700,BOS@WAS 12/15/2024 06:00PM ET,BOS,29.11
,,,,,,,,,,,,,SF/PF,Royce O'Neale (37026884),Royce O'Neale,37026884,SF/PF/F/UTIL,5700,POR@PHX 12/15/2024 08:00PM ET,PHX,25.62
,,,,,,,,,,,,,PF,Jonathan Kuminga (37026881),Jonathan Kuminga,37026881,PF/F/UTIL,5700,DAL@GSW 12/15/2024 08:30PM ET,GSW,26.54
,,,,,,,,,,,,,PG/SG,Malcolm Brogdon (37026892) (LOCKED),Malcolm Brogdon,37026892,PG/SG/G/UTIL,5600,BOS@WAS 12/15/2024 06:00PM ET,WAS,24.53
,,,,,,,,,,,,,PF,Santi Aldama (37026896),Santi Aldama,37026896,PF/F/UTIL,5600,MEM@LAL 12/15/2024 09:30PM ET,MEM,30.82
,,,,,,,,,,,,,SF/PF,Rui Hachimura (37026899),Rui Hachimura,37026899,SF/PF/F/UTIL,5600,MEM@LAL 12/15/2024 09:30PM ET,LAL,25.66
,,,,,,,,,,,,,PF/C,Alexandre Sarr (37026917) (LOCKED),Alexandre Sarr,37026917,PF/C/F/UTIL,5500,BOS@WAS 12/15/2024 06:00PM ET,WAS,26.80
,,,,,,,,,,,,,PG/SG,Stephon Castle (37026903),Stephon Castle,37026903,PG/SG/G/UTIL,5500,MIN@SAS 12/15/2024 07:00PM ET,SAS,23.49
,,,,,,,,,,,,,SG,Devin Vassell (37026907),Devin Vassell,37026907,SG/G/UTIL,5500,MIN@SAS 12/15/2024 07:00PM ET,SAS,27.72
,,,,,,,,,,,,,SG/SF,Julian Champagnie (37026912),Julian Champagnie,37026912,SG/SF/F/G/UTIL,5500,MIN@SAS 12/15/2024 07:00PM ET,SAS,25.1
,,,,,,,,,,,,,C,Goga Bitadze (37026910) (LOCKED),Goga Bitadze,37026910,C/UTIL,5500,NYK@ORL 12/15/2024 06:00PM ET,ORL,25.85
,,,,,,,,,,,,,C,Jonas Valanciunas (37026921) (LOCKED),Jonas Valanciunas,37026921,C/UTIL,5400,BOS@WAS 12/15/2024 06:00PM ET,WAS,27.5
,,,,,,,,,,,,,PF/C,Robert Williams (37026934),Robert Williams,37026934,PF/C/F/UTIL,5300,POR@PHX 12/15/2024 08:00PM ET,POR,24.79
,,,,,,,,,,,,,SF/PF,Naji Marshall (37026923),Naji Marshall,37026923,SF/PF/F/UTIL,5300,DAL@GSW 12/15/2024 08:30PM ET,DAL,21.46
,,,,,,,,,,,,,SF,Bilal Coulibaly (37026927) (LOCKED),Bilal Coulibaly,37026927,SF/F/UTIL,5200,BOS@WAS 12/15/2024 06:00PM ET,WAS,28.03
,,,,,,,,,,,,,PG/SG,Carlton Carrington (37026938) (LOCKED),Carlton Carrington,37026938,PG/SG/G/UTIL,5200,BOS@WAS 12/15/2024 06:00PM ET,WAS,22.49
