Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4568909220,NBA $50K Four-Point Play [$10K to 1st],171905802,$4,Shai Gilgeous-Alexander (37064592) (LOCKED),Payton Pritchard (37064864) (LOCKED),Quentin Grimes (37065239),Miles Bridges (37064836) (LOCKED),Isaiah Hartenstein (37064768) (LOCKED),Spencer Dinwiddie (37065288),Jaren Jackson Jr. (37064725),Goga Bitadze (37064868) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
4568909221,NBA $50K Four-Point Play [$10K to 1st],171905802,$4,Shai Gilgeous-Alexander (37064592) (LOCKED),Collin Sexton (37064966) (LOCKED),Quentin Grimes (37065239),Draymond Green (37064826),Jabari Smith Jr. (37064926),Cade Cunningham (37064604) (LOCKED),Klay Thompson (37065002),Chris Boucher (37065259) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4568909222,NBA $50K Four-Point Play [$10K to 1st],171905802,$4,Cade Cunningham (37064604) (LOCKED),Quentin Grimes (37065239),Bilal Coulibaly (37064876) (LOCKED),Jonathan Kuminga (37064833),Kevin Durant (37064643),Jamal Shead (37065312) (LOCKED),Brandon Boston Jr. (37065007),Fred VanVleet (37064744),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4568909223,NBA $50K Four-Point Play [$10K to 1st],171905802,$4,Shai Gilgeous-Alexander (37064592) (LOCKED),Malik Beasley (37064995) (LOCKED),Devin Vassell (37064948),Miles Bridges (37064836) (LOCKED),Paul Reed (37065595) (LOCKED),Klay Thompson (37065002),Jonathan Kuminga (37064833),Alperen Sengun (37064652),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4568909224,NBA $50K Four-Point Play [$10K to 1st],171905802,$4,Spencer Dinwiddie (37065288),Gradey Dick (37064850) (LOCKED),Cameron Johnson (37064735) (LOCKED),Miles Bridges (37064836) (LOCKED),Alexandre Sarr (37064919) (LOCKED),Scottie Barnes (37064626) (LOCKED),Klay Thompson (37065002),Jaren Jackson Jr. (37064725),,5. For faster processing only include entries you are changing in the file you upload
4568909225,NBA $50K Four-Point Play [$10K to 1st],171905802,$4,Shai Gilgeous-Alexander (37064592) (LOCKED),Quentin Grimes (37065239),Devin Vassell (37064948),Miles Bridges (37064836) (LOCKED),Goga Bitadze (37064868) (LOCKED),Spencer Dinwiddie (37065288),Jaren Jackson Jr. (37064725),Fred VanVleet (37064744),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Luka Doncic (37064587),Luka Doncic,37064587,PG/G/UTIL,11700,LAC@DAL 12/19/2024 08:30PM ET,DAL,58.16
,,,,,,,,,,,,,C,Victor Wembanyama (37064590),Victor Wembanyama,37064590,C/UTIL,10700,ATL@SAS 12/19/2024 08:00PM ET,SAS,52.05
,,,,,,,,,,,,,PG,Shai Gilgeous-Alexander (37064592) (LOCKED),Shai Gilgeous-Alexander,37064592,PG/G/UTIL,10300,In Progress,OKC,51.43
,,,,,,,,,,,,,C,Karl-Anthony Towns (37064595),Karl-Anthony Towns,37064595,C/UTIL,10200,NYK@MIN 12/19/2024 09:30PM ET,NYK,52.15
,,,,,,,,,,,,,SF/PF,Jayson Tatum (37064597) (LOCKED),Jayson Tatum,37064597,SF/PF/F/UTIL,10100,In Progress,BOS,52.33
,,,,,,,,,,,,,PG,LaMelo Ball (37064601) (LOCKED),LaMelo Ball,37064601,PG/G/UTIL,9900,In Progress,CHA,51.08
,,,,,,,,,,,,,PG,Cade Cunningham (37064604) (LOCKED),Cade Cunningham,37064604,PG/G/UTIL,9800,In Progress,DET,51.15
,,,,,,,,,,,,,PG,James Harden (37064607),James Harden,37064607,PG/G/UTIL,9700,LAC@DAL 12/19/2024 08:30PM ET,LAC,47.19
,,,,,,,,,,,,,PF,Franz Wagner (37064610) (LOCKED),Franz Wagner,37064610,PF/F/UTIL,9600,In Progress,ORL,44.24
,,,,,,,,,,,,,PG/SG,Devin Booker (37064613),Devin Booker,37064613,PG/SG/G/UTIL,9500,IND@PHX 12/19/2024 09:00PM ET,PHX,43.01
,,,,,,,,,,,,,PG,Trae Young (37064620),Trae Young,37064620,PG/G/UTIL,9400,ATL@SAS 12/19/2024 08:00PM ET,ATL,47.62
,,,,,,,,,,,,,PF,Paolo Banchero (37064617) (LOCKED),Paolo Banchero,37064617,PF/F/UTIL,9400,In Progress,ORL,51.8
,,,,,,,,,,,,,PG/SF,Scottie Barnes (37064626) (LOCKED),Scottie Barnes,37064626,PG/SF/F/G/UTIL,9300,In Progress,TOR,46.36
,,,,,,,,,,,,,PG,Stephen Curry (37064623),Stephen Curry,37064623,PG/G/UTIL,9300,GSW@MEM 12/19/2024 08:00PM ET,GSW,43.61
,,,,,,,,,,,,,PG/SF,RJ Barrett (37064631) (LOCKED),RJ Barrett,37064631,PG/SF/F/G/UTIL,9200,In Progress,TOR,43.48
