Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4570933758,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Vasilije Micic (37081789) (LOCKED),Gary Trent Jr. (37081826) (LOCKED),Khris Middleton (37081727) (LOCKED),Jimmy Butler (37081692),Nick Richards (37081739) (LOCKED),Tyler Herro (37081703),Bobby Portis (37081723) (LOCKED),Giannis Antetokounmpo (37081656) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
4570933759,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Vasilije Micic (37081789) (LOCKED),Donovan Mitchell (37081679) (LOCKED),Luguentz Dort (37081756),Aaron Wiggins (37081871),Giannis Antetokounmpo (37081656) (LOCKED),AJ Green (37081834) (LOCKED),Jimmy Butler (37081692),Jarrett Allen (37081711) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4570933760,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Vasilije Micic (37081789) (LOCKED),Duncan Robinson (37081775),Alex Caruso (37081792),Jalen Williams (37081687),Giannis Antetokounmpo (37081656) (LOCKED),Shai Gilgeous-Alexander (37081660),Luguentz Dort (37081756),Aaron Wiggins (37081871),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4570933761,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Tyler Herro (37081703),Gary Trent Jr. (37081826) (LOCKED),Andre Jackson Jr. (37081858) (LOCKED),Giannis Antetokounmpo (37081656) (LOCKED),Nick Richards (37081739) (LOCKED),AJ Green (37081834) (LOCKED),Bobby Portis (37081723) (LOCKED),Shai Gilgeous-Alexander (37081660),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4570933762,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Donovan Mitchell (37081679) (LOCKED),Khris Middleton (37081727) (LOCKED),Aaron Wiggins (37081871),Miles Bridges (37081713) (LOCKED),Nick Richards (37081739) (LOCKED),Luguentz Dort (37081756),Bobby Portis (37081723) (LOCKED),Giannis Antetokounmpo (37081656) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
4570933763,NBA $60K Four Point Play [20 Entry Max],171983717,$4,Cason Wallace (37081768),Khris Middleton (37081727) (LOCKED),Luguentz Dort (37081756),Miles Bridges (37081713) (LOCKED),Nick Richards (37081739) (LOCKED),Tyler Herro (37081703),Giannis Antetokounmpo (37081656) (LOCKED),Bobby Portis (37081723) (LOCKED),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (37081656) (LOCKED),Giannis Antetokounmpo,37081656,PF/C/F/UTIL,11300,In Progress,MIL,61.30
,,,,,,,,,,,,,PG,Shai Gilgeous-Alexander (37081660),Shai Gilgeous-Alexander,37081660,PG/G/UTIL,10300,OKC@MIA 12/20/2024 08:00PM ET,OKC,51.73
,,,,,,,,,,,,,PG,LaMelo Ball (37081663) (LOCKED),LaMelo Ball,37081663,PG/G/UTIL,9800,In Progress,CHA,51.98
,,,,,,,,,,,,,C,Joel Embiid (37081666) (LOCKED),Joel Embiid,37081666,C/UTIL,9500,In Progress,PHI,37.5
,,,,,,,,,,,,,PG,Tyrese Maxey (37081668) (LOCKED),Tyrese Maxey,37081668,PG/G/UTIL,9000,In Progress,PHI,42.58
,,,,,,,,,,,,,SG/SF,Brandon Miller (37081671) (LOCKED),Brandon Miller,37081671,SG/SF/F/G/UTIL,8900,In Progress,CHA,37.54
,,,,,,,,,,,,,PG,Damian Lillard (37081676) (LOCKED),Damian Lillard,37081676,PG/G/UTIL,8800,In Progress,MIL,45.36
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (37081679) (LOCKED),Donovan Mitchell,37081679,PG/SG/G/UTIL,8700,In Progress,CLE,40.72
,,,,,,,,,,,,,SF/PF,Paul George (37081683) (LOCKED),Paul George,37081683,SF/PF/F/UTIL,8500,In Progress,PHI,36.04
,,,,,,,,,,,,,PF,Jalen Williams (37081687),Jalen Williams,37081687,PF/F/UTIL,8300,OKC@MIA 12/20/2024 08:00PM ET,OKC,41.45
,,,,,,,,,,,,,C,Bam Adebayo (37081690),Bam Adebayo,37081690,C/UTIL,8100,OKC@MIA 12/20/2024 08:00PM ET,MIA,41.58
,,,,,,,,,,,,,SF/PF,Jimmy Butler (37081692),Jimmy Butler,37081692,SF/PF/F/UTIL,7900,OKC@MIA 12/20/2024 08:00PM ET,MIA,37.86
,,,,,,,,,,,,,PF,Chet Holmgren (37081696),Chet Holmgren,37081696,PF/F/UTIL,7800,OKC@MIA 12/20/2024 08:00PM ET,OKC,37.22
,,,,,,,,,,,,,PF/C,Evan Mobley (37081699) (LOCKED),Evan Mobley,37081699,PF/C/F/UTIL,7700,In Progress,CLE,38.63
,,,,,,,,,,,,,PG,Tyler Herro (37081703),Tyler Herro,37081703,PG/G/UTIL,7400,OKC@MIA 12/20/2024 08:00PM ET,MIA,40.56
,,,,,,,,,,,,,PG,Darius Garland (37081706) (LOCKED),Darius Garland,37081706,PG/G/UTIL,7200,In Progress,CLE,35.95
