Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4571946222,NBA $20K Four Point Play [20 Entry Max],172013532,$4,Derrick White (37102948),Svi Mykhailiuk (37104014) (LOCKED),Jayson Tatum (37102799),Bobby Portis (37103116),Clint Capela (37103102) (LOCKED),Scotty Pippen Jr. (37103475) (LOCKED),Trey Murphy III (37102993),Jaylen Brown (37102863),,1. Column A lists all of your contest entries for this draftgroup
4571946223,NBA $20K Four Point Play [20 Entry Max],172013532,$4,James Harden (37102811),Collin Sexton (37103173) (LOCKED),Khris Middleton (37103141),Jayson Tatum (37102799),Bobby Portis (37103116),Scotty Pippen Jr. (37103475) (LOCKED),De'Andre Hunter (37103086) (LOCKED),Devin Vassell (37103106),,2. Your current lineup is listed next to each entry (blank for reservations)
4571946224,NBA $20K Four Point Play [20 Entry Max],172013532,$4,Jrue Holiday (37103158),Derrick White (37102948),Jaylen Brown (37102863),Jayson Tatum (37102799),Clint Capela (37103102) (LOCKED),Scotty Pippen Jr. (37103475) (LOCKED),Bobby Portis (37103116),Bogdan Bogdanovic (37103252) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4571946225,NBA $20K Four Point Play [20 Entry Max],172013532,$4,Tyler Herro (37102923) (LOCKED),Quentin Grimes (37103268),Jayson Tatum (37102799),Nikola Jovic (37103638) (LOCKED),Bobby Portis (37103116),Jaylen Brown (37102863),Jaren Jackson Jr. (37102903) (LOCKED),Scotty Pippen Jr. (37103475) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4571946226,NBA $20K Four Point Play [20 Entry Max],172013532,$4,Tyler Herro (37102923) (LOCKED),Khris Middleton (37103141),Jayson Tatum (37102799),Bobby Portis (37103116),Moritz Wagner (37103243) (LOCKED),Derrick White (37102948),Svi Mykhailiuk (37104014) (LOCKED),Jaren Jackson Jr. (37102903) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
4571946227,NBA $20K Four Point Play [20 Entry Max],172013532,$4,Tyler Herro (37102923) (LOCKED),Khris Middleton (37103141),Keldon Johnson (37103291),Jalen Johnson (37102841) (LOCKED),Bobby Portis (37103116),Scotty Pippen Jr. (37103475) (LOCKED),Jaylen Brown (37102863),Ivica Zubac (37102934),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Luka Doncic (37102788),Luka Doncic,37102788,PG/G/UTIL,11500,LAC@DAL 12/21/2024 08:30PM ET,DAL,58.16
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (37102791),Giannis Antetokounmpo,37102791,PF/C/F/UTIL,11400,WAS@MIL 12/21/2024 08:00PM ET,MIL,61.27
,,,,,,,,,,,,,C,Victor Wembanyama (37102795),Victor Wembanyama,37102795,C/UTIL,10900,POR@SAS 12/21/2024 08:30PM ET,SAS,52.86
,,,,,,,,,,,,,C,Karl-Anthony Towns (37102797),Karl-Anthony Towns,37102797,C/UTIL,10400,NYK@NOP 12/21/2024 08:00PM ET,NYK,52.94
,,,,,,,,,,,,,SF/PF,Jayson Tatum (37102799),Jayson Tatum,37102799,SF/PF/F/UTIL,10300,BOS@CHI 12/21/2024 08:00PM ET,BOS,52.5
,,,,,,,,,,,,,PG,Cade Cunningham (37102803),Cade Cunningham,37102803,PG/G/UTIL,10200,DET@PHX 12/21/2024 09:00PM ET,DET,51.44
,,,,,,,,,,,,,C,Joel Embiid (37102809),Joel Embiid,37102809,C/UTIL,9600,PHI@CLE 12/21/2024 08:00PM ET,PHI,40.82
,,,,,,,,,,,,,PF,Franz Wagner (37102806) (LOCKED),Franz Wagner,37102806,PF/F/UTIL,9600,In Progress,ORL,44.24
,,,,,,,,,,,,,PG,James Harden (37102811),James Harden,37102811,PG/G/UTIL,9500,LAC@DAL 12/21/2024 08:30PM ET,LAC,46.91
,,,,,,,,,,,,,PG,Trae Young (37102814) (LOCKED),Trae Young,37102814,PG/G/UTIL,9300,In Progress,ATL,47.84
,,,,,,,,,,,,,PF,Paolo Banchero (37102817) (LOCKED),Paolo Banchero,37102817,PF/F/UTIL,9300,In Progress,ORL,51.8
,,,,,,,,,,,,,PG/SG,Devin Booker (37102820),Devin Booker,37102820,PG/SG/G/UTIL,9200,DET@PHX 12/21/2024 09:00PM ET,PHX,42.51
,,,,,,,,,,,,,PF/C,Kevin Durant (37102824),Kevin Durant,37102824,PF/C/F/UTIL,9100,DET@PHX 12/21/2024 09:00PM ET,PHX,44.11
,,,,,,,,,,,,,PG,Stephen Curry (37102828),Stephen Curry,37102828,PG/G/UTIL,9000,GSW@MIN 12/21/2024 08:00PM ET,GSW,42.02
