Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4574434125,NBA $15K Four Point Play [20 Entry Max],172059101,$4,Andrew Nembhard (37110542) (LOCKED),Jalen Green (37110452) (LOCKED),Trey Murphy III (37110445),Chris Boucher (37110573) (LOCKED),Domantas Sabonis (37110380) (LOCKED),CJ McCollum (37110429),Jonathan Mogbo (37110504) (LOCKED),Dejounte Murray (37110403),,1. Column A lists all of your contest entries for this draftgroup
4574434126,NBA $15K Four Point Play [20 Entry Max],172059101,$4,De'Aaron Fox (37110397) (LOCKED),Andrew Nembhard (37110542) (LOCKED),Dillon Brooks (37110525) (LOCKED),Chris Boucher (37110573) (LOCKED),Alperen Sengun (37110392) (LOCKED),CJ McCollum (37110429),Herbert Jones (37110492),Tyrese Haliburton (37110400) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4574434127,NBA $15K Four Point Play [20 Entry Max],172059101,$4,Andrew Nembhard (37110542) (LOCKED),CJ McCollum (37110429),Herbert Jones (37110492),Chris Boucher (37110573) (LOCKED),Alperen Sengun (37110392) (LOCKED),Jamal Murray (37110418),Trey Murphy III (37110445),Pascal Siakam (37110409) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4574434128,NBA $15K Four Point Play [20 Entry Max],172059101,$4,Dejounte Murray (37110403),Jalen Green (37110452) (LOCKED),Amen Thompson (37110473) (LOCKED),Jabari Smith Jr. (37110480) (LOCKED),Domantas Sabonis (37110380) (LOCKED),CJ McCollum (37110429),Dillon Brooks (37110525) (LOCKED),Chris Boucher (37110573) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4574434129,NBA $15K Four Point Play [20 Entry Max],172059101,$4,Dejounte Murray (37110403),Andrew Nembhard (37110542) (LOCKED),Dillon Brooks (37110525) (LOCKED),Aaron Gordon (37110463),Alperen Sengun (37110392) (LOCKED),CJ McCollum (37110429),Trey Murphy III (37110445),Herbert Jones (37110492),,5. For faster processing only include entries you are changing in the file you upload
4574434130,NBA $15K Four Point Play [20 Entry Max],172059101,$4,Fred VanVleet (37110426) (LOCKED),Jalen Green (37110452) (LOCKED),Dillon Brooks (37110525) (LOCKED),Chris Boucher (37110573) (LOCKED),Alperen Sengun (37110392) (LOCKED),Dejounte Murray (37110403),Aaron Gordon (37110463),Yves Missi (37110478),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Nikola Jokic (37110378),Nikola Jokic,37110378,C/UTIL,12100,DEN@NOP 12/22/2024 07:00PM ET,DEN,68.67
,,,,,,,,,,,,,C,Domantas Sabonis (37110380) (LOCKED),Domantas Sabonis,37110380,C/UTIL,9600,In Progress,SAC,50.43
,,,,,,,,,,,,,PG/SF,Scottie Barnes (37110382) (LOCKED),Scottie Barnes,37110382,PG/SF/F/G/UTIL,9500,In Progress,TOR,45.42
,,,,,,,,,,,,,PG/SF,RJ Barrett (37110387) (LOCKED),RJ Barrett,37110387,PG/SF/F/G/UTIL,9200,In Progress,TOR,43.48
,,,,,,,,,,,,,C,Alperen Sengun (37110392) (LOCKED),Alperen Sengun,37110392,C/UTIL,8900,In Progress,HOU,44.64
,,,,,,,,,,,,,PF,Zion Williamson (37110394),Zion Williamson,37110394,PF/F/UTIL,8700,DEN@NOP 12/22/2024 07:00PM ET,NOP,43.42
,,,,,,,,,,,,,PG,De'Aaron Fox (37110397) (LOCKED),De'Aaron Fox,37110397,PG/G/UTIL,8400,In Progress,SAC,45.15
,,,,,,,,,,,,,PG,Tyrese Haliburton (37110400) (LOCKED),Tyrese Haliburton,37110400,PG/G/UTIL,8300,In Progress,IND,40.19
,,,,,,,,,,,,,PG,Dejounte Murray (37110403),Dejounte Murray,37110403,PG/G/UTIL,8200,DEN@NOP 12/22/2024 07:00PM ET,NOP,38.73
,,,,,,,,,,,,,PG,Brandon Ingram (37110406),Brandon Ingram,37110406,PG/G/UTIL,8100,DEN@NOP 12/22/2024 07:00PM ET,NOP,39.19
,,,,,,,,,,,,,PF,Pascal Siakam (37110409) (LOCKED),Pascal Siakam,37110409,PF/F/UTIL,7700,In Progress,IND,36.87
,,,,,,,,,,,,,C,Jakob Poeltl (37110412) (LOCKED),Jakob Poeltl,37110412,C/UTIL,7500,In Progress,TOR,37.86
,,,,,,,,,,,,,SF/PF,DeMar DeRozan (37110414) (LOCKED),DeMar DeRozan,37110414,SF/PF/F/UTIL,7300,In Progress,SAC,36
,,,,,,,,,,,,,PG/SG,Jamal Murray (37110418),Jamal Murray,37110418,PG/SG/G/UTIL,7200,DEN@NOP 12/22/2024 07:00PM ET,DEN,37.35
,,,,,,,,,,,,,PG/SG,Malik Monk (37110422) (LOCKED),Malik Monk,37110422,PG/SG/G/UTIL,7000,In Progress,SAC,31.19
,,,,,,,,,,,,,PG,Fred VanVleet (37110426) (LOCKED),Fred VanVleet,37110426,PG/G/UTIL,6900,In Progress,HOU,34.17
,,,,,,,,,,,,,PG/SG,CJ McCollum (37110429),CJ McCollum,37110429,PG/SG/G/UTIL,6800,DEN@NOP 12/22/2024 07:00PM ET,NOP,34.66
,,,,,,,,,,,,,SG/SF,Bennedict Mathurin (37110433) (LOCKED),Bennedict Mathurin,37110433,SG/SF/F/G/UTIL,6700,In Progress,IND,29.76
,,,,,,,,,,,,,SF/PF,Michael Porter Jr. (37110438),Michael Porter Jr.,37110438,SF/PF/F/UTIL,6600,DEN@NOP 12/22/2024 07:00PM ET,DEN,34.77
,,,,,,,,,,,,,PG,Immanuel Quickley (37110442) (LOCKED),Immanuel Quickley,37110442,PG/G/UTIL,6500,In Progress,TOR,25.5
,,,,,,,,,,,,,SG/SF,Trey Murphy III (37110445),Trey Murphy III,37110445,SG/SF/F/G/UTIL,6400,DEN@NOP 12/22/2024 07:00PM ET,NOP,32.44
,,,,,,,,,,,,,C,Myles Turner (37110450) (LOCKED),Myles Turner,37110450,C/UTIL,6300,In Progress,IND,32.01
,,,,,,,,,,,,,SG,Jalen Green (37110452) (LOCKED),Jalen Green,37110452,SG/G/UTIL,6200,In Progress,HOU,32.04
,,,,,,,,,,,,,SG,Gradey Dick (37110455) (LOCKED),Gradey Dick,37110455,SG/G/UTIL,6100,In Progress,TOR,28.36
,,,,,,,,,,,,,PG,Russell Westbrook (37110458),Russell Westbrook,37110458,PG/G/UTIL,6000,DEN@NOP 12/22/2024 07:00PM ET,DEN,30.72
