Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4561547471,caretakerbear (4/4),0,332.5,C Jalen Smith F Miles Bridges G Ja Morant PF Justin Champagnie PG Darius Garland SF Jaden McDaniels SG Donovan Mitchell UTIL Jarrett Allen,,Jalen Smith,UTIL,66.36%,39.75
2,4561322185,geekedup911 (19/20),0,325.25,C Jalen Smith F Jaden McDaniels G Ja Morant PF Miles Bridges PG Mike Conley SF Bilal Coulibaly SG Desmond Bane UTIL Anthony Davis,,Vasilije Micic,PG,61.91%,21
3,4561077245,shemm4 (2/3),0,322.25,C Julius Randle F Dorian Finney-Smith G Tyrese Haliburton PF Justin Champagnie PG Darius Garland SF Jaden McDaniels SG Kelly Oubre Jr. UTIL Rudy Gobert,,Justin Champagnie,PF,45.48%,32.5
3,4561328654,JonnyRank (11/20),0,322.25,C Jarrett Allen F Jaren Jackson Jr. G Kevin Porter Jr. PF Miles Bridges PG Ja Morant SF Jaden McDaniels SG Anthony Edwards UTIL Jalen Smith,,Norman Powell,SG,41.82%,26.75
5,4561115018,Boggsy21 (1/20),0,322,C Jarrett Allen F Cameron Johnson G Josh Giddey PF Miles Bridges PG Ja Morant SF Justin Champagnie SG Desmond Bane UTIL Jalen Smith,,Nikola Jokic,UTIL,41.50%,30.25
6,4561003810,melvco (1/20),0,321.25,C Jarrett Allen F Jaren Jackson Jr. G Josh Giddey PF Julius Randle PG Caris LeVert SF Bilal Coulibaly SG Jordan Poole UTIL Jalen Smith,,Miles Bridges,PF,25.59%,33.25
6,4561446312,klambkins (19/20),0,321.25,C Jarrett Allen F Cameron Johnson G Josh Giddey PF Justin Champagnie PG Darius Garland SF Bilal Coulibaly SG Donovan Mitchell UTIL Jalen Smith,,Joel Embiid,C,25.41%,24.5
8,4561335973,timothyandstacy (5/20),0,320.75,C Jarrett Allen F Miles Bridges G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Donovan Mitchell,SG,22.83%,40
8,4561463749,SpeedRacer101 (5/20),0,320.75,C Jarrett Allen F Miles Bridges G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Brandon Miller,F,22.17%,35
8,4561528107,yankees3132 (13/20),0,320.75,C Jarrett Allen F Miles Bridges G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Dean Wade,SF,21.51%,12.75
11,4561092272,amjennison25 (4/20),0,318.5,C Jaren Jackson Jr. F Jaden McDaniels G Kevin Porter Jr. PF Dorian Finney-Smith PG Ja Morant SF Justin Champagnie SG Donovan Mitchell UTIL Rudy Gobert,,Caris LeVert,SG,21.29%,32.25
12,4561490431,jjax33 (4/20),0,317.25,C Jarrett Allen F Bilal Coulibaly G Norman Powell PF Miles Bridges PG Ja Morant SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Naz Reid,PF,19.33%,18.25
13,4561587105,Mancusco (10/10),0,316.5,C Jarrett Allen F Miles Bridges G Ja Morant PF Justin Champagnie PG Josh Giddey SF Brandon Miller SG Caris LeVert UTIL Jalen Smith,,Cameron Johnson,F,19.23%,27.75
14,4561245274,Momar89 (12/20),0,316,C Jarrett Allen F Norman Powell G Josh Giddey PF Miles Bridges PG Ja Morant SF Bilal Coulibaly SG Coby White UTIL Jalen Smith,,Jarrett Allen,C,17.45%,42.75
15,4561232689,sanch05 (19/20),0,315.25,C Jarrett Allen F Dalton Knecht G Ja Morant PF Jaren Jackson Jr. PG Josh Giddey SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Rui Hachimura,SF,16.15%,24.75
16,4561002195,illwood (3/20),0,314.25,C Jarrett Allen F Norman Powell G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Zach LaVine,SF,15.40%,26.5
16,4561160623,jabbo123 (7/20),0,314.25,C Jarrett Allen F Norman Powell G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,Darius Garland,PG,13.81%,45.75
16,4561511482,raaya79 (3/20),0,314.25,C Jarrett Allen F Jaren Jackson Jr. G Josh Giddey PF Justin Champagnie PG Darius Garland SF Norman Powell SG Jordan Poole UTIL Jalen Smith,,Kevin Porter Jr.,UTIL,13.57%,30.25
16,4561511545,nole91 (17/20),0,314.25,C Jarrett Allen F Norman Powell G Josh Giddey PF Jaren Jackson Jr. PG Darius Garland SF Justin Champagnie SG Jordan Poole UTIL Jalen Smith,,James Harden,G,11.76%,30.75
16,4561564734,Tuomi1 (6/6),0,314.25,C Jarrett Allen F Jaren Jackson Jr. G Josh Giddey PF Justin Champagnie PG Darius Garland SF Norman Powell SG Jordan Poole UTIL Jalen Smith,,Aaron Gordon,F,10.82%,24.5
21,4561581461,smoke33,0,314,C Jarrett Allen F Jaren Jackson Jr. G Kevin Porter Jr. PF Alexandre Sarr PG Ja Morant SF Justin Champagnie SG Donovan Mitchell UTIL Jalen Smith,,Coby White,G,10.80%,25.5
22,4561312157,papagates (16/20),0,313.75,C Jarrett Allen F Norman Powell G Josh Giddey PF Alexandre Sarr PG Darius Garland SF Desmond Bane SG Jordan Poole UTIL Jalen Smith,,Anthony Davis,C,10.36%,44.25
