Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4567139952,packershay21 (1/2),0,370.5,C Andre Drummond F Ausar Thompson G Kelly Oubre Jr. PF RJ Barrett PG Josh Giddey SF Jimmy Butler SG Gradey Dick UTIL Jalen Duren,,Jonathan Mogbo,C,62.81%,11.5
2,4566571828,fonsecajk (1/2),0,356,C Mark Williams F Ausar Thompson G Tyler Herro PF Paul George PG Tyrese Maxey SF Jimmy Butler SG Tim Hardaway Jr. UTIL Nick Richards,,Jakob Poeltl,C,50.92%,18.25
3,4567466719,spankthat (4/20),0,351.75,C Andre Drummond F Jimmy Butler G Duncan Robinson PF Miles Bridges PG Tyrese Maxey SF Ausar Thompson SG Kelly Oubre Jr. UTIL Bam Adebayo,,Coby White,PG,43.03%,30
4,4566908480,eshell4471 (5/10),0,350.75,C Bam Adebayo F Georges Niang G Lonzo Ball PF Chris Boucher PG Tyrese Maxey SF Jimmy Butler SG Donovan Mitchell UTIL Malik Beasley,,RJ Barrett,SF,42.66%,55.75
5,4567466722,spankthat (7/20),0,349,C Andre Drummond F Jonathan Mogbo G Tyler Herro PF Jimmy Butler PG Tyrese Maxey SF Ausar Thompson SG Kelly Oubre Jr. UTIL Josh Giddey,,Josh Giddey,PG,35.64%,39.25
6,4566818276,deckenrode16 (15/20),0,347.25,C Jalen Duren F Jonathan Mogbo G Josh Giddey PF Jimmy Butler PG Tyrese Maxey SF Malik Beasley SG Lonzo Ball UTIL Nikola Vucevic,,Kevin Porter Jr.,G,27.51%,0
7,4567064120,clinc (2/2),0,344.75,C Andre Drummond F Jimmy Butler G Keon Johnson PF Guerschon Yabusele PG Tyrese Maxey SF Paul George SG Kelly Oubre Jr. UTIL Ausar Thompson,,Dru Smith,PG,26.05%,22
8,4567165604,pop65,0,344.25,C Bam Adebayo F Jimmy Butler G Duncan Robinson PF Miles Bridges PG Cade Cunningham SF Malik Beasley SG Terry Rozier UTIL Andre Drummond,,Nikola Jokic,C,23.96%,17.75
9,4567245676,titanicterrell (2/5),0,343.75,C Mark Williams F Jimmy Butler G Duncan Robinson PF Miles Bridges PG Tyler Herro SF Ausar Thompson SG Kelly Oubre Jr. UTIL Cade Cunningham,,Norman Powell,G,23.31%,0
10,4566811674,dwatson11301978,0,341,C Nick Richards F Miles Bridges G Caris LeVert PF Ausar Thompson PG Josh Giddey SF Paul George SG Gradey Dick UTIL Tyrese Maxey,,Malik Beasley,SF,22.68%,42.25
11,4567575605,jrizzi23,34,338.25,C Jalen Duren F Malik Beasley G Caris LeVert PF Jimmy Butler PG Coby White SF Paul George SG Gradey Dick UTIL Malik Monk,,Andre Drummond,C,22.00%,33.25
12,4567223435,mls316 (1/2),0,337.5,C Nick Richards F Miles Bridges G Dru Smith PF Jimmy Butler PG Josh Giddey SF RJ Barrett SG Ayo Dosunmu UTIL Caris LeVert,,Gradey Dick,G,19.10%,38.5
13,4567268378,babure,45.83,337,C Andre Drummond F Malik Beasley G Caris LeVert PF Paul George PG Josh Giddey SF Jimmy Butler SG Gradey Dick UTIL Walker Kessler,,Aaron Gordon,F,17.99%,21.75
14,4567002842,cozman1959 (15/20),0,336.75,C Jonathan Mogbo F Matas Buzelis G Josh Giddey PF Jimmy Butler PG Tyrese Maxey SF Malik Beasley SG Gradey Dick UTIL Nikola Vucevic,,Malik Monk,UTIL,17.73%,10.25
15,4567199826,lmoe55 (16/20),0,336.25,C Andre Drummond F Jonathan Mogbo G Josh Giddey PF Miles Bridges PG LaMelo Ball SF Jimmy Butler SG Gradey Dick UTIL Ausar Thompson,,Ausar Thompson,SF,14.93%,40.75
16,4566948124,mada949 (6/20),0,333.5,C Andre Drummond F Paul George G Josh Giddey PF Miles Bridges PG Dru Smith SF Jimmy Butler SG Caris LeVert UTIL Jakob Poeltl,,Bam Adebayo,C,13.94%,31.5
16,4567559685,Wiffleball,0,333.5,C Nic Claxton F Jimmy Butler G Terry Rozier PF Miles Bridges PG Tyrese Maxey SF Georges Niang SG Caris LeVert UTIL Evan Mobley,,James Harden,G,13.62%,0
18,4567543492,tharris2023 (1/9),46.75,332.5,C Jonathan Mogbo F RJ Barrett G Caris LeVert PF Paul George PG Josh Giddey SF Jimmy Butler SG Malik Beasley UTIL Kevin Porter Jr.,,Talen Horton-Tucker,SF,12.19%,27.5
19,4567460820,fvme_85 (6/15),0,332.25,C Kelly Olynyk F Matas Buzelis G Josh Giddey PF Paul George PG Dru Smith SF Jimmy Butler SG Gradey Dick UTIL RJ Barrett,,Miles Bridges,PF,11.46%,37
20,4567359513,unclehans (7/15),0,331.75,C Mark Williams F Ausar Thompson G Caris LeVert PF Jimmy Butler PG Coby White SF RJ Barrett SG Kelly Oubre Jr. UTIL Jakob Poeltl,,Paul George,SF,10.89%,58.25
21,4566831995,SeanGeezy (12/20),80.75,331.5,C Kevin Love F Aaron Gordon G Cade Cunningham PF Jimmy Butler PG Tyrese Maxey SF Malik Beasley SG Gradey Dick UTIL Kevin Porter Jr.,,Tyler Herro,PG,10.73%,32
22,4567622840,avantc (2/2),0,329.5,C Mark Williams F RJ Barrett G Kelly Oubre Jr. PF Miles Bridges PG Shake Milton SF Jimmy Butler SG Malik Beasley UTIL Jarrett Allen,,Duncan Robinson,UTIL,10.72%,17
23,4566724955,ocdobv (3/20),0,328.75,C Andre Drummond F RJ Barrett G Coby White PF Jimmy Butler PG Dru Smith SF Malik Beasley SG Gradey Dick UTIL Jakob Poeltl,,Nikola Vucevic,C,10.63%,39.75
23,4566736852,Jakkoe (12/20),0,328.75,C Andre Drummond F RJ Barrett G Coby White PF Jimmy Butler PG Dru Smith SF Malik Beasley SG Gradey Dick UTIL Jakob Poeltl,,Cade Cunningham,PG,10.19%,66.75
23,4566950040,bglover14 (16/20),0,328.75,C Andre Drummond F Malik Beasley G Gradey Dick PF RJ Barrett PG Dru Smith SF Jimmy Butler SG Coby White UTIL Jakob Poeltl,,Russell Westbrook,G,9.76%,14.5
26,4567146282,miashade (3/5),80.75,328.5,C Andre Drummond F Talen Horton-Tucker G Tyrese Maxey PF Nicolas Batum PG Cade Cunningham SF Jimmy Butler SG Keon Ellis UTIL Nikola Vucevic,,De'Aaron Fox,G,9.71%,8.75
27,4566379792,jetslifebryan (14/20),0,328,C Andre Drummond F RJ Barrett G Josh Giddey PF Ausar Thompson PG Dru Smith SF Jimmy Butler SG Coby White UTIL Jakob Poeltl,,Ayo Dosunmu,PG,9.53%,30.25
28,4566622168,bostickjason (11/12),0,327.5,C Bam Adebayo F Malik Beasley G Ayo Dosunmu PF Cameron Johnson PG Josh Giddey SF Jimmy Butler SG Kelly Oubre Jr. UTIL Dru Smith,,Tyrese Maxey,PG,8.59%,62.75
29,4567229002,romindra,0,327,C Jonathan Mogbo F Patrick Williams G Tim Hardaway Jr. PF Paul George PG Josh Giddey SF Jimmy Butler SG Coby White UTIL RJ Barrett,,Matas Buzelis,PF,8.46%,14
30,4566743752,kngof9ex (2/20),0,326.5,C Andre Drummond F Patrick Williams G Gradey Dick PF Jonathan Mogbo PG Cade Cunningham SF Jimmy Butler SG Coby White UTIL Josh Giddey,,Jimmy Butler,SF,8.09%,88.75
31,4566562732,jgAllDay (20/20),45.83,325.75,C Andre Drummond F Jonathan Mogbo G Josh Giddey PF Jimmy Butler PG Tyrese Maxey SF Malik Beasley SG Kris Dunn UTIL Nikola Vucevic,,Kelly Oubre Jr.,SG,7.71%,40.75
31,4567075136,jsolis75 (16/20),34,325.75,C Andre Drummond F RJ Barrett G Keon Ellis PF Jimmy Butler PG Josh Giddey SF Malik Beasley SG Gradey Dick UTIL Jakob Poeltl,,Domantas Sabonis,C,7.46%,15.75
31,4566798257,darkknyt (17/20),0,325.75,C Jakob Poeltl F Patrick Williams G Cade Cunningham PF Jimmy Butler PG Dru Smith SF Malik Beasley SG Coby White UTIL Josh Giddey,,Ivica Zubac,C,6.53%,6.5
34,4567461035,nativerams,0,324.25,C Nikola Vucevic F Jonathan Mogbo G Josh Giddey PF Jimmy Butler PG Tyler Herro SF Ausar Thompson SG Malik Beasley UTIL Coby White,,Michael Porter Jr.,F,6.32%,9.75
