Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Nikola Jokic,C,DEN,38.00,12200,62.26,14.30,19.54,67.80
LaMelo Ball,PG,CHA,28.00,10000,36.02,1.10,15.16,40.10
Domantas Sabonis,C,SAC,36.00,9700,52.47,13.30,16.41,48.90
Cade Cunningham,PG,DET,36.00,9600,47.41,11.00,14.42,48.10
Joel Embiid,C,PHI,0.00,9500,0.00,0.00,0.00,0.00
James Harden,PG,LAC,34.00,9400,48.30,14.10,15.67,50.00
Scottie Barnes,PG,TOR,0.00,9300,0.00,0.00,0.00,0.00
RJ Barrett,SF/PF,TOR,36.00,9100,49.97,36.10,14.77,47.50
Donovan Mitchell,PG/SG,CLE,33.00,9000,41.16,2.50,13.60,38.60
Brandon Miller,SG/SF,CHA,35.00,8900,35.24,0.40,9.64,39.70
Tyrese Maxey,PG,PHI,38.00,8800,42.44,7.60,10.94,44.10
De'Aaron Fox,PG,SAC,36.00,8700,44.34,12.90,12.98,44.50
Nikola Vucevic,C,CHI,33.00,8500,44.15,2.30,14.24,42.80
Paul George,SF/PF,PHI,35.00,8300,37.66,21.80,10.84,42.80
Bam Adebayo,C,MIA,34.00,8200,44.76,11.80,14.36,42.00
Kawhi Leonard,PF/C,LAC,0.00,8100,0.00,0.00,0.00,0.00
DeMar DeRozan,SF/PF,SAC,35.00,8000,37.03,7.40,11.05,37.00
Evan Mobley,PF/C,CLE,33.00,7900,40.55,3.40,13.32,38.10
John Collins,PF/C,UTA,31.00,7800,33.70,2.10,11.73,35.50
Darius Garland,PG,CLE,32.00,7700,35.82,0.40,11.83,34.00
Tyler Herro,PG,MIA,35.00,7600,40.18,6.60,11.44,38.50
Zach LaVine,SG/SF,CHI,0.00,7500,0.00,0.00,0.00,0.00
Jimmy Butler,SF/PF,MIA,34.00,7400,38.44,14.10,12.12,39.00
Jakob Poeltl,C,TOR,33.00,7300,42.12,30.60,13.54,42.80
Jamal Murray,PG,DEN,36.00,7300,36.24,10.10,9.37,35.90
Cameron Johnson,SF/PF,BKN,34.00,7200,40.11,13.70,11.75,36.30
Ivica Zubac,C,LAC,33.00,7100,39.07,10.10,12.50,37.10
Cam Thomas,SG/SF,BKN,0.00,7000,0.00,0.00,0.00,0.00
Jarrett Allen,C,CLE,31.00,7000,34.42,0.40,11.80,31.80
Lauri Markkanen,SF/PF,UTA,33.00,6900,32.67,10.30,9.98,34.70
Michael Porter Jr.,SF/PF,DEN,36.00,6800,34.79,10.80,8.84,32.30
Malik Monk,PG/SG,SAC,34.00,6800,35.55,29.30,10.21,36.30
Jaden Ivey,PG/SG,DET,29.00,6700,28.26,3.80,10.28,31.70
Josh Giddey,PG,CHI,31.00,6600,39.98,11.20,13.53,35.00
Walker Kessler,C,UTA,30.00,6600,30.14,8.50,10.21,33.00
Immanuel Quickley,PG,TOR,0.00,6500,0.00,0.00,0.00,0.00
Norman Powell,SG/SF,LAC,34.00,6500,34.42,29.40,9.70,34.10
Coby White,PG/SG,CHI,35.00,6400,38.08,24.70,9.98,36.60
Keyonte George,PG,UTA,31.00,6300,28.45,1.10,9.19,28.50
Ayo Dosunmu,PG/SG,CHI,35.00,6200,33.70,1.30,8.41,30.60
Miles Bridges,PF,CHA,31.00,6100,31.25,6.50,10.49,28.80
Tobias Harris,PF,DET,0.00,6000,0.00,0.00,0.00,0.00
Nic Claxton,C,BKN,28.00,6000,33.50,5.30,13.09,31.90
Jordan Clarkson,SG,UTA,28.00,6000,25.88,0.00,9.62,25.88
Gradey Dick,SG,TOR,34.00,5900,32.31,8.20,8.70,30.00
Kelly Oubre Jr.,SG,PHI,36.00,5800,29.39,8.40,7.06,28.60
Russell Westbrook,PG,DEN,32.00,5700,33.39,0.60,10.51,23.30
Keegan Murray,SF/PF,SAC,0.00,5700,0.00,15.40,0.00,28.60
Jalen Duren,C,DET,25.00,5600,28.28,3.80,12.31,26.60
Collin Sexton,PG/SG,UTA,26.00,5600,23.84,0.60,9.71,24.90
Andre Drummond,C,PHI,27.00,5500,29.32,7.60,12.04,31.20
Ben Simmons,PG,BKN,27.00,5500,28.86,1.90,10.89,23.80
Aaron Gordon,PF,DEN,34.00,5500,30.16,12.20,8.25,32.40
Christian Braun,SG/SF,DEN,0.00,5400,0.00,4.00,0.00,25.40
Vasilije Micic,PG,CHA,20.00,5300,16.57,0.00,7.69,13.70
Nick Richards,C,CHA,22.00,5300,21.31,0.40,9.85,18.20
Ochai Agbaji,SF/PF,TOR,31.00,5300,23.16,0.90,6.50,22.50
Guerschon Yabusele,PF/C,PHI,29.00,5200,23.74,23.20,7.96,28.80
Mark Williams,C,CHA,19.00,5100,22.35,0.00,12.12,22.35
Ziaire Williams,SG/SF,BKN,0.00,5100,0.00,0.00,0.00,0.00
Dorian Finney-Smith,PF,BKN,0.00,5000,0.00,0.00,0.00,0.00
Caris LeVert,PG/SG,CLE,26.00,5000,24.00,4.90,9.27,24.00
Jalen Wilson,SF,BKN,30.00,5000,25.13,3.20,7.81,23.30
Max Strus,SG/SF,CLE,0.00,5000,0.00,0.00,0.00,0.00
Kelly Olynyk,C,TOR,17.00,5000,20.63,0.40,11.20,18.00
Keon Johnson,PG/SG,BKN,29.00,4900,26.60,0.20,8.68,21.00
Trey Lyles,C,SAC,0.00,4900,0.00,0.00,0.00,0.00
Cody Martin,SF,CHA,24.00,4800,17.88,0.40,6.91,20.10
Kevin Huerter,SG/SF,SAC,0.00,4800,0.00,0.00,0.00,0.00
Shake Milton,PG/SG,BKN,27.00,4700,24.34,0.20,8.88,20.90
Josh Green,SF/PF,CHA,27.00,4600,16.14,0.00,5.30,16.60
Malik Beasley,SG/SF,DET,27.00,4600,22.39,24.70,8.01,23.90
Peyton Watson,PF,DEN,22.00,4600,15.84,0.00,6.57,13.50
Tidjane Salaun,PF,CHA,22.00,4500,15.61,0.00,6.38,15.00
Terry Rozier,PG/SG,MIA,24.00,4500,22.00,7.60,9.03,22.60
Bruce Brown,SG/SF,TOR,0.00,4500,0.00,0.00,0.00,0.00
Jalen Smith,C,CHI,14.00,4500,16.46,0.00,9.52,19.60
Trendon Watford,PF,BKN,0.00,4400,0.00,3.40,0.00,3.80
Jonathan Mogbo,PF/C,TOR,28.00,4400,28.12,61.60,10.01,27.60
Ja'Kobe Walter,SG,TOR,23.00,4400,20.33,9.50,8.37,19.90
Kevin Porter Jr.,PG,LAC,24.00,4400,27.12,23.60,11.98,21.90
KJ Martin,PF,PHI,29.00,4300,20.34,0.00,6.67,19.70
Georges Niang,SF/PF,CLE,20.00,4300,15.21,0.00,6.71,13.30
Davion Mitchell,PG/SG,TOR,24.00,4300,19.38,2.10,7.40,18.70
Ricky Council IV,SG/SF,PHI,18.00,4200,14.41,0.00,7.27,11.80
Patrick Williams,PF,CHI,23.00,4200,20.60,0.00,8.43,19.50
Kris Dunn,PG/SG,LAC,24.00,4200,20.52,8.90,7.96,21.10
Tre Mann,PG/SG,CHA,0.00,4100,0.00,0.00,0.00,0.00
Caleb Martin,SF/PF,PHI,0.00,4100,0.00,0.00,0.00,0.00
Duncan Robinson,SG,MIA,25.00,4100,22.03,19.60,8.52,21.00
Isaiah Stewart,C,DET,24.00,4100,19.72,0.20,7.83,21.20
Derrick Jones Jr.,PF,LAC,0.00,4100,0.00,0.00,0.00,0.00
Tyrese Martin,SG/SF,BKN,0.00,4000,0.00,0.00,0.00,11.20
Isaac Okoro,SF/PF,CLE,23.00,4000,14.60,0.00,5.56,14.70
Lonzo Ball,PG/SG,CHI,21.00,4000,20.64,1.10,8.96,16.30
Kyle Lowry,PG/SG,PHI,13.00,3900,9.32,0.00,5.01,13.50
Ausar Thompson,SF/PF,DET,20.00,3900,18.11,0.40,8.53,14.40
Bojan Bogdanovic,SG,BKN,0.00,3900,0.00,0.00,0.00,0.00
Amir Coffey,SF/PF,LAC,28.00,3900,20.94,10.80,6.88,18.20
Dru Smith,PG,MIA,30.00,3800,23.08,19.40,6.89,19.90
Dean Wade,SF/PF,CLE,22.00,3800,16.26,0.40,6.50,13.10
Matas Buzelis,SF/PF,CHI,21.00,3800,19.83,4.80,8.82,17.60
Julian Strawther,SG/SF,DEN,21.00,3800,14.81,0.00,6.36,14.90
Jaime Jaquez Jr.,SF/PF,MIA,17.00,3700,15.70,14.60,8.20,17.10
Haywood Highsmith,SF/PF,MIA,24.00,3700,16.75,4.90,6.22,16.60
Sam Merrill,SG,CLE,20.00,3700,14.68,0.00,6.34,13.60
Day'Ron Sharpe,C,BKN,16.00,3700,18.37,4.20,10.37,15.70
Ty Jerome,PG,CLE,0.00,3700,0.00,0.00,0.00,14.30
Kyle Filipowski,PF/C,UTA,16.00,3700,13.29,0.00,6.91,16.60
Isaiah Wong,PG,CHA,0.00,3600,0.00,0.00,0.00,0.00
Tim Hardaway Jr.,SG/SF,DET,25.00,3600,15.59,2.50,5.63,17.50
Chris Boucher,PF,TOR,0.00,3600,0.00,0.00,0.00,9.40
Noah Clowney,PF/C,BKN,19.00,3500,18.86,1.10,9.06,11.00
Talen Horton-Tucker,SF,CHI,0.00,3500,0.00,0.00,0.00,0.00
Jordan Miller,SG/SF,LAC,20.00,3500,16.87,0.00,7.83,15.70
Bones Hyland,PG,LAC,6.00,3500,6.72,8.50,4.61,3.80
Moussa Diabate,C,CHA,0.00,3400,0.00,0.00,0.00,1.70
Ronald Holland II,SF,DET,22.00,3400,17.43,2.50,7.50,15.80
Keon Ellis,PG/SG,SAC,22.00,3400,16.40,10.60,6.60,16.70
Terance Mann,SG/SF,LAC,0.00,3400,0.00,0.00,0.00,0.00
Reggie Jackson,PG,PHI,15.00,3300,11.52,0.00,6.00,2.60
Kevin Love,C,MIA,10.00,3300,12.75,1.50,8.41,18.50
Jamal Shead,PG,TOR,14.00,3300,12.49,0.20,6.67,11.60
DeAndre Jordan,C,DEN,8.00,3300,6.93,0.00,4.39,1.70
Johnny Juzang,SG/SF,UTA,14.00,3300,9.45,0.00,4.88,11.20
Eric Gordon,SG/SF,PHI,0.00,3200,0.00,0.00,0.00,1.70
DaQuan Jeffries,PF,CHA,8.00,3200,5.77,0.00,3.53,4.50
Marcus Sasser,PG,DET,12.00,3200,10.36,0.00,6.01,4.20
Simone Fontecchio,PF,DET,20.00,3200,14.57,5.30,6.42,16.70
Bruno Fernando,C,TOR,0.00,3200,0.00,0.00,0.00,0.00
Julian Phillips,PF,CHI,13.00,3200,9.16,0.00,4.81,9.70
Nicolas Batum,PF/C,LAC,24.00,3200,15.89,8.50,5.71,16.60
KJ Simpson,PG,CHA,0.00,3100,0.00,0.00,0.00,13.70
Nikola Jovic,PF/C,MIA,0.00,3100,0.00,0.00,0.00,0.00
Adama Sanogo,C,CHI,0.00,3100,0.00,0.00,0.00,0.00
Jamison Battle,SF,TOR,0.00,3100,0.00,0.00,0.00,0.00
Brice Sensabaugh,SF/PF,UTA,16.00,3100,12.26,0.00,6.20,12.10
Isaiah Collier,PG,UTA,15.00,3100,10.14,0.00,5.15,9.90
Taj Gibson,C,CHA,0.00,3000,0.00,0.00,0.00,0.00
Jared McCain,PG,PHI,0.00,3000,0.00,0.00,0.00,0.00
Nick Smith Jr.,SG/SF,CHA,0.00,3000,0.00,0.00,0.00,0.60
Seth Curry,SG,CHA,4.00,3000,2.55,0.00,1.66,2.50
Grant Williams,C,CHA,0.00,3000,0.00,0.00,0.00,0.00
Pete Nance,PF/C,PHI,0.00,3000,0.00,0.00,0.00,0.00
Justin Edwards,SF,PHI,0.00,3000,0.00,0.00,0.00,0.00
Jeff Dowtin,PG,PHI,0.00,3000,0.00,0.00,0.00,2.20
Adem Bona,C,PHI,0.00,3000,0.00,0.00,0.00,0.00
Cole Swider,C,DET,0.00,3000,0.00,0.00,0.00,0.00
Alondes Williams,PG/SG,DET,0.00,3000,0.00,0.00,0.00,0.00
Daniss Jenkins,PG,DET,0.00,3000,0.00,0.00,0.00,0.00
Wendell Moore Jr.,PG/SG,DET,0.00,3000,0.00,0.00,0.00,5.50
Bobi Klintman,PF,DET,0.00,3000,0.00,0.00,0.00,0.00
Thomas Bryant,C,MIA,0.00,3000,0.00,0.00,0.00,0.00
Keshad Johnson,SF,MIA,0.00,3000,0.00,0.00,0.00,0.00
Alec Burks,PG/SG,MIA,0.00,3000,0.00,0.00,0.00,3.00
Josh Christopher,PG,MIA,0.00,3000,0.00,0.00,0.00,0.00
Kel'el Ware,C,MIA,0.00,3000,0.00,0.00,0.00,0.00
Josh Richardson,PG/SG,MIA,0.00,3000,0.00,0.00,0.00,0.00
Pelle Larsson,SF,MIA,0.00,3000,0.00,0.00,0.00,0.00
Jaylon Tyson,SG/SF,CLE,0.00,3000,0.00,0.00,0.00,0.00
Dariq Whitehead,SG,BKN,0.00,3000,0.00,0.00,0.00,0.00
Jaylen Martin,SF,BKN,0.00,3000,0.00,0.00,0.00,0.00
Cui Yongxi,SG,BKN,0.00,3000,0.00,0.00,0.00,0.00
Tristan Thompson,C,CLE,0.00,3000,0.00,0.00,0.00,0.80
JT Thor,PF,CLE,0.00,3000,0.00,0.00,0.00,0.60
Craig Porter Jr.,PG,CLE,0.00,3000,0.00,0.00,0.00,0.00
Luke Travers,SF,CLE,0.00,3000,0.00,0.00,0.00,0.00
Emoni Bates,PG,CLE,0.00,3000,0.00,0.00,0.00,0.00
Garrett Temple,SG,TOR,0.00,3000,0.00,0.00,0.00,0.00
AJ Lawson,PG,TOR,0.00,3000,0.00,0.00,0.00,0.00
Ulrich Chomche,C,TOR,0.00,3000,0.00,0.00,0.00,0.00
Jevon Carter,PG/SG,CHI,0.00,3000,0.00,0.00,0.00,0.00
DJ Steward,PG,CHI,0.00,3000,0.00,0.00,0.00,1.60
Chris Duarte,SG,CHI,0.00,3000,0.00,0.00,0.00,0.00
E.J. Liddell,C,CHI,0.00,3000,0.00,0.00,0.00,0.00
Torrey Craig,PF,CHI,0.00,3000,0.00,0.00,0.00,4.50
Dalen Terry,SF,CHI,0.00,3000,0.00,0.00,0.00,0.00
Dario Saric,C,DEN,0.00,3000,0.00,0.00,0.00,0.00
Jalen Pickett,PG/SG,DEN,0.00,3000,0.00,0.00,0.00,0.00
Orlando Robinson,C,SAC,0.00,3000,0.00,0.00,0.00,2.30
Doug McDermott,PF,SAC,20.00,3000,13.51,0.00,5.73,13.51
Alex Len,C,SAC,8.00,3000,7.04,0.00,4.40,3.60
Colby Jones,SG/SF,SAC,12.00,3000,9.65,0.60,5.42,7.10
Jordan McLaughlin,PG,SAC,10.00,3000,7.92,0.00,4.62,7.92
Jae Crowder,PF,SAC,15.00,3000,9.63,0.00,4.72,4.40
Mason Jones,SG,SAC,0.00,3000,0.00,0.00,0.00,0.00
Isaiah Crawford,PF,SAC,0.00,3000,0.00,0.00,0.00,0.00
Isaac Jones,PF/C,SAC,12.00,3000,10.05,0.00,5.83,9.60
Devin Carter,PG,SAC,0.00,3000,0.00,0.00,0.00,0.00
Spencer Jones,SG/SF,DEN,0.00,3000,0.00,0.00,0.00,0.00
Trey Alexander,PG/SG,DEN,0.00,3000,0.00,0.00,0.00,0.00
Hunter Tyson,SF/PF,DEN,13.00,3000,8.87,0.00,4.72,2.70
Zeke Nnaji,C,DEN,0.00,3000,0.00,0.00,0.00,1.20
PJ Hall,C,DEN,0.00,3000,0.00,0.00,0.00,0.00
Vlatko Cancar,C,DEN,0.00,3000,0.00,0.00,0.00,0.00
DaRon Holmes II,C,DEN,0.00,3000,0.00,0.00,0.00,0.00
Cam Christie,SG,LAC,0.00,3000,0.00,0.00,0.00,0.00
Kai Jones,PF/C,LAC,0.00,3000,0.00,0.00,0.00,0.80
Trentyn Flowers,SG,LAC,0.00,3000,0.00,0.00,0.00,0.00
Mo Bamba,C,LAC,13.00,3000,14.00,1.30,8.04,15.30
Kobe Brown,PF/C,LAC,0.00,3000,0.00,0.00,0.00,0.00
P.J. Tucker,PF,LAC,0.00,3000,0.00,0.00,0.00,0.00
David Jones,SG/SF,UTA,0.00,3000,0.00,0.00,0.00,0.00
Oscar Tshiebwe,C,UTA,0.00,3000,0.00,0.00,0.00,1.40
Cody Williams,SF,UTA,0.00,3000,0.00,0.00,0.00,0.00
Patty Mills,PG,UTA,0.00,3000,0.00,0.00,0.00,0.00
Drew Eubanks,C,UTA,0.00,3000,0.00,0.00,0.00,8.10
Micah Potter,PF/C,UTA,0.00,3000,0.00,0.00,0.00,6.80
Svi Mykhailiuk,SG/SF,UTA,0.00,3000,0.00,0.00,0.00,0.00
Taylor Hendricks,PF,UTA,0.00,3000,0.00,0.00,0.00,0.00
