first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Giannis,Antetokounmpo,PF,C,,2024-12-21,,MIL,WAS,-11.5,227.5,119.5,11400,22,62.8,62.3,60.4,56.3,4.93
Victor,Wembanyama,C,,,2024-12-21,,SA,POR,-6.5,227.5,117,10900,27,54.3,56.8,52.8,53.0,4.86
Karl-Anthony,Towns,C,,,2024-12-21,,NY,NO,-8.5,224.5,116.5,10400,21,61.8,56.1,52.9,51.0,4.90
Cade,Cunningham,PG,,,2024-12-21,,DET,PHO,+6.5,225.5,109.5,10200,25,59.0,55.4,51.1,50.3,4.93
Jayson,Tatum,SF,PF,,2024-12-21,,BOS,CHI,-9.5,240.5,125,10300,23,49.6,49.9,52.5,49.3,4.78
James,Harden,PG,,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,9500,4,35.0,44.7,46.9,45.3,4.76
Trae,Young,PG,,Q,2024-12-21,,ATL,MEM,+2.5,240.5,119,9300,15,55.3,47.9,47.8,45.0,4.84
Kevin,Durant,PF,C,,2024-12-21,,PHO,DET,-6.5,225.5,116,9100,9,43.7,44.6,44.1,43.5,4.78
Jalen,Johnson,PF,,,2024-12-21,,ATL,MEM,+2.5,240.5,119,8800,12,46.1,45.8,45.6,42.8,4.86
Tyrese,Maxey,PG,,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,8700,12,43.7,45.7,42.5,42.3,4.86
Ja,Morant,PG,,Q,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,8900,27,41.3,41.3,41.9,42.0,4.72
Stephen,Curry,PG,,,2024-12-21,,GSW,MIN,+4.5,215.5,105.5,9000,8,36.5,39.2,42.0,42.0,4.67
Anthony,Edwards,PG,SG,,2024-12-21,,MIN,GSW,-4.5,215.5,110,8900,14,42.3,41.1,43.2,42.0,4.72
Donovan,Mitchell,PG,SG,,2024-12-21,,CLE,PHI,-12.5,217.5,115,8500,3,38.5,41.9,40.7,40.8,4.79
Nikola,Vucevic,C,,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,8400,1,40.8,42.6,42.2,40.5,4.82
Paul,George,SF,PF,,2024-12-21,,PHI,CLE,+12.5,217.5,102.5,8600,26,41.8,37.8,36.0,40.3,4.68
Bam,Adebayo,C,,,2024-12-21,,MIA,ORL,+2.5,208.5,103,8200,2,44.9,43.0,41.5,39.8,4.85
Kyrie,Irving,PG,SG,,2024-12-21,,DAL,LAC,-4.5,221.5,113,8200,1,35.5,41.2,41.1,39.5,4.82
Jalen,Brunson,PG,,,2024-12-21,,NY,NO,-8.5,224.5,116.5,8200,20,41.3,41.1,41.8,39.5,4.82
Dejounte,Murray,PG,,,2024-12-21,,NO,NY,+8.5,224.5,108,8300,11,43.3,38.4,38.7,39.3,4.73
Jaylen,Brown,SG,SF,,2024-12-21,,BOS,CHI,-9.5,240.5,125,8300,19,32.9,37.8,41.0,39.0,4.70
Evan,Mobley,PF,C,,2024-12-21,,CLE,PHI,-12.5,217.5,115,7500,25,38.5,39.6,38.6,36.5,4.87
Jordan,Poole,PG,SG,,2024-12-21,,WAS,MIL,+11.5,227.5,108,7600,22,39.0,34.7,35.3,35.8,4.70
Jalen,Suggs,PG,,Q,2024-12-21,,ORL,MIA,-2.5,208.5,105.5,7600,10,37.0,34.7,32.0,35.8,4.70
Jaren,Jackson Jr.,PF,C,,2024-12-21,,MEM,ATL,-2.5,240.5,121.5,7400,27,41.6,37.5,37.7,35.5,4.80
Julius,Randle,PF,C,,2024-12-21,,MIN,GSW,-4.5,215.5,110,7600,15,33.3,33.9,36.1,35.5,4.67
Tyler,Herro,PG,,,2024-12-21,,MIA,ORL,+2.5,208.5,103,7200,18,41.8,40.4,40.6,35.5,4.93
Zach,LaVine,SG,SF,,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,7300,12,39.6,35.5,36.6,34.8,4.76
Cameron,Johnson,SF,PF,,2024-12-21,,BKN,UTA,-2.5,220.5,111.5,7300,7,40.6,34.8,33.2,34.5,4.73
Kristaps,Porzingis,C,,,2024-12-21,,BOS,CHI,-9.5,240.5,125,7400,22,35.6,31.4,35.7,34.3,4.63
John,Collins,PF,C,,2024-12-21,,UTA,BKN,+2.5,220.5,109,7100,28,33.8,35.5,35.7,34.0,4.79
CJ,McCollum,PG,SG,,2024-12-21,,NO,NY,+8.5,224.5,108,7100,11,34.3,35.1,35.1,34.0,4.79
Bradley,Beal,SG,SF,,2024-12-21,,PHO,DET,-6.5,225.5,116,7400,8,28.2,30.3,30.9,34.0,4.59
Derrick,White,PG,SG,,2024-12-21,,BOS,CHI,-9.5,240.5,125,6900,28,35.6,38.1,36.3,33.8,4.89
Ivica,Zubac,C,,,2024-12-21,,LAC,DAL,+4.5,221.5,108.5,7000,25,39.5,36.6,37.5,33.8,4.82
Josh,Hart,SF,PF,,2024-12-21,,NY,NO,-8.5,224.5,116.5,7000,8,35.0,35.3,36.6,33.5,4.79
Josh,Giddey,PG,,Q,2024-12-21,,CHI,BOS,+9.5,240.5,115.5,6900,17,33.5,35.2,32.6,33.3,4.82
Darius,Garland,PG,,,2024-12-21,,CLE,PHI,-12.5,217.5,115,7000,3,33.0,33.6,36.0,33.3,4.75
PJ,Washington,PF,,,2024-12-21,,DAL,LAC,-4.5,221.5,113,6800,1,30.1,34.8,31.9,32.8,4.82
Lauri,Markkanen,SF,PF,,2024-12-21,,UTA,BKN,+2.5,220.5,109,6700,12,30.2,34.2,32.9,32.3,4.81
