Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4562243317,NBA $30K Four Point Play [20 Entry Max],171720430,$4,Shai Gilgeous-Alexander (37016749),Luguentz Dort (37016815),Gary Trent Jr. (37016837) (LOCKED),Jalen Johnson (37016763) (LOCKED),Clint Capela (37016793) (LOCKED),Cason Wallace (37016828),Jabari Smith Jr. (37016800),Alperen Sengun (37016755),,1. Column A lists all of your contest entries for this draftgroup
4562243318,NBA $30K Four Point Play [20 Entry Max],171720430,$4,Shai Gilgeous-Alexander (37016749),Cason Wallace (37016828),Dillon Brooks (37016822),Jabari Smith Jr. (37016800),Onyeka Okongwu (37016820) (LOCKED),Luguentz Dort (37016815),Jalen Williams (37016760),Alperen Sengun (37016755),,2. Your current lineup is listed next to each entry (blank for reservations)
4562243319,NBA $30K Four Point Play [20 Entry Max],171720430,$4,Shai Gilgeous-Alexander (37016749),Gary Trent Jr. (37016837) (LOCKED),Luguentz Dort (37016815),Jalen Johnson (37016763) (LOCKED),Clint Capela (37016793) (LOCKED),Alex Caruso (37016832),Jabari Smith Jr. (37016800),Alperen Sengun (37016755),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4562243320,NBA $30K Four Point Play [20 Entry Max],171720430,$4,Fred VanVleet (37016769),Cason Wallace (37016828),Alex Caruso (37016832),Jalen Johnson (37016763) (LOCKED),Onyeka Okongwu (37016820) (LOCKED),Shai Gilgeous-Alexander (37016749),Jabari Smith Jr. (37016800),Isaiah Hartenstein (37016772),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4562243321,NBA $30K Four Point Play [20 Entry Max],171720430,$4,Fred VanVleet (37016769),Cason Wallace (37016828),Gary Trent Jr. (37016837) (LOCKED),Jalen Johnson (37016763) (LOCKED),Onyeka Okongwu (37016820) (LOCKED),Shai Gilgeous-Alexander (37016749),Jabari Smith Jr. (37016800),Isaiah Hartenstein (37016772),,5. For faster processing only include entries you are changing in the file you upload
4562243322,NBA $30K Four Point Play [20 Entry Max],171720430,$4,Shai Gilgeous-Alexander (37016749),Alex Caruso (37016832),Bogdan Bogdanovic (37016810) (LOCKED),Jabari Smith Jr. (37016800),Onyeka Okongwu (37016820) (LOCKED),Luguentz Dort (37016815),Jalen Williams (37016760),Alperen Sengun (37016755),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (37016745) (LOCKED),Giannis Antetokounmpo,37016745,PF/C/F/UTIL,11200,In Progress,MIL,60
,,,,,,,,,,,,,PG,Shai Gilgeous-Alexander (37016749),Shai Gilgeous-Alexander,37016749,PG/G/UTIL,10200,HOU@OKC 12/14/2024 08:30PM ET,OKC,51.72
,,,,,,,,,,,,,PG,Trae Young (37016752) (LOCKED),Trae Young,37016752,PG/G/UTIL,9300,In Progress,ATL,47.08
,,,,,,,,,,,,,C,Alperen Sengun (37016755),Alperen Sengun,37016755,C/UTIL,8900,HOU@OKC 12/14/2024 08:30PM ET,HOU,44.99
,,,,,,,,,,,,,PG,Damian Lillard (37016757) (LOCKED),Damian Lillard,37016757,PG/G/UTIL,8800,In Progress,MIL,45.54
,,,,,,,,,,,,,PF,Jalen Williams (37016760),Jalen Williams,37016760,PF/F/UTIL,8600,HOU@OKC 12/14/2024 08:30PM ET,OKC,42.72
,,,,,,,,,,,,,PF,Jalen Johnson (37016763) (LOCKED),Jalen Johnson,37016763,PF/F/UTIL,8200,In Progress,ATL,45.93
,,,,,,,,,,,,,PF,Chet Holmgren (37016766),Chet Holmgren,37016766,PF/F/UTIL,7800,HOU@OKC 12/14/2024 08:30PM ET,OKC,37.22
,,,,,,,,,,,,,PG,Fred VanVleet (37016769),Fred VanVleet,37016769,PG/G/UTIL,7100,HOU@OKC 12/14/2024 08:30PM ET,HOU,34.15
,,,,,,,,,,,,,C,Isaiah Hartenstein (37016772),Isaiah Hartenstein,37016772,C/UTIL,7000,HOU@OKC 12/14/2024 08:30PM ET,OKC,38.14
,,,,,,,,,,,,,SG,Dyson Daniels (37016774) (LOCKED),Dyson Daniels,37016774,SG/G/UTIL,6600,In Progress,ATL,32.40
,,,,,,,,,,,,,SG,Jalen Green (37016777),Jalen Green,37016777,SG/G/UTIL,6400,HOU@OKC 12/14/2024 08:30PM ET,HOU,31.87
,,,,,,,,,,,,,SG/SF,Amen Thompson (37016780),Amen Thompson,37016780,SG/SF/F/G/UTIL,5700,HOU@OKC 12/14/2024 08:30PM ET,HOU,27.38
,,,,,,,,,,,,,SF/PF,De'Andre Hunter (37016785) (LOCKED),De'Andre Hunter,37016785,SF/PF/F/UTIL,5600,In Progress,ATL,28.82
,,,,,,,,,,,,,PF/C,Bobby Portis (37016789) (LOCKED),Bobby Portis,37016789,PF/C/F/UTIL,5500,In Progress,MIL,27.77
