Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4566735813,NBA $40K Four Point Play [20 Entry Max],171826788,$4,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
4566735814,NBA $40K Four Point Play [20 Entry Max],171826788,$4,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
4566735815,NBA $40K Four Point Play [20 Entry Max],171826788,$4,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4566735816,NBA $40K Four Point Play [20 Entry Max],171826788,$4,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4566735817,NBA $40K Four Point Play [20 Entry Max],171826788,$4,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
4566735818,NBA $40K Four Point Play [20 Entry Max],171826788,$4,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Nikola Jokic (37030337),Nikola Jokic,37030337,C/UTIL,12200,DEN@SAC 12/16/2024 10:00PM ET,DEN,69.46
,,,,,,,,,,,,,PG,LaMelo Ball (37030339),LaMelo Ball,37030339,PG/G/UTIL,10000,PHI@CHA 12/16/2024 07:00PM ET,CHA,51.29
,,,,,,,,,,,,,C,Domantas Sabonis (37030342),Domantas Sabonis,37030342,C/UTIL,9700,DEN@SAC 12/16/2024 10:00PM ET,SAC,49.76
,,,,,,,,,,,,,PG,Cade Cunningham (37030344),Cade Cunningham,37030344,PG/G/UTIL,9600,MIA@DET 12/16/2024 07:00PM ET,DET,50.44
,,,,,,,,,,,,,C,Joel Embiid (37030347),Joel Embiid,37030347,C/UTIL,9500,PHI@CHA 12/16/2024 07:00PM ET,PHI,37.5
,,,,,,,,,,,,,PG,James Harden (37030349),James Harden,37030349,PG/G/UTIL,9400,UTA@LAC 12/16/2024 10:30PM ET,LAC,46.81
,,,,,,,,,,,,,PG,Scottie Barnes (37030352),Scottie Barnes,37030352,PG/G/UTIL,9300,CHI@TOR 12/16/2024 07:30PM ET,TOR,46.36
,,,,,,,,,,,,,SF/PF,RJ Barrett (37030355),RJ Barrett,37030355,SF/PF/F/UTIL,9100,CHI@TOR 12/16/2024 07:30PM ET,TOR,42.95
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (37030359),Donovan Mitchell,37030359,PG/SG/G/UTIL,9000,CLE@BKN 12/16/2024 07:30PM ET,CLE,40.82
,,,,,,,,,,,,,SG/SF,Brandon Miller (37030363),Brandon Miller,37030363,SG/SF/F/G/UTIL,8900,PHI@CHA 12/16/2024 07:00PM ET,CHA,38.14
,,,,,,,,,,,,,PG,Tyrese Maxey (37030368),Tyrese Maxey,37030368,PG/G/UTIL,8800,PHI@CHA 12/16/2024 07:00PM ET,PHI,41.40
,,,,,,,,,,,,,PG,De'Aaron Fox (37030371),De'Aaron Fox,37030371,PG/G/UTIL,8700,DEN@SAC 12/16/2024 10:00PM ET,SAC,45.02
,,,,,,,,,,,,,C,Nikola Vucevic (37030374),Nikola Vucevic,37030374,C/UTIL,8500,CHI@TOR 12/16/2024 07:30PM ET,CHI,42.28
,,,,,,,,,,,,,SF/PF,Paul George (37030376),Paul George,37030376,SF/PF/F/UTIL,8300,PHI@CHA 12/16/2024 07:00PM ET,PHI,34.33
,,,,,,,,,,,,,C,Bam Adebayo (37030380),Bam Adebayo,37030380,C/UTIL,8200,MIA@DET 12/16/2024 07:00PM ET,MIA,42.02
,,,,,,,,,,,,,PF/C,Kawhi Leonard (37030382),Kawhi Leonard,37030382,PF/C/F/UTIL,8100,UTA@LAC 12/16/2024 10:30PM ET,LAC,0
,,,,,,,,,,,,,SF/PF,DeMar DeRozan (37030386),DeMar DeRozan,37030386,SF/PF/F/UTIL,8000,DEN@SAC 12/16/2024 10:00PM ET,SAC,37.40
,,,,,,,,,,,,,PF/C,Evan Mobley (37030390),Evan Mobley,37030390,PF/C/F/UTIL,7900,CLE@BKN 12/16/2024 07:30PM ET,CLE,38.92
,,,,,,,,,,,,,PF/C,John Collins (37030394),John Collins,37030394,PF/C/F/UTIL,7800,UTA@LAC 12/16/2024 10:30PM ET,UTA,36.40
,,,,,,,,,,,,,PG,Darius Garland (37030398),Darius Garland,37030398,PG/G/UTIL,7700,CLE@BKN 12/16/2024 07:30PM ET,CLE,36.51
,,,,,,,,,,,,,PG,Tyler Herro (37030401),Tyler Herro,37030401,PG/G/UTIL,7600,MIA@DET 12/16/2024 07:00PM ET,MIA,40.94
,,,,,,,,,,,,,SG/SF,Zach LaVine (37030404),Zach LaVine,37030404,SG/SF/F/G/UTIL,7500,CHI@TOR 12/16/2024 07:30PM ET,CHI,35.97
,,,,,,,,,,,,,SF/PF,Jimmy Butler (37030409),Jimmy Butler,37030409,SF/PF/F/UTIL,7400,MIA@DET 12/16/2024 07:00PM ET,MIA,35.03
,,,,,,,,,,,,,C,Jakob Poeltl (37030416),Jakob Poeltl,37030416,C/UTIL,7300,CHI@TOR 12/16/2024 07:30PM ET,TOR,38.64
,,,,,,,,,,,,,PG,Jamal Murray (37030413),Jamal Murray,37030413,PG/G/UTIL,7300,DEN@SAC 12/16/2024 10:00PM ET,DEN,36.26
,,,,,,,,,,,,,SF/PF,Cameron Johnson (37030418),Cameron Johnson,37030418,SF/PF/F/UTIL,7200,CLE@BKN 12/16/2024 07:30PM ET,BKN,32.07
,,,,,,,,,,,,,C,Ivica Zubac (37030422),Ivica Zubac,37030422,C/UTIL,7100,UTA@LAC 12/16/2024 10:30PM ET,LAC,36.51
,,,,,,,,,,,,,SG/SF,Cam Thomas (37030424),Cam Thomas,37030424,SG/SF/F/G/UTIL,7000,CLE@BKN 12/16/2024 07:30PM ET,BKN,35.34
,,,,,,,,,,,,,C,Jarrett Allen (37030429),Jarrett Allen,37030429,C/UTIL,7000,CLE@BKN 12/16/2024 07:30PM ET,CLE,33.36
,,,,,,,,,,,,,SF/PF,Lauri Markkanen (37030431),Lauri Markkanen,37030431,SF/PF/F/UTIL,6900,UTA@LAC 12/16/2024 10:30PM ET,UTA,32.07
,,,,,,,,,,,,,SF/PF,Michael Porter Jr. (37030435),Michael Porter Jr.,37030435,SF/PF/F/UTIL,6800,DEN@SAC 12/16/2024 10:00PM ET,DEN,35.23
,,,,,,,,,,,,,PG/SG,Malik Monk (37030439),Malik Monk,37030439,PG/SG/G/UTIL,6800,DEN@SAC 12/16/2024 10:00PM ET,SAC,30.26
,,,,,,,,,,,,,PG/SG,Jaden Ivey (37030443),Jaden Ivey,37030443,PG/SG/G/UTIL,6700,MIA@DET 12/16/2024 07:00PM ET,DET,30.83
,,,,,,,,,,,,,PG,Josh Giddey (37030449),Josh Giddey,37030449,PG/G/UTIL,6600,CHI@TOR 12/16/2024 07:30PM ET,CHI,32.44
,,,,,,,,,,,,,C,Walker Kessler (37030447),Walker Kessler,37030447,C/UTIL,6600,UTA@LAC 12/16/2024 10:30PM ET,UTA,33.71
,,,,,,,,,,,,,PG,Immanuel Quickley (37030452),Immanuel Quickley,37030452,PG/G/UTIL,6500,CHI@TOR 12/16/2024 07:30PM ET,TOR,25.5
,,,,,,,,,,,,,SG/SF,Norman Powell (37030455),Norman Powell,37030455,SG/SF/F/G/UTIL,6500,UTA@LAC 12/16/2024 10:30PM ET,LAC,34.14
,,,,,,,,,,,,,PG/SG,Coby White (37030460),Coby White,37030460,PG/SG/G/UTIL,6400,CHI@TOR 12/16/2024 07:30PM ET,CHI,32.65
,,,,,,,,,,,,,PG,Keyonte George (37030464),Keyonte George,37030464,PG/G/UTIL,6300,UTA@LAC 12/16/2024 10:30PM ET,UTA,30.51
,,,,,,,,,,,,,PG/SG,Ayo Dosunmu (37030467),Ayo Dosunmu,37030467,PG/SG/G/UTIL,6200,CHI@TOR 12/16/2024 07:30PM ET,CHI,27.03
,,,,,,,,,,,,,PF,Miles Bridges (37030471),Miles Bridges,37030471,PF/F/UTIL,6100,PHI@CHA 12/16/2024 07:00PM ET,CHA,31.44
,,,,,,,,,,,,,PF,Tobias Harris (37030474),Tobias Harris,37030474,PF/F/UTIL,6000,MIA@DET 12/16/2024 07:00PM ET,DET,29.67
,,,,,,,,,,,,,C,Nic Claxton (37030477),Nic Claxton,37030477,C/UTIL,6000,CLE@BKN 12/16/2024 07:30PM ET,BKN,26.46
,,,,,,,,,,,,,SG,Jordan Clarkson (37030479),Jordan Clarkson,37030479,SG/G/UTIL,6000,UTA@LAC 12/16/2024 10:30PM ET,UTA,27.89
,,,,,,,,,,,,,SG,Gradey Dick (37030485),Gradey Dick,37030485,SG/G/UTIL,5900,CHI@TOR 12/16/2024 07:30PM ET,TOR,27.63
,,,,,,,,,,,,,SG,Kelly Oubre Jr. (37030482),Kelly Oubre Jr.,37030482,SG/G/UTIL,5800,PHI@CHA 12/16/2024 07:00PM ET,PHI,25.65
,,,,,,,,,,,,,PG,Russell Westbrook (37030488),Russell Westbrook,37030488,PG/G/UTIL,5700,DEN@SAC 12/16/2024 10:00PM ET,DEN,29.47
,,,,,,,,,,,,,SF/PF,Keegan Murray (37030491),Keegan Murray,37030491,SF/PF/F/UTIL,5700,DEN@SAC 12/16/2024 10:00PM ET,SAC,28.10
,,,,,,,,,,,,,C,Jalen Duren (37030499),Jalen Duren,37030499,C/UTIL,5600,MIA@DET 12/16/2024 07:00PM ET,DET,26.38
,,,,,,,,,,,,,PG/SG,Collin Sexton (37030495),Collin Sexton,37030495,PG/SG/G/UTIL,5600,UTA@LAC 12/16/2024 10:30PM ET,UTA,25.41
,,,,,,,,,,,,,C,Andre Drummond (37030501),Andre Drummond,37030501,C/UTIL,5500,PHI@CHA 12/16/2024 07:00PM ET,PHI,21.74
,,,,,,,,,,,,,PG,Ben Simmons (37030503),Ben Simmons,37030503,PG/G/UTIL,5500,CLE@BKN 12/16/2024 07:30PM ET,BKN,23.37
,,,,,,,,,,,,,PF,Aaron Gordon (37030506),Aaron Gordon,37030506,PF/F/UTIL,5500,DEN@SAC 12/16/2024 10:00PM ET,DEN,28.58
,,,,,,,,,,,,,SG/SF,Christian Braun (37030516),Christian Braun,37030516,SG/SF/F/G/UTIL,5400,DEN@SAC 12/16/2024 10:00PM ET,DEN,27.83
,,,,,,,,,,,,,PG,Vasilije Micic (37030513),Vasilije Micic,37030513,PG/G/UTIL,5300,PHI@CHA 12/16/2024 07:00PM ET,CHA,18.09
,,,,,,,,,,,,,C,Nick Richards (37030521),Nick Richards,37030521,C/UTIL,5300,PHI@CHA 12/16/2024 07:00PM ET,CHA,29.28
,,,,,,,,,,,,,SF/PF,Ochai Agbaji (37030509),Ochai Agbaji,37030509,SF/PF/F/UTIL,5300,CHI@TOR 12/16/2024 07:30PM ET,TOR,23.02
,,,,,,,,,,,,,PF/C,Guerschon Yabusele (37030523),Guerschon Yabusele,37030523,PF/C/F/UTIL,5200,PHI@CHA 12/16/2024 07:00PM ET,PHI,21.51
,,,,,,,,,,,,,C,Mark Williams (37030532),Mark Williams,37030532,C/UTIL,5100,PHI@CHA 12/16/2024 07:00PM ET,CHA,19.25
,,,,,,,,,,,,,SG/SF,Ziaire Williams (37030527),Ziaire Williams,37030527,SG/SF/F/G/UTIL,5100,CLE@BKN 12/16/2024 07:30PM ET,BKN,18.43
,,,,,,,,,,,,,PF,Dorian Finney-Smith (37030534),Dorian Finney-Smith,37030534,PF/F/UTIL,5000,CLE@BKN 12/16/2024 07:30PM ET,BKN,22.96
,,,,,,,,,,,,,PG/SG,Caris LeVert (37030537),Caris LeVert,37030537,PG/SG/G/UTIL,5000,CLE@BKN 12/16/2024 07:30PM ET,CLE,24.85
,,,,,,,,,,,,,SF,Jalen Wilson (37030543),Jalen Wilson,37030543,SF/F/UTIL,5000,CLE@BKN 12/16/2024 07:30PM ET,BKN,17.21
,,,,,,,,,,,,,SG/SF,Max Strus (37030548),Max Strus,37030548,SG/SF/F/G/UTIL,5000,CLE@BKN 12/16/2024 07:30PM ET,CLE,0
,,,,,,,,,,,,,C,Kelly Olynyk (37030541),Kelly Olynyk,37030541,C/UTIL,5000,CHI@TOR 12/16/2024 07:30PM ET,TOR,17.33
,,,,,,,,,,,,,PG/SG,Keon Johnson (37030561),Keon Johnson,37030561,PG/SG/G/UTIL,4900,CLE@BKN 12/16/2024 07:30PM ET,BKN,12.99
,,,,,,,,,,,,,C,Trey Lyles (37030546),Trey Lyles,37030546,C/UTIL,4900,DEN@SAC 12/16/2024 10:00PM ET,SAC,14.54
,,,,,,,,,,,,,SF,Cody Martin (37030553),Cody Martin,37030553,SF/F/UTIL,4800,PHI@CHA 12/16/2024 07:00PM ET,CHA,21.49
,,,,,,,,,,,,,SG/SF,Kevin Huerter (37030556),Kevin Huerter,37030556,SG/SF/F/G/UTIL,4800,DEN@SAC 12/16/2024 10:00PM ET,SAC,20.98
