Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4577501735,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Coby White (37117010),Jordan Clarkson (37117090) (LOCKED),Amen Thompson (37117035) (LOCKED),Jalen Johnson (37116806) (LOCKED),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),Jaime Jaquez Jr. (37117429) (LOCKED),Ryan Rollins (37117479),,1. Column A lists all of your contest entries for this draftgroup
4577501736,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Jordan Clarkson (37117090) (LOCKED),Jayson Tatum (37116775) (LOCKED),Bobby Portis (37116985),Jonas Valanciunas (37117253),Ryan Rollins (37117479),Jalen Williams (37116847),Amen Thompson (37117035) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4577501737,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Jordan Clarkson (37117090) (LOCKED),Isaiah Joe (37117556),Evan Mobley (37116872) (LOCKED),Alperen Sengun (37116820) (LOCKED),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Jonas Valanciunas (37117253),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4577501738,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Khris Middleton (37117017),Lauri Markkanen (37116951) (LOCKED),Julius Randle (37116895) (LOCKED),Bobby Portis (37116985),Ryan Rollins (37117479),Larry Nance Jr. (37117242) (LOCKED),Ivica Zubac (37116899),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4577501739,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Tyler Herro (37116885) (LOCKED),Amen Thompson (37117035) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Zach Edey (37117176),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Ryan Rollins (37117479),,5. For faster processing only include entries you are changing in the file you upload
4577501740,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Tyler Herro (37116885) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Jaren Jackson Jr. (37116906),Walker Kessler (37116993) (LOCKED),Ryan Rollins (37117479),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),,
4577501741,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Collin Sexton (37117064) (LOCKED),Lauri Markkanen (37116951) (LOCKED),Jayson Tatum (37116775) (LOCKED),Goga Bitadze (37116981) (LOCKED),Malcolm Brogdon (37117137),Bobby Portis (37116985),Coby White (37117010),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
4577501742,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Jordan Clarkson (37117090) (LOCKED),Svi Mykhailiuk (37117538) (LOCKED),Jonathan Isaac (37117504) (LOCKED),Julius Randle (37116895) (LOCKED),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Jayson Tatum (37116775) (LOCKED),,PG,Luka Doncic (37116766),Luka Doncic,37116766,PG/G/UTIL,11500,POR@DAL 12/23/2024 08:30PM ET,DAL,58.16
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (37116769),Giannis Antetokounmpo,37116769,PF/C/F/UTIL,11300,MIL@CHI 12/23/2024 08:00PM ET,MIL,61.27
,,,,,,,,,,,,,C,Victor Wembanyama (37116773) (LOCKED),Victor Wembanyama,37116773,C/UTIL,11000,In Progress,SAS,53.45
,,,,,,,,,,,,,SF/PF,Jayson Tatum (37116775) (LOCKED),Jayson Tatum,37116775,SF/PF/F/UTIL,10500,In Progress,BOS,53.70
,,,,,,,,,,,,,C,Karl-Anthony Towns (37116779) (LOCKED),Karl-Anthony Towns,37116779,C/UTIL,10200,TOR@NYK 12/23/2024 07:30PM ET,NYK,52.12
,,,,,,,,,,,,,PG,Shai Gilgeous-Alexander (37116781),Shai Gilgeous-Alexander,37116781,PG/G/UTIL,10100,WAS@OKC 12/23/2024 08:00PM ET,OKC,51.45
,,,,,,,,,,,,,PG,LaMelo Ball (37116784) (LOCKED),LaMelo Ball,37116784,PG/G/UTIL,9800,In Progress,CHA,51.98
,,,,,,,,,,,,,C,Joel Embiid (37116787) (LOCKED),Joel Embiid,37116787,C/UTIL,9600,In Progress,PHI,40.82
,,,,,,,,,,,,,PF,Franz Wagner (37116789) (LOCKED),Franz Wagner,37116789,PF/F/UTIL,9500,In Progress,ORL,44.24
,,,,,,,,,,,,,PG,Trae Young (37116792) (LOCKED),Trae Young,37116792,PG/G/UTIL,9400,MIN@ATL 12/23/2024 07:30PM ET,ATL,47.84
,,,,,,,,,,,,,PF,Paolo Banchero (37116795) (LOCKED),Paolo Banchero,37116795,PF/F/UTIL,9300,In Progress,ORL,51.8
,,,,,,,,,,,,,PG,James Harden (37116798),James Harden,37116798,PG/G/UTIL,9200,LAC@MEM 12/23/2024 08:00PM ET,LAC,46.48
,,,,,,,,,,,,,PG/SF,Scottie Barnes (37116801) (LOCKED),Scottie Barnes,37116801,PG/SF/F/G/UTIL,9100,TOR@NYK 12/23/2024 07:30PM ET,TOR,44.42
,,,,,,,,,,,,,PF,Jalen Johnson (37116806) (LOCKED),Jalen Johnson,37116806,PF/F/UTIL,9000,MIN@ATL 12/23/2024 07:30PM ET,ATL,45.49
