Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4579092326,NBA $50K Four-Point Play [$10K to 1st],172169573,$4,Russell Westbrook (37139706),Derrick White (37139690),Devin Vassell (37139781) (LOCKED),Jayson Tatum (37139628),Naz Reid (37139813) (LOCKED),Tyus Jones (37139758),Jaylen Brown (37139666),Jrue Holiday (37139786),,1. Column A lists all of your contest entries for this draftgroup
4579092327,NBA $50K Four-Point Play [$10K to 1st],172169573,$4,Jrue Holiday (37139786),Devin Vassell (37139781) (LOCKED),Jaylen Brown (37139666),Jayson Tatum (37139628),Naz Reid (37139813) (LOCKED),Tyus Jones (37139758),Kevin Durant (37139641),Trayce Jackson-Davis (37139876),,2. Your current lineup is listed next to each entry (blank for reservations)
4579092328,NBA $50K Four-Point Play [$10K to 1st],172169573,$4,Jalen Brunson (37139659) (LOCKED),Payton Pritchard (37139741),Devin Vassell (37139781) (LOCKED),Jayson Tatum (37139628),Trayce Jackson-Davis (37139876),Tyus Jones (37139758),Jaylen Brown (37139666),Naz Reid (37139813) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4579092329,NBA $50K Four-Point Play [$10K to 1st],172169573,$4,Tyus Jones (37139758),Devin Vassell (37139781) (LOCKED),Andrew Wiggins (37139727),Jonathan Kuminga (37139738),Trayce Jackson-Davis (37139876),Jrue Holiday (37139786),Jaylen Brown (37139666),Nikola Jokic (37139617),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4579092330,NBA $50K Four-Point Play [$10K to 1st],172169573,$4,Jrue Holiday (37139786),Donte DiVincenzo (37139841) (LOCKED),OG Anunoby (37139731) (LOCKED),Jayson Tatum (37139628),Kevin Durant (37139641),Jaylen Brown (37139666),Naz Reid (37139813) (LOCKED),Trayce Jackson-Davis (37139876),,5. For faster processing only include entries you are changing in the file you upload
4579092331,NBA $50K Four-Point Play [$10K to 1st],172169573,$4,Russell Westbrook (37139706),Dennis Schroder (37139748),Jayson Tatum (37139628),Naz Reid (37139813) (LOCKED),Trayce Jackson-Davis (37139876),Jrue Holiday (37139786),Julius Randle (37139682) (LOCKED),Jaylen Brown (37139666),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Nikola Jokic (37139617),Nikola Jokic,37139617,C/UTIL,11600,DEN@PHX 12/25/2024 10:30PM ET,DEN,67.65
,,,,,,,,,,,,,PG,Luka Doncic (37139619) (LOCKED),Luka Doncic,37139619,PG/G/UTIL,11100,In Progress,DAL,57.64
,,,,,,,,,,,,,C,Victor Wembanyama (37139622) (LOCKED),Victor Wembanyama,37139622,C/UTIL,10600,Final,SAS,54.88
,,,,,,,,,,,,,C,Anthony Davis (37139624),Anthony Davis,37139624,C/UTIL,10300,LAL@GSW 12/25/2024 08:00PM ET,LAL,53.78
,,,,,,,,,,,,,C,Karl-Anthony Towns (37139626) (LOCKED),Karl-Anthony Towns,37139626,C/UTIL,10100,Final,NYK,51.70
,,,,,,,,,,,,,SF/PF,Jayson Tatum (37139628),Jayson Tatum,37139628,SF/PF/F/UTIL,9800,PHI@BOS 12/25/2024 05:00PM ET,BOS,53.70
,,,,,,,,,,,,,C,Joel Embiid (37139632),Joel Embiid,37139632,C/UTIL,9500,PHI@BOS 12/25/2024 05:00PM ET,PHI,37.94
,,,,,,,,,,,,,PF,LeBron James (37139634),LeBron James,37139634,PF/F/UTIL,9300,LAL@GSW 12/25/2024 08:00PM ET,LAL,50.06
,,,,,,,,,,,,,PG/SG,Devin Booker (37139637),Devin Booker,37139637,PG/SG/G/UTIL,9100,DEN@PHX 12/25/2024 10:30PM ET,PHX,42.51
,,,,,,,,,,,,,PF/C,Kevin Durant (37139641),Kevin Durant,37139641,PF/C/F/UTIL,9000,DEN@PHX 12/25/2024 10:30PM ET,PHX,44.93
,,,,,,,,,,,,,PG,Stephen Curry (37139645),Stephen Curry,37139645,PG/G/UTIL,8900,LAL@GSW 12/25/2024 08:00PM ET,GSW,42.22
,,,,,,,,,,,,,PG/SG,Anthony Edwards (37139648) (LOCKED),Anthony Edwards,37139648,PG/SG/G/UTIL,8700,In Progress,MIN,42.56
,,,,,,,,,,,,,PG,Tyrese Maxey (37139652),Tyrese Maxey,37139652,PG/G/UTIL,8400,PHI@BOS 12/25/2024 05:00PM ET,PHI,43.39
,,,,,,,,,,,,,SF/PF,Paul George (37139655),Paul George,37139655,SF/PF/F/UTIL,8100,PHI@BOS 12/25/2024 05:00PM ET,PHI,35.15
