Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4581075916,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Jalen Suggs (37149019) (LOCKED),Tyler Herro (37149015) (LOCKED),Amen Thompson (37149123),Santi Aldama (37149175),Nikola Vucevic (37148998) (LOCKED),Gary Trent Jr. (37149295),Talen Horton-Tucker (37149413) (LOCKED),Bobby Portis (37149053),,1. Column A lists all of your contest entries for this draftgroup
4581075917,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Shai Gilgeous-Alexander (37148951) (LOCKED),Duncan Robinson (37149292) (LOCKED),Dalen Terry (37149533) (LOCKED),Santi Aldama (37149175),Bobby Portis (37149053),Fred VanVleet (37149062),Chris Boucher (37149350),Trae Young (37148966) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4581075918,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Jordan Poole (37149025) (LOCKED),Amen Thompson (37149123),Cam Whitmore (37149376),Jonathan Mogbo (37149248),Bam Adebayo (37149003) (LOCKED),Trae Young (37148966) (LOCKED),Bobby Portis (37149053),Dalen Terry (37149533) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4581075919,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Trae Young (37148966) (LOCKED),Jordan Poole (37149025) (LOCKED),Zach LaVine (37149044) (LOCKED),Jonathan Isaac (37149438) (LOCKED),Myles Turner (37149102) (LOCKED),Amen Thompson (37149123),Jamison Battle (37149693),Bobby Portis (37149053),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4581075920,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Andrew Nembhard (37149188) (LOCKED),Jordan Hawkins (37149259),Amen Thompson (37149123),Jake LaRavia (37149316),Clint Capela (37149169) (LOCKED),Trae Young (37148966) (LOCKED),Bobby Portis (37149053),Alperen Sengun (37148990),,5. For faster processing only include entries you are changing in the file you upload
4581075921,NBA $60K Four Point Play [20 Entry Max],172231700,$4,Trae Young (37148966) (LOCKED),Duncan Robinson (37149292) (LOCKED),Dalen Terry (37149533) (LOCKED),Jalen Johnson (37148974) (LOCKED),Mark Williams (37149209) (LOCKED),Amen Thompson (37149123),De'Andre Hunter (37149119) (LOCKED),Bobby Portis (37149053),,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (37148947),Giannis Antetokounmpo,37148947,PF/C/F/UTIL,11300,BKN@MIL 12/26/2024 08:00PM ET,MIL,61.27
,,,,,,,,,,,,,PG,Shai Gilgeous-Alexander (37148951) (LOCKED),Shai Gilgeous-Alexander,37148951,PG/G/UTIL,10300,In Progress,OKC,52.04
,,,,,,,,,,,,,PG,LaMelo Ball (37148954) (LOCKED),LaMelo Ball,37148954,PG/G/UTIL,10000,In Progress,CHA,51.68
,,,,,,,,,,,,,PF,Franz Wagner (37148957) (LOCKED),Franz Wagner,37148957,PF/F/UTIL,9500,In Progress,ORL,44.24
,,,,,,,,,,,,,PF,Paolo Banchero (37148960) (LOCKED),Paolo Banchero,37148960,PF/F/UTIL,9400,In Progress,ORL,51.8
,,,,,,,,,,,,,PG,Damian Lillard (37148963),Damian Lillard,37148963,PG/G/UTIL,9300,BKN@MIL 12/26/2024 08:00PM ET,MIL,45.36
,,,,,,,,,,,,,PG,Trae Young (37148966) (LOCKED),Trae Young,37148966,PG/G/UTIL,9200,In Progress,ATL,47.62
,,,,,,,,,,,,,PG/SF,Scottie Barnes (37148969),Scottie Barnes,37148969,PG/SF/F/G/UTIL,9100,TOR@MEM 12/26/2024 08:00PM ET,TOR,44.12
,,,,,,,,,,,,,PF,Jalen Johnson (37148974) (LOCKED),Jalen Johnson,37148974,PF/F/UTIL,9000,In Progress,ATL,45.52
,,,,,,,,,,,,,PG/SF,RJ Barrett (37148977),RJ Barrett,37148977,PG/SF/F/G/UTIL,8900,TOR@MEM 12/26/2024 08:00PM ET,TOR,43.28
,,,,,,,,,,,,,SG/SF,Brandon Miller (37148982) (LOCKED),Brandon Miller,37148982,SG/SF/F/G/UTIL,8800,In Progress,CHA,37.54
,,,,,,,,,,,,,PF,Zion Williamson (37148987),Zion Williamson,37148987,PF/F/UTIL,8700,HOU@NOP 12/26/2024 08:00PM ET,NOP,43.42
,,,,,,,,,,,,,C,Alperen Sengun (37148990),Alperen Sengun,37148990,C/UTIL,8600,HOU@NOP 12/26/2024 08:00PM ET,HOU,44.32
,,,,,,,,,,,,,PG,Ja Morant (37148992),Ja Morant,37148992,PG/G/UTIL,8500,TOR@MEM 12/26/2024 08:00PM ET,MEM,41.78
