Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4553278385,DoubleX2Dave (1/20),0,356.25,C Ivica Zubac F Amen Thompson G D'Angelo Russell PF Jonathan Kuminga PG Kevin Porter Jr. SF Norman Powell SG Buddy Hield UTIL Anthony Davis,,Justin Champagnie,SF,73.87%,34
2,4555600336,crossfitsavage (1/20),0,352.5,C Anthony Davis F Rui Hachimura G Kevin Porter Jr. PF Jonathan Kuminga PG Stephen Curry SF Dalton Knecht SG Buddy Hield UTIL D'Angelo Russell,,Scotty Pippen Jr.,G,67.64%,39.25
3,4555770734,tejjy (20/20),0,352.25,C Anthony Davis F Jonathan Kuminga G Kevin Porter Jr. PF Jabari Smith Jr. PG D'Angelo Russell SF Rui Hachimura SG Amen Thompson UTIL John Collins,,Jonas Valanciunas,C,60.37%,42.5
4,4555600351,crossfitsavage (16/20),0,350.5,C Anthony Davis F Toumani Camara G Kevin Porter Jr. PF Jonathan Kuminga PG Stephen Curry SF Rui Hachimura SG Buddy Hield UTIL D'Angelo Russell,,Anthony Davis,UTIL,49.52%,60.75
5,4552649095,papagates (11/20),0,348.75,C Jonas Valanciunas F Amen Thompson G D'Angelo Russell PF Brandon Clarke PG Scotty Pippen Jr. SF Justin Champagnie SG Anthony Edwards UTIL Anthony Davis,,Jaren Jackson Jr.,PF,48.89%,36.5
5,4555675769,Cd867 (16/20),0,348.75,C Jonas Valanciunas F Rui Hachimura G Scotty Pippen Jr. PF Jaren Jackson Jr. PG Dejounte Murray SF Justin Champagnie SG Trey Murphy III UTIL Anthony Davis,,Marcus Smart,SG,48.38%,20.25
7,4555777514,Jgarvin858585 (7/10),0,341,C Jonas Valanciunas F Jake LaRavia G Dejounte Murray PF Santi Aldama PG Scotty Pippen Jr. SF Trey Murphy III SG Amen Thompson UTIL Anthony Davis,,Jordan Poole,SG,48.24%,12.75
8,4555779902,BOSSMINO,0,340.5,C Domantas Sabonis F Jonathan Kuminga G Dejounte Murray PF Santi Aldama PG Scotty Pippen Jr. SF Justin Champagnie SG Anthony Edwards UTIL Jonas Valanciunas,,Victor Wembanyama,C,29.83%,46.5
9,4553069775,michurley (1/3),0,340,C Jonas Valanciunas F Trey Murphy III G Kevin Porter Jr. PF Rui Hachimura PG Dejounte Murray SF Justin Champagnie SG CJ McCollum UTIL Anthony Davis,,Dejounte Murray,PG,27.40%,47
9,4555600340,crossfitsavage (5/20),0,340,C Anthony Davis F Rui Hachimura G Kevin Porter Jr. PF Jonathan Kuminga PG Stephen Curry SF Dalton Knecht SG Buddy Hield UTIL Keyonte George,,Jaylen Wells,SG,27.10%,9
11,4555582732,SpeedRacer101 (15/20),0,337.75,C Jonas Valanciunas F Justin Champagnie G D'Angelo Russell PF Jaren Jackson Jr. PG Scotty Pippen Jr. SF Jake LaRavia SG Anthony Edwards UTIL Anthony Davis,,DeMar DeRozan,PF,24.21%,29.25
