Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,Field Proj
Nikola Jokic,C,DEN,38.0,12500,65.17,16.00,21.08,68.4
Anthony Davis,C,LAL,35.0,11000,58.89,13.70,21.13,55.1
LaMelo Ball,PG,CHA,0.0,10100,0.00,0.00,0.00,0.0
LeBron James,PF,LAL,0.0,9800,0.00,0.00,0.00,0.0
James Harden,PG,LAC,34.0,9700,47.16,9.30,15.42,49.7
Joel Embiid,C,PHI,33.0,9500,42.41,22.40,15.95,38.5
Anthony Edwards,PG/SG,MIN,37.0,9200,46.52,16.70,12.69,43.6
Brandon Miller,SG/SF,CHA,35.0,9000,42.26,23.80,11.78,41.8
Donovan Mitchell,PG/SG,CLE,31.0,8900,43.91,16.30,15.99,45.9
Tyrese Maxey,PG,PHI,38.0,8800,37.03,1.90,9.17,43.9
Ja Morant,PG,MEM,29.0,8700,39.74,5.30,16.39,47.1
Tyrese Haliburton,PG,IND,36.0,8600,38.88,0.90,10.08,42.1
Nikola Vucevic,C,CHI,0.0,8500,0.00,0.00,0.00,0.0
Evan Mobley,PF/C,CLE,0.0,8300,0.00,0.00,0.00,0.0
Kawhi Leonard,PF/C,LAC,0.0,8200,0.00,0.00,0.00,0.0
Pascal Siakam,PF/C,IND,35.0,8100,36.69,0.80,10.40,37.8
Paul George,SF/PF,PHI,35.0,8000,33.43,12.30,9.33,40.9
Julius Randle,PF/C,MIN,35.0,7900,40.31,11.40,11.97,36.4
Zach LaVine,SG/SF,CHI,33.0,7800,36.13,8.50,10.99,39.6
Jamal Murray,PG,DEN,36.0,7800,36.24,0.40,9.38,33.1
Dennis Schroder,PG,BKN,32.0,7700,34.85,0.80,11.23,35.9
Jaren Jackson Jr.,PF/C,MEM,29.0,7600,36.62,4.90,14.35,37.5
Darius Garland,PG,CLE,31.0,7500,39.29,7.60,13.58,39.3
Ivica Zubac,C,LAC,33.0,7400,38.70,4.90,12.39,38.4
Jordan Poole,PG/SG,WAS,32.0,7300,35.09,6.50,11.32,36.4
Bennedict Mathurin,SG/SF,IND,33.0,7300,29.50,4.20,8.76,33.0
Cam Thomas,SG/SF,BKN,0.0,7200,0.00,0.00,0.00,0.0
Michael Porter Jr.,SF/PF,DEN,36.0,7100,34.00,11.00,8.54,34.5
Myles Turner,C,IND,32.0,7000,33.69,0.40,10.55,31.7
