Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Nikola Jokic,C,DEN,38.00,11600,62.33,37.47,19.29,67.50
Luka Doncic,PG,DAL,37.00,11100,52.61,11.42,15.65,49.90
Victor Wembanyama,C,SAS,33.00,10600,50.31,13.43,17.95,52.00
Anthony Davis,C,LAL,35.00,10300,52.03,25.33,17.94,57.80
Karl-Anthony Towns,C,NYK,36.00,10100,50.56,19.09,15.66,55.60
Jayson Tatum,SF/PF,BOS,36.00,9800,48.19,12.19,14.80,52.30
Joel Embiid,C,PHI,33.00,9500,42.90,8.62,16.40,36.40
LeBron James,PF,LAL,34.00,9300,46.96,16.09,15.99,47.60
Devin Booker,PG/SG,PHX,0.00,9100,0.00,0.09,0.00,0.00
Kevin Durant,PF/C,PHX,37.00,9000,49.07,27.85,14.22,43.80
Stephen Curry,PG,GSW,32.00,8900,38.69,5.36,13.01,46.60
Anthony Edwards,PG/SG,MIN,35.00,8700,42.22,7.73,12.66,43.20
Tyrese Maxey,PG,PHI,38.00,8400,37.27,5.63,9.37,41.60
Paul George,SF/PF,PHI,38.00,8100,35.33,4.91,8.28,39.80
Jalen Brunson,PG,NYK,35.00,8000,43.64,25.27,13.60,44.40
Kyrie Irving,PG/SG,DAL,36.00,7900,37.05,5.10,9.88,39.20
Jaylen Brown,SG/SF,BOS,36.00,7800,40.00,12.50,11.34,40.30
Jamal Murray,PG/SG,DEN,36.00,7400,37.19,9.67,9.70,36.70
Kristaps Porzingis,C,BOS,32.00,7300,36.14,10.31,12.09,39.20
Bradley Beal,SG/SF,PHX,35.00,7200,34.73,9.56,9.30,32.70
Julius Randle,PF/C,MIN,33.00,7100,37.69,22.87,12.38,37.10
Josh Hart,SF/PF,NYK,37.00,6900,34.19,9.38,7.67,34.10
Derrick White,PG/SG,BOS,36.00,6800,33.29,7.74,7.89,36.20
PJ Washington,PF,DAL,33.00,6500,27.29,2.98,7.45,33.30
Draymond Green,PF/C,GSW,27.00,6400,26.70,2.68,9.80,28.60
Russell Westbrook,PG,DEN,30.00,6300,32.48,15.87,11.26,31.30
Rudy Gobert,C,MIN,34.00,6200,31.80,8.71,8.81,32.70
Jeremy Sochan,PF,SAS,31.00,6200,30.33,7.28,10.03,33.60
Austin Reaves,PG/SG,LAL,35.00,6100,32.55,19.54,8.59,30.30
Michael Porter Jr.,SF/PF,DEN,31.00,6100,29.53,7.29,9.49,31.10
Jusuf Nurkic,C,PHX,27.00,6000,30.37,13.76,11.99,30.30
Mikal Bridges,SG/SF,NYK,38.00,6000,30.35,13.87,6.04,28.20
Kelly Oubre Jr.,SG,PHI,35.00,5900,24.80,2.28,6.08,25.80
Andrew Wiggins,SF/PF,GSW,33.00,5900,30.53,14.83,8.95,31.70
OG Anunoby,SF/PF,NYK,37.00,5800,33.38,30.30,7.49,31.10
Chris Paul,PG,SAS,28.00,5800,27.29,4.23,9.63,29.80
Payton Pritchard,PG/SG,BOS,31.00,5700,26.66,4.58,8.01,28.40
Jonathan Kuminga,PF,GSW,28.00,5700,30.19,19.00,11.99,25.40
Aaron Gordon,PF,DEN,31.00,5600,27.53,7.27,8.68,31.40
Dereck Lively II,C,DAL,27.00,5500,26.42,6.72,10.00,28.60
Dennis Schroder,PG/SG,GSW,29.00,5500,26.73,8.74,9.34,28.50
Rui Hachimura,SF/PF,LAL,34.00,5400,24.63,3.04,6.17,25.90
Klay Thompson,SG/SF,DAL,28.00,5300,24.32,5.79,8.46,20.90
Tyus Jones,PG,PHX,32.00,5200,29.81,26.51,8.66,29.60
Royce O'Neale,SF/PF,PHX,31.00,5200,26.85,14.48,7.86,29.10
D'Angelo Russell,PG,LAL,23.00,5100,21.97,4.62,9.54,21.00
Christian Braun,SG/SF,DEN,33.00,5000,24.98,9.51,6.76,26.30
Grayson Allen,SG,PHX,0.00,5000,0.00,0.05,0.00,0.00
Devin Vassell,SG/SF,SAS,33.00,4900,29.47,32.86,8.52,33.60
Jrue Holiday,PG,BOS,0.00,4800,0.00,0.05,0.00,23.60
Julian Champagnie,SG/SF,SAS,27.00,4700,21.98,5.86,7.70,19.10
Andre Drummond,C,PHI,0.00,4600,0.00,0.05,0.00,12.50
Naji Marshall,SF/PF,DAL,21.00,4600,17.32,1.62,7.87,15.70
Mike Conley,PG,MIN,27.00,4600,24.28,11.78,8.67,24.20
Al Horford,PF/C,BOS,28.00,4500,22.56,11.18,7.42,20.30
Spencer Dinwiddie,PG,DAL,14.00,4500,10.34,0.00,5.52,12.80
