id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6728,Wembanyama,Victor,58.51,SAS,F,@ LAL,36.00,26.72,3.33,11.98,4.08,1.05,3.78,3.33,6.65,3.43,0.56,9.98,10.20,0.65,0.020,,
3640,Davis,Anthony,55.72,LAL,F,SAS,36.00,27.29,0.67,12.02,3.98,1.46,2.00,2.01,9.53,6.22,1.76,10.20,9.95,0.76,0.015,,
6275,Cunningham,Cade,50.77,DET,G,@ NYK,36.00,24.93,2.65,6.11,9.82,0.88,0.67,3.69,6.72,3.54,0.76,9.37,11.22,0.49,0.054,,
6281,Sengun,Alperen,50.76,HOU,C,MEM,35.00,23.68,0.45,11.81,5.08,1.46,0.97,2.99,8.88,4.57,1.61,9.33,9.37,0.65,0.046,,
5052,Towns,Karl-Anthony,49.53,NYK,C,DET,34.00,23.52,1.93,13.06,3.64,0.81,0.85,2.61,6.25,5.23,0.96,8.18,7.01,0.80,0.016,,
6285,Barnes,Scottie,48.42,TOR,F,GSW,34.00,20.30,1.85,9.38,7.77,1.27,0.97,3.72,5.81,3.13,1.10,7.66,8.97,0.49,0.152,,
2011,James,LeBron,48.24,LAL,F,SAS,34.00,21.93,1.90,7.84,8.92,0.97,0.45,3.17,6.69,2.85,0.91,8.59,8.81,0.38,0.118,,
6147,Edwards,Anthony,46.34,MIN,G,@ WAS,37.00,26.93,4.10,6.31,4.56,1.41,0.62,3.21,5.49,3.65,0.77,9.59,11.58,0.11,0.003,,
3001,Harden,James,45.67,LAC,G,MIA,34.00,19.50,2.56,8.02,8.24,1.15,0.63,4.12,3.17,5.48,0.76,5.73,9.03,0.38,0.144,,
5698,Jackson Jr.,Jaren,42.63,MEM,C,@ HOU,33.00,23.13,1.93,7.15,2.44,1.47,2.00,2.96,6.26,4.82,1.27,8.19,9.34,0.31,0.003,,
5679,Brunson,Jalen,42.41,NYK,G,DET,35.00,25.55,2.40,2.92,7.03,1.03,0.08,2.46,6.43,5.49,1.09,8.83,9.45,0.31,0.003,,
6057,Barrett,R.J.,42.35,TOR,G,GSW,34.00,22.98,1.67,7.26,5.55,0.66,0.48,3.35,6.80,4.37,1.62,8.47,9.27,0.31,0.022,,
3946,Randle,Julius,41.17,MIN,F,@ WAS,34.00,21.95,1.73,8.16,4.88,0.62,0.25,3.01,6.05,4.66,1.06,7.78,8.52,0.38,0.011,,
5913,Herro,Tyler,40.49,MIA,G,@ LAC,36.00,23.72,3.60,5.26,5.40,0.74,0.07,2.89,4.57,3.78,0.52,8.17,9.64,0.07,0.005,,
5361,Zubac,Ivica,40.32,LAC,C,MIA,35.00,14.54,0.00,14.47,2.50,0.53,1.36,1.83,6.41,1.72,1.01,6.41,3.69,0.71,0.007,,
2999,Curry,Stephen,40.15,GSW,G,@ TOR,34.00,21.90,4.03,4.72,5.84,1.01,0.47,3.00,3.01,3.79,0.29,7.04,9.06,0.07,0.002,,
6732,Thompson,Amen,39.98,HOU,F,MEM,37.00,16.80,0.50,9.80,3.24,1.93,1.27,2.55,5.68,3.94,1.69,6.18,5.48,0.45,0.009,,
