Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Luka Doncic,PG,DAL,0.00,11500,0.00,0.12,0.00,0.00
Cade Cunningham,PG,DET,36.00,10600,47.51,14.56,14.46,50.79
Karl-Anthony Towns,C,NYK,34.00,10400,52.80,20.37,18.36,53.02
Paolo Banchero,PF,ORL,0.00,10200,0.00,0.10,0.00,0.00
Scottie Barnes,PG/SF,TOR,35.00,10100,45.62,16.12,13.62,49.22
Franz Wagner,PF,ORL,0.00,9900,0.00,0.10,0.00,0.00
Alperen Sengun,C,HOU,34.00,9500,48.92,19.33,17.03,51.45
Kyrie Irving,PG/SG,DAL,36.00,9400,42.68,11.88,11.96,42.01
RJ Barrett,PG/SF,TOR,0.00,9300,0.00,0.09,0.00,0.00
Zion Williamson,PF,NOP,0.00,9200,0.00,0.09,0.00,0.00
Nikola Vucevic,C,CHI,33.00,9100,41.52,13.30,13.27,44.45
Jalen Brunson,PG,NYK,0.00,8900,0.00,0.09,0.00,0.00
Dejounte Murray,PG,NOP,37.00,8800,44.35,16.73,11.62,42.65
Bam Adebayo,C,MIA,35.00,8700,44.95,18.97,13.59,42.66
Jimmy Butler,SF/PF,MIA,34.00,8600,40.67,12.31,13.05,38.66
Brandon Ingram,PG,NOP,0.00,8600,0.00,0.09,0.00,0.00
Tyler Herro,PG/SG,MIA,36.00,8500,44.11,18.53,12.26,40.62
Jordan Poole,PG/SG,WAS,34.00,8400,39.33,12.63,11.46,39.01
Jalen Suggs,PG/SG,ORL,31.00,8300,39.40,12.98,14.02,36.91
Zach LaVine,SG/SF,CHI,35.00,8000,37.78,13.98,10.39,39.83
Lauri Markkanen,SF/PF,UTA,33.00,7900,35.36,7.97,11.01,33.07
Josh Giddey,PG,CHI,31.00,7700,39.14,20.04,13.40,40.80
Cameron Johnson,SF/PF,BKN,33.00,7600,33.47,6.90,10.05,34.18
CJ McCollum,PG/SG,NOP,35.00,7600,37.74,12.02,10.60,33.43
Fred VanVleet,PG,HOU,37.00,7500,38.19,13.11,9.04,37.02
Jakob Poeltl,C,TOR,30.00,7400,35.77,8.15,12.79,37.02
Josh Hart,SF/PF,NYK,37.00,7300,40.52,20.66,9.47,36.08
Trey Murphy III,SG/SF,NOP,37.00,7200,36.47,12.25,8.66,36.10
John Collins,PF/C,UTA,0.00,7200,0.00,0.07,0.00,0.00
PJ Washington,PF,DAL,35.00,7100,32.37,7.87,8.09,29.05
Amen Thompson,SG/SF,HOU,0.00,7000,0.00,0.07,0.00,0.00
Coby White,PG/SG,CHI,34.00,6900,35.05,14.92,9.87,33.72
Immanuel Quickley,PG,TOR,26.00,6900,31.27,7.47,13.32,30.77
Goga Bitadze,C,ORL,32.00,6900,40.33,39.24,13.54,37.85
Cam Thomas,SG,BKN,0.00,6800,0.00,0.07,0.00,0.00
Spencer Dinwiddie,PG,DAL,32.00,6800,28.29,4.75,8.38,28.15
Bilal Coulibaly,SF,WAS,32.00,6700,30.22,7.71,8.92,28.79
Ayo Dosunmu,PG/SG,CHI,0.00,6700,0.00,0.07,0.00,0.00
Jalen Green,SG,HOU,33.00,6600,32.02,8.41,9.74,31.66
Mikal Bridges,SG/SF,NYK,37.00,6600,34.70,15.15,7.59,32.20
Walker Kessler,C,UTA,32.00,6600,33.75,9.36,10.45,30.68
Collin Sexton,PG/SG,UTA,30.00,6500,30.40,7.57,10.91,25.27
Kyle Kuzma,PF,WAS,22.00,6400,24.33,2.11,11.40,24.60
Jaden Ivey,PG/SG,DET,30.00,6300,28.91,7.84,10.01,30.12
Jalen Duren,C,DET,27.00,6300,29.04,6.17,11.63,27.95
Malcolm Brogdon,PG/SG,WAS,25.00,6200,28.04,7.53,11.93,26.79
Nic Claxton,C,BKN,31.00,6200,32.69,10.03,11.14,35.15
OG Anunoby,SF/PF,NYK,37.00,6200,35.39,26.30,7.84,33.20
