Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (37688512),Nikola Jokic,37688512,C/UTIL,12500,POR@DEN 02/12/2025 09:00PM ET,DEN,68.07
PF/C,Giannis Antetokounmpo (37688514),Giannis Antetokounmpo,37688514,PF/C/F/UTIL,11700,MIL@MIN 02/12/2025 08:00PM ET,MIL,60.42
C,Victor Wembanyama (37688518),Victor Wembanyama,37688518,C/UTIL,11000,SAS@BOS 02/12/2025 07:00PM ET,SAS,54.53
PG,Shai Gilgeous-Alexander (37688520),Shai Gilgeous-Alexander,37688520,PG/G/UTIL,10800,MIA@OKC 02/12/2025 08:00PM ET,OKC,53.25
PG,Luka Doncic (37688523),Luka Doncic,37688523,PG/G/UTIL,10700,LAL@UTA 02/12/2025 09:00PM ET,LAL,54.87
SF/PF,LeBron James (37688526),LeBron James,37688526,SF/PF/F/UTIL,10500,LAL@UTA 02/12/2025 09:00PM ET,LAL,51.03
PF/C,Anthony Davis (37688530),Anthony Davis,37688530,PF/C/F/UTIL,10500,GSW@DAL 02/12/2025 09:30PM ET,DAL,53.12
PG,Cade Cunningham (37688534),Cade Cunningham,37688534,PG/G/UTIL,10400,DET@CHI 02/12/2025 08:00PM ET,DET,51.04
C,Joel Embiid (37688537),Joel Embiid,37688537,C/UTIL,10000,PHI@BKN 02/12/2025 07:30PM ET,PHI,45.69
SF/PF,Jayson Tatum (37688539),Jayson Tatum,37688539,SF/PF/F/UTIL,9900,SAS@BOS 02/12/2025 07:00PM ET,BOS,50.55
PG,Tyrese Maxey (37688543),Tyrese Maxey,37688543,PG/G/UTIL,9800,PHI@BKN 02/12/2025 07:30PM ET,PHI,46.34
PG,LaMelo Ball (37688546),LaMelo Ball,37688546,PG/G/UTIL,9700,CHA@ORL 02/12/2025 07:00PM ET,CHA,48.47
PG,Trae Young (37688549),Trae Young,37688549,PG/G/UTIL,9600,ATL@NYK 02/12/2025 07:30PM ET,ATL,47.32
C,Domantas Sabonis (37688556),Domantas Sabonis,37688556,C/UTIL,9500,SAC@NOP 02/12/2025 08:00PM ET,SAC,50.74
PG/SG,Anthony Edwards (37688552),Anthony Edwards,37688552,PG/SG/G/UTIL,9500,MIL@MIN 02/12/2025 08:00PM ET,MIN,45.52
PG,Damian Lillard (37688558),Damian Lillard,37688558,PG/G/UTIL,9500,MIL@MIN 02/12/2025 08:00PM ET,MIL,46.21
C,Karl-Anthony Towns (37688561),Karl-Anthony Towns,37688561,C/UTIL,9400,ATL@NYK 02/12/2025 07:30PM ET,NYK,50.73
PG,Kyrie Irving (37688563),Kyrie Irving,37688563,PG/G/UTIL,9300,GSW@DAL 02/12/2025 09:30PM ET,DAL,41.21
PG/SG,Devin Booker (37688566),Devin Booker,37688566,PG/SG/G/UTIL,9200,PHX@HOU 02/12/2025 08:30PM ET,PHX,44.02
PG/SF,Scottie Barnes (37688570),Scottie Barnes,37688570,PG/SF/F/G/UTIL,9100,CLE@TOR 02/12/2025 07:30PM ET,TOR,44.48
PF/C,Kevin Durant (37688575),Kevin Durant,37688575,PF/C/F/UTIL,9000,PHX@HOU 02/12/2025 08:30PM ET,PHX,45.1
PG,Stephen Curry (37688579),Stephen Curry,37688579,PG/G/UTIL,8900,GSW@DAL 02/12/2025 09:30PM ET,GSW,42.07
PF,Miles Bridges (37688582),Miles Bridges,37688582,PF/F/UTIL,8800,CHA@ORL 02/12/2025 07:00PM ET,CHA,37.73
SF,Franz Wagner (37688585),Franz Wagner,37688585,SF/F/UTIL,8700,CHA@ORL 02/12/2025 07:00PM ET,ORL,43.71
C,Mark Williams (37688588),Mark Williams,37688588,C/UTIL,8600,CHA@ORL 02/12/2025 07:00PM ET,CHA,34.97
PG/SG,Austin Reaves (37688592),Austin Reaves,37688592,PG/SG/G/UTIL,8500,LAL@UTA 02/12/2025 09:00PM ET,LAL,36.95
C,Alperen Sengun (37688590),Alperen Sengun,37688590,C/UTIL,8500,PHX@HOU 02/12/2025 08:30PM ET,HOU,43.33
PF,Zion Williamson (37688596),Zion Williamson,37688596,PF/F/UTIL,8500,SAC@NOP 02/12/2025 08:00PM ET,NOP,43.68
PF/C,Evan Mobley (37688602),Evan Mobley,37688602,PF/C/F/UTIL,8400,CLE@TOR 02/12/2025 07:30PM ET,CLE,39.52
PG/SF,Amen Thompson (37688606),Amen Thompson,37688606,PG/SF/F/G/UTIL,8400,PHX@HOU 02/12/2025 08:30PM ET,HOU,33.74
PG,Jalen Brunson (37688599),Jalen Brunson,37688599,PG/G/UTIL,8400,ATL@NYK 02/12/2025 07:30PM ET,NYK,42.9
PG/SG,Donovan Mitchell (37688611),Donovan Mitchell,37688611,PG/SG/G/UTIL,8300,CLE@TOR 02/12/2025 07:30PM ET,CLE,40.79
PF,Paolo Banchero (37688615),Paolo Banchero,37688615,PF/F/UTIL,8300,CHA@ORL 02/12/2025 07:00PM ET,ORL,41.11
PG,Tyler Herro (37688618),Tyler Herro,37688618,PG/G/UTIL,8300,MIA@OKC 02/12/2025 08:00PM ET,MIA,41.52
PG,Tyrese Haliburton (37688621),Tyrese Haliburton,37688621,PG/G/UTIL,8200,IND@WAS 02/12/2025 07:00PM ET,IND,39.98
SG/SF,Trey Murphy III (37688624),Trey Murphy III,37688624,SG/SF/F/G/UTIL,8200,SAC@NOP 02/12/2025 08:00PM ET,NOP,38.8
PG/SG,De'Aaron Fox (37688629),De'Aaron Fox,37688629,PG/SG/G/UTIL,8100,SAS@BOS 02/12/2025 07:00PM ET,SAS,43.94
PF/C,Bam Adebayo (37688633),Bam Adebayo,37688633,PF/C/F/UTIL,8100,MIA@OKC 02/12/2025 08:00PM ET,MIA,39.99
