Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4640120442,salatso22 (19/20),250.73999,120.25,C Jusuf Nurkic F Jayson Tatum G Derrick White PF Al Horford PG Elfrid Payton SF Nick Smith Jr. SG Payton Pritchard UTIL Victor Wembanyama,,Jared Butler,G,42.05%,3
2,4640153876,BossHog504 (7/8),267.55,114.5,C Goga Bitadze F LOCKED G T.J. McConnell PF Pascal Siakam PG Cole Anthony SF Jayson Tatum SG Derrick White UTIL Al Horford,,Thomas Bryant,C,33.03%,9.25
3,4640206682,mrfb (1/20),258.63,113.25,C Thomas Bryant F Miles Bridges G Jared Butler PF Jayson Tatum PG Elfrid Payton SF Franz Wagner SG Derrick White UTIL Jusuf Nurkic,,Elfrid Payton,PG,27.45%,7
4,4640120601,to81760 (8/20),283.72998,111.25,C Kristaps Porzingis F Al Horford G Kelly Oubre Jr. PF LOCKED PG Payton Pritchard SF Jayson Tatum SG Derrick White UTIL Jusuf Nurkic,,Jayson Tatum,PF,24.24%,27
5,4640170051,chibears1982 (1/4),252.39001,109,C Alexandre Sarr F Obi Toppin G T.J. McConnell PF Pascal Siakam PG Tyrese Haliburton SF Jayson Tatum SG Derrick White UTIL Tidjane Salaun,,Pascal Siakam,PF,18.54%,7.5
6,4639662121,Chitownkilla9913,294.21,108.75,C Jarrett Allen F Al Horford G Carlton Carrington PF Jayson Tatum PG Derrick White SF Mikal Bridges SG Cole Anthony UTIL LOCKED,,Karl-Anthony Towns,UTIL,16.52%,4.5
7,4640146182,slap_beezy,297.11,108.25,C Kristaps Porzingis F Obi Toppin G Gradey Dick PF Al Horford PG Jalen Brunson SF Jayson Tatum SG Derrick White UTIL LOCKED,,Jalen Brunson,G,10.98%,7
7,4640267765,thecrater (2/5),270.22998,108.25,C Al Horford F Harrison Barnes G Chris Paul PF Kyshawn George PG Derrick White SF Jayson Tatum SG De'Aaron Fox UTIL Kelly Oubre Jr.,,Quentin Grimes,G,10.68%,5.5
9,4640021794,grump65 (16/20),251.15001,107.75,C Thomas Bryant F Kyshawn George G Nick Smith Jr. PF Jayson Tatum PG Elfrid Payton SF Bennedict Mathurin SG Derrick White UTIL Victor Wembanyama,,Nick Smith Jr.,SG,9.91%,7.75
10,4639975286,slpanthers24 (8/8),272.11,107,C Al Horford F Jayson Tatum G De'Aaron Fox PF LOCKED PG Elfrid Payton SF Devin Vassell SG Derrick White UTIL Kristaps Porzingis,,Franz Wagner,SF,6.98%,5.75
11,4640120429,salatso22 (6/20),283.73,106.75,C Kristaps Porzingis F LOCKED G De'Aaron Fox PF Al Horford PG Elfrid Payton SF Jayson Tatum SG Derrick White UTIL Jared Butler,,Derrick White,PG,6.80%,25.25
11,4640099964,jrd36784 (1/9),254.88,106.75,C Bismack Biyombo F Obi Toppin G Derrick White PF Jayson Tatum PG De'Aaron Fox SF Nick Smith Jr. SG Andrew Nembhard UTIL Kristaps Porzingis,,Paul George,SF,6.74%,3.25
13,4640071641,broomjay (1/10),284.54,106.5,C Kristaps Porzingis F LOCKED G Andrew Nembhard PF Kyshawn George PG Derrick White SF Jayson Tatum SG Payton Pritchard UTIL Max Strus,,Payton Pritchard,PG,6.07%,2.5
