Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4676777788,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Marcus Sasser (38231998) (LOCKED),Dennis Schroder (38231739) (LOCKED),Josh Hart (38231592),Ausar Thompson (38231802) (LOCKED),Yves Missi (38231806),Donovan Mitchell (38231558) (LOCKED),Giannis Antetokounmpo (38231518),KJ Simpson (38231866) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
4676777789,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Kevin Porter Jr. (38231748),Dennis Schroder (38231739) (LOCKED),Ausar Thompson (38231802) (LOCKED),Evan Mobley (38231569) (LOCKED),Ivica Zubac (38231590) (LOCKED),Tyler Kolek (38232021),Giannis Antetokounmpo (38231518),KJ Simpson (38231866) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4676777790,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Dennis Schroder (38231739) (LOCKED),Marcus Sasser (38231998) (LOCKED),Ausar Thompson (38231802) (LOCKED),Giannis Antetokounmpo (38231518),Ivica Zubac (38231590) (LOCKED),Donovan Mitchell (38231558) (LOCKED),Gary Trent Jr. (38231780),KJ Simpson (38231866) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4676777791,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Marcus Sasser (38231998) (LOCKED),Donovan Mitchell (38231558) (LOCKED),Ausar Thompson (38231802) (LOCKED),Evan Mobley (38231569) (LOCKED),Giannis Antetokounmpo (38231518),KJ Simpson (38231866) (LOCKED),Jamison Battle (38231856) (LOCKED),Dennis Schroder (38231739) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4676777792,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Stephen Curry (38231544),Dennis Schroder (38231739) (LOCKED),Keion Brooks Jr. (38232034),Kyle Filipowski (38231690),Ivica Zubac (38231590) (LOCKED),KJ Simpson (38231866) (LOCKED),Tidjane Salaun (38232066) (LOCKED),Giannis Antetokounmpo (38231518),,5. For faster processing only include entries you are changing in the file you upload
4676777793,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Dennis Schroder (38231739) (LOCKED),Marcus Sasser (38231998) (LOCKED),Ausar Thompson (38231802) (LOCKED),Evan Mobley (38231569) (LOCKED),Jalen Duren (38231615) (LOCKED),KJ Simpson (38231866) (LOCKED),Giannis Antetokounmpo (38231518),Kelly Olynyk (38231709),,
4676777794,NBA $30K Four Point Play [20 Entry Max],175270540,$4,Tyler Kolek (38232021),Dennis Schroder (38231739) (LOCKED),OG Anunoby (38231623),Kyle Filipowski (38231690),Jalen Duren (38231615) (LOCKED),KJ Simpson (38231866) (LOCKED),Giannis Antetokounmpo (38231518),Kelly Olynyk (38231709),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,C,Nikola Jokic (38231516),Nikola Jokic,38231516,C/UTIL,12300,UTA@DEN 03/28/2025 09:00PM ET,DEN,67.52
,,,,,,,,,,,,,PF/C,Giannis Antetokounmpo (38231518),Giannis Antetokounmpo,38231518,PF/C/F/UTIL,11500,NYK@MIL 03/28/2025 08:00PM ET,MIL,58.66
,,,,,,,,,,,,,PG,Cade Cunningham (38231522) (LOCKED),Cade Cunningham,38231522,PG/G/UTIL,10300,In Progress,DET,50.71
,,,,,,,,,,,,,C,Karl-Anthony Towns (38231525),Karl-Anthony Towns,38231525,C/UTIL,10200,NYK@MIL 03/28/2025 08:00PM ET,NYK,49.92
,,,,,,,,,,,,,PG,James Harden (38231527) (LOCKED),James Harden,38231527,PG/G/UTIL,9600,In Progress,LAC,47.26
,,,,,,,,,,,,,SG,Anthony Edwards (38231530),Anthony Edwards,38231530,SG/G/UTIL,9600,PHX@MIN 03/28/2025 08:00PM ET,MIN,45.33
,,,,,,,,,,,,,PG,LaMelo Ball (38231533) (LOCKED),LaMelo Ball,38231533,PG/G/UTIL,9300,In Progress,CHA,45.80
,,,,,,,,,,,,,PF/C,Kevin Durant (38231536),Kevin Durant,38231536,PF/C/F/UTIL,9300,PHX@MIN 03/28/2025 08:00PM ET,PHX,44.85
,,,,,,,,,,,,,SF/PF,Zion Williamson (38231540),Zion Williamson,38231540,SF/PF/F/UTIL,9100,GSW@NOP 03/28/2025 08:00PM ET,NOP,44.93
,,,,,,,,,,,,,PG,Stephen Curry (38231544),Stephen Curry,38231544,PG/G/UTIL,9100,GSW@NOP 03/28/2025 08:00PM ET,GSW,42.55
,,,,,,,,,,,,,PG/SG,Devin Booker (38231550),Devin Booker,38231550,PG/SG/G/UTIL,9000,PHX@MIN 03/28/2025 08:00PM ET,PHX,43.92
,,,,,,,,,,,,,PF,Miles Bridges (38231566) (LOCKED),Miles Bridges,38231566,PF/F/UTIL,8900,In Progress,CHA,39.65
,,,,,,,,,,,,,PG,Jalen Brunson (38231547),Jalen Brunson,38231547,PG/G/UTIL,8900,NYK@MIL 03/28/2025 08:00PM ET,NYK,43.46
,,,,,,,,,,,,,SF/PF,Kawhi Leonard (38231554) (LOCKED),Kawhi Leonard,38231554,SF/PF/F/UTIL,8800,In Progress,LAC,35.92
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (38231558) (LOCKED),Donovan Mitchell,38231558,PG/SG/G/UTIL,8800,In Progress,CLE,40.39
,,,,,,,,,,,,,SF/PF,Jimmy Butler (38231562),Jimmy Butler,38231562,SF/PF/F/UTIL,8700,GSW@NOP 03/28/2025 08:00PM ET,GSW,35.33
,,,,,,,,,,,,,PF/C,Evan Mobley (38231569) (LOCKED),Evan Mobley,38231569,PF/C/F/UTIL,8600,In Progress,CLE,40.11
