Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (38041865),Giannis Antetokounmpo,38041865,PF/C/F/UTIL,11400,MIL@IND 03/11/2025 07:30PM ET,MIL,59.06
PG,Cade Cunningham (38041869),Cade Cunningham,38041869,PG/G/UTIL,10200,WAS@DET 03/11/2025 07:00PM ET,DET,50.57
PG,James Harden (38041872),James Harden,38041872,PG/G/UTIL,9900,LAC@NOP 03/11/2025 08:00PM ET,LAC,46.59
SF/PF,Zion Williamson (38041875),Zion Williamson,38041875,SF/PF/F/UTIL,9200,LAC@NOP 03/11/2025 08:00PM ET,NOP,44.57
PG,Damian Lillard (38041879),Damian Lillard,38041879,PG/G/UTIL,9000,MIL@IND 03/11/2025 07:30PM ET,MIL,45.32
PG,Tyrese Haliburton (38041882),Tyrese Haliburton,38041882,PG/G/UTIL,8800,MIL@IND 03/11/2025 07:30PM ET,IND,41.61
PG/SG,Donovan Mitchell (38041885),Donovan Mitchell,38041885,PG/SG/G/UTIL,8500,BKN@CLE 03/11/2025 07:00PM ET,CLE,40.54
PF/C,Evan Mobley (38041889),Evan Mobley,38041889,PF/C/F/UTIL,8300,BKN@CLE 03/11/2025 07:00PM ET,CLE,39.87
PF,Pascal Siakam (38041893),Pascal Siakam,38041893,PF/F/UTIL,8200,MIL@IND 03/11/2025 07:30PM ET,IND,37.68
SF/PF,Kawhi Leonard (38041896),Kawhi Leonard,38041896,SF/PF/F/UTIL,8100,LAC@NOP 03/11/2025 08:00PM ET,LAC,31.86
C,Ivica Zubac (38041900),Ivica Zubac,38041900,C/UTIL,8000,LAC@NOP 03/11/2025 08:00PM ET,LAC,39.43
SG/SF,Trey Murphy III (38041902),Trey Murphy III,38041902,SG/SF/F/G/UTIL,7700,LAC@NOP 03/11/2025 08:00PM ET,NOP,38.1
PG,Jordan Poole (38041907),Jordan Poole,38041907,PG/G/UTIL,7500,WAS@DET 03/11/2025 07:00PM ET,WAS,36.24
PG,Darius Garland (38041910),Darius Garland,38041910,PG/G/UTIL,7100,BKN@CLE 03/11/2025 07:00PM ET,CLE,37.02
SG/SF,Norman Powell (38041913),Norman Powell,38041913,SG/SF/F/G/UTIL,7000,LAC@NOP 03/11/2025 08:00PM ET,LAC,35.07
PG,CJ McCollum (38041918),CJ McCollum,38041918,PG/G/UTIL,6900,LAC@NOP 03/11/2025 08:00PM ET,NOP,34.9
C,Myles Turner (38041923),Myles Turner,38041923,C/UTIL,6700,MIL@IND 03/11/2025 07:30PM ET,IND,31.93
C,Jalen Duren (38041921),Jalen Duren,38041921,C/UTIL,6600,WAS@DET 03/11/2025 07:00PM ET,DET,31.77
SG/SF,Bilal Coulibaly (38041925),Bilal Coulibaly,38041925,SG/SF/F/G/UTIL,6500,WAS@DET 03/11/2025 07:00PM ET,WAS,27.25
PG/SF,Cam Thomas (38041930),Cam Thomas,38041930,PG/SF/F/G/UTIL,6200,BKN@CLE 03/11/2025 07:00PM ET,BKN,34.61
SF/PF,Kyle Kuzma (38041935),Kyle Kuzma,38041935,SF/PF/F/UTIL,6200,MIL@IND 03/11/2025 07:30PM ET,MIL,27.72
PF,Cameron Johnson (38041939),Cameron Johnson,38041939,PF/F/UTIL,6100,BKN@CLE 03/11/2025 07:00PM ET,BKN,32.06
C,Jarrett Allen (38041942),Jarrett Allen,38041942,C/UTIL,6100,BKN@CLE 03/11/2025 07:00PM ET,CLE,33.22
SF/PF,Khris Middleton (38041944),Khris Middleton,38041944,SF/PF/F/UTIL,6000,WAS@DET 03/11/2025 07:00PM ET,WAS,26.15
C,Alexandre Sarr (38041948),Alexandre Sarr,38041948,C/UTIL,5900,WAS@DET 03/11/2025 07:00PM ET,WAS,28.29
PG/SG,Carlton Carrington (38041954),Carlton Carrington,38041954,PG/SG/G/UTIL,5800,WAS@DET 03/11/2025 07:00PM ET,WAS,22.2
PF,Kyshawn George (38041961),Kyshawn George,38041961,PF/F/UTIL,5800,WAS@DET 03/11/2025 07:00PM ET,WAS,20.84
PG/SG,Andrew Nembhard (38041950),Andrew Nembhard,38041950,PG/SG/G/UTIL,5800,MIL@IND 03/11/2025 07:30PM ET,IND,24.6
PF,Tobias Harris (38041958),Tobias Harris,38041958,PF/F/UTIL,5700,WAS@DET 03/11/2025 07:00PM ET,DET,28.41
C,Brook Lopez (38041968),Brook Lopez,38041968,C/UTIL,5600,MIL@IND 03/11/2025 07:30PM ET,MIL,26.87
PF/C,Kelly Olynyk (38041964),Kelly Olynyk,38041964,PF/C/F/UTIL,5600,LAC@NOP 03/11/2025 08:00PM ET,NOP,19.48
SF/PF,Ausar Thompson (38041970),Ausar Thompson,38041970,SF/PF/F/UTIL,5500,WAS@DET 03/11/2025 07:00PM ET,DET,23.3
C,Nic Claxton (38041974),Nic Claxton,38041974,C/UTIL,5400,BKN@CLE 03/11/2025 07:00PM ET,BKN,27.22
SF/PF,De'Andre Hunter (38041981),De'Andre Hunter,38041981,SF/PF/F/UTIL,5400,BKN@CLE 03/11/2025 07:00PM ET,CLE,27.41
SG/SF,Malik Beasley (38041976),Malik Beasley,38041976,SG/SF/F/G/UTIL,5400,WAS@DET 03/11/2025 07:00PM ET,DET,25.98
C,Richaun Holmes (38041987),Richaun Holmes,38041987,C/UTIL,5200,WAS@DET 03/11/2025 07:00PM ET,WAS,18.93
C,Ben Simmons (38041985),Ben Simmons,38041985,C/UTIL,5200,LAC@NOP 03/11/2025 08:00PM ET,LAC,24.4
PG,D'Angelo Russell (38041989),D'Angelo Russell,38041989,PG/G/UTIL,5100,BKN@CLE 03/11/2025 07:00PM ET,BKN,27.05
SG/SF,Aaron Nesmith (38041992),Aaron Nesmith,38041992,SG/SF/F/G/UTIL,5100,MIL@IND 03/11/2025 07:30PM ET,IND,19.62
C,Yves Missi (38042000),Yves Missi,38042000,C/UTIL,5000,LAC@NOP 03/11/2025 08:00PM ET,NOP,24.2
SG/SF,Bogdan Bogdanovic (38042002),Bogdan Bogdanovic,38042002,SG/SF/F/G/UTIL,5000,LAC@NOP 03/11/2025 08:00PM ET,LAC,19.95
PG/SG,Malcolm Brogdon (38042010),Malcolm Brogdon,38042010,PG/SG/G/UTIL,4900,WAS@DET 03/11/2025 07:00PM ET,WAS,24.74
SF,Bennedict Mathurin (38041997),Bennedict Mathurin,38041997,SF/F/UTIL,4900,MIL@IND 03/11/2025 07:30PM ET,IND,27.86
PG,T.J. McConnell (38042007),T.J. McConnell,38042007,PG/G/UTIL,4900,MIL@IND 03/11/2025 07:30PM ET,IND,21.22
C,Day'Ron Sharpe (38042014),Day'Ron Sharpe,38042014,C/UTIL,4800,BKN@CLE 03/11/2025 07:00PM ET,BKN,21.45
PG,Ty Jerome (38042020),Ty Jerome,38042020,PG/G/UTIL,4700,BKN@CLE 03/11/2025 07:00PM ET,CLE,22.72
PG/SG,Keon Johnson (38042026),Keon Johnson,38042026,PG/SG/G/UTIL,4700,BKN@CLE 03/11/2025 07:00PM ET,BKN,20.54
PF,Justin Champagnie (38042023),Justin Champagnie,38042023,PF/F/UTIL,4700,WAS@DET 03/11/2025 07:00PM ET,WAS,17.9
PG/SG,Kris Dunn (38042016),Kris Dunn,38042016,PG/SG/G/UTIL,4700,LAC@NOP 03/11/2025 08:00PM ET,LAC,19.45
PG,Jose Alvarado (38042030),Jose Alvarado,38042030,PG/G/UTIL,4600,LAC@NOP 03/11/2025 08:00PM ET,NOP,23.38
SF/PF,Noah Clowney (38042033),Noah Clowney,38042033,SF/PF/F/UTIL,4500,BKN@CLE 03/11/2025 07:00PM ET,BKN,18.17
PF/C,Trendon Watford (38042037),Trendon Watford,38042037,PF/C/F/UTIL,4500,BKN@CLE 03/11/2025 07:00PM ET,BKN,18.49
SG/SF,Ziaire Williams (38042045),Ziaire Williams,38042045,SG/SF/F/G/UTIL,4400,BKN@CLE 03/11/2025 07:00PM ET,BKN,21.01
PG/SG,Dennis Schroder (38042041),Dennis Schroder,38042041,PG/SG/G/UTIL,4400,WAS@DET 03/11/2025 07:00PM ET,DET,26.97
C,Tristan Vukcevic (38042050),Tristan Vukcevic,38042050,C/UTIL,4400,WAS@DET 03/11/2025 07:00PM ET,WAS,12.26
SF/PF,Corey Kispert (38042052),Corey Kispert,38042052,SF/PF/F/UTIL,4300,WAS@DET 03/11/2025 07:00PM ET,WAS,19.72
SF,Saddiq Bey (38042056),Saddiq Bey,38042056,SF/F/UTIL,4300,WAS@DET 03/11/2025 07:00PM ET,WAS,0.0
SG/SF,Tim Hardaway Jr. (38042059),Tim Hardaway Jr.,38042059,SG/SF/F/G/UTIL,4200,WAS@DET 03/11/2025 07:00PM ET,DET,17.88
SG/SF,Marcus Smart (38042071),Marcus Smart,38042071,SG/SF/F/G/UTIL,4200,WAS@DET 03/11/2025 07:00PM ET,WAS,19.34
SG,Taurean Prince (38042068),Taurean Prince,38042068,SG/G/UTIL,4200,MIL@IND 03/11/2025 07:30PM ET,MIL,17.89
PG/SG,Jordan Hawkins (38042064),Jordan Hawkins,38042064,PG/SG/G/UTIL,4200,LAC@NOP 03/11/2025 08:00PM ET,NOP,18.5
