,Player,Position,Team,Opp,Salary,Floor,Median,Ceiling,Top_finish,Top_5_finish,Top_10_finish,20+%,2x%,3x%,4x%,Own,Small_Field_Own,Large_Field_Own,Cash_Field_Own,CPT_Own,LevX
2,Patrick Mahomes,QB,KC,PHI,15000,5.8044,22.02,38.8344,0.198,0.886,1.002,0.662,0.047,0.0,0.0,59.32725578,75.0,61.33119885,75.0,9.887875964,0.1810952381
3,A.J. Brown,WR,PHI,KC,14400,3.925,15.7,32.785,0.113,0.524,0.839,0.318,0.065,0.0,0.0,80.30700449,75.0,75.0,75.0,13.38450075,-0.1043095238
4,Xavier Worthy,WR,KC,PHI,12000,3.6,14.4,29.63,0.045,0.447,0.868,0.234,0.081,0.0,0.0,80.30700449,75.0,75.0,75.0,13.38450075,-0.1136190476
5,Travis Kelce,TE,KC,PHI,13500,3.475,13.9,29.245,0.051,0.44,0.821,0.222,0.048,0.0,0.0,55.45934848,70.5044147,55.26469402,75.0,9.243224747,-0.2140952381
6,DeVonta Smith,WR,PHI,KC,11100,3.15,12.6,26.86,0.032,0.357,0.785,0.167,0.082,0.003,0.0,62.56300531,75.0,66.90741624,75.0,10.42716755,-0.05988095238
7,Dallas Goedert,TE,PHI,KC,8700,2.68,10.72,22.97,0.008,0.254,0.709,0.091,0.141,0.01,0.0,44.17785366,42.56944737,41.29721036,43.07834217,7.36297561,-0.07235714286
8,Kareem Hunt,RB,KC,PHI,9600,2.6575,10.63,19.6525,0.0,0.143,0.88,0.007,0.005,0.0,0.0,60.46960988,75.0,63.24769099,75.0,10.07826831,-0.3738809524
9,Hollywood Brown,WR,KC,PHI,8100,2.5875,10.35,21.3425,0.002,0.183,0.738,0.048,0.127,0.001,0.0,70.53411674,75.0,75.0,75.0,11.75568612,-0.2024285714
10,Isiah Pacheco,RB,KC,PHI,7800,1.66,6.64,12.59,0.0,0.011,0.494,0.0,0.0,0.0,0.0,31.98335168,29.8697653,29.8697653,29.8697653,5.330558614,-0.113547619
11,Philadelphia Eagles,DST,PHI,KC,6300,1.2175,4.87,8.5225,0.0,0.001,0.127,0.0,0.0,0.0,0.0,50.50506194,56.8696962,48.44733477,60.23864077,8.417510323,0.0
12,DeAndre Hopkins,WR,KC,PHI,6600,1.21,4.84,10.1,0.0,0.005,0.259,0.0,0.001,0.0,0.0,19.23286116,17.96187762,17.96187762,17.96187762,3.205476859,0.05807142857
13,Noah Gray,TE,KC,PHI,4200,1.165,4.66,9.785,0.0,0.003,0.246,0.0,0.04,0.0,0.0,15.37403709,14.35805991,14.35805991,14.35805991,2.562339516,-0.02761904762
14,Kansas City Chiefs,DST,KC,PHI,6000,1.0775,4.31,7.5425,0.0,0.001,0.064,0.0,0.0,0.0,0.0,56.57094405,73.85769636,56.94133485,75.0,9.428490675,0.0
16,JuJu Smith-Schuster,WR,KC,PHI,3000,0.97,3.88,8.0,0.0,0.001,0.094,0.0,0.067,0.0,0.0,35.58385895,33.23233681,33.23233681,33.23233681,5.930643159,-0.2625238095
17,Jahan Dotson,WR,PHI,KC,2400,0.5525,2.21,4.6975,0.0,0.001,0.008,0.0,0.008,0.0,0.0,5.947675448,5.55462953,5.55462953,5.55462953,0.9912792413,-0.04361904762
18,Kenneth Gainwell,RB,PHI,KC,5100,0.4975,1.99,3.8125,0.0,0.001,0.003,0.0,0.0,0.0,0.0,5.118262651,4.780027612,4.780027612,4.780027612,0.8530437752,-0.02330952381
