Position,Name + ID,PLAYER_NAME,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,BB_PROJECTION,Minutes,Projection,Ownership,minutes,pts,reb,ast,stl,blk,tov,dk,dk_rate,dk_usg_rate,usg_G,Defense,SD_Score
C,Nikola Jokic (37688512),Nikola Jokic,37688512,C/UTIL,12500,POR@DEN 02/12/2025 09:00PM ET,DEN,68.07,62.59,37.0,69.4,4.0,34.0,26.58,11.7,9.44,1.55,0.72,3.11,60.67,1.78,0.76,33.15,1.04,0.194
PF/C,Giannis Antetokounmpo (37688514),Giannis Antetokounmpo,37688514,PF/C/F/UTIL,11700,MIL@MIN 02/12/2025 08:00PM ET,MIL,60.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35,0.0,0.0
C,Victor Wembanyama (37688518),Victor Wembanyama,37688518,C/UTIL,11000,SAS@BOS 02/12/2025 07:00PM ET,SAS,54.53,54.28,32.0,50.9,0.0,35.0,24.31,12.03,4.05,1.27,3.5,2.73,56.54,1.62,0.7,32.84,1.6,0.16
PG,Shai Gilgeous-Alexander (37688520),Shai Gilgeous-alexander,37688520,PG/G/UTIL,10800,MIA@OKC 02/12/2025 08:00PM ET,OKC,53.25,55.28,34.0,52.1,0.4,35.0,34.19,4.89,5.85,1.88,0.95,2.63,54.5,1.56,0.97,40.1,0.66,0.192
PG,Luka Doncic (37688523),Luka Doncic,37688523,PG/G/UTIL,10700,LAL@UTA 02/12/2025 09:00PM ET,LAL,54.87,49.64,35.0,55.4,2.8,30.0,21.4,7.12,6.16,1.39,0.34,2.72,43.05,1.43,0.72,33.82,0.34,0.154
SF/PF,LeBron James (37688526),LeBron James,37688526,SF/PF/F/UTIL,10500,LAL@UTA 02/12/2025 09:00PM ET,LAL,51.03,50.68,36.0,52.0,2.5,34.0,25.25,7.65,9.17,1.09,0.49,3.82,50.85,1.5,0.72,35.55,-0.11,0.167
PF/C,Anthony Davis (37688530),Anthony Davis,37688530,PF/C/F/UTIL,10500,GSW@DAL 02/12/2025 09:30PM ET,DAL,53.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.23,0.0,0.0
PG,Cade Cunningham (37688534),Cade Cunningham,37688534,PG/G/UTIL,10400,DET@CHI 02/12/2025 08:00PM ET,DET,51.04,56.92,35.0,52.5,8.4,36.0,27.73,6.09,9.19,1.1,0.64,3.94,51.71,1.44,0.75,37.75,-0.62,0.165
C,Joel Embiid (37688537),Joel Embiid,37688537,C/UTIL,10000,PHI@BKN 02/12/2025 07:30PM ET,PHI,45.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.37,0.0,0.0
SF/PF,Jayson Tatum (37688539),Jayson Tatum,37688539,SF/PF/F/UTIL,9900,SAS@BOS 02/12/2025 07:00PM ET,BOS,50.55,53.91,37.0,52.5,8.4,37.0,28.17,8.41,6.07,1.17,0.58,2.81,51.79,1.4,0.77,34.37,0.22,0.154
PG,Tyrese Maxey (37688543),Tyrese Maxey,37688543,PG/G/UTIL,9800,PHI@BKN 02/12/2025 07:30PM ET,PHI,46.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.47,-0.0,0.0
PG,LaMelo Ball (37688546),LaMelo Ball,37688546,PG/G/UTIL,9700,CHA@ORL 02/12/2025 07:00PM ET,CHA,48.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.11,-0.0,0.0
PG,Trae Young (37688549),Trae Young,37688549,PG/G/UTIL,9600,ATL@NYK 02/12/2025 07:30PM ET,ATL,47.32,43.82,35.0,45.6,2.8,35.0,24.3,2.92,10.54,1.13,0.24,3.83,47.62,1.36,0.68,33.43,-1.27,0.147
C,Domantas Sabonis (37688556),Domantas Sabonis,37688556,C/UTIL,9500,SAC@NOP 02/12/2025 08:00PM ET,SAC,50.74,49.61,35.0,51.9,7.6,36.0,19.51,14.72,6.32,0.85,0.5,2.93,50.61,1.41,0.51,24.05,0.37,0.15
PG/SG,Anthony Edwards (37688552),Anthony Edwards,37688552,PG/SG/G/UTIL,9500,MIL@MIN 02/12/2025 08:00PM ET,MIN,45.52,51.98,37.0,44.8,25.1,38.0,31.96,6.19,5.45,1.36,0.71,3.7,52.22,1.37,0.85,39.16,0.11,0.156
PG,Damian Lillard (37688558),Damian Lillard,37688558,PG/G/UTIL,9500,MIL@MIN 02/12/2025 08:00PM ET,MIL,46.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,-0.0,0.0
C,Karl-Anthony Towns (37688561),Karl-anthony Towns,37688561,C/UTIL,9400,ATL@NYK 02/12/2025 07:30PM ET,NYK,50.73,55.38,36.0,56.5,16.0,37.0,25.8,13.28,3.49,1.03,0.85,2.54,52.57,1.42,0.69,29.63,0.18,0.158
PG,Kyrie Irving (37688563),Kyrie Irving,37688563,PG/G/UTIL,9300,GSW@DAL 02/12/2025 09:30PM ET,DAL,41.21,44.67,38.0,43.6,3.8,36.0,24.46,4.59,5.03,1.31,0.37,2.27,41.3,1.15,0.68,30.21,-0.44,0.13
PG/SG,Devin Booker (37688566),Devin Booker,37688566,PG/SG/G/UTIL,9200,PHX@HOU 02/12/2025 08:30PM ET,PHX,44.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84,-0.0,0.0
PG/SF,Scottie Barnes (37688570),Scottie Barnes,37688570,PG/SF/F/G/UTIL,9100,CLE@TOR 02/12/2025 07:30PM ET,TOR,44.48,44.98,35.0,45.1,2.3,35.0,23.08,7.9,6.22,1.37,1.29,2.6,47.1,1.35,0.64,31.8,0.64,0.15
PF/C,Kevin Durant (37688575),Kevin Durant,37688575,PF/C/F/UTIL,9000,PHX@HOU 02/12/2025 08:30PM ET,PHX,45.1,43.08,35.0,43.4,1.1,36.0,26.37,6.24,4.41,0.91,1.21,2.96,44.78,1.24,0.73,32.23,-0.22,0.144
PG,Stephen Curry (37688579),Stephen Curry,37688579,PG/G/UTIL,8900,GSW@DAL 02/12/2025 09:30PM ET,GSW,42.07,43.36,33.0,44.5,4.4,34.0,26.67,4.4,6.02,0.98,0.44,2.88,44.95,1.32,0.81,34.75,-0.26,0.141
PF,Miles Bridges (37688582),Miles Bridges,37688582,PF/F/UTIL,8800,CHA@ORL 02/12/2025 07:00PM ET,CHA,37.73,38.04,35.0,39.3,0.6,32.0,21.41,7.24,3.84,0.78,0.57,2.2,38.95,1.22,0.67,31.19,-0.62,0.136
SF,Franz Wagner (37688585),Franz Wagner,37688585,SF/F/UTIL,8700,CHA@ORL 02/12/2025 07:00PM ET,ORL,43.71,43.21,33.0,44.1,0.9,36.0,28.59,6.23,5.2,1.32,0.46,2.37,47.78,1.33,0.8,36.33,0.05,0.157
C,Mark Williams (37688588),Mark Williams,37688588,C/UTIL,8600,CHA@ORL 02/12/2025 07:00PM ET,CHA,34.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,-0.0,0.0
PG/SG,Austin Reaves (37688592),Austin Reaves,37688592,PG/SG/G/UTIL,8500,LAL@UTA 02/12/2025 09:00PM ET,LAL,36.95,32.22,35.0,36.0,0.2,32.0,18.95,4.16,5.67,0.95,0.25,2.3,35.06,1.1,0.59,26.44,-0.89,0.123
C,Alperen Sengun (37688590),Alperen Sengun,37688590,C/UTIL,8500,PHX@HOU 02/12/2025 08:30PM ET,HOU,43.33,48.25,32.0,45.7,5.7,32.0,22.19,10.99,4.96,1.24,0.71,2.54,47.7,1.49,0.66,32.08,0.19,0.169
PF,Zion Williamson (37688596),Zion Williamson,37688596,PF/F/UTIL,8500,SAC@NOP 02/12/2025 08:00PM ET,NOP,43.68,42.86,29.0,44.9,6.3,28.0,23.04,6.3,4.79,1.09,0.73,3.11,40.24,1.44,0.77,38.18,0.06,0.18
PF/C,Evan Mobley (37688602),Evan Mobley,37688602,PF/C/F/UTIL,8400,CLE@TOR 02/12/2025 07:30PM ET,CLE,39.52,42.01,32.0,40.9,0.6,32.0,19.02,9.6,3.39,0.92,1.6,1.92,40.76,1.27,0.58,26.33,0.88,0.141
