Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Nikola Jokic,C,DEN,35.90,12700,65.28,16.73,22.91,64.07
Giannis Antetokounmpo,PF/C,MIL,0.00,11700,0.00,0.11,0.00,0.00
Victor Wembanyama,C,SAS,35.10,11000,57.32,19.33,18.61,59.00
Shai Gilgeous-Alexander,PG,OKC,35.30,10800,56.33,16.23,20.49,55.30
Anthony Davis,PF/C,DAL,0.00,10500,0.00,0.10,0.00,0.00
Jayson Tatum,SF/PF,BOS,36.30,10000,48.94,6.50,14.76,49.01
LaMelo Ball,PG,CHA,33.00,9900,46.45,5.81,16.00,46.59
Trae Young,PG,ATL,34.60,9800,45.87,3.51,14.56,43.86
Anthony Edwards,PG/SG,MIN,36.80,9700,46.38,6.63,13.55,48.75
Domantas Sabonis,C,SAC,35.30,9600,50.27,11.03,15.80,49.49
Damian Lillard,PG,MIL,36.50,9200,47.39,22.46,13.43,49.37
Kyrie Irving,PG,DAL,36.00,9000,42.85,3.37,11.81,44.58
Miles Bridges,PF,CHA,32.40,8800,40.39,1.80,13.70,39.32
Stephen Curry,PG,GSW,33.80,8700,48.33,21.03,15.59,47.39
Mark Williams,C,CHA,0.00,8600,0.00,0.08,0.00,0.00
Zion Williamson,PF,NOP,27.60,8600,42.30,6.38,19.77,42.72
Donovan Mitchell,PG/SG,CLE,34.50,8500,40.17,3.03,12.81,40.54
Franz Wagner,SF,ORL,34.60,8500,44.92,10.63,14.93,44.53
Evan Mobley,PF/C,CLE,34.60,8400,38.89,1.87,11.97,38.68
De'Aaron Fox,PG/SG,SAS,35.20,8300,42.73,7.18,12.41,42.73
Paolo Banchero,PF,ORL,34.60,8300,42.76,16.66,13.73,44.79
Tyler Herro,PG,MIA,0.00,8200,0.00,0.08,0.00,0.00
Trey Murphy III,SG/SF,NOP,32.60,8200,37.54,2.48,11.86,37.63
Jamal Murray,PG/SG,DEN,36.10,8100,39.83,3.10,10.65,39.30
Bam Adebayo,PF/C,MIA,35.10,8000,42.18,7.53,12.54,41.57
Jaylen Brown,SG/SF,BOS,0.00,8000,0.00,0.08,0.00,0.00
Jalen Williams,SF/PF,OKC,34.80,7900,43.20,9.04,13.28,41.52
CJ McCollum,PG/SG,NOP,0.00,7900,0.00,0.08,0.00,0.00
Kristaps Porzingis,C,BOS,32.60,7800,40.55,3.83,13.87,39.02
Jimmy Butler,SF/PF,GSW,32.50,7800,38.35,3.89,12.73,38.02
Darius Garland,PG,CLE,34.40,7700,36.60,2.37,11.23,37.76
Malik Monk,PG/SG,SAC,36.00,7700,40.16,7.28,10.83,39.96
Chet Holmgren,PF/C,OKC,24.70,7600,29.23,1.17,12.67,31.00
Zach LaVine,SG/SF,SAC,36.30,7500,37.51,5.69,9.82,38.74
Daniel Gafford,C,DAL,34.50,7400,43.66,24.18,13.20,42.66
Jalen Suggs,PG/SG,ORL,0.00,7300,0.00,0.07,0.00,0.00
Dyson Daniels,SG,ATL,34.90,7200,33.48,1.15,8.73,33.49
Jordan Poole,PG,WAS,31.20,7100,40.48,19.95,13.79,40.37
PJ Washington,SF/PF,DAL,0.00,7000,0.00,0.07,0.00,0.00
Naz Reid,PF/C,MIN,33.90,6900,34.68,4.57,9.90,35.27
Julius Randle,PF/C,MIN,0.00,6800,0.00,0.07,0.00,0.00
Isaiah Hartenstein,C,OKC,27.20,6800,34.28,3.79,13.95,33.88
