Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4655424087,AdioAdj (1/2),276.91998,82.25,C Jakob Poeltl F Aaron Nesmith G Andrew Nembhard PF Jabari Smith Jr. PG Scottie Barnes SF Amen Thompson SG RJ Barrett UTIL Ja'Kobe Walter,,Giannis Antetokounmpo,PF,44.88%,2
2,4655597017,MizzouLew (4/20),276.91998,79,C Alperen Sengun F Dillon Brooks G Kentavious Caldwell-Pope PF Paolo Banchero PG Tyrese Haliburton SF Ja'Kobe Walter SG Aaron Nesmith UTIL RJ Barrett,,OG Anunoby,SF,22.30%,6.75
2,4655597061,MizzouLew (5/20),276.91998,79,C Alperen Sengun F Dillon Brooks G Kentavious Caldwell-Pope PF Paolo Banchero PG Tyrese Haliburton SF Ja'Kobe Walter SG Aaron Nesmith UTIL RJ Barrett,,Onyeka Okongwu,C,22.24%,0
2,4655600749,MizzouLew (11/20),276.91998,79,C Alperen Sengun F Dillon Brooks G Kentavious Caldwell-Pope PF Paolo Banchero PG Tyrese Haliburton SF Ja'Kobe Walter SG Aaron Nesmith UTIL RJ Barrett,,Josh Hart,PF,21.95%,3.5
2,4655600908,MizzouLew (20/20),276.91998,79,C Alperen Sengun F Dillon Brooks G Kentavious Caldwell-Pope PF Paolo Banchero PG Tyrese Haliburton SF Ja'Kobe Walter SG Aaron Nesmith UTIL RJ Barrett,,Franz Wagner,SF,21.05%,8
6,4655522240,mikejordyn34,276.91998,75.25,C Wendell Carter Jr. F Jabari Smith Jr. G Immanuel Quickley PF Dillon Brooks PG Amen Thompson SF Ja'Kobe Walter SG Jalen Green UTIL Scottie Barnes,,Jalen Brunson,UTIL,20.76%,1.5
7,4655224320,CopyWAllWrite (2/2),276.91998,72,C Myles Turner F Aaron Nesmith G Ja'Kobe Walter PF Paolo Banchero PG Tyrese Haliburton SF Amen Thompson SG RJ Barrett UTIL Cory Joseph,,Paolo Banchero,PF,19.79%,15.5
8,4655147048,Darone2_22 (2/2),306.46,71.75,C Wendell Carter Jr. F LOCKED G Tyrese Haliburton PF Paolo Banchero PG Andrew Nembhard SF Scottie Barnes SG RJ Barrett UTIL LOCKED,,Andrew Nembhard,PG,16.35%,13
8,4655595045,graham4713,303.74002,71.75,C Jakob Poeltl F Paolo Banchero G RJ Barrett PF Georges Niang PG Dyson Daniels SF Franz Wagner SG Andrew Nembhard UTIL Obi Toppin,,Caris LeVert,G,15.63%,0
8,4655599133,stuckystaxx805 (10/20),291.69,71.75,C Wendell Carter Jr. F LOCKED G Immanuel Quickley PF Dillon Brooks PG Andrew Nembhard SF RJ Barrett SG Jalen Green UTIL Paolo Banchero,,Precious Achiuwa,F,13.75%,0
11,4655081128,kabiman (3/20),309,70,C Onyeka Okongwu F Tari Eason G Caris LeVert PF Paolo Banchero PG Andrew Nembhard SF RJ Barrett SG Jalen Green UTIL Brandin Podziemski,,Damian Lillard,PG,11.51%,1.25
12,4655497340,Jordano79 (1/2),293.72998,69.75,C Jakob Poeltl F Dillon Brooks G Buddy Hield PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL Ja'Kobe Walter,,Tyrese Haliburton,G,8.06%,13
13,4655585902,AdioAdj (2/2),300,69.25,C Wendell Carter Jr. F Ja'Kobe Walter G Kentavious Caldwell-Pope PF Paolo Banchero PG Scottie Barnes SF Franz Wagner SG RJ Barrett UTIL LOCKED,,Aaron Nesmith,F,7.93%,3.25
14,4655235097,ruskidoo (4/8),308.02997,68.5,C Alperen Sengun F LOCKED G Brandin Podziemski PF Paolo Banchero PG Tyrese Haliburton SF Terance Mann SG Andrew Nembhard UTIL Dillon Brooks,,Pascal Siakam,PF,7.13%,7.5
14,4655224310,CopyWAllWrite (1/2),294.46,68.5,C Wendell Carter Jr. F Aaron Nesmith G Tyrese Haliburton PF Paolo Banchero PG LOCKED SF Ja'Kobe Walter SG RJ Barrett UTIL Jakob Poeltl,,Mikal Bridges,SG,5.88%,3.5
16,4655532349,RAYCHA12655 (9/10),297.91998,68.25,C Mouhamed Gueye F Scottie Barnes G Amen Thompson PF Paolo Banchero PG Andrew Nembhard SF Franz Wagner SG Aaron Nesmith UTIL Mitchell Robinson,,Dyson Daniels,UTIL,5.82%,8
17,4655132865,tyjon98 (20/20),298.15,67.25,C Alperen Sengun F Jabari Smith Jr. G LOCKED PF Dillon Brooks PG Tyrese Haliburton SF Amen Thompson SG Ja'Kobe Walter UTIL LOCKED,,Georges Niang,UTIL,5.81%,0
17,4655386394,tyetwo42 (1/2),288.91998,67.25,C Jakob Poeltl F Aaron Nesmith G Anthony Black PF Paolo Banchero PG Tyrese Haliburton SF Amen Thompson SG Andrew Nembhard UTIL LOCKED,,Jalen Green,SG,5.58%,10
19,4655192977,rayray30 (12/16),287.72,67,C Wendell Carter Jr. F Paolo Banchero G Cam Whitmore PF Pascal Siakam PG Scottie Barnes SF RJ Barrett SG Reed Sheppard UTIL Brandin Podziemski,,Brandin Podziemski,SG,4.84%,9
20,4655464718,nsbwahoo (2/4),294.18,66.75,C Alperen Sengun F OG Anunoby G Aaron Nesmith PF Jabari Smith Jr. PG Andrew Nembhard SF Amen Thompson SG Kentavious Caldwell-Pope UTIL LOCKED,,Myles Turner,C,4.65%,0
21,4655349525,galberv82 (2/2),276.91998,66.25,C Wendell Carter Jr. F Pascal Siakam G RJ Barrett PF Jabari Smith Jr. PG Immanuel Quickley SF Aaron Nesmith SG Jalen Green UTIL Jakob Poeltl,,Zaccharie Risacher,PF,4.58%,0
22,4655553774,mjacksonready (2/2),291.69,66,C Jakob Poeltl F Dillon Brooks G RJ Barrett PF Jabari Smith Jr. PG Immanuel Quickley SF LOCKED SG Ja'Kobe Walter UTIL Alperen Sengun,,Gary Trent Jr.,UTIL,4.39%,0
22,4655598479,monkeyoo,276.63998,66,C Alperen Sengun F Dillon Brooks G Aaron Nesmith PF Tari Eason PG Andrew Nembhard SF Amen Thompson SG Brandin Podziemski UTIL Myles Turner,,Alperen Sengun,C,4.19%,11
22,4655589840,freshout123 (2/2),268.61,66,C Myles Turner F Dillon Brooks G Tyrese Haliburton PF Jabari Smith Jr. PG Andrew Nembhard SF Scottie Barnes SG Aaron Nesmith UTIL Pascal Siakam,,Trae Young,PG,4.17%,0
25,4655582120,ledmonds1011 (10/11),300.92,65.75,C Wendell Carter Jr. F Aaron Nesmith G LOCKED PF Paolo Banchero PG Tyrese Haliburton SF Amen Thompson SG Andrew Nembhard UTIL LOCKED,,RJ Barrett,SG,4.13%,13.75
25,4655486267,phillybooyea (2/8),280.61,65.75,C Alperen Sengun F Pascal Siakam G Jalen Green PF Dillon Brooks PG Amen Thompson SF Aaron Nesmith SG Andrew Nembhard UTIL LOCKED,,Ja'Kobe Walter,SG,3.47%,9.5
27,4655471442,7Figs (1/2),294.46,65.5,C Jakob Poeltl F Aaron Nesmith G Andrew Nembhard PF Paolo Banchero PG Immanuel Quickley SF Franz Wagner SG RJ Barrett UTIL LOCKED,,Amen Thompson,PG,3.08%,14
27,4655199149,mks99 (2/2),288.91998,65.5,C Wendell Carter Jr. F Aaron Nesmith G Andrew Nembhard PF LOCKED PG Immanuel Quickley SF RJ Barrett SG Jalen Green UTIL Tyrese Haliburton,,Wendell Carter Jr.,C,3.06%,7
29,4655593433,timothylco (2/2),300.91998,65.25,C Alperen Sengun F Dillon Brooks G RJ Barrett PF LOCKED PG Amen Thompson SF LOCKED SG Andrew Nembhard UTIL Jakob Poeltl,,Draymond Green,C,2.77%,1.5
30,4655439971,Mase1990 (5/9),291.69,65,C Jakob Poeltl F Pascal Siakam G Andrew Nembhard PF Paolo Banchero PG Immanuel Quickley SF Aaron Nesmith SG RJ Barrett UTIL LOCKED,,Miles McBride,PG,2.53%,0
30,4655484853,Matt0721,291.69,65,C LOCKED F Amen Thompson G T.J. McConnell PF Paolo Banchero PG Scottie Barnes SF Ja'Kobe Walter SG Kentavious Caldwell-Pope UTIL Pascal Siakam,,Dillon Brooks,PF,2.39%,7
30,4655599757,kcelite13 (1/6),285.41998,65,C Alperen Sengun F Scottie Barnes G Ja'Kobe Walter PF Dillon Brooks PG Tyrese Haliburton SF Franz Wagner SG Miles McBride UTIL Obi Toppin,,Scottie Barnes,SF,2.23%,9.5
33,4655317429,baugh5 (3/5),300.91998,64.75,C LOCKED F Pascal Siakam G LOCKED PF Dillon Brooks PG Amen Thompson SF Scottie Barnes SG Andrew Nembhard UTIL RJ Barrett,,Stephen Curry,PG,2.19%,3
33,4655490688,phillybooyea (8/8),300,64.75,C LOCKED F RJ Barrett G Scottie Barnes PF Paolo Banchero PG Immanuel Quickley SF Franz Wagner SG Ja'Kobe Walter UTIL Cory Joseph,,Brook Lopez,C,2.13%,0
33,4655557664,Madbush12 (3/4),300,64.75,C LOCKED F Franz Wagner G Immanuel Quickley PF Paolo Banchero PG Scottie Barnes SF RJ Barrett SG Ja'Kobe Walter UTIL Cory Joseph,,Immanuel Quickley,PG,2.10%,5.5
