Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
reggie jackson,PG/G/UTIL,PHI,31.28%,0.01%,1.53%,26.28%,43.58%,$0.57
domantas sabonis,C/UTIL,SAC,28.42%,0.01%,1.49%,8.0%,8.63%,$0.46
clint capela,C/UTIL,ATL,27.22%,0.01%,1.41%,6.89%,11.86%,$0.38
kelly oubre jr.,SG/G/UTIL,PHI,30.5%,0.01%,1.36%,34.99%,53.78%,$0.24
t.j. mcconnell,PG/G/UTIL,IND,25.78%,0.01%,1.25%,6.65%,9.05%,$0.1
jarrett allen,C/UTIL,CLE,26.08%,0.01%,1.25%,5.01%,7.33%,$0.1
isaiah hartenstein,C/UTIL,OKC,26.18%,0.01%,1.23%,5.38%,7.72%,$0.07
shai gilgeous-alexander,PG/G/UTIL,OKC,26.56%,0.01%,1.31%,13.39%,13.16%,$0.04
ricky council iv,PF/SF/F/UTIL,PHI,28.99%,0.01%,1.25%,50.7%,42.52%,$0.03
guerschon yabusele,C/PF/F/UTIL,PHI,28.74%,0.01%,1.25%,25.03%,18.45%,$0.01
onyeka okongwu,C/UTIL,ATL,25.98%,0.01%,1.21%,7.02%,13.12%,$-0.02
pascal siakam,PF/F/UTIL,IND,27.87%,0.01%,1.18%,26.47%,28.14%,$-0.12
jeff dowtin,PG/G/UTIL,PHI,25.94%,0.01%,1.13%,6.5%,9.86%,$-0.16
trae young,PG/G/UTIL,ATL,26.74%,0.01%,1.16%,15.86%,18.1%,$-0.2
jalen williams,PF/F/UTIL,OKC,24.97%,0.01%,1.12%,8.14%,7.43%,$-0.22
dejounte murray,PG/G/UTIL,NOP,25.05%,0.01%,1.09%,5.73%,7.36%,$-0.26
devin booker,PG/SG/G/UTIL,PHX,26.19%,0.01%,1.1%,14.88%,13.18%,$-0.3
damian lillard,PG/G/UTIL,MIL,25.11%,0.01%,1.05%,6.02%,7.6%,$-0.31
russell westbrook,PG/G/UTIL,DEN,25.33%,0.01%,1.05%,5.96%,8.02%,$-0.33
bogdan bogdanovic,SF/SG/G/F/UTIL,ATL,26.16%,0.01%,1.05%,28.57%,19.34%,$-0.38
deandre ayton,C/UTIL,POR,24.19%,0.01%,1.02%,3.99%,6.0%,$-0.39
nikola jokic,C/UTIL,DEN,26.46%,0.01%,1.06%,21.91%,31.05%,$-0.4
dereck lively ii,C/UTIL,DAL,23.96%,0.01%,1.0%,2.92%,4.28%,$-0.41
justin edwards,SF/F/UTIL,PHI,24.98%,0.01%,1.03%,8.96%,8.48%,$-0.41
kevin durant,C/PF/F/UTIL,PHX,26.05%,0.01%,1.03%,24.2%,15.9%,$-0.44
de'aaron fox,PG/G/UTIL,SAC,25.33%,0.01%,1.02%,13.15%,17.01%,$-0.45
andrew nembhard,PG/SG/G/UTIL,IND,26.23%,0.01%,1.01%,18.44%,17.72%,$-0.46
josh giddey,PG/G/UTIL,CHI,24.36%,0.01%,0.97%,6.62%,8.0%,$-0.51
kevin huerter,SF/SG/G/F/UTIL,SAC,24.59%,0.01%,0.97%,13.83%,8.94%,$-0.56
giannis antetokounmpo,C/PF/F/UTIL,MIL,26.29%,0.01%,0.94%,47.79%,36.27%,$-0.57
vit krejci,PG/SG/G/UTIL,ATL,25.29%,0.01%,0.96%,22.57%,24.21%,$-0.59
demar derozan,SF/F/UTIL,SAC,24.29%,0.01%,0.94%,7.99%,7.38%,$-0.59
d'angelo russell,PG/SG/G/UTIL,BKN,24.79%,0.01%,0.94%,13.4%,12.65%,$-0.6
zaccharie risacher,PF/SF/F/UTIL,ATL,24.55%,0.01%,0.94%,20.74%,14.6%,$-0.62
myles turner,C/UTIL,IND,23.26%,0.01%,0.9%,2.62%,3.7%,$-0.62
deni avdija,PF/SF/F/UTIL,POR,23.12%,0.01%,0.91%,6.35%,3.98%,$-0.65
evan mobley,C/PF/F/UTIL,CLE,22.43%,0.01%,0.91%,7.74%,4.81%,$-0.66
thomas bryant,C/UTIL,IND,23.0%,0.01%,0.9%,1.4%,2.96%,$-0.66
anfernee simons,PG/G/UTIL,POR,23.23%,0.01%,0.87%,2.69%,3.34%,$-0.68
scoot henderson,PG/G/UTIL,POR,23.41%,0.01%,0.89%,7.12%,10.41%,$-0.69
oso ighodaro,C/PF/F/UTIL,PHX,23.53%,0.01%,0.88%,1.81%,1.3%,$-0.69
darius garland,PG/G/UTIL,CLE,21.9%,0.01%,0.85%,2.35%,3.02%,$-0.69
keon ellis,SG/G/UTIL,SAC,24.51%,0.0%,0.88%,12.21%,18.08%,$-0.72
nikola vucevic,C/UTIL,CHI,22.15%,0.01%,0.86%,4.11%,5.35%,$-0.74
bennedict mathurin,SF/SG/G/F/UTIL,IND,24.2%,0.0%,0.87%,14.69%,8.85%,$-0.75
cj mccollum,PG/SG/G/UTIL,NOP,23.21%,0.01%,0.84%,5.73%,5.03%,$-0.78
patrick williams,PF/F/UTIL,CHI,23.65%,0.0%,0.86%,8.76%,9.25%,$-0.79
adem bona,C/UTIL,PHI,23.17%,0.01%,0.84%,1.33%,2.61%,$-0.79
keegan murray,PF/F/UTIL,SAC,23.98%,0.0%,0.83%,10.58%,10.19%,$-0.83
jalen smith,C/UTIL,CHI,21.65%,0.01%,0.8%,1.42%,3.12%,$-0.84
eric gordon,SG/G/UTIL,PHI,23.54%,0.0%,0.82%,9.34%,14.62%,$-0.85
shaedon sharpe,PG/SG/G/UTIL,POR,23.07%,0.0%,0.8%,7.53%,6.97%,$-0.85
coby white,PG/SG/G/UTIL,CHI,23.18%,0.0%,0.79%,8.65%,7.78%,$-0.89
bobby portis,C/PF/F/UTIL,MIL,20.88%,0.01%,0.79%,6.69%,4.82%,$-0.91
trey murphy iii,PF/SF/F/UTIL,NOP,22.8%,0.0%,0.78%,6.72%,4.28%,$-0.91
