Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Jayson Tatum,SF/PF,BOS,37.00,10200,48.73,35.07,14.59,53.31
Trae Young,PG,ATL,37.00,10100,41.32,6.62,11.76,44.89
Joel Embiid,C,PHI,0.00,9800,0.00,0.09,0.00,0.00
Tyrese Maxey,PG,PHI,40.00,9500,55.85,26.97,13.34,50.30
Anthony Edwards,SG,MIN,38.00,9300,49.79,18.07,13.18,47.76
Alperen Sengun,C,HOU,35.00,9100,50.98,22.47,16.94,47.49
Jalen Johnson,PF,ATL,34.00,9000,36.29,2.67,11.01,39.52
Stephen Curry,PG,GSW,34.00,8800,48.76,29.06,15.28,47.66
Evan Mobley,PF/C,CLE,0.00,8500,0.00,0.08,0.00,0.00
Amen Thompson,SG/SF,HOU,0.00,8400,0.00,0.08,0.00,0.00
Tyrese Haliburton,PG,IND,35.00,8300,43.35,8.43,12.33,41.79
Paul George,SG/SF,PHI,0.00,8200,0.00,0.07,0.00,0.00
Donovan Mitchell,PG/SG,CLE,32.00,8100,43.12,8.71,14.99,40.73
Jaylen Brown,SG/SF,BOS,37.00,7900,40.18,23.64,11.17,43.11
Fred VanVleet,PG,HOU,37.00,7800,36.41,2.97,8.26,34.95
Jalen Green,SG,HOU,35.00,7700,37.41,4.68,10.61,36.13
Jordan Poole,PG/SG,WAS,30.00,7600,34.05,4.09,12.09,34.68
Pascal Siakam,PF,IND,34.00,7500,40.57,9.48,12.59,38.58
Dyson Daniels,PG/SG,ATL,35.00,7400,28.51,0.94,7.11,29.57
Darius Garland,PG,CLE,32.00,7300,40.33,10.19,13.72,39.05
Julius Randle,PF/C,MIN,32.00,7200,37.52,7.62,12.92,36.57
Kristaps Porzingis,C,BOS,0.00,7100,0.00,0.06,0.00,0.00
Deni Avdija,SF/PF,POR,0.00,7000,0.00,0.06,0.00,0.00
Anfernee Simons,PG,POR,33.00,6700,34.86,4.89,10.50,33.58
Jarrett Allen,C,CLE,32.00,6600,40.54,13.26,13.80,36.80
Jonathan Kuminga,PF,GSW,0.00,6500,0.00,0.06,0.00,0.00
De'Andre Hunter,SF/PF,ATL,27.00,6400,23.05,0.68,8.87,25.76
Malcolm Brogdon,PG/SG,WAS,0.00,6400,0.00,0.06,0.00,0.00
Derrick White,PG/SG,BOS,36.00,6300,32.16,14.49,7.79,34.25
Kyle Kuzma,PF,WAS,29.00,6300,29.60,2.90,10.61,28.84
Shaedon Sharpe,PG/SG,POR,33.00,6300,33.08,6.14,10.01,31.13
Deandre Ayton,C,POR,27.00,6100,30.83,3.40,12.50,29.28
Myles Turner,C,IND,32.00,6000,34.79,13.63,10.86,33.53
Scoot Henderson,PG,POR,26.00,6000,25.72,0.42,10.15,24.81
Bennedict Mathurin,SF,IND,28.00,5900,25.37,2.06,9.13,25.07
Andrew Wiggins,SF/PF,GSW,34.00,5800,36.18,32.30,10.20,35.14
Kelly Oubre Jr.,SG,PHI,40.00,5800,37.11,18.11,6.77,33.32
Draymond Green,PF/C,GSW,30.00,5700,33.99,13.90,11.17,31.99
Alexandre Sarr,PF/C,WAS,26.00,5600,27.28,4.91,10.74,27.84
Trayce Jackson-Davis,C,GSW,26.00,5500,30.41,10.24,12.47,30.56
