Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4617916506,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Ty Jerome (37380541) (LOCKED),Dennis Schroder (37380374),Moses Moody (37380529),Julius Randle (37380296) (LOCKED),Alperen Sengun (37380240) (LOCKED),Jalen Brunson (37380252) (LOCKED),Jaren Jackson Jr. (37380258) (LOCKED),Kevon Looney (37380507),,1. Column A lists all of your contest entries for this draftgroup
4617916507,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Jalen Brunson (37380252) (LOCKED),Dennis Schroder (37380374),Jaylen Brown (37380278),Jaren Jackson Jr. (37380258) (LOCKED),Jalen Duren (37380352) (LOCKED),Ty Jerome (37380541) (LOCKED),Max Strus (37380494) (LOCKED),Jarrett Allen (37380313) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4617916508,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Ty Jerome (37380541) (LOCKED),Dennis Schroder (37380374),Max Strus (37380494) (LOCKED),Julius Randle (37380296) (LOCKED),Alperen Sengun (37380240) (LOCKED),Jalen Brunson (37380252) (LOCKED),Naz Reid (37380378) (LOCKED),Jarrett Allen (37380313) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4617916509,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Ja Morant (37380266) (LOCKED),Dennis Schroder (37380374),Nickeil Alexander-Walker (37380534) (LOCKED),Naz Reid (37380378) (LOCKED),Karl-Anthony Towns (37380235) (LOCKED),Ty Jerome (37380541) (LOCKED),Jaylen Brown (37380278),Jarrett Allen (37380313) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4617916510,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Trae Young (37380232) (LOCKED),Dennis Schroder (37380374),Jaylen Brown (37380278),Naz Reid (37380378) (LOCKED),Jalen Duren (37380352) (LOCKED),Jalen Brunson (37380252) (LOCKED),Max Strus (37380494) (LOCKED),Kevon Looney (37380507),,5. For faster processing only include entries you are changing in the file you upload
4617916511,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Ty Jerome (37380541) (LOCKED),Dennis Schroder (37380374),Jaylen Brown (37380278),Naz Reid (37380378) (LOCKED),Alperen Sengun (37380240) (LOCKED),Jalen Brunson (37380252) (LOCKED),Georges Niang (37380521) (LOCKED),Jarrett Allen (37380313) (LOCKED),,
4617916512,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Ja Morant (37380266) (LOCKED),Dennis Schroder (37380374),Max Strus (37380494) (LOCKED),Julius Randle (37380296) (LOCKED),Alperen Sengun (37380240) (LOCKED),Jalen Brunson (37380252) (LOCKED),Georges Niang (37380521) (LOCKED),Ty Jerome (37380541) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
4617916513,NBA $30K Four Point Play [20 Entry Max],173355328,$4,Ja Morant (37380266) (LOCKED),Donovan Mitchell (37380269) (LOCKED),Max Strus (37380494) (LOCKED),Naz Reid (37380378) (LOCKED),Alperen Sengun (37380240) (LOCKED),Dennis Schroder (37380374),Moses Moody (37380529),Jarrett Allen (37380313) (LOCKED),,PG,Cade Cunningham (37380225) (LOCKED),Cade Cunningham,37380225,PG/G/UTIL,10300,Final,DET,50.21
,,,,,,,,,,,,,SF/PF,Jayson Tatum (37380228),Jayson Tatum,37380228,SF/PF/F/UTIL,10000,BOS@GSW 01/20/2025 05:00PM ET,BOS,52.20
,,,,,,,,,,,,,PG,Trae Young (37380232) (LOCKED),Trae Young,37380232,PG/G/UTIL,9800,In Progress,ATL,48.72
,,,,,,,,,,,,,C,Karl-Anthony Towns (37380235) (LOCKED),Karl-Anthony Towns,37380235,C/UTIL,9700,In Progress,NYK,52.46
,,,,,,,,,,,,,PF,Kevin Durant (37380237) (LOCKED),Kevin Durant,37380237,PF/F/UTIL,9500,In Progress,PHX,45.68
,,,,,,,,,,,,,C,Alperen Sengun (37380240) (LOCKED),Alperen Sengun,37380240,C/UTIL,9300,Final,HOU,44.74
,,,,,,,,,,,,,PG/SG,Devin Booker (37380242) (LOCKED),Devin Booker,37380242,PG/SG/G/UTIL,9200,In Progress,PHX,44.20
,,,,,,,,,,,,,SG,Anthony Edwards (37380246) (LOCKED),Anthony Edwards,37380246,SG/G/UTIL,9100,In Progress,MIN,43.89
,,,,,,,,,,,,,PG,Stephen Curry (37380249),Stephen Curry,37380249,PG/G/UTIL,9000,BOS@GSW 01/20/2025 05:00PM ET,GSW,42.78
,,,,,,,,,,,,,PG,Jalen Brunson (37380252) (LOCKED),Jalen Brunson,37380252,PG/G/UTIL,8900,In Progress,NYK,42.98
,,,,,,,,,,,,,PF,Jalen Johnson (37380255) (LOCKED),Jalen Johnson,37380255,PF/F/UTIL,8800,In Progress,ATL,45.45
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (37380258) (LOCKED),Jaren Jackson Jr.,37380258,PF/C/F/UTIL,8600,In Progress,MEM,39.71
,,,,,,,,,,,,,PF/C,Evan Mobley (37380262) (LOCKED),Evan Mobley,37380262,PF/C/F/UTIL,8500,In Progress,CLE,38.89
,,,,,,,,,,,,,PG,Ja Morant (37380266) (LOCKED),Ja Morant,37380266,PG/G/UTIL,8400,In Progress,MEM,40.66
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (37380269) (LOCKED),Donovan Mitchell,37380269,PG/SG/G/UTIL,8300,In Progress,CLE,39.66
,,,,,,,,,,,,,SG/SF,Amen Thompson (37380273) (LOCKED),Amen Thompson,37380273,SG/SF/F/G/UTIL,8200,Final,HOU,30.65
