PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
T.J. McConnell (37314747),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Isaiah Hartenstein (37314589),Reggie Jackson (37315014),Kevin Durant (37314500),Trae Young (37314486),317.7406901041667,352.21946508230036,49900,100.00%,0,84.44%,0,218.79000000000002,$2.53,PHI 3,IND 2,user2,1,marvalshot,14360,4610083425_2
Shai Gilgeous-Alexander (37314483),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Onyeka Okongwu (37314757),Vit Krejci (37314903),Giannis Antetokounmpo (37314476),Reggie Jackson (37315014),308.48157118055565,347.2481377475327,50000,99.99%,0,64.33%,0,234.07,$1.93,PHI 3,OKC 2,user9,1,marvalshot,14373,4610083426_9
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Guerschon Yabusele (37314668),Jarrett Allen (37314610),T.J. McConnell (37314747),Giannis Antetokounmpo (37314476),De'Aaron Fox (37314538),301.82256944444447,337.8764052601272,50000,78.71%,0,-61.16%,0,204.81,$-1.83,PHI 3,ATL 1,user,48,marvalshot,4938,4610083427
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Evan Mobley (37314541),Giannis Antetokounmpo (37314476),Bogdan Bogdanovic (37314767),Kevin Durant (37314500),Clint Capela (37314733),304.87612413194444,342.67964327999175,50000,99.08%,0,24.32%,0,228.06,$0.73,PHI 3,ATL 2,user4,1,marvalshot,14392,4610083428_4
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Kevin Durant (37314500),Andrew Nembhard (37314690),Pascal Siakam (37314586),De'Aaron Fox (37314538),341.79784722222223,373.56042096878605,49900,100.00%,98987,772.03%,0,226.08,$23.16,PHI 3,IND 2,user13,1,marvalshot,14434,4610083429_13
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Myles Turner (37314638),Dejounte Murray (37314523),Kevin Durant (37314500),Isaiah Hartenstein (37314589),322.55680121527774,355.09357413898044,50000,100.00%,0,101.68%,0,202.7,$3.05,PHI 3,IND 2,user1,1,marvalshot,14443,4610083430_1
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Bogdan Bogdanovic (37314767),Ricky Council IV (37315019),Guerschon Yabusele (37314668),Trae Young (37314486),Giannis Antetokounmpo (37314476),Jarrett Allen (37314610),320.2191840277778,356.81614547999425,50000,100.00%,0,97.02%,0,239.37,$2.91,PHI 4,ATL 2,user1,49,marvalshot,14448,4610083431_1
Reggie Jackson (37315014),Kelly Oubre Jr. (37314646),Justin Edwards (37314989),Ricky Council IV (37315019),Giannis Antetokounmpo (37314476),Shai Gilgeous-Alexander (37314483),Pascal Siakam (37314586),Dereck Lively II (37314652),324.5289019097223,362.84526574563677,50000,100.00%,0,108.05%,0,230.21000000000004,$3.24,PHI 4,MIL 1,user2,42,marvalshot,14450,4610083432_2
T.J. McConnell (37314747),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Pascal Siakam (37314586),Isaiah Hartenstein (37314589),Reggie Jackson (37315014),Kevin Durant (37314500),Domantas Sabonis (37314489),317.4306901041667,352.0802777495165,49700,100.00%,0,82.34%,0,209.32,$2.47,PHI 3,IND 2,user5,45,marvalshot,14363,4610083425_5
Shai Gilgeous-Alexander (37314483),Kelly Oubre Jr. (37314646),Ricky Council IV (37315019),Jalen Williams (37314545),Giannis Antetokounmpo (37314476),Vit Krejci (37314903),Bogdan Bogdanovic (37314767),Reggie Jackson (37315014),308.0315711805556,345.91595692708535,49800,99.99%,0,63.74%,0,240.29000000000002,$1.91,PHI 3,OKC 2,user18,1,marvalshot,14382,4610083426_18
