Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4607658800,RudebwoyKev (2/20),109.97,233.75,C Kristaps Porzingis F Evan Mobley G Shai Gilgeous-Alexander PF Obi Toppin PG T.J. McConnell SF Aaron Wiggins SG Cole Anthony UTIL Isaiah Hartenstein,,Shai Gilgeous-Alexander,PG,49.79%,42
2,4606623764,bghowes (1/3),112.259995,227,C Al Horford F Pascal Siakam G Cason Wallace PF Aaron Wiggins PG Shai Gilgeous-Alexander SF Luguentz Dort SG Cole Anthony UTIL Jayson Tatum,,Cole Anthony,G,49.54%,35.5
3,4606636775,bghowes (2/3),114.76999,225.25,C Isaiah Hartenstein F Jayson Tatum G Cason Wallace PF Al Horford PG Cole Anthony SF Aaron Wiggins SG Luguentz Dort UTIL Shai Gilgeous-Alexander,,Cason Wallace,SG,30.70%,20
4,4607231654,Mulligatoni (2/2),107.46001,223.25,C Jarrett Allen F Evan Mobley G T.J. McConnell PF Pascal Siakam PG Cole Anthony SF Jayson Tatum SG Luguentz Dort UTIL Cason Wallace,,Aaron Wiggins,F,27.79%,18.5
5,4607793139,BamBamGiant (4/6),115.20999,221.5,C Isaiah Hartenstein F Aaron Wiggins G Cason Wallace PF Evan Mobley PG Shai Gilgeous-Alexander SF Luguentz Dort SG Cole Anthony UTIL Jarrett Allen,,Isaiah Hartenstein,C,27.59%,29.5
5,4607839423,rbnyse (2/4),115.20999,221.5,C Jarrett Allen F Aaron Wiggins G Shai Gilgeous-Alexander PF Evan Mobley PG Cole Anthony SF Luguentz Dort SG Cason Wallace UTIL Isaiah Hartenstein,,Max Strus,F,25.13%,9
7,4606679867,JRucker504 (17/20),109.75,217.5,C Jarrett Allen F Jalen Williams G Cole Anthony PF Jayson Tatum PG Cason Wallace SF Aaron Wiggins SG Andrew Nembhard UTIL Kristaps Porzingis,,Jarrett Allen,C,22.19%,23
8,4607809184,SoonersTide (6/20),115.09,217.25,C Isaiah Hartenstein F Max Strus G T.J. McConnell PF Pascal Siakam PG Shai Gilgeous-Alexander SF Paul George SG Cason Wallace UTIL Cole Anthony,,Evan Mobley,PF,17.80%,34
9,4607632929,dallasmike44 (5/20),150.65,217,C Kristaps Porzingis F Paul George G Shai Gilgeous-Alexander PF Evan Mobley PG Cason Wallace SF Aaron Wiggins SG Cole Anthony UTIL LOCKED,,Paul George,SF,17.31%,31.75
10,4607717271,dariuskj (4/20),114.98999,216.25,C Kristaps Porzingis F Jalen Williams G Shai Gilgeous-Alexander PF Aaron Wiggins PG Cole Anthony SF Max Strus SG Cason Wallace UTIL Isaiah Hartenstein,,Isaiah Joe,SF,16.47%,11.25
