Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Nikola Jokic,C,DEN,37.00,11900,64.26,33.63,21.54,64.78
Giannis Antetokounmpo,PF/C,MIL,35.00,11400,59.46,34.42,22.49,61.93
Luka Doncic,PG,DAL,0.00,11000,0.00,0.10,0.00,0.00
LaMelo Ball,PG,CHA,38.00,10400,54.23,33.18,14.64,57.63
Shai Gilgeous-Alexander,PG,OKC,35.00,10200,56.57,26.96,20.73,55.03
Jayson Tatum,SF/PF,BOS,37.00,9900,51.61,11.13,15.02,50.42
Karl-Anthony Towns,C,NYK,0.00,9900,0.00,7.47,0.00,0.00
Kyrie Irving,PG/SG,DAL,35.00,9300,40.22,3.12,11.69,40.22
Anthony Edwards,SG,MIN,38.00,9100,47.35,6.03,12.27,44.97
Tyler Herro,PG/SG,MIA,36.00,8800,42.75,5.18,11.78,41.96
Brandon Ingram,PG,NOP,0.00,8800,0.00,0.08,0.00,0.00
Paolo Banchero,PF,ORL,28.00,8700,38.81,2.90,16.95,40.33
Scottie Barnes,PG/SF,TOR,38.00,8700,48.19,8.65,12.48,46.29
Jalen Brunson,PG,NYK,37.00,8700,56.12,8.86,16.83,49.79
Zach LaVine,SG/SF,CHI,35.00,8600,41.43,4.02,12.28,40.63
Zion Williamson,PF/C,NOP,30.00,8600,38.31,3.37,15.60,40.57
Franz Wagner,PF,ORL,0.00,8500,0.00,0.08,0.00,0.00
Damian Lillard,PG,MIL,35.00,8400,41.42,5.65,12.31,41.95
Jalen Suggs,PG/SG,ORL,0.00,8300,0.00,0.07,0.00,0.00
Nikola Vucevic,C,CHI,33.00,8200,41.35,8.41,13.28,42.38
Bam Adebayo,C,MIA,31.00,8200,38.49,1.93,13.87,37.75
Dejounte Murray,PG,NOP,35.00,8200,40.66,5.41,11.77,41.55
Jaylen Brown,SG/SF,BOS,37.00,8000,42.68,4.60,11.49,40.32
Jalen Williams,PF,OKC,34.00,8000,43.26,15.95,13.86,42.68
Jimmy Butler,SF/PF,MIA,30.00,8000,33.62,1.38,12.48,31.41
Josh Hart,SF/PF,NYK,38.00,8000,44.40,3.81,9.86,40.44
Chet Holmgren,PF,OKC,0.00,7900,0.00,0.07,0.00,0.00
Lauri Markkanen,SF/PF,UTA,0.00,7900,0.00,0.07,0.00,0.00
RJ Barrett,SF,TOR,36.00,7900,42.19,7.99,12.03,42.53
Trey Murphy III,SG/SF,NOP,36.00,7800,35.64,2.89,9.30,36.92
Brandon Miller,SG/SF,CHA,0.00,7700,0.00,0.07,0.00,0.00
Collin Sexton,PG/SG,UTA,27.00,7500,35.55,2.04,15.05,32.31
Miles Bridges,PF,CHA,36.00,7300,42.26,33.96,11.58,42.03
Russell Westbrook,PG,DEN,33.00,7100,37.82,7.98,11.85,37.28
Julius Randle,PF/C,MIN,32.00,7100,36.63,2.71,12.54,34.38
Kristaps Porzingis,C,BOS,29.00,7000,36.46,3.94,14.15,35.63
Josh Giddey,PG,CHI,28.00,7000,33.40,3.80,12.67,34.96
Jamal Murray,PG/SG,DEN,34.00,7000,36.03,5.75,10.67,35.82
CJ McCollum,PG/SG,NOP,35.00,7000,33.70,4.97,9.06,35.03
