Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Shai Gilgeous-Alexander,PG,OKC,35.60,11000,51.19,11.45,17.87,51.18
Anthony Davis,PF/C,DAL,0.00,10500,0.00,0.10,0.00,0.00
Anthony Edwards,PG/SG,MIN,33.50,9600,43.63,11.21,15.13,47.31
Domantas Sabonis,C,SAC,36.90,9500,52.78,27.88,15.29,50.77
Kyrie Irving,PG,DAL,0.00,9300,0.00,0.09,0.00,0.00
James Harden,PG,LAC,34.00,9200,50.59,29.15,16.41,48.97
Stephen Curry,PG,GSW,35.50,9000,47.30,10.97,14.26,43.99
Amen Thompson,PG/SF,HOU,36.30,8600,40.59,12.66,11.13,43.14
Alperen Sengun,C,HOU,32.70,8500,44.88,19.90,16.67,44.67
Zion Williamson,PF,NOP,0.00,8400,0.00,0.08,0.00,0.00
Tyler Herro,PG,MIA,35.70,8300,46.81,35.41,13.19,46.04
Trey Murphy III,SG/SF,NOP,35.00,8200,42.36,18.23,12.12,42.53
Bam Adebayo,PF/C,MIA,0.00,8100,0.00,0.08,0.00,0.00
Jimmy Butler,SF/PF,GSW,35.00,8000,39.88,6.91,12.19,37.69
CJ McCollum,PG/SG,NOP,34.40,7900,40.61,10.48,11.82,39.88
Jalen Williams,SF/PF,OKC,34.30,7800,39.34,8.21,12.38,37.90
Malik Monk,PG/SG,SAC,37.00,7700,40.47,24.06,10.23,41.84
Ivica Zubac,C,LAC,33.20,7600,45.46,31.41,15.00,43.47
Zach LaVine,SG/SF,SAC,36.20,7500,38.12,9.85,10.14,37.96
Norman Powell,SG/SF,LAC,33.60,7400,37.57,8.52,11.26,37.04
Daniel Gafford,C,DAL,0.00,7300,0.00,0.07,0.00,0.00
Chet Holmgren,PF/C,OKC,26.80,7300,29.90,1.92,12.05,29.63
PJ Washington,SF/PF,DAL,0.00,7200,0.00,0.07,0.00,0.00
Jalen Green,SG,HOU,34.90,7200,36.44,8.70,10.66,35.96
Kawhi Leonard,SF,LAC,0.00,7100,0.00,0.07,0.00,0.00
Naz Reid,PF/C,MIN,37.00,7100,38.39,13.32,9.35,37.54
Lauri Markkanen,SF,UTA,31.00,7000,32.21,4.90,11.09,32.83
Walker Kessler,C,UTA,0.00,7000,0.00,0.06,0.00,0.00
DeMar DeRozan,SF,SAC,36.80,7000,36.33,8.11,9.36,35.29
John Collins,PF/C,UTA,27.20,6900,30.48,5.55,12.70,32.31
Fred VanVleet,PG,HOU,0.00,6800,0.00,0.06,0.00,0.00
Julius Randle,PF/C,MIN,0.00,6800,0.00,0.06,0.00,0.00
Jordan Clarkson,SG,UTA,0.00,6700,0.00,0.06,0.00,0.00
Isaiah Hartenstein,C,OKC,30.10,6700,34.84,6.09,12.60,32.77
Andrew Wiggins,SF,MIA,0.00,6600,0.00,0.06,0.00,0.00
Rudy Gobert,C,MIN,0.00,6600,0.00,0.06,0.00,0.00
Collin Sexton,PG/SG,UTA,0.00,6500,0.00,0.06,0.00,0.00
Jaden McDaniels,SF,MIN,36.20,6500,29.78,4.87,6.85,30.99
Keyonte George,PG,UTA,31.00,6300,32.47,10.41,11.27,32.97
Isaiah Collier,PG,UTA,31.00,6200,29.38,6.10,9.58,30.84
Jonathan Kuminga,SF/PF,GSW,0.00,6200,0.00,0.06,0.00,0.00
Kel'el Ware,C,MIA,31.70,6100,35.13,36.19,10.99,36.06
Draymond Green,PF/C,GSW,34.20,6000,32.81,6.80,8.64,30.48
Tari Eason,PF,HOU,0.00,5900,0.00,0.05,0.00,0.00
Dereck Lively II,C,DAL,0.00,5800,0.00,0.05,0.00,0.00
Brandin Podziemski,PG/SG,GSW,26.90,5700,25.34,3.94,9.43,26.06
Naji Marshall,SF/PF,DAL,29.50,5500,29.17,23.09,9.85,31.47
Klay Thompson,SG,DAL,0.00,5500,0.00,0.05,0.00,0.00
Ben Simmons,PG/SF,LAC,18.80,5400,21.94,0.95,10.98,21.94
Nikola Jovic,PF/C,MIA,30.20,5300,30.28,22.01,9.61,29.94
Keegan Murray,PF,SAC,35.20,5300,28.58,8.65,6.70,27.32
Donte DiVincenzo,PG,MIN,0.00,5300,0.00,0.05,0.00,0.00
