Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
22955,4532799026,svick11,384,0,C LOCKED F LOCKED G LOCKED PF LOCKED PG LOCKED SF LOCKED SG LOCKED UTIL LOCKED,,Bobby Portis,C,58.71%,0
5479,4532800485,chrimtina,336.32,42.5,C Bobby Portis F Kyle Kuzma G LOCKED PF Alexandre Sarr PG Damian Lillard SF Kyshawn George SG Zach LaVine UTIL Brook Lopez,,Kyshawn George,SF,46.99%,3.25
21753,4532812922,chadnmont12,360.16003,7.75,C LOCKED F LOCKED G LOCKED PF LOCKED PG Tyler Herro SF Bilal Coulibaly SG LOCKED UTIL Kyshawn George,,Kyle Kuzma,F,44.84%,23
15753,4532814732,rrklungs,348.24,23,C Nikola Vucevic F LOCKED G Carlton Carrington PF LOCKED PG LOCKED SF Bilal Coulibaly SG LOCKED UTIL LOCKED,,Alexandre Sarr,PF,44.26%,10.75
5378,4532834585,Jreck82 (1/2),312.48004,42.75,C Jonas Valanciunas F Bobby Portis G Damian Lillard PF Alexandre Sarr PG Malcolm Brogdon SF Kyshawn George SG Zach LaVine UTIL Nikola Vucevic,,Damian Lillard,PG,44.12%,0
369,4532834634,Jreck82 (2/2),312.48004,63.5,C Nikola Vucevic F Kyle Kuzma G Damian Lillard PF Alexandre Sarr PG Josh Giddey SF Kyshawn George SG Ayo Dosunmu UTIL Bobby Portis,,Malcolm Brogdon,PG,32.23%,8.5
5002,4532839589,blink182roo,336.32,43.25,C Nikola Vucevic F Bobby Portis G LOCKED PF Alexandre Sarr PG Josh Giddey SF LOCKED SG Malcolm Brogdon UTIL LOCKED,,Nikola Vucevic,C,27.03%,12.25
5615,4532840013,Thassralph,348.24,42.25,C LOCKED F Alexandre Sarr G LOCKED PF Kyle Kuzma PG Damian Lillard SF LOCKED SG Malcolm Brogdon UTIL LOCKED,,Josh Giddey,PG,24.35%,11.75
22955,4532845948,Dimez973,384,0,C Bam Adebayo F LOCKED G LOCKED PF LOCKED PG LOCKED SF LOCKED SG LOCKED UTIL LOCKED,,Bilal Coulibaly,SF,22.12%,4.5
15753,4532848579,Mondog24,348.24,23,C Kevin Love F LOCKED G Malcolm Brogdon PF Matas Buzelis PG LOCKED SF Jimmy Butler SG LOCKED UTIL Alexandre Sarr,,Zach LaVine,SG,21.91%,5.5
22372,4532849744,jlangston1990 (1/2),372.08002,4.5,C LOCKED F Jimmy Butler G LOCKED PF LOCKED PG LOCKED SF Bilal Coulibaly SG LOCKED UTIL Damian Lillard,,Jonas Valanciunas,C,17.58%,2.5
10112,4532849779,gators070 (1/2),336.32,34.25,C LOCKED F Alexandre Sarr G Gary Trent Jr. PF Bobby Portis PG Josh Giddey SF Kyshawn George SG Malcolm Brogdon UTIL LOCKED,,Corey Kispert,UTIL,16.36%,6
6767,4532849780,gators070 (2/2),324.40002,39.75,C Bobby Portis F Zach LaVine G Josh Giddey PF Alexandre Sarr PG Damian Lillard SF Kyshawn George SG Malcolm Brogdon UTIL LOCKED,,Ayo Dosunmu,SG,15.05%,2.5
22955,4532850066,Avnerharel (1/12),384,0,C LOCKED F Nikola Jovic G Damian Lillard PF LOCKED PG LOCKED SF LOCKED SG LOCKED UTIL LOCKED,,Brook Lopez,UTIL,13.91%,0
3963,4532857940,Blasterwolf,336.32,46.5,C LOCKED F Bobby Portis G LOCKED PF Kyle Kuzma PG Josh Giddey SF Kyshawn George SG Malcolm Brogdon UTIL LOCKED,,Coby White,UTIL,13.51%,5
19470,4532858632,mrblonde1425 (1/20),360.16,14,C LOCKED F LOCKED G LOCKED PF LOCKED PG Malcolm Brogdon SF Jimmy Butler SG Zach LaVine UTIL Bam Adebayo,,Jimmy Butler,SF,11.14%,0
22193,4532859113,Avnerharel (2/12),372.08002,5.5,C LOCKED F Zach LaVine G LOCKED PF LOCKED PG Alec Burks SF Jimmy Butler SG LOCKED UTIL LOCKED,,Gary Trent Jr.,G,10.23%,0
17001,4532859200,Avnerharel (3/12),348.24,20.25,C LOCKED F LOCKED G Alec Burks PF LOCKED PG Josh Giddey SF LOCKED SG Ayo Dosunmu UTIL Corey Kispert,,Tyler Herro,PG,9.14%,0
1450,4532860656,tobster1,324.40002,55.75,C Nikola Vucevic F LOCKED G Duncan Robinson PF Kyle Kuzma PG Josh Giddey SF Kyshawn George SG Zach LaVine UTIL Jimmy Butler,,Taurean Prince,SF,4.24%,0
19146,4532864315,Jraflowitz1,360.16003,15,C Brook Lopez F Kyshawn George G LOCKED PF LOCKED PG Josh Giddey SF Jimmy Butler SG Gary Trent Jr. UTIL LOCKED,,Matas Buzelis,PF,3.15%,3.75
959,4532866241,jackson_0824 (1/20),324.40002,58.75,C Nikola Vucevic F Kyle Kuzma G Damian Lillard PF Bobby Portis PG Josh Giddey SF LOCKED SG Malcolm Brogdon UTIL Kyshawn George,,Jalen Smith,C,2.70%,2.75
9208,4532866242,jackson_0824 (2/20),336.32,35.75,C Nikola Vucevic F Kyshawn George G Damian Lillard PF Bobby Portis PG Josh Giddey SF LOCKED SG Malcolm Brogdon UTIL LOCKED,,Carlton Carrington,G,2.63%,6.25
