Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Domantas Sabonis,C,SAC,dk,48.5,9500,5.1,15.2,1,NOP,119.25,231.5,,,,,Proj 👉,20.4,1.1,12.9,6.4,0.5,0.8,3.7,36.0,850111,36987515
Cade Cunningham,PG,DET,dk,45.2,9600,4.7,6.8,-2,BOS,106.75,225,,,,,Proj 👉,21.0,2.0,6.4,7.9,0.8,0.8,4.2,34.0,1232182,36987512
De'Aaron Fox,PG,SAC,dk,44.4,9000,4.9,10.3,,NOP,119.25,231.5,,,,,Proj 👉,28.5,2.2,5.1,6.0,0.1,1.6,3.8,37.0,957489,36987522
RJ Barrett,SF,TOR,dk,43.2,8800,4.9,15.2,,MIA,107.25,224.5,,,,,Proj 👉,22.9,2.0,6.3,6.3,0.2,0.9,3.4,36.0,1132031,36987525
Jaylen Brown,SG/SF,BOS,dk,41.0,8200,5,45.4,,DET,118.25,225,,,,,Proj 👉,24.7,2.6,6.3,4.3,0.4,1.1,2.5,36.0,883436,36987534
Tyler Herro,PG,MIA,dk,40.4,7700,5.2,16.1,1,TOR,117.25,224.5,,,,,Proj 👉,22.9,4.0,5.2,5.0,0.1,0.7,2.4,35.0,1134176,36987548
Dejounte Murray,PG,NOP,dk,40.1,8300,4.8,17.5,-1,SAC,112.25,231.5,,,,,Proj 👉,15.4,1.6,5.7,5.7,0.0,1.2,3.5,34.0,884168,36987531
Bam Adebayo,C,MIA,dk,39.3,8100,4.9,19.9,-1,TOR,117.25,224.5,,,,,Proj 👉,14.9,0.8,8.9,4.5,0.8,1.7,1.5,34.0,957486,36987542
Kristaps Porzingis,C,BOS,dk,38.9,7300,5.3,36.7,2,DET,118.25,225,,,,,Proj 👉,17.3,1.6,6.2,1.7,1.6,0.6,1.4,31.0,877869,36987557
Jimmy Butler,SF/PF,MIA,dk,38.0,7400,5.1,34.0,1,TOR,117.25,224.5,,,,,Proj 👉,17.9,0.5,4.9,4.6,0.3,1.1,1.4,34.0,458730,36987553
Jakob Poeltl,C,TOR,dk,37.5,7500,5,13.9,,MIA,107.25,224.5,,,,,Proj 👉,14.1,0.0,10.6,2.1,1.2,1.0,2.0,32.0,844478,36987551
Demar Derozan,SF/PF,SAC,dk,37.0,7900,4.7,14.3,-2,NOP,119.25,231.5,,,,,Proj 👉,22.6,0.7,4.1,4.1,0.6,1.5,1.9,36.0,457594,36987544
CJ Mccollum,PG/SG,NOP,dk,36.7,7400,5,34.0,,SAC,112.25,231.5,,,,,Proj 👉,20.4,3.2,3.5,3.2,0.6,1.4,1.8,35.0,522878,36987563
Malik Monk,PG/SG,SAC,dk,36.2,7300,5,19.9,,NOP,119.25,231.5,,,,,Proj 👉,14.7,1.8,3.1,3.7,0.5,0.8,1.2,35.0,957492,36987567
Derrick White,PG/SG,BOS,dk,35.8,6700,5.3,46.5,2,DET,118.25,225,,,,,Proj 👉,17.8,3.7,4.6,4.3,1.1,0.8,1.4,35.0,796009,36987574
Trey Murphy III,SG/SF,NOP,dk,35.2,6500,5.4,47.9,2,SAC,112.25,231.5,,,,,Proj 👉,18.7,2.4,5.6,2.0,0.7,0.7,1.6,36.0,1134570,36987578
Jaden Ivey,PG/SG,DET,dk,31.8,7200,4.4,10.4,-4,BOS,106.75,225,,,,,Proj 👉,15.1,1.6,3.7,3.4,0.4,0.8,2.6,31.0,1231418,36987559
Keegan Murray,SF/PF,SAC,dk,27.7,5700,4.9,25.3,,NOP,119.25,231.5,,,,,Proj 👉,12.4,1.6,7.9,1.7,0.7,0.7,1.1,36.0,1231161,36987594
Tobias Harris,PF,DET,dk,27.2,5900,4.6,8.4,-2,BOS,106.75,225,,,,,Proj 👉,11.3,1.1,5.9,2.0,0.8,0.6,1.1,31.0,552523,36987585
Payton Pritchard,PG/SG,BOS,dk,26.2,5400,4.9,34.0,,DET,118.25,225,,,,,Proj 👉,11.7,2.8,2.1,2.1,0.1,0.8,0.7,27.0,945610,36987600
Yves Missi,C,NOP,dk,25.1,5000,5,33.4,,SAC,112.25,231.5,,,,,Proj 👉,5.9,0.0,5.4,1.1,0.9,0.5,0.8,26.0,1458495,36987613
Jrue Holiday,PG,BOS,dk,25.0,5000,5,32.3,,DET,118.25,225,,,,,Proj 👉,10.4,1.6,3.7,3.4,0.3,0.6,1.4,31.0,457576,36987621
Brandon Boston Jr,PG/SF,NOP,dk,22.9,4800,4.8,27.7,-1,SAC,112.25,231.5,,,,,Proj 👉,8.3,0.9,2.8,2.9,0.1,1.2,1.2,26.0,1245906,36987637
Malik Beasley,SG/SF,DET,dk,22.6,5200,4.3,1.9,-3,BOS,106.75,225,,,,,Proj 👉,11.5,2.6,2.3,1.5,0.1,0.5,1.0,27.0,879503,36987608
Gradey Dick,SG,TOR,dk,22.4,5800,3.9,7.8,-6,MIA,107.25,224.5,,,,,Proj 👉,13.6,1.8,2.3,1.6,0.2,0.7,1.4,27.0,1416377,36987591
Duncan Robinson,SG,MIA,dk,21.4,4200,5.1,17.7,,TOR,117.25,224.5,,,,,Proj 👉,7.5,1.8,1.6,1.3,0.1,0.3,0.6,25.0,854591,36987668
Terry Rozier,PG/SG,MIA,dk,21.3,4500,4.7,5.5,-1,TOR,117.25,224.5,,,,,Proj 👉,9.2,1.5,2.7,2.4,0.3,0.5,1.3,26.0,786293,36987651
Isaiah Stewart,C,DET,dk,21.2,3600,5.9,4.8,3,BOS,106.75,225,,,,,Proj 👉,4.0,0.1,4.1,1.2,0.9,0.4,0.8,22.0,1177050,36987697
Jaime Jaquez Jr,SF/PF,MIA,dk,21.2,4000,5.3,13.1,1,TOR,117.25,224.5,,,,,Proj 👉,5.4,0.4,3.4,1.5,0.1,0.5,0.9,22.0,1176708,36987671
Ochai Agbaji,SF/PF,TOR,dk,20.3,5400,3.8,1.1,-6,MIA,107.25,224.5,,,,,Proj 👉,8.9,1.4,3.3,1.5,0.4,0.8,0.7,26.0,1132831,36987604
Kevin Love,C,MIA,dk,19.5,3400,5.7,3.6,2,TOR,117.25,224.5,,,,,Proj 👉,2.5,0.6,2.0,0.4,0.0,0.5,0.3,13.0,395374,36987712
