Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Nikola Jokic,C,DEN,dk,65.6,12300,5.3,21.7,4,NOP,126,242,,,,,Proj 👉,29.3,2.0,12.8,9.6,0.6,1.8,3.0,35.0,830650,37514396
Victor Wembanyama,C,SAS,dk,60.2,10800,5.6,10.8,6,MEM,118.75,241,,,,,Proj 👉,23.7,3.1,10.5,3.6,3.9,1.1,3.3,35.0,1373356,37514405
Shai Gilgeous-Alexander,PG,OKC,dk,55.7,11000,5.1,13.5,,MIL,121,224.5,,,,,Proj 👉,30.6,1.9,5.2,5.9,1.1,2.0,2.6,35.0,1067856,37514402
Karl-Anthony Towns,C,NYK,dk,53.5,9600,5.6,10.8,5,HOU,115.5,224,,,,,Proj 👉,25.4,2.2,13.9,3.3,0.8,1.0,2.6,36.0,837030,37514418
Cade Cunningham,PG,DET,dk,51.3,10300,5,9.5,,ATL,121,237.5,,,,,Proj 👉,23.6,2.3,6.3,9.1,0.8,0.9,4.3,35.0,1232182,37514407
Domantas Sabonis,C,SAC,dk,51.2,9800,5.2,12.5,2,MIN,108.5,222,,,,,Proj 👉,21.4,1.2,14.6,6.5,0.5,0.7,3.0,37.0,850111,37514413
Trae Young,PG,ATL,dk,48.0,9700,4.9,1.3,,DET,116.5,237.5,,,,,Proj 👉,23.2,2.9,3.4,11.8,0.2,1.3,4.3,36.0,1060978,37514415
Mark Williams,C,CHA,dk,46.3,8400,5.5,13.7,4,WAS,110.25,216,,,,,Proj 👉,12.5,0.0,8.0,1.9,0.9,0.5,0.9,31.0,1230361,37514441
Anthony Edwards,PG/SG,MIN,dk,44.8,9500,4.7,19.4,-2,SAC,113.5,222,,,,,Proj 👉,26.8,4.4,6.0,4.4,0.5,1.2,3.4,37.0,1175367,37514420
Jalen Brunson,PG,NYK,dk,44.3,8600,5.2,5.5,1,HOU,115.5,224,,,,,Proj 👉,26.7,2.4,3.1,7.6,0.0,0.9,2.5,37.0,887914,37514435
