id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6275,Cunningham,Cade,53.36,DET,G,GSW,36.00,24.63,2.42,7.12,10.37,0.93,0.85,3.81,6.78,3.81,0.78,9.20,11.57,0.58,0.180,,
2718,Durant,Kevin,49.37,PHO,F,ATL,37.00,29.85,2.09,6.99,4.52,0.94,1.37,3.67,8.37,6.84,1.19,10.46,9.52,0.11,0.003,,
6281,Sengun,Alperen,47.46,HOU,C,@ MEM,35.00,21.93,0.40,11.03,4.64,1.53,0.97,2.90,8.37,3.99,1.40,8.77,9.05,0.65,0.020,,
5664,Young,Trae,47.43,ATL,G,@ PHO,35.00,22.87,3.03,4.02,10.80,1.17,0.25,3.88,4.22,5.34,0.83,7.25,9.84,0.58,0.017,,
5002,Booker,Devin,46.55,PHO,G,ATL,36.00,26.43,2.72,3.92,7.97,1.16,0.30,2.99,5.93,6.41,0.75,8.65,10.29,0.31,0.006,,
6285,Barnes,Scottie,43.20,TOR,F,@ CLE,34.00,18.53,1.72,8.62,6.78,1.20,0.77,3.53,5.16,3.05,1.07,6.88,8.49,0.38,0.041,,
5468,Allen,Jarrett,42.04,CLE,C,TOR,31.00,17.83,0.00,11.07,4.31,1.00,1.01,2.21,7.11,3.61,1.33,7.11,2.89,0.62,0.019,,
5913,Herro,Tyler,42.03,MIA,G,@ UTA,36.00,24.07,3.55,5.04,6.08,0.80,0.08,2.36,4.72,3.98,0.55,8.27,9.53,0.11,0.008,,
5461,Adebayo,Bam,42.01,MIA,C,@ UTA,33.00,18.56,0.80,9.40,4.50,1.48,0.88,1.89,6.39,3.38,1.23,7.19,8.18,0.49,0.015,,
2999,Curry,Stephen,42.00,GSW,G,@ DET,34.00,24.05,4.66,4.46,5.72,0.99,0.45,3.06,3.37,3.33,0.25,8.03,9.25,0.07,0.002,,
6276,Mobley,Evan,41.83,CLE,C,TOR,31.00,18.41,0.84,9.32,4.31,1.08,1.65,2.69,6.28,3.33,1.00,7.12,5.10,0.49,0.015,Out,
6147,Edwards,Anthony,40.36,MIN,G,@ ORL,37.00,23.54,3.50,6.09,3.81,1.18,0.49,3.54,4.86,3.32,0.69,8.36,10.86,0.11,0.002,,
