TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,44,22,22,0.5,2127.0,109.6,111.3,111.3,113.5,-1.7,-2.2,0.689,1.83,19.6,0.306,0.712,0.504,0.153,0.531,0.567,106.0,104.14,86.78,4616,0.497,11,17,17,17,14,20,18,21,3,14,10,11,12,12,19,21,20,2,18
1610612738,Boston Celtics,45,31,14,0.689,2185.0,116.2,118.4,107.4,109.6,8.9,8.9,0.611,2.13,18.3,0.287,0.716,0.5,0.12,0.555,0.586,99.7,97.79,81.49,4452,0.536,2,3,3,3,2,3,5,3,23,4,18,16,10,16,2,8,9,24,4
1610612751,Brooklyn Nets,45,14,31,0.311,2175.0,105.7,108.8,114.1,116.4,-8.4,-7.6,0.663,1.59,18.3,0.285,0.711,0.489,0.161,0.524,0.56,99.1,96.77,80.64,4379,0.448,2,25,26,25,3,26,26,28,9,24,17,18,13,25,27,24,23,29,29
1610612766,Charlotte Hornets,41,11,30,0.268,1983.0,105.3,108.0,111.3,113.5,-6.0,-5.4,0.617,1.5,17.0,0.321,0.71,0.507,0.16,0.507,0.541,100.7,98.54,82.12,4068,0.462,30,28,25,27,30,28,17,24,20,27,27,4,15,9,26,28,29,21,25
1610612741,Chicago Bulls,45,19,26,0.422,2165.0,110.6,112.2,112.9,115.5,-2.3,-3.3,0.675,1.94,19.9,0.254,0.719,0.491,0.144,0.553,0.582,105.8,103.9,86.59,4688,0.487,2,22,22,22,7,15,24,22,7,13,6,29,6,20,14,9,10,3,22
1610612739,Cleveland Cavaliers,44,36,8,0.818,2112.0,119.6,121.0,108.8,111.6,10.8,9.5,0.652,2.22,20.4,0.276,0.704,0.497,0.13,0.587,0.615,102.4,100.55,83.79,4429,0.547,11,1,1,1,19,1,9,2,13,1,2,21,19,19,4,1,1,7,2
1610612742,Dallas Mavericks,45,24,21,0.533,2165.0,113.1,114.8,109.7,111.6,3.4,3.1,0.597,1.73,18.0,0.286,0.7,0.499,0.144,0.552,0.587,101.7,100.12,83.44,4520,0.515,2,11,12,12,7,8,11,10,27,19,21,17,24,17,16,10,8,10,9
1610612743,Denver Nuggets,44,28,16,0.636,2132.0,116.7,118.3,110.6,113.0,6.1,5.4,0.687,2.17,21.0,0.307,0.708,0.518,0.14,0.57,0.602,103.1,101.29,84.41,4497,0.535,11,7,6,7,12,4,16,7,5,2,1,8,16,4,11,2,2,5,6
1610612765,Detroit Pistons,44,23,21,0.523,2132.0,109.3,111.8,110.4,112.5,-1.1,-0.7,0.614,1.6,18.1,0.305,0.725,0.515,0.159,0.543,0.574,101.5,99.42,82.85,4416,0.49,11,13,12,13,12,17,13,16,22,23,20,12,5,5,25,15,16,17,21
1610612744,Golden State Warriors,44,22,22,0.5,2117.0,109.4,111.7,109.2,111.6,0.1,0.1,0.698,1.99,19.7,0.312,0.717,0.509,0.144,0.531,0.555,101.6,99.47,82.89,4386,0.495,11,17,17,17,18,19,10,14,2,8,8,7,9,8,15,22,24,16,19
1610612745,Houston Rockets,43,29,14,0.674,2079.0,110.3,113.9,105.6,107.8,4.7,6.0,0.533,1.61,15.8,0.363,0.708,0.529,0.139,0.513,0.547,101.9,99.2,82.66,4293,0.523,21,5,3,4,23,10,3,5,30,20,30,1,17,1,10,27,27,19,7
1610612754,Indiana Pacers,45,25,20,0.556,2170.0,112.8,114.2,112.2,113.7,0.7,0.5,0.657,2.07,20.1,0.259,0.713,0.49,0.136,0.561,0.591,101.9,100.56,83.8,4551,0.511,2,8,11,11,4,9,20,13,10,5,3,27,11,23,8,6,7,6,12
1610612746,LA Clippers,44,25,19,0.568,2122.0,108.2,110.4,105.5,107.1,2.7,3.3,0.607,1.49,17.8,0.281,0.73,0.51,0.165,0.54,0.575,100.6,98.92,82.43,4367,0.512,11,8,10,10,16,23,2,9,24,28,23,20,4,7,29,16,15,20,11
1610612747,Los Angeles Lakers,42,24,18,0.571,2021.0,111.5,113.1,112.2,114.7,-0.7,-1.6,0.652,1.99,19.3,0.263,0.701,0.485,0.135,0.544,0.581,99.9,98.2,81.83,4137,0.503,27,11,9,9,28,13,21,19,12,9,12,25,23,26,5,13,12,23,17
1610612763,Memphis Grizzlies,45,30,15,0.667,2160.0,114.8,117.8,107.3,110.2,7.5,7.6,0.656,1.79,19.7,0.34,0.703,0.525,0.159,0.562,0.595,107.6,104.79,87.32,4723,0.544,2,4,5,5,9,5,6,4,11,17,9,2,21,2,23,5,4,1,3
1610612748,Miami Heat,43,21,22,0.488,2089.0,110.2,112.0,110.3,111.9,-0.1,0.1,0.663,1.97,19.1,0.26,0.718,0.491,0.135,0.537,0.573,99.2,97.61,81.34,4252,0.503,21,20,17,20,21,16,12,15,8,10,13,26,8,21,7,17,18,26,16
1610612749,Milwaukee Bucks,42,25,17,0.595,2021.0,112.2,113.9,108.8,110.5,3.4,3.3,0.599,1.81,18.4,0.242,0.736,0.498,0.138,0.565,0.592,101.5,100.01,83.34,4215,0.517,27,8,8,8,28,11,8,8,26,15,16,30,1,18,9,4,5,12,8
1610612750,Minnesota Timberwolves,44,23,21,0.523,2122.0,110.3,112.3,107.9,110.4,2.4,1.8,0.633,1.61,18.2,0.289,0.703,0.5,0.158,0.548,0.581,99.5,97.54,81.28,4315,0.51,11,13,12,13,16,14,7,12,14,21,19,14,22,15,22,12,13,27,13
1610612740,New Orleans Pelicans,45,12,33,0.267,2170.0,107.3,109.6,114.9,117.7,-7.6,-8.0,0.631,1.75,18.0,0.306,0.668,0.48,0.145,0.513,0.548,101.8,99.55,82.96,4499,0.458,2,26,29,28,4,25,28,29,15,18,22,10,30,28,17,26,26,15,27
1610612752,New York Knicks,45,29,16,0.644,2170.0,117.1,118.9,111.3,112.9,5.8,6.0,0.627,2.05,19.5,0.298,0.719,0.514,0.135,0.568,0.601,99.1,97.65,81.37,4416,0.536,2,5,6,6,4,2,15,6,18,6,11,13,7,6,6,3,3,25,5
1610612760,Oklahoma City Thunder,44,36,8,0.818,2112.0,114.0,116.0,101.8,103.7,12.3,12.3,0.6,2.16,18.7,0.268,0.687,0.481,0.12,0.549,0.582,102.3,100.5,83.75,4421,0.561,11,1,1,1,19,6,1,1,25,3,15,24,28,27,1,11,11,8,1
1610612753,Orlando Magic,46,23,23,0.5,2208.0,104.3,107.0,105.8,107.9,-1.6,-0.8,0.623,1.56,17.3,0.306,0.732,0.505,0.155,0.503,0.542,98.9,96.64,80.53,4443,0.493,1,13,20,17,1,29,4,17,19,25,26,9,2,11,20,30,28,30,20
1610612755,Philadelphia 76ers,43,16,27,0.372,2084.0,108.2,110.2,112.6,115.0,-4.4,-4.8,0.579,1.6,16.7,0.275,0.688,0.473,0.143,0.524,0.563,99.1,97.12,80.93,4217,0.461,21,24,23,24,22,24,23,23,29,22,29,22,27,30,13,23,22,28,26
