TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,26,14,12,0.538,1253.0,109.4,111.3,111.4,113.8,-2.1,-2.5,0.695,1.86,19.7,0.328,0.708,0.515,0.153,0.527,0.563,106.4,104.35,86.96,2727,0.502,2,9,17,15,2,20,18,18,4,13,8,5,17,7,20,22,21,3,17
1610612738,Boston Celtics,24,19,5,0.792,1167.0,117.6,120.2,108.7,110.8,8.9,9.3,0.618,2.18,18.4,0.278,0.723,0.498,0.118,0.562,0.596,100.7,98.63,82.19,2399,0.536,15,2,2,2,15,3,10,3,19,3,17,20,5,17,2,6,5,21,5
1610612751,Brooklyn Nets,24,10,14,0.417,1162.0,110.5,113.1,113.9,116.6,-3.4,-3.5,0.665,1.76,19.1,0.255,0.695,0.47,0.15,0.553,0.589,98.9,96.64,80.53,2336,0.464,15,20,20,20,16,13,25,20,9,17,13,27,26,30,18,13,12,30,24
1610612766,Charlotte Hornets,24,7,17,0.292,1162.0,106.1,109.1,112.4,114.7,-6.3,-5.6,0.598,1.42,16.6,0.333,0.713,0.512,0.165,0.517,0.548,99.7,97.28,81.07,2355,0.457,15,25,26,26,16,26,21,26,25,28,27,3,14,10,26,25,25,27,26
1610612741,Chicago Bulls,25,10,15,0.4,1200.0,112.2,113.7,115.0,117.4,-2.8,-3.7,0.676,1.9,20.2,0.236,0.729,0.487,0.147,0.57,0.599,106.6,104.76,87.3,2619,0.481,3,20,21,21,10,11,27,21,6,9,3,29,4,21,14,3,3,1,22
1610612739,Cleveland Cavaliers,25,21,4,0.84,1200.0,119.2,120.4,108.3,110.7,11.0,9.7,0.625,2.13,20.0,0.256,0.71,0.494,0.131,0.594,0.621,102.4,100.78,83.98,2521,0.549,3,1,1,1,10,1,9,2,16,4,5,26,15,20,4,1,1,8,3
1610612742,Dallas Mavericks,25,16,9,0.64,1205.0,115.6,116.7,108.7,110.3,6.9,6.4,0.591,1.79,18.1,0.293,0.705,0.507,0.141,0.562,0.595,102.2,101.04,84.2,2540,0.529,3,7,6,6,8,4,8,7,26,16,19,14,20,11,9,5,6,7,7
1610612743,Denver Nuggets,22,12,10,0.545,1066.0,114.1,115.4,111.4,113.6,2.7,1.8,0.701,2.12,20.8,0.3,0.696,0.505,0.141,0.557,0.59,103.5,101.83,84.86,2262,0.52,27,14,7,11,28,7,16,14,2,5,1,12,23,14,10,9,10,5,9
1610612765,Detroit Pistons,25,10,15,0.4,1215.0,108.2,110.9,111.2,113.4,-3.0,-2.5,0.624,1.52,18.1,0.311,0.719,0.517,0.167,0.54,0.571,100.7,98.45,82.04,2492,0.483,3,20,21,21,3,22,15,19,17,24,20,8,8,5,28,16,18,22,21
1610612744,Golden State Warriors,24,14,10,0.583,1157.0,110.0,111.8,105.0,107.3,5.0,4.6,0.695,1.97,19.7,0.31,0.722,0.514,0.145,0.535,0.559,102.6,100.69,83.91,2428,0.519,15,9,7,9,18,16,4,8,3,8,7,9,7,8,13,19,23,9,10
