id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5433,Sabonis,Domantas,50.40,SAC,C,@ NOR,37.00,19.16,0.76,15.07,6.18,0.80,0.60,3.28,6.54,3.80,1.25,7.30,4.87,0.87,0.096,,
6275,Cunningham,Cade,47.48,DET,G,@ BOS,36.00,23.41,2.32,6.82,8.19,1.01,0.67,3.92,6.49,3.47,0.67,8.81,10.98,0.38,0.042,,
5266,Brown,Jaylen,47.29,BOS,F,DET,37.00,28.12,2.90,6.82,4.33,1.42,0.42,2.31,6.87,5.68,1.86,9.77,11.05,0.11,0.003,,
5461,Adebayo,Bam,44.85,MIA,C,TOR,35.00,18.11,0.71,10.51,5.37,1.61,0.98,1.94,6.20,3.58,1.33,6.91,6.85,0.57,0.040,,
5452,Fox,De'Aaron,44.42,SAC,G,@ NOR,37.00,24.14,1.99,5.38,6.68,1.72,0.29,3.34,7.13,3.91,1.11,9.12,8.85,0.11,0.008,,
5301,Murray,Dejounte,43.99,NOR,G,SAC,37.00,19.01,2.64,6.71,8.08,1.53,0.43,2.92,4.75,1.59,0.44,7.39,10.01,0.38,0.042,,
6057,Barrett,R.J.,42.34,TOR,G,@ MIA,36.00,24.64,2.04,6.91,4.84,0.61,0.41,2.87,7.32,3.88,1.60,9.36,10.33,0.11,0.003,,
5913,Herro,Tyler,42.18,MIA,G,TOR,36.00,25.30,4.01,5.23,5.06,0.84,0.08,2.42,4.68,3.91,0.52,8.69,10.46,0.07,0.005,,
5043,Porzingis,Kristaps,42.15,BOS,F,DET,32.00,22.45,2.17,7.62,2.43,0.91,2.04,1.86,5.29,5.36,0.86,7.46,6.87,0.31,0.003,,
3723,McCollum,C.J.,41.57,NOR,G,SAC,37.00,25.01,4.28,4.39,4.46,1.08,0.49,1.89,4.99,2.19,0.61,9.27,11.01,0.03,0.001,,
6290,Murphy,Trey,41.16,NOR,F,SAC,36.00,24.86,4.32,5.62,2.54,1.20,0.61,0.84,3.99,3.92,0.69,8.31,10.09,0.07,0.001,,
3357,Butler,Jimmy,39.97,MIA,F,TOR,34.00,20.69,0.57,5.51,6.24,1.25,0.40,1.49,5.91,7.16,1.45,6.48,5.98,0.11,0.008,Playing,
5355,Poeltl,Jakob,38.22,TOR,C,@ MIA,33.00,14.45,0.00,11.79,2.98,0.94,1.37,1.79,6.55,1.35,0.82,6.55,3.95,0.55,0.005,Out,
3006,DeRozan,DeMar,37.90,SAC,G,@ NOR,37.00,22.11,0.70,4.35,4.50,1.59,0.50,1.96,7.84,4.33,0.80,8.54,8.34,0.03,0.001,Off Injury Report,
5475,White,Derrick,35.78,BOS,G,DET,37.00,16.65,3.31,4.36,5.38,1.13,1.16,1.45,2.51,1.70,0.30,5.82,7.87,0.06,0.002,,
