Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Nikola Jokic,C,DEN,dk,63.4,12000,5.3,9.9,3,CLE,114.5,232.5,,,,,Proj 👉,30.5,2.3,13.5,10.9,0.9,1.5,3.7,37.0,830650,36902013
Luka Doncic,PG,DAL,dk,58.0,11200,5.2,12.3,2,WAS,123,232,,,,,Proj 👉,28.1,3.2,7.6,7.6,0.4,1.6,3.3,36.0,1121277,36902015
Shai Gilgeous-Alexander,PG,OKC,dk,53.9,10100,5.3,17.9,3,TOR,118.75,227,,,,,Proj 👉,29.8,2.1,5.3,6.6,1.1,1.7,2.8,36.0,1067856,36902020
Karl-Anthony Towns,C,NYK,dk,49.1,9000,5.5,17.3,4,CHA,116.25,218,,,,,Proj 👉,24.4,2.3,12.0,3.1,0.8,0.8,2.1,34.0,837030,36902037
Domantas Sabonis,C,SAC,dk,48.8,9300,5.2,6.6,2,MEM,119.75,243,,,,,Proj 👉,21.0,1.1,13.3,6.6,0.5,0.8,3.8,37.0,850111,36902030
Devin Booker,PG/SG,PHX,dk,48.8,9400,5.2,11.8,1,NOP,112.25,223,,,,,Proj 👉,26.0,2.7,3.8,6.9,0.4,0.9,2.3,38.0,845564,36902026
Scottie Barnes,PG/SF,TOR,dk,48.3,9100,5.3,20.5,2,OKC,108.25,227,,,,,Proj 👉,20.4,1.4,8.6,6.8,0.7,1.6,3.3,36.0,1251666,36902032
De'Aaron Fox,PG,SAC,dk,45.3,9000,5,6.5,,MEM,119.75,243,,,,,Proj 👉,28.5,2.2,5.1,6.0,0.1,1.6,3.8,37.0,957489,36902039
Nikola Vucevic,C,CHI,dk,43.7,8500,5.1,3.8,1,SAS,117,236,,,,,Proj 👉,19.2,2.0,9.2,2.9,0.8,0.6,1.6,33.0,457598,36902067
Dejounte Murray,PG,NOP,dk,43.3,8100,5.3,8.9,2,PHX,110.75,223,,,,,Proj 👉,15.4,1.6,5.7,5.7,0.0,1.2,3.5,34.0,884168,36902089
Donovan Mitchell,PG/SG,CLE,dk,43.0,8800,4.9,9.3,-1,DEN,118,232.5,,,,,Proj 👉,23.4,3.5,4.6,3.9,0.3,1.5,1.9,35.0,879707,36902042
Jalen Brunson,PG,NYK,dk,42.9,8400,5.1,12.2,,CHA,116.25,218,,,,,Proj 👉,25.2,2.4,2.9,7.6,0.1,0.7,2.2,35.0,887914,36902074
Ja Morant,PG,MEM,dk,42.9,8700,4.9,10.1,,SAC,123.25,243,,,,,Proj 👉,19.0,0.9,4.0,8.1,0.3,0.7,3.6,32.0,1065906,36902049
Kyrie Irving,PG/SG,DAL,dk,42.9,8600,5,6.6,,WAS,123,232,,,,,Proj 👉,23.8,3.0,4.6,5.3,0.2,1.1,1.9,35.0,551768,36902052
Jalen Williams,PF,OKC,dk,42.8,8700,4.9,8.2,,TOR,118.75,227,,,,,Proj 👉,20.3,2.0,6.0,4.8,0.8,2.1,2.2,34.0,1182404,36902046
Zach Lavine,SG/SF,CHI,dk,40.6,7600,5.3,22.8,2,SAS,117,236,,,,,Proj 👉,21.4,3.1,4.4,4.0,0.3,0.8,2.6,35.0,743777,36902100
RJ Barrett,SF/PF,TOR,dk,40.2,8200,4.9,12.9,,OKC,108.25,227,,,,,Proj 👉,22.3,1.9,6.1,6.1,0.2,0.9,3.3,35.0,1132031,36902077
