TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,25,13,12,0.52,1205.0,1075,2320,0.463,308,904,0.341,469,597,0.786,315,833,1148,750,406.0,257,131,147,480,509,2927,-69.0,2,11,17,17,6,6,1,16,20,14,24,3,3,13,4,8,4,2,25,3,12,25,18,3,5,19
1610612738,Boston Celtics,24,19,5,0.792,1167.0,999,2185,0.457,456,1234,0.37,429,533,0.805,251,806,1057,617,283.0,177,135,94,402,466,2883,226.0,13,2,2,2,13,13,13,19,1,1,13,10,14,4,16,14,16,18,2,23,9,1,4,14,8,3
1610612751,Brooklyn Nets,24,10,14,0.417,1162.0,931,2016,0.462,366,951,0.385,414,513,0.807,202,710,912,619,351.0,167,91,157,538,472,2642,-90.0,13,20,20,20,15,23,23,18,5,8,4,15,21,2,29,29,29,17,14,28,28,29,27,12,19,21
1610612766,Charlotte Hornets,24,7,17,0.292,1162.0,923,2150,0.429,377,1035,0.364,347,443,0.783,312,772,1084,552,389.0,186,118,130,509,454,2570,-132.0,13,25,26,26,15,24,16,30,4,3,15,30,30,16,5,20,11,26,22,20,18,20,26,20,24,26
1610612741,Chicago Bulls,25,10,15,0.4,1200.0,1086,2272,0.478,418,1088,0.384,388,488,0.795,219,885,1104,734,386.0,179,116,125,459,418,2978,-97.0,2,20,21,21,9,3,5,9,2,2,5,24,25,6,23,2,10,3,21,22,20,15,13,29,3,22
1610612739,Cleveland Cavaliers,25,21,4,0.84,1200.0,1124,2216,0.507,386,955,0.404,401,514,0.78,226,851,1077,702,329.0,221,118,118,465,463,3035,248.0,2,1,1,1,9,1,11,1,3,7,1,19,20,17,22,6,13,5,9,7,18,13,14,16,2,2
1610612742,Dallas Mavericks,25,16,9,0.64,1205.0,1085,2229,0.487,334,888,0.376,459,595,0.771,287,860,1147,641,359.0,209,138,106,499,484,2963,170.0,2,6,6,6,6,4,9,5,12,15,9,4,4,22,10,3,5,13,17,9,6,7,21,7,4,5
1610612743,Denver Nuggets,22,12,10,0.545,1066.0,969,1969,0.492,257,672,0.382,416,555,0.75,244,735,979,679,320.0,194,106,129,407,464,2611,42.0,27,14,9,11,28,19,25,3,28,30,7,14,10,27,18,25,24,6,7,17,26,19,5,15,22,13
1610612765,Detroit Pistons,25,10,15,0.4,1215.0,1015,2189,0.464,333,917,0.363,400,523,0.765,282,852,1134,633,417.0,157,133,127,501,452,2763,-63.0,2,20,21,21,2,12,12,14,13,12,16,20,19,25,12,5,7,15,28,30,11,16,22,21,13,18
1610612744,Golden State Warriors,23,14,9,0.609,1109.0,961,2119,0.454,349,947,0.369,354,501,0.707,301,818,1119,672,331.0,206,121,143,475,421,2625,114.0,23,9,6,9,25,20,18,22,7,9,14,29,23,30,8,13,8,9,11,11,16,23,17,27,20,8
1610612745,Houston Rockets,24,16,8,0.667,1167.0,995,2265,0.439,287,870,0.33,450,585,0.769,340,858,1198,540,317.0,209,136,153,492,496,2727,169.0,13,6,4,5,13,15,6,27,23,18,26,5,5,23,1,4,1,27,6,9,7,26,20,4,14,6
1610612754,Indiana Pacers,25,10,15,0.4,1210.0,1061,2180,0.487,310,831,0.373,418,531,0.787,212,781,993,677,377.0,210,129,113,502,476,2850,-105.0,2,20,21,21,5,7,14,6,19,24,11,12,15,11,28,18,23,7,20,8,13,11,23,9,9,23
1610612746,LA Clippers,25,14,11,0.56,1205.0,996,2152,0.463,313,844,0.371,412,529,0.779,284,832,1116,615,410.0,234,107,131,472,455,2717,33.0,2,9,12,10,6,14,15,17,17,23,12,16,16,19,11,9,9,20,27,5,25,21,15,19,16,14
1610612747,Los Angeles Lakers,24,13,11,0.542,1157.0,981,2068,0.474,281,799,0.352,448,570,0.786,216,750,966,641,311.0,189,113,97,392,496,2691,-87.0,13,11,12,13,17,17,21,10,25,27,18,7,6,12,24,24,26,13,5,19,22,2,2,4,17,20
1610612763,Memphis Grizzlies,25,17,8,0.68,1200.0,1123,2298,0.489,331,934,0.354,476,612,0.778,303,888,1191,757,423.0,224,174,127,538,538,3053,218.0,2,4,4,4,9,2,3,4,14,10,17,2,2,20,7,1,2,1,29,6,2,16,27,2,1,4
1610612748,Miami Heat,22,12,10,0.545,1066.0,876,1940,0.452,330,862,0.383,387,494,0.783,227,731,958,582,280.0,198,80,116,360,412,2469,65.0,27,14,9,11,28,28,29,24,16,20,6,25,24,15,21,26,27,22,1,15,30,12,1,30,28,12
1610612749,Milwaukee Bucks,24,13,11,0.542,1157.0,985,2031,0.485,344,876,0.393,408,557,0.732,195,830,1025,573,338.0,171,135,97,445,474,2722,27.0,13,11,12,13,17,16,22,8,9,16,3,17,9,29,30,11,20,24,12,27,9,2,10,10,15,15
1610612750,Minnesota Timberwolves,23,12,11,0.522,1114.0,906,1949,0.465,350,934,0.375,380,479,0.793,213,759,972,577,373.0,197,110,107,428,447,2542,82.0,23,14,12,15,23,26,28,13,6,10,10,26,27,9,27,22,25,23,18,16,24,8,9,23,26,10
1610612740,New Orleans Pelicans,25,5,20,0.2,1200.0,977,2232,0.438,271,828,0.327,399,527,0.757,316,760,1076,595,375.0,235,136,146,446,440,2624,-293.0,2,28,30,29,9,18,7,28,27,25,27,21,17,26,3,21,14,21,19,4,7,24,11,24,21,29
1610612752,New York Knicks,24,15,9,0.625,1152.0,1044,2085,0.501,347,869,0.399,391,480,0.815,216,792,1008,674,306.0,174,103,105,417,450,2826,162.0,13,8,6,8,19,9,20,2,8,19,2,23,26,1,24,17,21,8,4,26,27,6,6,22,10,7
1610612760,Oklahoma City Thunder,24,19,5,0.792,1152.0,1037,2230,0.465,336,960,0.35,369,458,0.806,256,794,1050,624,283.0,292,153,121,503,432,2779,288.0,13,2,2,2,19,11,8,12,11,5,19,28,29,3,15,16,17,16,2,1,4,14,24,26,12,1
1610612753,Orlando Magic,27,17,10,0.63,1296.0,1042,2306,0.452,313,1014,0.309,510,650,0.785,296,845,1141,644,405.0,260,182,111,543,591,2907,108.0,1,4,9,7,1,10,2,23,17,4,30,1,1,14,9,7,6,12,23,2,1,9,29,1,7,9
1610612755,Philadelphia 76ers,22,7,15,0.318,1071.0,833,1892,0.44,254,792,0.321,394,510,0.773,234,647,881,479,320.0,205,89,127,454,434,2314,-108.0,27,25,21,25,27,30,30,25,29,28,28,22,22,21,19,30,30,30,7,12,29,16,12,25,30,24
1610612756,Phoenix Suns,23,12,11,0.522,1114.0,917,1960,0.468,343,907,0.378,422,534,0.79,214,781,995,617,329.0,176,112,101,423,456,2599,-20.0,23,14,12,15,23,25,27,11,10,13,8,11,13,10,26,18,22,18,9,25,23,4,7,18,23,16
1610612757,Portland Trail Blazers,24,8,16,0.333,1152.0,935,2149,0.435,282,848,0.333,402,524,0.767,311,720,1031,530,405.0,202,144,161,472,474,2554,-230.0,13,24,25,24,19,22,17,29,24,22,25,18,18,24,6,27,18,29,23,14,5,30,15,10,25,28
1610612758,Sacramento Kings,25,12,13,0.48,1215.0,1079,2220,0.486,302,873,0.346,450,566,0.795,247,832,1079,646,340.0,204,122,102,506,485,2910,80.0,2,14,19,19,2,5,10,7,21,17,21,5,7,7,17,9,12,11,13,13,15,5,25,6,6,11
1610612759,San Antonio Spurs,24,12,12,0.5,1152.0,951,2096,0.454,331,959,0.345,440,554,0.794,269,806,1075,670,355.0,185,155,112,397,461,2673,-41.0,13,14,17,18,19,21,19,21,14,6,22,8,11,8,14,14,15,10,15,21,3,10,3,17,18,17
1610612761,Toronto Raptors,25,7,18,0.28,1215.0,1055,2276,0.464,281,824,0.341,417,560,0.745,334,823,1157,714,409.0,193,119,155,556,479,2808,-122.0,2,25,27,27,2,8,4,15,25,26,23,13,8,28,2,12,3,4,26,18,17,28,30,8,11,25
1610612762,Utah Jazz,23,5,18,0.217,1104.0,892,1965,0.454,296,854,0.347,431,542,0.795,276,751,1027,561,423.0,158,115,153,427,470,2511,-219.0,23,28,27,28,26,27,26,20,22,21,20,9,12,5,13,23,19,25,29,29,21,26,8,13,27,27
1610612764,Washington Wizards,22,3,19,0.136,1056.0,876,1993,0.44,246,789,0.312,370,475,0.779,228,716,944,536,355.0,177,124,134,481,420,2368,-356.0,27,30,29,30,30,28,24,26,30,29,29,27,28,18,20,28,28,28,15,23,14,22,19,28,29,30
