id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury,full_name
3930,Jokic,Nikola,60.77,DEN,C,IND,35.00,25.21,1.48,12.76,9.25,1.61,0.59,3.32,8.00,4.77,1.13,9.48,6.32,0.76,0.372,,Nikola Jokic,
5658,Doncic,Luka,53.78,LAL,G,@ OKC,37.00,26.83,3.32,9.26,6.99,1.66,0.47,3.85,5.38,6.11,1.93,8.70,11.15,0.49,0.054,,Luka Doncic,
5693,Gilgeous-Alexander,Shai,51.69,OKC,G,LAL,33.00,30.66,1.87,4.91,6.63,1.70,0.81,2.37,8.39,8.27,0.94,10.26,10.39,0.11,0.003,,Shai Gilgeous-Alexander,
5052,Towns,Karl-Anthony,50.30,NYK,C,PHO,35.00,25.29,1.98,12.91,3.23,0.90,0.58,2.21,7.24,4.87,0.99,9.22,8.89,0.76,0.015,,Karl-Anthony Towns,
2011,James,LeBron,49.37,LAL,F,@ OKC,36.00,23.82,2.24,7.99,8.37,0.99,0.54,4.19,6.61,3.88,1.09,8.85,8.82,0.38,0.118,Playing,LeBron James,
6282,Giddey,Josh,48.98,CHI,G,@ CHA,33.00,20.22,1.65,10.01,7.47,1.36,0.81,3.06,5.48,4.31,1.10,7.13,7.81,0.58,0.180,,Josh Giddey,
5433,Sabonis,Domantas,46.21,SAC,C,@ CLE,36.00,17.06,0.78,14.64,5.60,0.64,0.39,2.76,5.94,2.84,1.17,6.72,5.45,0.81,0.056,,Domantas Sabonis,
5664,Young,Trae,45.38,ATL,G,UTA,34.00,21.84,2.27,2.78,11.60,1.16,0.17,4.25,4.50,6.03,0.86,6.77,9.37,0.65,0.007,Playing,Trae Young,
6504,Sharpe,Shaedon,44.54,POR,G,SAS,35.00,27.37,3.02,6.82,3.64,1.02,0.29,2.23,7.47,3.37,0.81,10.49,11.09,0.11,0.002,,Shaedon Sharpe,
6276,Mobley,Evan,44.04,CLE,C,SAC,33.00,20.57,1.44,9.88,3.77,0.91,1.60,2.08,6.33,3.59,1.30,7.77,5.84,0.49,0.010,,Evan Mobley,
6152,Haliburton,Tyrese,43.68,IND,G,@ DEN,34.00,19.40,3.07,3.20,9.46,1.53,0.75,1.54,3.89,2.41,0.36,6.96,7.48,0.49,0.010,,Tyrese Haliburton,
5460,Mitchell,Donovan,43.68,CLE,G,SAC,33.00,25.81,3.48,4.50,5.65,1.21,0.26,2.05,5.17,5.03,0.97,8.65,10.64,0.07,0.002,,Donovan Mitchell,
6281,Sengun,Alperen,43.02,HOU,C,@ GSW,33.00,17.61,0.25,11.71,4.93,1.12,0.76,3.00,6.50,3.86,1.81,6.75,7.02,0.62,0.019,,Alperen Sengun,
2999,Curry,Stephen,42.97,GSW,G,HOU,34.00,26.91,5.21,3.69,4.90,0.88,0.47,2.50,3.52,4.24,0.32,8.73,11.20,0.03,0.001,,Stephen Curry,
6503,Daniels,Dyson,42.77,ATL,G,UTA,34.00,18.79,1.33,6.28,5.34,3.36,0.75,1.90,6.33,2.14,1.33,7.66,6.73,0.11,0.008,,Dyson Daniels,
5002,Booker,Devin,42.75,PHO,G,@ NYK,38.00,26.28,2.57,3.83,6.74,0.70,0.17,3.25,6.57,5.43,0.62,9.14,10.25,0.11,0.002,,Devin Booker,
6149,Okongwu,Onyeka,40.68,ATL,C,UTA,32.00,17.51,0.88,10.62,2.78,1.20,1.32,1.21,6.10,2.67,0.86,6.98,5.12,0.56,0.006,,Onyeka Okongwu,
3404,Vucevic,Nikola,39.53,CHI,C,@ CHA,30.00,17.47,1.47,10.29,3.60,0.81,0.64,1.41,5.86,1.34,0.36,7.33,7.28,0.56,0.011,,Nikola Vucevic,
6337,Banton,Dalano,39.31,POR,F,SAS,34.00,20.39,2.41,4.81,5.84,1.15,0.89,2.49,4.86,3.44,1.20,7.27,10.51,0.07,0.002,,Dalano Banton,
5673,Bridges,Miles,39.12,CHA,F,CHI,30.00,20.68,2.16,7.07,4.19,0.63,0.66,1.67,5.53,3.14,0.51,7.69,9.29,0.31,0.009,,Miles Bridges,
6940,Clingan,Donovan,39.00,POR,C,SAS,30.00,12.76,0.13,13.16,2.20,0.87,2.28,1.61,5.27,1.83,1.32,5.40,3.55,0.61,0.006,,Donovan Clingan,
6112,Garland,Darius,38.79,CLE,G,SAC,33.00,20.50,2.68,3.06,7.56,1.20,0.13,2.71,4.85,2.76,0.45,7.53,7.96,0.31,0.006,,Darius Garland,
6518,Williams,Jalen,37.23,OKC,G,LAL,32.00,19.50,1.60,4.81,5.21,1.38,0.60,1.93,5.77,3.16,0.90,7.37,7.64,0.07,0.002,,Jalen Williams,
5475,White,Derrick,36.83,BOS,G,WAS,31.00,19.30,4.16,4.26,4.41,1.02,1.11,1.59,2.28,2.26,0.42,6.44,8.06,0.03,0.001,,Derrick White,
3357,Butler,Jimmy,36.81,GSW,F,HOU,34.00,18.37,0.56,5.81,5.56,1.31,0.31,1.61,5.14,6.41,1.11,5.70,5.94,0.07,0.005,,Jimmy Butler,
5976,White,Coby,36.77,CHI,G,@ CHA,35.00,22.24,3.02,4.07,4.47,0.92,0.26,2.37,4.46,4.26,0.50,7.48,9.53,0.03,0.001,,Coby White,
5476,Hart,Josh,36.69,NYK,G,PHO,38.00,11.15,0.73,9.47,6.56,1.65,0.28,1.89,3.65,1.66,0.51,4.38,3.99,0.32,0.035,,Josh Hart,
6330,Reaves,Austin,36.57,LAL,G,@ OKC,37.00,20.00,2.58,4.98,4.80,1.04,0.47,2.43,3.76,4.74,0.57,6.34,7.69,0.03,0.001,,Austin Reaves,
5679,Brunson,Jalen,36.46,NYK,G,PHO,32.00,20.77,1.74,2.91,6.50,0.99,0.15,2.03,5.65,4.25,0.88,7.39,7.64,0.11,0.001,Questionable,Jalen Brunson,
5345,Murray,Jamal,36.44,DEN,G,IND,34.00,19.73,2.18,3.37,6.01,1.15,0.42,1.83,5.21,2.77,0.33,7.39,7.62,0.11,0.002,Questionable,Jamal Murray,
6937,Castle,Stephon,36.29,SAS,G,@ POR,33.00,21.87,1.75,4.66,4.06,1.26,0.24,2.84,6.16,4.30,1.72,7.91,9.21,0.03,0.001,,Stephon Castle,
6498,Holmgren,Chet,35.81,OKC,F,LAL,30.00,15.42,1.29,8.71,1.97,0.68,2.42,1.59,4.05,3.45,0.94,5.34,5.33,0.33,0.000,,Chet Holmgren,
5266,Brown,Jaylen,35.20,BOS,F,WAS,27.00,19.54,1.53,5.27,4.35,1.08,0.26,2.02,5.84,3.27,1.07,7.37,8.23,0.07,0.002,Playing,Jaylen Brown,
5469,Anunoby,O.G.,35.10,NYK,F,PHO,36.00,20.27,2.68,4.49,2.50,1.61,0.73,1.20,4.58,3.07,0.63,7.26,7.75,0.03,0.000,,O.G. Anunoby,
6511,Williams,Mark,35.04,CHA,C,CHI,30.00,13.10,0.00,11.19,2.35,0.77,1.35,1.22,5.34,2.42,0.76,5.34,3.56,0.52,0.005,,Mark Williams,
3920,Gordon,Aaron,34.70,DEN,F,IND,33.00,19.40,1.62,5.97,3.93,0.54,0.41,1.76,5.27,4.00,1.19,6.89,5.59,0.07,0.001,,Aaron Gordon,
6935,Sarr,Alexandre,34.69,WAS,F,@ BOS,30.00,16.89,2.22,7.39,2.37,0.67,1.50,1.74,4.13,1.97,1.00,6.35,9.99,0.28,0.003,,Alexandre Sarr,
6363,Alvarado,Jose,34.46,NOR,G,MIL,30.00,16.64,3.13,3.51,6.05,1.45,0.29,1.69,2.71,1.83,0.43,5.84,8.84,0.10,0.002,Questionable,Jose Alvarado,
6732,Thompson,Amen,33.82,HOU,F,@ GSW,33.00,13.15,0.29,7.97,3.81,1.33,1.45,2.20,5.10,2.08,0.98,5.39,4.29,0.25,0.005,,Amen Thompson,
6057,Barrett,R.J.,33.67,TOR,G,@ BKN,28.00,19.16,1.61,5.40,4.32,0.55,0.33,2.80,5.79,2.75,1.56,7.40,7.65,0.07,0.002,Off Injury Report,R.J. Barrett,
6280,Green,Jalen,33.53,HOU,G,@ GSW,33.00,20.81,2.91,4.08,3.53,0.74,0.35,2.71,4.65,2.78,0.73,7.56,10.08,0.03,0.001,,Jalen Green,
6742,Podziemski,Brandin,33.42,GSW,G,HOU,34.00,15.90,2.57,6.50,3.71,1.29,0.23,1.29,3.26,1.67,0.59,5.83,7.57,0.10,0.002,,Brandin Podziemski,
3932,LaVine,Zach,33.36,SAC,G,@ CLE,36.00,20.72,2.67,4.25,3.49,0.78,0.13,2.21,4.69,3.33,0.68,7.36,7.48,0.03,0.001,,Zach LaVine,
