"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Anthony Edwards","Minnesota Timberwolves","Vet",36.7,96,29.8,5.1,4.9,0.8,0.7,1.3,3.4,22.2,7.1,10.5,4.8,1.8,2025-02-12
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",33.1,100,29.7,5.5,3.8,0.8,0.9,1.8,2.5,21.1,9.2,5.4,5.6,2.1,2025-02-12
"Tyrese Maxey","Philadelphia 76ers","Vet",38.8,97.2,28.7,6.3,3.3,0.4,0.4,1.5,2.4,21.3,5.9,9.4,5.2,2.1,2025-02-12
"Nikola Jokic","Denver Nuggets","Vet",34.1,101.1,28.1,9.6,9.3,2.6,0.7,1.6,3.2,18.1,5.7,4.7,5.5,2.1,2025-02-12
"Devin Booker","Phoenix Suns","Vet",37,97.1,26.8,6.3,3.3,0.8,0.2,1,2.8,19.4,7.2,7.5,2.6,2.4,2025-02-12
"Jayson Tatum","Boston Celtics","Vet",36.4,96.6,26.7,5.8,7.3,0.7,0.5,1.1,2.7,19.8,6.1,10,4.5,1.9,2025-02-12
"Damian Lillard","Milwaukee Bucks","Vet",36.6,100.2,26.7,7.4,3.9,0.5,0.3,1.1,2.9,18.1,7,9.1,3.5,1.7,2025-02-12
"LeBron James","Los Angeles Lakers","Vet",34.1,98.2,26.6,9,6.6,0.9,0.5,1.1,3.8,19,4.7,5.7,5.1,1.3,2025-02-12
"Cade Cunningham","Detroit Pistons","Vet",34.2,99.8,26.1,8.7,4.9,0.8,0.6,1,3.7,20.8,5.1,5.7,4.3,2.4,2025-02-12
"Franz Wagner","Orlando Magic","Vet",33.9,96.8,26,4.7,4.6,1,0.4,1.2,2.2,20.1,5.8,6.4,4.6,2.4,2025-02-12
"Jalen Brunson","New York Knicks","Vet",34.1,96.8,25.9,7.2,2.4,0.5,0.1,1,2.3,18.3,6.8,5.1,3.3,2,2025-02-12
"Trae Young","Atlanta Hawks","Vet",36.3,104,25.9,11.4,2.7,0.5,0.3,1.2,4.1,19,7.2,9,2.4,1.8,2025-02-12
"Jaren Jackson Jr.","Memphis Grizzlies","Vet",31.8,103.5,25.1,2.8,4.6,1.5,1.5,1.3,2.3,17.8,6.1,5.8,3,3.3,2025-02-12
"Stephen Curry","Golden State Warriors","Vet",32.4,100.1,24.9,5.7,3.7,0.5,0.4,0.9,2.7,19,3.9,11.1,1.9,1.4,2025-02-12
"Donovan Mitchell","Cleveland Cavaliers","Vet",31.7,100.3,24.5,5.2,3.6,0.7,0.3,1.4,2.2,18.9,4.4,8.7,3.2,2,2025-02-12
"Kyrie Irving","Dallas Mavericks","Vet",38.2,97.3,24.5,5.2,3.7,1.1,0.4,1.4,2.3,19.1,4.4,7,3.4,2,2025-02-12
"Victor Wembanyama","San Antonio Spurs","Sophomore",33.9,98.8,24.2,3.9,9.6,1.9,3.3,1.2,2.6,18.3,4.5,8.3,4.3,2.2,2025-02-12
"Norman Powell","Los Angeles Clippers","Vet",34.4,99.2,23.1,2.4,3.2,0.4,0.2,1.1,1.8,16.8,4.7,7.5,4.4,2,2025-02-12
"Zion Williamson","New Orleans Pelicans","Vet",27.7,101.7,22.8,4.8,4.2,2.2,0.7,1.1,3.1,16.1,7.2,0.4,8.6,2.4,2025-02-12
"Jalen Green","Houston Rockets","Vet",34.6,97.5,22.8,3.6,4.1,0.5,0.3,0.9,2.5,18.4,4.3,8.2,4.4,1.6,2025-02-12
"Karl-Anthony Towns","New York Knicks","Vet",33.7,97.7,22.6,3.1,9,2.8,0.8,0.9,2.3,15.7,5.5,4.3,6.5,3.2,2025-02-12
"Darius Garland","Cleveland Cavaliers","Vet",30.5,100.2,22.3,6.2,2.1,0.6,0.2,1.2,2.6,16.1,3.8,7.2,3.1,2,2025-02-12
"DeMar DeRozan","Sacramento Kings","Vet",35.3,100.1,22,3.8,3.5,0.5,0.4,1,1.3,16.3,5.2,3.3,1.6,1.8,2025-02-12
"Zach LaVine","Sacramento Kings","Vet",34.4,100.6,21.9,4.2,4.1,0.4,0.2,0.9,2.5,16.1,4.4,6.6,5.1,1.7,2025-02-12
"Jalen Williams","Oklahoma City Thunder","Vet",33.1,99.9,21.8,5.3,4.3,0.8,0.6,1.6,2.2,17,4.1,4.7,3.7,2.2,2025-02-12
"Pascal Siakam","Indiana Pacers","Vet",32.7,99.2,21.8,3.5,5.5,1.8,0.5,0.9,1.4,16.1,4.2,4.2,3.8,2.4,2025-02-12
"Trey Murphy III","New Orleans Pelicans","Vet",35.5,100.4,21.8,3.8,4.5,0.9,0.6,1.2,1.9,15.6,4.4,8.1,3.6,2,2025-02-12
"De'Aaron Fox","San Antonio Spurs","Vet",35.3,99.8,21.7,6.3,3.6,0.8,0.4,1.6,2.4,17.1,4.8,5.9,3.2,2.4,2025-02-12
"Scottie Barnes","Toronto Raptors","Vet",35,98.5,21.6,6.1,6.3,1.5,1.3,1.3,2.6,18,5.1,4.7,4.1,1.9,2025-02-12
"Paolo Banchero","Orlando Magic","Vet",32.9,96.2,21.5,5.1,5.9,0.9,0.6,0.8,2.9,17.8,6.3,5.1,3.7,1.9,2025-02-12
"Miles Bridges","Charlotte Hornets","Vet",33.3,97.9,21.3,3.9,6.2,1.1,0.6,0.8,2.2,17.3,3.6,6.4,4.8,1.6,2025-02-12
"Anfernee Simons","Portland Trail Blazers","Vet",34.9,97.2,21.1,5.8,2.7,0.4,0.2,0.8,2.2,17,2.8,9.5,2.5,1.8,2025-02-12
"Jordan Poole","Washington Wizards","Vet",31.5,101.9,20.9,5.3,2.9,0.5,0.4,1.2,2.9,16.5,4.1,9.6,2.8,2.9,2025-02-12
"James Harden","Los Angeles Clippers","Vet",34.2,98.2,20.7,9.1,4.4,0.6,0.5,1.3,3.7,15.3,6.1,7.5,2.2,1.9,2025-02-12
"Jamal Murray","Denver Nuggets","Vet",34.7,99.8,20.7,5.9,3.2,0.7,0.4,1.3,2.1,16.1,3.1,5.1,3.3,1.7,2025-02-12
"Ja Morant","Memphis Grizzlies","Vet",30.4,104,20.6,7.2,3.6,0.7,0.4,1.2,3.4,16,5.5,5.2,4.8,1.9,2025-02-12
"Alperen Sengun","Houston Rockets","Vet",31.9,97.9,20.3,4.8,7.2,3.5,0.7,1.2,2.5,15.9,5.7,1.4,6.4,3,2025-02-12
"Austin Reaves","Los Angeles Lakers","Vet",34.7,98.7,20.1,6.1,3.6,0.8,0.3,1,2.5,14.1,5.2,6.8,2.8,1.8,2025-02-12
"Luka Doncic","Los Angeles Lakers","Vet",28.2,98.9,19.9,5.7,5.9,0.7,0.3,1.3,2.5,15.3,4.2,7.4,2,1.9,2025-02-12
"Desmond Bane","Memphis Grizzlies","Vet",32.7,102.2,19.6,5.9,4.7,1,0.4,1.2,2.6,14.8,2.9,5.6,4.2,2.3,2025-02-12
"Malik Monk","Sacramento Kings","Vet",33.8,100.7,19.4,6.3,3.3,0.6,0.5,1,2.5,15.8,3.3,6.1,3.4,2.6,2025-02-12
"Domantas Sabonis","Sacramento Kings","Vet",35.4,99.9,19.2,6.2,10.7,3.7,0.5,0.8,2.9,12.8,4.6,2.7,6,3.3,2025-02-12
"Kristaps Porzingis","Boston Celtics","Vet",29.9,98,19,2.3,5.7,1.5,1.8,0.8,1.4,13.9,4.6,6,3,2.8,2025-02-12
"Lauri Markkanen","Utah Jazz","Vet",32.3,99.8,19,1.8,4.6,1.6,0.4,0.8,1.2,15.2,3.9,8.5,2.8,1.8,2025-02-12
"Evan Mobley","Cleveland Cavaliers","Vet",30.4,100.5,18.7,3.2,6.8,2.3,1.5,0.9,1.8,13.1,4.1,3.3,5.8,2.2,2025-02-12
"John Collins","Utah Jazz","Vet",31.6,101.5,18.2,2,6.4,2.4,1.1,0.8,2,12.9,4,3.7,4.2,3.1,2025-02-12
"Kawhi Leonard","Los Angeles Clippers","Vet",28.6,98.3,17.9,2.9,4.2,0.9,0.6,1.3,1.6,14.5,2.9,4.1,2.6,1.4,2025-02-12
"Tyrese Haliburton","Indiana Pacers","Vet",32.8,99.5,17.8,7.8,3.1,0.6,0.6,1.4,1.8,13.5,2.7,7.2,1.6,1.2,2025-02-12
"Cameron Johnson","Brooklyn Nets","Vet",29.9,95.8,17.8,2.8,3.1,0.8,0.4,0.9,1.4,13,3,7.3,2.2,1.7,2025-02-12
"Bam Adebayo","Miami Heat","Vet",33.1,96.4,17.5,4.2,7.2,2.5,0.7,1.1,2.2,14,4.1,2.6,3,2.1,2025-02-12
"Coby White","Chicago Bulls","Vet",30.8,101.6,17.4,4.3,2.7,0.4,0.1,0.8,2.1,13.5,3.2,7.1,3.4,2,2025-02-12
"Deni Avdija","Portland Trail Blazers","Vet",32.5,97.3,17.1,4.4,5.8,1.2,0.5,1,2.7,12.6,5,5.3,4.3,2.4,2025-02-12
"Devin Vassell","San Antonio Spurs","Vet",32.3,98.3,16.9,3.1,3.1,0.4,0.4,1.1,1.3,13.8,2,6.7,2.4,1.4,2025-02-12
"Naz Reid","Minnesota Timberwolves","Vet",31.9,96.5,16.7,2.4,5.2,1.2,1,1,1.5,12.6,2,6.6,3.1,2.4,2025-02-12
"Shaedon Sharpe","Portland Trail Blazers","Vet",28.1,97.4,16.6,2.3,2.8,0.7,0.2,0.8,1.6,13.8,2.9,6,3.3,1.7,2025-02-12
"Jimmy Butler","Golden State Warriors","Vet",29.9,98.4,16.5,4.6,3.1,2,0.3,1.3,1.5,10.9,6,1.3,4.1,1.3,2025-02-12
"Paul George","Philadelphia 76ers","Vet",31,97.6,16.4,3.9,4.4,0.6,0.4,1.4,2,13.3,2.6,6.2,1.6,2.4,2025-02-12
"Mikal Bridges","New York Knicks","Vet",35,97.3,16.4,3.1,2.6,0.8,0.4,1,1.3,13.6,1.6,5.5,2.9,1.4,2025-02-12
"Jordan Clarkson","Utah Jazz","Vet",26.5,100.3,16.4,3.9,2.3,0.6,0.2,0.7,1.9,13.4,2.8,6.7,1.3,1.5,2025-02-12
"De'Andre Hunter","Cleveland Cavaliers","Vet",28.8,101.3,16.3,1.9,3.1,0.7,0.2,0.7,1.3,11.9,3.2,6.6,2,2.3,2025-02-12
"Kyle Kuzma","Milwaukee Bucks","Vet",29.2,101.1,16.2,2.9,5.1,0.8,0.4,0.6,2,13.1,3.2,5.2,3.5,1.8,2025-02-12
"Immanuel Quickley","Toronto Raptors","Vet",29.4,97.6,16.1,6.1,3,0.4,0.1,0.8,1.7,12.2,3.3,6.4,1.5,1.7,2025-02-12
"Christian Braun","Denver Nuggets","Vet",33.7,99.6,16,2.4,4,1.5,0.5,1,1.1,11.5,2.7,2.8,5.2,2.2,2025-02-12
"Kelly Oubre Jr.","Philadelphia 76ers","Vet",36.7,96.8,15.9,2.5,5.2,1.8,0.6,1.5,1.4,12.7,3.4,3.6,4.8,2.8,2025-02-12
"Amen Thompson","Houston Rockets","Sophomore",36.3,97.8,15.8,4.6,6.3,3,1.3,1.7,2.5,11.5,3.9,1.5,5.8,2.7,2025-02-12
"Andrew Wiggins","Miami Heat","Vet",28.7,97.8,15.8,2.5,2.9,1.2,0.7,0.8,1.5,12.5,3.4,5.6,2.4,1.7,2025-02-12
"Nikola Vucevic","Chicago Bulls","Vet",29,101.8,15.8,3.1,7,2.1,0.7,0.8,1.4,12.6,1.6,3.8,3,2.1,2025-02-12
"Josh Hart","New York Knicks","Vet",37.1,97.1,15.4,5.6,7.7,2.3,0.3,1.4,2,11.2,3,3.1,5.4,2.5,2025-02-12
"Ivica Zubac","Los Angeles Clippers","Vet",32.1,99,15.2,2.6,9,3.8,1.1,0.7,1.6,11.2,3,0.4,6.1,2.2,2025-02-12
