Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Nikola Jokic,C,DEN,dk,67.6,12000,5.6,23.0,7,CHA,118.75,225,,,,,Proj 👉,30.1,2.1,13.2,9.9,0.6,1.8,3.1,36.0,830650,37499556
Shai Gilgeous-Alexander,PG,OKC,dk,55.7,10800,5.2,28.3,1,SAC,122.5,237.5,,,,,Proj 👉,30.6,1.9,5.2,5.9,1.1,2.0,2.6,35.0,1067856,37499560
Karl-Anthony Towns,C,NYK,dk,53.3,9900,5.4,12.3,3,LAL,118.5,226,,,,,Proj 👉,25.4,2.2,13.9,3.3,0.8,1.0,2.6,36.0,837030,37499573
Domantas Sabonis,C,SAC,dk,52.8,10100,5.2,9.5,2,OKC,115,237.5,,,,,Proj 👉,20.8,1.2,14.2,6.3,0.5,0.7,2.9,36.0,850111,37499568
Lebron James,PF,LAL,dk,49.8,10700,4.7,11.6,-3,NYK,107.5,226,,,,,Proj 👉,23.8,2.3,7.4,8.9,0.6,0.9,3.8,36.0,214152,37499563
Jalen Brunson,PG,NYK,dk,44.1,8700,5.1,9.5,,LAL,118.5,226,,,,,Proj 👉,26.7,2.4,3.1,7.6,0.0,0.9,2.5,37.0,887914,37499584
De'Aaron Fox,PG,SAC,dk,44.0,7600,5.8,9.3,6,OKC,115,237.5,,,,,Proj 👉,25.2,1.9,5.1,6.1,0.4,1.6,3.1,35.0,957489,37499603
Tyler Herro,PG,MIA,dk,41.5,8600,4.8,12.0,-1,SAS,112.25,221.5,,,,,Proj 👉,24.0,3.9,5.7,5.0,0.1,0.7,2.4,36.0,1134176,37499590
Mark Williams,C,CHA,dk,41.2,8400,4.9,2.3,,DEN,106.25,225,,,,,Proj 👉,11.7,0.0,7.5,1.8,0.8,0.5,0.9,29.0,1230361,37499598
Amen Thompson,PG/SF,HOU,dk,40.9,8500,4.8,2.5,-1,BKN,111.25,209.5,,,,,Proj 👉,13.2,0.3,8.0,2.5,1.2,1.3,2.0,37.0,1429337,37499593
Isaiah Hartenstein,C,OKC,dk,39.7,7200,5.5,16.7,3,SAC,122.5,237.5,,,,,Proj 👉,10.2,0.0,10.5,3.5,1.1,0.8,1.7,31.0,1057004,37499628
Naz Reid,PF/C,MIN,dk,39.7,5500,7.2,43.3,12,WAS,115.25,218.5,,,,,Proj 👉,11.8,1.8,4.5,1.5,0.8,0.7,1.1,32.0,1137200,37499692
Bam Adebayo,PF/C,MIA,dk,39.3,7700,5.1,24.7,,SAS,112.25,221.5,,,,,Proj 👉,14.8,0.7,9.2,4.3,0.8,1.4,2.0,34.0,957486,37499609
Jalen Green,SG,HOU,dk,38.8,7200,5.4,2.8,2,BKN,111.25,209.5,,,,,Proj 👉,19.8,2.7,4.0,2.4,0.3,0.9,2.2,33.0,1271706,37499625
Jamal Murray,PG/SG,DEN,dk,38.5,7500,5.1,27.4,1,CHA,118.75,225,,,,,Proj 👉,20.1,2.2,3.9,6.0,0.6,1.5,2.3,36.0,891352,37499617
