PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,1,1,0,1.0,1.4333333333333333,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,2,-3,2.0,0,0,2.0,430,343,1,1,454,406,434,1,347,398,347,384,379,384,403,432,439,407,399,383,323,1,1,362,416,243,442,106,11,442
1631260,AJ Green,AJ,1610612749,MIL,25.0,5,4,1,0.8,109.88833333333334,9,28,0.321,8,23,0.348,4,5,0.8,4,14,18,3,1,2,0,0,11,6,30,40,61.1,0,0,63.0,320,173,28,36,278,313,284,384,190,199,180,245,258,174,230,254,265,337,351,278,323,1,211,243,298,55,313,106,11,309
1642358,AJ Johnson,AJ,1610612749,MIL,20.0,1,1,0,1.0,3.95,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,0,0,3,4.2,0,0,3.0,430,343,1,1,443,422,434,422,347,398,347,384,389,384,403,414,425,354,399,383,323,1,1,414,432,185,434,106,11,436
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,8,6,2,0.75,165.67166666666665,31,62,0.5,8,22,0.364,17,19,0.895,7,18,25,15,11,5,2,4,7,15,87,37,149.5,0,0,149.0,211,62,86,71,221,166,191,132,190,204,153,96,115,98,166,226,216,181,127,190,183,289,154,130,162,67,208,106,11,204
1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,8,6,2,0.75,101.855,12,30,0.4,9,22,0.409,4,4,1.0,2,6,8,9,7,5,2,1,8,6,37,9,74.1,0,0,77.0,211,62,86,71,283,292,276,309,177,204,94,245,274,1,299,328,330,253,209,190,183,125,173,243,280,152,299,106,11,290
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,4,3,1,0.75,59.81666666666667,12,21,0.571,5,11,0.455,4,4,1.0,1,10,11,3,4,0,0,2,5,4,33,19,46.7,0,0,52.0,350,224,28,71,325,292,309,72,233,263,57,245,274,1,341,289,307,337,274,383,323,198,127,288,290,115,324,106,11,318
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,10,7,3,0.7,238.53166666666667,42,78,0.538,7,30,0.233,8,10,0.8,13,28,41,21,10,5,1,3,17,6,99,42,187.7,0,0,180.0,1,19,174,96,141,107,134,94,206,163,313,196,196,174,83,141,119,130,140,190,237,251,321,243,132,53,162,106,11,163
1641745,Adam Flagler,Adam,1610612760,OKC,25.0,4,3,1,0.75,16.23,0,11,0.0,0,9,0.0,0,0,0.0,1,1,2,0,1,0,1,1,2,0,0,-9,4.4,0,0,4.0,350,224,28,71,403,422,353,422,347,278,347,384,389,384,341,414,406,407,351,383,237,125,63,414,432,301,432,106,11,431
1641737,Adem Bona,Adem,1610612755,PHI,21.0,10,3,7,0.3,167.6,18,25,0.72,0,0,0.0,10,19,0.526,18,23,41,4,9,4,10,2,30,18,46,-30,134.2,0,0,119.0,1,224,402,349,218,247,293,15,347,398,347,162,115,334,51,179,119,322,158,223,27,198,443,102,253,392,222,106,11,239
201143,Al Horford,Al,1610612738,BOS,38.0,7,4,3,0.571,152.32333333333332,15,40,0.375,8,26,0.308,0,0,0.0,10,20,30,10,1,0,8,1,7,2,38,16,112.0,0,0,102.0,258,173,174,184,235,268,254,342,190,185,234,384,389,384,115,210,178,240,351,383,43,125,154,332,276,122,254,106,11,262
