Position,Name + ID,PLAYER_NAME,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Visitor,Home,Opp,DK Player,SEASON_ID,PLAYER_ID,TEAM_ID,GAME_ID,GAME_DATE,MATCHUP,WL,Minutes Last Game,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,GAME DATE,PLAYER,DK,PLUS MINUS,MATCH UP,W/L,TEAM,AST_CONSISTENCY,AST_CUM_AVG,AST_LAST_10_AVG,AST_LAST_3_AVG,AST_LAST_5_AVG,AST_PER_MIN,AST_TREND,AST_VS_TEAM_AVG,BLOWOUT_GAME,DAYS_REST,DK_CONSISTENCY,DK_CUM_AVG,DK_LAST_10_AVG,DK_LAST_3_AVG,DK_LAST_5_AVG,DK_TREND,DK_TREND_5,FREQ_ABOVE_20,FREQ_ABOVE_25,FREQ_ABOVE_30,GAME_DAY,IS_B2B,IS_HOME,IS_TOP_3_PROJ,LOW_MIN_TOP_PLAYER,MIN_ABOVE_20,MIN_ABOVE_25,MIN_ABOVE_30,MIN_ABOVE_AVG_STREAK,MIN_CONSISTENCY,MIN_CONSISTENCY_SCORE,MIN_CUM_AVG,MIN_LAST_10_AVG,MIN_LAST_3_AVG,MIN_LAST_5_AVG,MIN_TREND,MIN_VS_TEAM_AVG,PLUS MINUS_CONSISTENCY,PLUS MINUS_CUM_AVG,PLUS MINUS_LAST_10_AVG,PLUS MINUS_LAST_3_AVG,PLUS MINUS_LAST_5_AVG,PLUS MINUS_TREND,PLUS_MINUS_PER_MIN,PTS_ABOVE_AVG_STREAK,PTS_CONSISTENCY,PTS_CUM_AVG,PTS_LAST_10_AVG,PTS_LAST_3_AVG,PTS_LAST_5_AVG,PTS_PER_MIN,PTS_TREND,PTS_VS_TEAM_AVG,REB_CONSISTENCY,REB_CUM_AVG,REB_LAST_10_AVG,REB_LAST_3_AVG,REB_LAST_5_AVG,REB_PER_MIN,REB_TREND,REB_VS_TEAM_AVG,RECENT_IMPACT,RECENT_SCORING_EFF,ROLE_CHANGE_3_10,ROLE_CHANGE_5_10,SCORING_EFFICIENCY,TEAM_MIN_PERCENTAGE,TEAM_PROJ_RANK,WIN,Minutes,Projection,Min Minutes,Max Minutes,Original_Minutes,Predicted_Minutes,Min_Required_Minutes,injury
PG,Luka Doncic (38239577),Luka Doncic,38239577,PG/G/UTIL,11900,LAL@MEM 03/29/2025 08:00PM ET,LAL,55.72,LAL,MEM,MEM,Luka Doncic,22024,1629029,1610612747,22401063,3/27/2025,LAL @ CHI,L,38,8,22,0.364,4,12,0.333,5,6,0.833,0,10,10,8,2,1,1,0,25,-1,57.0,1,3/27/2025,Luka Dončić,57.0,-1,LAL @ CHI,L,Los Angeles Lakers,3.44,7.81,7.5,7.333,7.0,0.211,0,2.4,0,1,6.511,52.833,54.97,53.6,52.1,0,-0.96,1.0,1.0,1.0,147,1,0,1,0,1,1,1,3,3.098,0.085,35.214,36.6,38.0,35.6,1,1.431,15.083,6.0,-1.2,-8.667,-3.0,0,-0.026,0,7.031,27.81,31.1,30.333,31.2,0.658,1,1.923,1.792,8.452,9.1,8.0,8.0,0.263,0,2.25,-0.228,0.798,1.4,1.0,0.658,15.9,1,0,36.0,55.37,0,48,36.0,36.0,0.0,
PG,Shai Gilgeous-Alexander (38239580),Shai Gilgeous-alexander,38239580,PG/G/UTIL,10800,IND@OKC 03/29/2025 08:00PM ET,OKC,53.76,IND,OKC,IND,Shai Gilgeous-Alexander,22024,1628983,1610612760,22401064,3/27/2025,OKC vs. MEM,W,34,15,25,0.6,0,2,0.0,7,9,0.778,0,3,3,6,3,0,0,0,37,26,58.6,1,3/27/2025,Shai Gilgeous-Alexander,58.6,26,OKC vs. MEM,W,Oklahoma City Thunder,1.37,6.286,6.9,6.333,7.2,0.176,1,2.786,1,2,8.984,54.166,54.33,51.767,51.08,0,-2.64,1.0,1.0,0.9,147,0,1,1,0,1,1,1,0,2.601,0.074,34.3,35.1,34.667,33.6,0,1.849,14.051,12.3,11.1,13.0,15.6,1,0.765,1,7.168,32.871,34.4,31.667,31.2,1.088,0,3.848,2.271,5.043,4.4,4.667,4.4,0.088,0,0.867,0.386,0.92,0.433,1.5,1.088,14.226,1,1,35.0,58.71,0,48,35.0,35.0,0.0,
SF/PF,Jayson Tatum (38239583),Jayson Tatum,38239583,SF/PF/F/UTIL,10200,BOS@SAS 03/29/2025 08:00PM ET,BOS,51.2,BOS,SAS,SAS,Jayson Tatum,22024,1628369,1610612738,22401044,3/24/2025,BOS @ SAC,W,26,8,15,0.533,5,9,0.556,4,8,0.5,0,7,7,8,0,0,3,1,25,13,42.4,1,3/24/2025,Jayson Tatum,42.4,13,BOS @ SAC,W,Boston Celtics,2.16,5.955,7.0,7.667,7.2,0.308,1,3.429,0,1,16.232,48.35,51.86,49.3,45.16,0,-1.64,1.0,1.0,0.9,144,1,0,1,1,1,1,0,0,5.462,0.15,36.394,36.5,32.0,33.8,0,1.3,10.456,7.424,8.0,15.667,8.4,1,0.5,0,9.012,27.136,29.9,27.0,25.8,0.962,0,2.655,3.425,8.682,8.8,7.333,6.8,0.269,0,1.867,0.493,0.853,4.5,2.7,0.962,10.833,1,1,31.0,42.63,0,48,31.0,31.0,0.0,Off Injury Report
SF/PF,LeBron James (38239587),LeBron James,38239587,SF/PF/F/UTIL,10000,LAL@MEM 03/29/2025 08:00PM ET,LAL,50.85,LAL,MEM,MEM,LeBron James,22024,2544,1610612747,22401063,3/27/2025,LAL @ CHI,L,39,8,20,0.4,0,5,0.0,1,2,0.5,1,4,5,12,2,0,4,1,17,-10,43.0,1,3/27/2025,LeBron James,43.0,-10,LAL @ CHI,L,Los Angeles Lakers,2.601,8.468,7.1,8.667,7.8,0.308,0,3.6,0,1,10.235,47.689,47.53,41.267,41.86,0,-3.28,1.0,1.0,1.0,147,1,0,1,0,1,1,1,3,3.521,0.096,35.032,36.8,38.333,36.2,1,1.469,12.084,-1.21,-4.3,-7.333,-12.0,0,-0.256,0,7.575,24.532,23.6,18.0,18.6,0.436,0,1.308,4.383,8.161,9.9,8.0,8.8,0.128,1,1.125,-0.191,0.47,1.533,0.6,0.436,16.318,2,0,36.0,53.8,0,48,36.0,36.0,0.0,
PF/C,Anthony Davis (38239591),Anthony Davis,38239591,PF/C/F/UTIL,9800,DAL@CHI 03/29/2025 08:00PM ET,DAL,52.01,DAL,CHI,CHI,Anthony Davis,22024,203076,1610612742,22401060,3/27/2025,DAL @ ORL,W,29,5,19,0.263,1,5,0.2,4,7,0.571,1,6,7,2,1,0,0,1,15,-9,29.4,1,3/27/2025,Anthony Davis,29.4,-9,DAL @ ORL,W,Dallas Mavericks,1.874,3.4,3.2,4.0,2.8,0.069,0,0.952,0,3,21.446,52.247,48.24,40.267,40.76,0,-7.34,0.9,0.9,0.7,147,0,0,1,1,1,1,0,0,8.125,0.265,33.911,30.7,29.0,26.8,0,1.208,11.74,0.733,6.4,4.0,6.2,1,-0.31,0,11.404,25.2,22.6,17.667,19.8,0.517,0,1.485,6.052,11.733,11.2,9.667,10.8,0.241,0,1.75,0.141,0.6,1.7,3.9,0.517,12.083,1,1,30.0,44.67,0,28,30.0,30.0,0.0,Playing
PG,Tyrese Maxey (38239595),Tyrese Maxey,38239595,PG/G/UTIL,9600,MIA@PHI 03/29/2025 07:30PM ET,PHI,44.61,MIA,PHI,MIA,Tyrese Maxey,22024,1630178,1610612755,22400876,3/3/2025,PHI vs. POR,L,23,2,13,0.154,1,7,0.143,0,0,0.0,0,0,0,6,1,0,0,0,5,-15,17.0,1,3/3/2025,Tyrese Maxey,17.0,-15,PHI vs. POR,L,Philadelphia 76ers,2.459,6.096,5.6,7.333,5.8,0.261,0,2.222,0,2,15.5,43.563,34.88,31.133,30.46,0,-3.7,1.0,0.9,0.8,123,0,1,1,1,1,0,0,0,6.518,0.179,37.75,36.4,35.667,35.8,0,0.962,10.482,-2.385,-11.9,-5.333,-8.8,0,-0.652,0,12.874,26.327,20.2,13.333,16.8,0.217,0,0.49,1.792,3.346,2.9,2.333,1.8,0.0,0,0.0,-0.223,0.341,0.733,0.6,0.217,9.623,1,0,0.0,0.0,0,48,0.0,0.0,0.0,Injured
PG,Ja Morant (38239601),Ja Morant,38239601,PG/G/UTIL,9300,LAL@MEM 03/29/2025 08:00PM ET,MEM,40.94,LAL,MEM,LAL,Ja Morant,22024,1629630,1610612763,22400962,3/14/2025,MEM vs. CLE,L,35,17,22,0.773,1,4,0.25,9,10,0.9,0,8,8,7,1,0,2,3,44,-6,65.1,1,3/14/2025,Ja Morant,65.1,-6,MEM vs. CLE,L,Memphis Grizzlies,2.066,7.442,7.6,8.667,8.0,0.2,1,4.2,0,2,10.105,39.093,44.66,51.867,51.44,1,6.1,1.0,1.0,1.0,134,0,1,1,0,1,1,1,13,2.183,0.064,29.93,33.9,33.333,34.4,1,2.197,11.233,5.233,2.8,4.0,7.8,1,-0.171,10,6.484,22.326,28.6,33.667,32.8,1.257,1,5.323,1.814,4.07,3.8,4.333,4.2,0.229,1,2.667,0.122,1.004,0.567,0.5,1.257,14.644,1,0,29.0,38.09,0,48,29.0,29.0,0.0,Questionable
PG,Josh Giddey (38239598),Josh Giddey,38239598,PG/G/UTIL,9200,DAL@CHI 03/29/2025 08:00PM ET,CHI,38.34,DAL,CHI,DAL,Josh Giddey,22024,1630581,1610612741,22401063,3/27/2025,CHI vs. LAL,W,40,8,19,0.421,4,9,0.444,5,9,0.556,3,11,14,11,2,0,7,3,25,8,57.3,1,3/27/2025,Josh Giddey,57.3,8,CHI vs. LAL,W,Chicago Bulls,3.621,6.969,10.0,12.333,9.6,0.275,1,3.0,0,3,9.862,36.806,51.82,59.9,55.12,1,-0.14,1.0,1.0,0.9,147,0,1,1,0,1,1,1,4,3.979,0.112,30.0,35.5,36.333,33.6,1,1.5,14.493,-1.156,9.4,13.333,13.6,1,0.2,14,4.397,14.312,22.0,22.0,23.4,0.625,1,1.891,2.366,7.781,9.6,10.333,9.6,0.35,1,2.625,0.381,0.601,0.833,1.9,0.625,16.667,1,1,37.0,56.63,0,48,37.0,37.0,0.0,
PG/SG,Quentin Grimes (38239604),Quentin Grimes,38239604,PG/SG/G/UTIL,9100,MIA@PHI 03/29/2025 07:30PM ET,PHI,26.1,MIA,PHI,MIA,Quentin Grimes,22024,1629656,1610612755,22401053,3/26/2025,PHI vs. WAS,L,33,6,16,0.375,4,9,0.444,6,6,1.0,0,3,3,4,2,0,2,1,22,-17,35.6,1,3/26/2025,Quentin Grimes,35.6,-17,PHI vs. WAS,L,Philadelphia 76ers,1.897,2.809,5.4,6.667,5.8,0.121,1,1.636,0,3,12.811,25.196,44.44,39.667,46.3,1,-1.36,1.0,1.0,0.9,146,0,1,1,1,1,1,1,13,4.422,0.13,26.059,34.0,34.333,35.6,1,1.232,10.675,-2.779,-9.8,-10.667,-12.2,0,-0.515,9,10.033,13.897,27.0,24.333,29.4,0.667,1,1.737,3.713,4.176,4.7,3.333,5.0,0.091,1,0.574,-0.315,0.708,0.333,1.6,0.667,13.693,1,0,33.0,37.96,0,48,33.0,33.0,0.0,
PG,Tyrese Haliburton (38239612),Tyrese Haliburton,38239612,PG/G/UTIL,8900,IND@OKC 03/29/2025 08:00PM ET,IND,42.37,IND,OKC,OKC,Tyrese Haliburton,22024,1630169,1610612754,22401061,3/27/2025,IND @ WAS,W,25,9,15,0.6,7,10,0.7,4,5,0.8,0,2,2,6,1,1,1,2,29,29,45.4,1,3/27/2025,Tyrese Haliburton,45.4,29,IND @ WAS,W,Indiana Pacers,3.381,9.212,11.9,11.667,12.4,0.24,1,1.75,1,1,9.057,41.358,48.61,48.9,52.0,1,1.68,1.0,0.9,0.8,147,1,0,1,1,1,0,0,0,3.604,0.112,33.742,32.1,28.667,31.0,0,1.458,8.981,3.212,12.0,16.333,13.8,1,1.16,1,5.685,18.636,20.1,23.0,21.8,1.16,1,2.506,2.3,3.53,3.8,2.0,4.0,0.08,1,0.56,0.609,0.829,3.433,1.1,1.16,10.417,1,1,34.0,40.96,0,48,34.0,34.0,0.0,
