"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.84,-0.57,4.97,1.87,3.83,4.23,-0.4,27.916,0.603,5.736,0.338,0.204,8.245,0.721,8.517,0.814,0.306,0.316,16.892,11.617,0.376,1.122,0.012,2.139,0.021,4.648
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",5.94,3.65,4.97,0.98,3.85,3.95,-0.1,29.508,0.564,8.923,0.363,0.312,7.122,0.697,9.975,0.859,0.39,0.333,7.561,8.29,0.277,1.39,0.016,2.446,0.025,3.456
1628369,"Boston Celtics","Jayson Tatum","Vet",5.88,0.83,5.37,0.52,3.12,3.92,-0.8,26.316,0.54,12.202,0.354,0.464,6.053,0.735,8.958,0.827,0.34,0.291,11.841,8.164,0.259,0.864,0.009,1.56,0.015,3.804
1641705,"San Antonio Spurs","Victor Wembanyama","Sophomore",5.74,7.32,3.54,2.19,7.51,4.66,2.85,27.231,0.55,12.986,0.324,0.478,6.804,0.733,6.104,0.793,0.254,0.31,16.128,6.382,0.214,4.788,0.053,1.91,0.019,4.828
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",5.61,-0.39,3.79,1.83,4.55,3.55,1,29.084,0.61,1.575,0.279,0.058,13.62,0.784,13.059,0.627,0.455,0.355,15.913,8.591,0.318,1.84,0.021,1.417,0.014,5.078
203954,"Philadelphia 76ers","Joel Embiid","Vet",5.25,-0.94,2.84,2.41,4.75,3.53,1.22,28.782,0.524,7.556,0.342,0.232,5.825,0.73,11.791,0.848,0.469,0.339,14.405,6.85,0.245,2.242,0.025,1.577,0.015,5.322
1629029,"Dallas Mavericks","Luka Doncic","Vet",5.24,1.42,4.97,0.27,3.32,3.05,0.27,26.664,0.551,11.958,0.349,0.457,3.737,0.762,8.184,0.745,0.32,0.299,11.506,10.043,0.322,0.623,0.007,2.301,0.023,4.9
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",4.96,1.45,3.78,1.17,3.9,3.92,-0.02,26.903,0.539,12.698,0.357,0.467,5.803,0.661,5.998,0.825,0.234,0.291,6.873,7.041,0.23,0.608,0.006,2.338,0.023,3.412
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",4.86,-0.19,3.36,1.5,5.41,3.4,2.01,24.132,0.543,6.943,0.37,0.268,5.212,0.715,5.821,0.824,0.244,0.264,9.353,4.756,0.161,1.187,0.013,2.381,0.024,2.59
201939,"Golden State Warriors","Stephen Curry","Vet",4.07,-0.5,4.51,-0.44,2.23,3.86,-1.63,25.663,0.53,15.16,0.404,0.595,3.352,0.662,5.441,0.883,0.208,0.271,6.812,8.778,0.278,0.585,0.006,1.475,0.014,4.448
