Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4560953523,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
4560953524,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
4560953525,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4560953526,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4560953527,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
4560953528,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,
4560953529,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
4560953530,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,C,Nikola Jokic (37000929),Nikola Jokic,37000929,C/UTIL,12500,LAC@DEN 12/13/2024 09:00PM ET,DEN,71.53
,,,,,,,,,,,,,C,Anthony Davis (37000931),Anthony Davis,37000931,C/UTIL,11000,LAL@MIN 12/13/2024 08:00PM ET,LAL,53.63
,,,,,,,,,,,,,PG,LaMelo Ball (37000933),LaMelo Ball,37000933,PG/G/UTIL,10100,CHA@CHI 12/13/2024 08:00PM ET,CHA,51.29
,,,,,,,,,,,,,PF,LeBron James (37000936),LeBron James,37000936,PF/F/UTIL,9800,LAL@MIN 12/13/2024 08:00PM ET,LAL,49.96
,,,,,,,,,,,,,PG,James Harden (37000939),James Harden,37000939,PG/G/UTIL,9700,LAC@DEN 12/13/2024 09:00PM ET,LAC,47.48
,,,,,,,,,,,,,C,Joel Embiid (37000942),Joel Embiid,37000942,C/UTIL,9500,IND@PHI 12/13/2024 07:00PM ET,PHI,40.1
,,,,,,,,,,,,,PG/SG,Anthony Edwards (37000944),Anthony Edwards,37000944,PG/SG/G/UTIL,9200,LAL@MIN 12/13/2024 08:00PM ET,MIN,43.94
,,,,,,,,,,,,,SG/SF,Brandon Miller (37000948),Brandon Miller,37000948,SG/SF/F/G/UTIL,9000,CHA@CHI 12/13/2024 08:00PM ET,CHA,38.3
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (37000953),Donovan Mitchell,37000953,PG/SG/G/UTIL,8900,WAS@CLE 12/13/2024 07:00PM ET,CLE,40.85
,,,,,,,,,,,,,PG,Tyrese Maxey (37000957),Tyrese Maxey,37000957,PG/G/UTIL,8800,IND@PHI 12/13/2024 07:00PM ET,PHI,42.03
,,,,,,,,,,,,,PG,Ja Morant (37000960),Ja Morant,37000960,PG/G/UTIL,8700,BKN@MEM 12/13/2024 08:00PM ET,MEM,42.30
,,,,,,,,,,,,,PG,Tyrese Haliburton (37000963),Tyrese Haliburton,37000963,PG/G/UTIL,8600,IND@PHI 12/13/2024 07:00PM ET,IND,38.96
,,,,,,,,,,,,,C,Nikola Vucevic (37000966),Nikola Vucevic,37000966,C/UTIL,8500,CHA@CHI 12/13/2024 08:00PM ET,CHI,42.28
,,,,,,,,,,,,,PF/C,Evan Mobley (37000968),Evan Mobley,37000968,PF/C/F/UTIL,8300,WAS@CLE 12/13/2024 07:00PM ET,CLE,38.92
,,,,,,,,,,,,,PF/C,Kawhi Leonard (37000972),Kawhi Leonard,37000972,PF/C/F/UTIL,8200,LAC@DEN 12/13/2024 09:00PM ET,LAC,0
,,,,,,,,,,,,,PF/C,Pascal Siakam (37000976),Pascal Siakam,37000976,PF/C/F/UTIL,8100,IND@PHI 12/13/2024 07:00PM ET,IND,35.82
,,,,,,,,,,,,,SF/PF,Paul George (37000980),Paul George,37000980,SF/PF/F/UTIL,8000,IND@PHI 12/13/2024 07:00PM ET,PHI,34.5
,,,,,,,,,,,,,PF/C,Julius Randle (37000984),Julius Randle,37000984,PF/C/F/UTIL,7900,LAL@MIN 12/13/2024 08:00PM ET,MIN,36.80
,,,,,,,,,,,,,SG/SF,Zach LaVine (37000991),Zach LaVine,37000991,SG/SF/F/G/UTIL,7800,CHA@CHI 12/13/2024 08:00PM ET,CHI,36.40
,,,,,,,,,,,,,PG,Jamal Murray (37000988),Jamal Murray,37000988,PG/G/UTIL,7800,LAC@DEN 12/13/2024 09:00PM ET,DEN,36.12
,,,,,,,,,,,,,PG,Dennis Schroder (37000996),Dennis Schroder,37000996,PG/G/UTIL,7700,BKN@MEM 12/13/2024 08:00PM ET,BKN,35.06
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (37000999),Jaren Jackson Jr.,37000999,PF/C/F/UTIL,7600,BKN@MEM 12/13/2024 08:00PM ET,MEM,37.54
,,,,,,,,,,,,,PG,Darius Garland (37001003),Darius Garland,37001003,PG/G/UTIL,7500,WAS@CLE 12/13/2024 07:00PM ET,CLE,36.12
,,,,,,,,,,,,,C,Ivica Zubac (37001006),Ivica Zubac,37001006,C/UTIL,7400,LAC@DEN 12/13/2024 09:00PM ET,LAC,36.46
,,,,,,,,,,,,,PG/SG,Jordan Poole (37001008),Jordan Poole,37001008,PG/SG/G/UTIL,7300,WAS@CLE 12/13/2024 07:00PM ET,WAS,34.55
,,,,,,,,,,,,,SG/SF,Bennedict Mathurin (37001012),Bennedict Mathurin,37001012,SG/SF/F/G/UTIL,7300,IND@PHI 12/13/2024 07:00PM ET,IND,30.26
,,,,,,,,,,,,,SG/SF,Cam Thomas (37001017),Cam Thomas,37001017,SG/SF/F/G/UTIL,7200,BKN@MEM 12/13/2024 08:00PM ET,BKN,35.34
,,,,,,,,,,,,,SF/PF,Michael Porter Jr. (37001022),Michael Porter Jr.,37001022,SF/PF/F/UTIL,7100,LAC@DEN 12/13/2024 09:00PM ET,DEN,35.39
,,,,,,,,,,,,,C,Myles Turner (37001030),Myles Turner,37001030,C/UTIL,7000,IND@PHI 12/13/2024 07:00PM ET,IND,32.23
,,,,,,,,,,,,,SF/PF,Cameron Johnson (37001026),Cameron Johnson,37001026,SF/PF/F/UTIL,7000,BKN@MEM 12/13/2024 08:00PM ET,BKN,32.26
,,,,,,,,,,,,,PG/SG,Coby White (37001032),Coby White,37001032,PG/SG/G/UTIL,6900,CHA@CHI 12/13/2024 08:00PM ET,CHI,32.96
,,,,,,,,,,,,,C,Jarrett Allen (37001036),Jarrett Allen,37001036,C/UTIL,6800,WAS@CLE 12/13/2024 07:00PM ET,CLE,32.99
,,,,,,,,,,,,,SG/SF,Desmond Bane (37001040),Desmond Bane,37001040,SG/SF/F/G/UTIL,6700,BKN@MEM 12/13/2024 08:00PM ET,MEM,30.91
,,,,,,,,,,,,,C,Rudy Gobert (37001038),Rudy Gobert,37001038,C/UTIL,6700,LAL@MIN 12/13/2024 08:00PM ET,MIN,31.47
,,,,,,,,,,,,,PF,Kyle Kuzma (37001045),Kyle Kuzma,37001045,PF/F/UTIL,6600,WAS@CLE 12/13/2024 07:00PM ET,WAS,26.60
,,,,,,,,,,,,,PG,Josh Giddey (37001048),Josh Giddey,37001048,PG/G/UTIL,6500,CHA@CHI 12/13/2024 08:00PM ET,CHI,31.91
,,,,,,,,,,,,,PG/SG,Ayo Dosunmu (37001051),Ayo Dosunmu,37001051,PG/SG/G/UTIL,6400,CHA@CHI 12/13/2024 08:00PM ET,CHI,26.7
,,,,,,,,,,,,,PG/SG,Austin Reaves (37001055),Austin Reaves,37001055,PG/SG/G/UTIL,6300,LAL@MIN 12/13/2024 08:00PM ET,LAL,31.12
,,,,,,,,,,,,,SG/SF,Norman Powell (37001059),Norman Powell,37001059,SG/SF/F/G/UTIL,6300,LAC@DEN 12/13/2024 09:00PM ET,LAC,34.56
,,,,,,,,,,,,,PG,Russell Westbrook (37001064),Russell Westbrook,37001064,PG/G/UTIL,6300,LAC@DEN 12/13/2024 09:00PM ET,DEN,30
,,,,,,,,,,,,,PG/SG,Jared McCain (37001067),Jared McCain,37001067,PG/SG/G/UTIL,6200,IND@PHI 12/13/2024 07:00PM ET,PHI,24.56
,,,,,,,,,,,,,PG,D'Angelo Russell (37001071),D'Angelo Russell,37001071,PG/G/UTIL,6100,LAL@MIN 12/13/2024 08:00PM ET,LAL,26.18
,,,,,,,,,,,,,PF,Miles Bridges (37001074),Miles Bridges,37001074,PF/F/UTIL,6000,CHA@CHI 12/13/2024 08:00PM ET,CHA,31.27
,,,,,,,,,,,,,C,Nic Claxton (37001077),Nic Claxton,37001077,C/UTIL,5900,BKN@MEM 12/13/2024 08:00PM ET,BKN,26.75
,,,,,,,,,,,,,C,Nick Richards (37001079),Nick Richards,37001079,C/UTIL,5800,CHA@CHI 12/13/2024 08:00PM ET,CHA,31.39
,,,,,,,,,,,,,SG/SF,Christian Braun (37001081),Christian Braun,37001081,SG/SF/F/G/UTIL,5700,LAC@DEN 12/13/2024 09:00PM ET,DEN,28.31
,,,,,,,,,,,,,PG/SG,Malcolm Brogdon (37001086),Malcolm Brogdon,37001086,PG/SG/G/UTIL,5600,WAS@CLE 12/13/2024 07:00PM ET,WAS,24.53
,,,,,,,,,,,,,PF,Santi Aldama (37001090),Santi Aldama,37001090,PF/F/UTIL,5600,BKN@MEM 12/13/2024 08:00PM ET,MEM,30.89
,,,,,,,,,,,,,C,Jonas Valanciunas (37001093),Jonas Valanciunas,37001093,C/UTIL,5500,WAS@CLE 12/13/2024 07:00PM ET,WAS,28.09
,,,,,,,,,,,,,SG,Kelly Oubre Jr. (37001095),Kelly Oubre Jr.,37001095,SG/G/UTIL,5500,IND@PHI 12/13/2024 07:00PM ET,PHI,25.28
,,,,,,,,,,,,,SF/PF,Rui Hachimura (37001101),Rui Hachimura,37001101,SF/PF/F/UTIL,5500,LAL@MIN 12/13/2024 08:00PM ET,LAL,25.71
,,,,,,,,,,,,,PF,Aaron Gordon (37001098),Aaron Gordon,37001098,PF/F/UTIL,5500,LAC@DEN 12/13/2024 09:00PM ET,DEN,28.96
,,,,,,,,,,,,,PF/C,Alexandre Sarr (37001108),Alexandre Sarr,37001108,PF/C/F/UTIL,5400,WAS@CLE 12/13/2024 07:00PM ET,WAS,26.62
,,,,,,,,,,,,,PG,Ben Simmons (37001105),Ben Simmons,37001105,PG/G/UTIL,5400,BKN@MEM 12/13/2024 08:00PM ET,BKN,23.56
,,,,,,,,,,,,,SF,Cody Martin (37001112),Cody Martin,37001112,SF/F/UTIL,5300,CHA@CHI 12/13/2024 08:00PM ET,CHA,21.99
,,,,,,,,,,,,,SF,Bilal Coulibaly (37001115),Bilal Coulibaly,37001115,SF/F/UTIL,5200,WAS@CLE 12/13/2024 07:00PM ET,WAS,27.13
,,,,,,,,,,,,,PG/SG,Carlton Carrington (37001118),Carlton Carrington,37001118,PG/SG/G/UTIL,5200,WAS@CLE 12/13/2024 07:00PM ET,WAS,22.75
,,,,,,,,,,,,,PG,T.J. McConnell (37001122),T.J. McConnell,37001122,PG/G/UTIL,5200,IND@PHI 12/13/2024 07:00PM ET,IND,23.32
,,,,,,,,,,,,,SF,Saddiq Bey (37001137),Saddiq Bey,37001137,SF/F/UTIL,5100,WAS@CLE 12/13/2024 07:00PM ET,WAS,0
,,,,,,,,,,,,,C,Andre Drummond (37001125),Andre Drummond,37001125,C/UTIL,5100,IND@PHI 12/13/2024 07:00PM ET,PHI,21.88
,,,,,,,,,,,,,PG,Vasilije Micic (37001127),Vasilije Micic,37001127,PG/G/UTIL,5100,CHA@CHI 12/13/2024 08:00PM ET,CHA,17.86
,,,,,,,,,,,,,C,Mark Williams (37001135),Mark Williams,37001135,C/UTIL,5100,CHA@CHI 12/13/2024 08:00PM ET,CHA,15.25
,,,,,,,,,,,,,SG/SF,Ziaire Williams (37001130),Ziaire Williams,37001130,SG/SF/F/G/UTIL,5100,BKN@MEM 12/13/2024 08:00PM ET,BKN,18.43
,,,,,,,,,,,,,SG/SF,Dalton Knecht (37001140),Dalton Knecht,37001140,SG/SF/F/G/UTIL,5100,LAL@MIN 12/13/2024 08:00PM ET,LAL,19.16
,,,,,,,,,,,,,SG/SF,Max Strus (37001149),Max Strus,37001149,SG/SF/F/G/UTIL,5000,WAS@CLE 12/13/2024 07:00PM ET,CLE,0
,,,,,,,,,,,,,PF/C,Guerschon Yabusele (37001145),Guerschon Yabusele,37001145,PF/C/F/UTIL,5000,IND@PHI 12/13/2024 07:00PM ET,PHI,22.30
,,,,,,,,,,,,,PG,Scotty Pippen Jr. (37001154),Scotty Pippen Jr.,37001154,PG/G/UTIL,4900,BKN@MEM 12/13/2024 08:00PM ET,MEM,26.2
,,,,,,,,,,,,,PF,Dorian Finney-Smith (37001157),Dorian Finney-Smith,37001157,PF/F/UTIL,4800,BKN@MEM 12/13/2024 08:00PM ET,BKN,22.06
,,,,,,,,,,,,,PG/SG,Caris LeVert (37001160),Caris LeVert,37001160,PG/SG/G/UTIL,4700,WAS@CLE 12/13/2024 07:00PM ET,CLE,24.46
,,,,,,,,,,,,,SF,Jalen Wilson (37001167),Jalen Wilson,37001167,SF/F/UTIL,4700,BKN@MEM 12/13/2024 08:00PM ET,BKN,16.74
,,,,,,,,,,,,,PG,Mike Conley (37001164),Mike Conley,37001164,PG/G/UTIL,4700,LAL@MIN 12/13/2024 08:00PM ET,MIN,23.32
,,,,,,,,,,,,,SG/SF,Corey Kispert (37001193),Corey Kispert,37001193,SG/SF/F/G/UTIL,4600,WAS@CLE 12/13/2024 07:00PM ET,WAS,19.33
,,,,,,,,,,,,,PF/C,Obi Toppin (37001181),Obi Toppin,37001181,PF/C/F/UTIL,4600,IND@PHI 12/13/2024 07:00PM ET,IND,19.74
,,,,,,,,,,,,,SF/PF,Josh Green (37001185),Josh Green,37001185,SF/PF/F/UTIL,4600,CHA@CHI 12/13/2024 08:00PM ET,CHA,15.96
,,,,,,,,,,,,,PG/SG,Marcus Smart (37001177),Marcus Smart,37001177,PG/SG/G/UTIL,4600,BKN@MEM 12/13/2024 08:00PM ET,MEM,22.37
,,,,,,,,,,,,,PG/SG,Keon Johnson (37001189),Keon Johnson,37001189,PG/SG/G/UTIL,4600,BKN@MEM 12/13/2024 08:00PM ET,BKN,12.72
