id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,62.59,DEN,C,POR,34.00,26.44,1.60,11.87,9.90,1.91,0.64,2.74,8.38,4.88,1.03,9.98,7.99,0.65,0.319,,
6275,Cunningham,Cade,56.92,DET,G,@ CHI,36.00,28.88,2.38,6.33,10.84,1.03,0.73,3.80,8.68,4.38,0.73,11.06,12.30,0.58,0.064,,
5052,Towns,Karl-Anthony,55.38,NYK,C,ATL,37.00,25.91,1.93,15.23,3.83,1.12,0.86,3.19,7.29,5.54,0.99,9.22,8.00,0.87,0.017,,
5693,Gilgeous-Alexander,Shai,55.28,OKC,G,MIA,35.00,32.08,2.05,5.49,6.68,1.93,1.20,2.32,9.41,7.11,0.89,11.46,10.20,0.11,0.008,,
6728,Wembanyama,Victor,54.28,SAS,F,@ BOS,35.00,22.01,2.85,12.18,3.80,1.25,4.00,3.53,5.26,2.94,0.48,8.11,9.20,0.76,0.015,,
5450,Tatum,Jayson,53.91,BOS,F,SAS,37.00,28.21,3.87,9.62,5.91,1.13,0.52,2.53,5.92,4.76,1.10,9.79,11.92,0.49,0.034,,
6147,Edwards,Anthony,51.98,MIN,G,MIL,38.00,31.20,4.28,6.97,5.25,1.14,0.64,3.39,5.89,6.58,1.18,10.17,12.61,0.11,0.008,Playing,
2011,James,LeBron,50.68,LAL,F,@ UTA,34.00,24.00,2.06,7.26,9.31,1.06,0.57,3.69,7.31,3.20,1.00,9.37,8.76,0.49,0.152,Playing,
5679,Brunson,Jalen,49.93,NYK,G,ATL,37.00,28.91,2.58,3.39,9.16,1.12,0.08,2.83,7.16,6.85,1.39,9.74,10.05,0.49,0.010,,
5658,Doncic,Luka,49.64,LAL,G,@ UTA,30.00,24.75,2.97,7.02,7.55,1.52,0.44,2.73,5.60,4.64,1.47,8.57,9.58,0.31,0.096,Probable,
5433,Sabonis,Domantas,49.61,SAC,C,@ NOR,36.00,18.80,0.86,15.57,5.67,0.61,0.50,2.56,6.63,2.96,1.07,7.49,4.91,0.86,0.060,,
6732,Thompson,Amen,48.65,HOU,F,PHO,40.00,17.80,0.41,11.36,6.17,2.07,1.66,2.82,6.58,3.41,1.44,6.99,5.89,0.62,0.069,,
6281,Sengun,Alperen,48.25,HOU,C,PHO,32.00,22.24,0.37,10.88,5.99,1.13,0.66,2.67,8.39,4.35,1.87,8.76,8.82,0.58,0.041,Questionable,
