Team,Game Time (EST),Spread,Total
Boston Celtics,2/12/2025 19:10,-8,232
San Antonio Spurs,2/12/2025 19:10,8,232
Orlando Magic,2/12/2025 19:10,-13,202.5
Charlotte Hornets,2/12/2025 19:10,13,202.5
Washington Wizards,2/12/2025 19:10,10,242
Indiana Pacers,2/12/2025 19:10,-10,242
New York Knicks,2/12/2025 19:40,-8,241.5
Atlanta Hawks,2/12/2025 19:40,8,241.5
Brooklyn Nets,2/12/2025 19:40,-1.5,209
Philadelphia 76ers,2/12/2025 19:40,1.5,209
Toronto Raptors,2/12/2025 19:40,13,238.5
Cleveland Cavaliers,2/12/2025 19:40,-13,238.5
Chicago Bulls,2/12/2025 20:10,6.5,237.5
Detroit Pistons,2/12/2025 20:10,-6.5,237.5
Oklahoma City Thunder,2/12/2025 20:10,-14,222.5
Miami Heat,2/12/2025 20:10,14,222.5
Minnesota Timberwolves,2/12/2025 20:10,-9.5,218.5
Milwaukee Bucks,2/12/2025 20:10,9.5,218.5
New Orleans Pelicans,2/12/2025 20:10,6,238.5
Sacramento Kings,2/12/2025 20:10,-6,238.5
Houston Rockets,2/12/2025 20:40,-9,220
Phoenix Suns,2/12/2025 20:40,9,220
Denver Nuggets,2/12/2025 21:10,-10.5,234
Portland Trail Blazers,2/12/2025 21:10,10.5,234
Utah Jazz,2/12/2025 21:10,9,237
Los Angeles Lakers,2/12/2025 21:10,-9,237
Dallas Mavericks,2/12/2025 21:40,7,233.5
Golden State Warriors,2/12/2025 21:40,-7,233.5
Los Angeles Clippers,2/12/2025 22:40,-5.5,236
Memphis Grizzlies,2/12/2025 22:40,5.5,236
