TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,49,22,27,0.449,2367.0,108.5,110.3,111.3,113.4,-2.8,-3.1,0.689,1.79,19.4,0.3,0.716,0.502,0.154,0.528,0.564,105.9,104.13,86.78,5136,0.491,2,20,21,21,4,23,16,21,4,16,11,13,10,14,20,23,21,2,19
1610612738,Boston Celtics,49,34,15,0.694,2377.0,116.4,118.5,107.4,109.6,9.0,8.9,0.619,2.18,18.5,0.282,0.715,0.498,0.119,0.555,0.587,99.8,97.92,81.6,4849,0.539,2,3,3,3,2,3,5,3,21,2,16,20,11,18,1,8,10,25,4
1610612751,Brooklyn Nets,49,16,33,0.327,2367.0,105.8,108.8,113.2,115.6,-7.4,-6.8,0.662,1.6,18.3,0.285,0.705,0.486,0.16,0.522,0.559,98.9,96.52,80.43,4754,0.453,2,25,25,25,4,27,27,27,9,24,19,17,20,27,26,24,23,30,29
1610612766,Charlotte Hornets,46,12,34,0.261,2223.0,105.3,108.0,110.8,113.0,-5.5,-5.0,0.618,1.53,17.1,0.32,0.713,0.507,0.158,0.507,0.54,100.5,98.35,81.96,4553,0.464,28,27,27,27,28,28,14,24,22,27,27,4,12,8,24,28,29,22,25
1610612741,Chicago Bulls,49,21,28,0.429,2357.0,110.6,111.9,112.7,115.2,-2.1,-3.3,0.679,1.94,20.0,0.254,0.725,0.494,0.144,0.553,0.582,105.6,103.81,86.51,5101,0.487,2,21,22,22,9,16,24,22,6,13,5,29,4,21,17,10,12,3,22
1610612739,Cleveland Cavaliers,48,39,9,0.813,2304.0,120.1,121.6,109.1,111.8,11.0,9.8,0.648,2.27,20.4,0.28,0.707,0.5,0.128,0.588,0.616,102.2,100.35,83.63,4824,0.548,12,1,1,1,20,1,8,2,12,1,2,21,16,16,3,1,1,8,2
1610612742,Dallas Mavericks,49,26,23,0.531,2357.0,113.5,115.2,110.4,112.4,3.2,2.8,0.598,1.73,18.1,0.292,0.696,0.501,0.145,0.553,0.587,101.7,100.03,83.36,4915,0.513,2,12,13,13,9,8,12,10,27,19,20,14,25,15,18,9,9,12,10
1610612743,Denver Nuggets,49,30,19,0.612,2372.0,116.5,118.1,111.8,114.0,4.8,4.1,0.686,2.15,21.1,0.305,0.706,0.516,0.142,0.57,0.602,102.9,101.22,84.35,4998,0.529,2,7,7,7,3,4,20,7,5,4,1,9,19,3,12,2,2,5,6
1610612765,Detroit Pistons,48,24,24,0.5,2324.0,109.1,111.8,110.8,112.9,-1.7,-1.1,0.607,1.61,18.0,0.306,0.724,0.514,0.156,0.539,0.57,101.6,99.38,82.81,4810,0.488,12,15,16,16,13,18,13,18,23,23,21,8,5,6,21,16,19,17,20
1610612744,Golden State Warriors,48,24,24,0.5,2309.0,109.4,111.7,109.6,112.0,-0.2,-0.3,0.702,2.01,19.7,0.309,0.718,0.507,0.142,0.529,0.555,101.6,99.47,82.89,4784,0.493,12,15,16,16,18,19,11,16,2,8,9,7,9,9,14,21,25,16,18
1610612745,Houston Rockets,48,32,16,0.667,2319.0,110.6,114.2,106.3,108.8,4.2,5.5,0.536,1.63,15.9,0.36,0.706,0.527,0.138,0.514,0.548,101.7,98.97,82.48,4776,0.52,12,4,4,4,14,10,4,6,30,22,30,1,18,1,10,26,27,19,7
1610612754,Indiana Pacers,47,27,20,0.574,2266.0,113.5,114.8,112.3,114.0,1.1,0.8,0.658,2.09,20.2,0.257,0.713,0.489,0.135,0.565,0.595,102.0,100.66,83.88,4758,0.513,22,10,9,10,24,9,19,13,10,6,3,28,13,24,6,5,4,6,11
1610612746,LA Clippers,48,28,20,0.583,2314.0,109.1,111.2,106.1,107.6,2.9,3.6,0.599,1.5,17.8,0.284,0.733,0.514,0.163,0.542,0.578,100.6,98.95,82.45,4764,0.514,12,8,9,9,16,20,2,8,26,28,24,18,1,7,29,14,15,20,9
1610612747,Los Angeles Lakers,47,28,19,0.596,2261.0,112.3,113.9,111.6,114.1,0.6,-0.2,0.645,1.95,19.3,0.262,0.7,0.488,0.138,0.551,0.588,100.1,98.23,81.86,4629,0.509,22,8,7,8,26,13,21,15,13,10,12,25,22,25,8,12,8,23,13
1610612763,Memphis Grizzlies,48,32,16,0.667,2304.0,114.6,117.6,107.8,110.7,6.8,6.9,0.65,1.76,19.5,0.343,0.697,0.523,0.16,0.562,0.594,107.4,104.6,87.17,5028,0.54,12,4,4,4,20,5,7,4,11,17,10,2,23,2,27,6,5,1,3
1610612748,Miami Heat,47,24,23,0.511,2291.0,110.0,111.8,110.2,111.8,-0.2,0.0,0.666,1.94,19.2,0.26,0.72,0.493,0.138,0.539,0.574,99.0,97.46,81.21,4655,0.503,22,15,13,15,22,17,9,14,8,12,13,26,7,22,9,17,16,27,17
1610612749,Milwaukee Bucks,46,26,20,0.565,2213.0,112.6,114.2,110.1,111.8,2.5,2.3,0.6,1.85,18.5,0.24,0.73,0.495,0.136,0.565,0.593,101.5,100.07,83.39,4617,0.513,28,12,9,11,30,11,10,11,24,14,18,30,3,19,7,4,7,11,12
1610612750,Minnesota Timberwolves,49,27,22,0.551,2362.0,111.1,113.1,107.6,110.0,3.5,3.1,0.639,1.64,18.5,0.292,0.706,0.503,0.158,0.552,0.585,99.6,97.66,81.38,4807,0.517,2,10,12,12,6,14,6,9,14,21,17,15,17,11,25,11,11,26,8
1610612740,New Orleans Pelicans,49,12,37,0.245,2362.0,107.2,109.5,115.0,117.8,-7.8,-8.2,0.623,1.74,17.8,0.302,0.671,0.48,0.144,0.514,0.548,102.1,99.83,83.19,4911,0.457,2,27,29,28,6,26,28,29,19,18,23,12,30,28,15,27,26,13,28
1610612752,New York Knicks,49,32,17,0.653,2362.0,117.6,119.6,111.5,113.0,6.1,6.6,0.633,2.13,19.8,0.303,0.719,0.514,0.132,0.569,0.601,99.5,97.98,81.65,4824,0.538,2,4,6,6,6,2,15,5,15,5,7,11,8,4,5,3,3,24,5
1610612760,Oklahoma City Thunder,47,38,9,0.809,2256.0,114.4,116.5,102.2,104.2,12.2,12.3,0.599,2.17,18.6,0.277,0.691,0.487,0.12,0.548,0.581,102.4,100.49,83.74,4722,0.561,22,2,1,2,27,6,1,1,25,3,15,22,27,26,2,13,13,7,1
1610612753,Orlando Magic,50,24,26,0.48,2410.0,104.2,106.9,106.4,108.6,-2.2,-1.8,0.62,1.56,17.1,0.304,0.732,0.504,0.153,0.501,0.541,98.9,96.63,80.52,4852,0.488,1,15,20,19,1,29,3,20,20,25,26,10,2,10,19,30,28,29,21
1610612755,Philadelphia 76ers,47,19,28,0.404,2276.0,109.2,111.1,112.5,114.7,-3.3,-3.6,0.578,1.65,16.9,0.272,0.689,0.472,0.14,0.529,0.568,99.1,97.27,81.05,4612,0.466,22,24,22,24,23,21,22,23,29,20,28,24,28,30,11,22,20,28,24
1610612756,Phoenix Suns,48,25,23,0.521,2314.0,113.0,114.0,113.4,114.8,-0.3,-0.8,0.673,1.95,19.8,0.259,0.712,0.494,0.142,0.558,0.594,99.7,98.66,82.21,4756,0.506,12,14,13,14,16,12,23,17,7,11,8,27,14,20,13,7,6,21,16
1610612757,Portland Trail Blazers,49,20,29,0.408,2352.0,107.0,109.9,113.5,115.5,-6.5,-5.6,0.579,1.44,16.8,0.321,0.673,0.492,0.163,0.521,0.555,101.3,99.04,82.53,4847,0.462,2,23,24,23,11,25,26,26,28,29,29,3,29,23,28,25,24,18,26
1610612758,Sacramento Kings,48,24,24,0.5,2329.0,113.1,115.2,111.7,113.7,1.4,1.5,0.623,2.07,19.0,0.283,0.723,0.503,0.129,0.542,0.578,102.0,100.13,83.44,4851,0.508,12,15,16,16,12,7,17,12,18,7,14,19,6,12,4,15,14,10,14
1610612759,San Antonio Spurs,46,21,25,0.457,2218.0,110.6,112.3,111.4,113.8,-0.8,-1.5,0.705,2.0,20.2,0.286,0.701,0.498,0.144,0.537,0.571,101.5,99.65,83.04,4611,0.507,28,21,19,20,29,15,18,19,1,9,4,16,21,17,16,18,18,15,15
1610612761,Toronto Raptors,48,15,33,0.313,2319.0,107.8,110.1,113.4,115.4,-5.5,-5.3,0.691,1.83,20.0,0.31,0.697,0.502,0.157,0.532,0.561,102.3,100.28,83.57,4844,0.477,12,26,25,26,14,24,25,25,3,15,6,6,24,13,23,20,22,9,23
1610612762,Utah Jazz,47,11,36,0.234,2266.0,108.4,110.9,116.5,118.2,-8.1,-7.3,0.632,1.43,17.9,0.317,0.709,0.514,0.176,0.536,0.573,101.7,99.8,83.17,4711,0.461,22,29,28,29,24,22,29,28,16,30,22,5,15,5,30,19,17,14,27
1610612764,Washington Wizards,48,7,41,0.146,2309.0,102.0,104.1,116.9,118.4,-14.8,-14.3,0.629,1.53,17.4,0.274,0.695,0.479,0.157,0.504,0.538,104.3,102.56,85.47,4929,0.423,12,30,30,30,18,30,30,30,17,26,25,23,26,29,22,29,30,4,30
