"nba_id","Team","Player","Experience","DPM","DPM Improvement","O-DPM","D-DPM","Box DPM","Box O-DPM","Box D-DPM","FGA/100","FG2%","FG3A/100","FG3%","FG3ARate%","RimFGA/100","RimFG%","FTA/100","FT%","FTARate%","USG%","REB/100","AST/100","AST%","BLK/100","BLK%","STL/100","STL%","TOV/100"
203999,"Denver Nuggets","Nikola Jokic","Vet",6.38,-0.96,5.1,1.28,4.41,4.43,-0.02,26.039,0.62,6.182,0.35,0.236,7.274,0.722,8.16,0.837,0.328,0.295,17.335,13.806,0.436,0.98,0.011,2.21,0.025,4.71
203507,"Milwaukee Bucks","Giannis Antetokounmpo","Vet",6,-0.07,3.93,2.08,4.54,3.66,0.88,29.208,0.632,1.75,0.291,0.068,11.728,0.783,12.56,0.635,0.436,0.332,16.664,8.229,0.286,1.51,0.017,1.346,0.014,4.604
1628983,"Oklahoma City Thunder","Shai Gilgeous-Alexander","Vet",5.82,0.95,4.9,0.91,4.02,3.83,0.19,29.964,0.574,6.91,0.376,0.231,7.866,0.713,12.812,0.892,0.418,0.336,6.825,8.313,0.275,1.336,0.015,2.574,0.026,3.616
1628369,"Boston Celtics","Jayson Tatum","Vet",5.75,0.42,5.45,0.3,4.05,4.61,-0.56,25.024,0.545,12.245,0.36,0.479,5.39,0.738,7.994,0.839,0.303,0.284,11.254,8.229,0.261,0.73,0.008,1.517,0.015,3.689
1641705,"San Antonio Spurs","Victor Wembanyama","Sophomore",5.66,0.69,3.35,2.31,6.96,4.44,2.52,26.981,0.559,12.368,0.332,0.465,5.948,0.752,6.249,0.823,0.233,0.304,16.908,5.597,0.171,4.662,0.051,1.715,0.017,4.191
1629029,"Los Angeles Lakers","Luka Doncic","Vet",5.61,0.59,5.1,0.52,3.6,3.16,0.44,27.112,0.537,13.279,0.348,0.472,3.324,0.756,8.09,0.738,0.32,0.296,11.325,10.106,0.316,0.598,0.007,2.345,0.022,5.344
1628378,"Cleveland Cavaliers","Donovan Mitchell","Vet",5.59,0.56,4.81,0.77,3.39,4.24,-0.85,29.457,0.539,14.042,0.37,0.493,4.789,0.665,6.667,0.855,0.232,0.286,6.568,7.826,0.228,0.392,0.004,2.141,0.021,3.219
202695,"Los Angeles Clippers","Kawhi Leonard","Vet",5,-0.37,3.45,1.55,5.09,3.37,1.72,26.415,0.54,8.005,0.389,0.294,4.696,0.722,5.185,0.852,0.199,0.287,8.831,4.809,0.159,0.967,0.01,2.231,0.022,2.65
203954,"Philadelphia 76ers","Joel Embiid","Vet",4.66,-1.48,2.14,2.51,3.65,2.43,1.22,28.617,0.518,6.119,0.347,0.206,6.051,0.731,14.382,0.851,0.537,0.346,14.397,7.306,0.252,2.122,0.023,1.553,0.015,5.459
201939,"Golden State Warriors","Stephen Curry","Vet",3.74,0.16,4.1,-0.36,0.69,2,-1.31,24.694,0.527,15.216,0.413,0.604,2.217,0.672,4.741,0.92,0.178,0.262,6.188,8.976,0.271,0.623,0.006,1.42,0.014,4
