Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Giannis Antetokounmpo,PF/C,MIL,dk,64.7,11700,5.5,50.9,6,MEM,125,247,,,,,Proj 👉,31.5,0.1,12.0,6.0,1.4,0.8,3.5,36.0,739957,37509355
Cade Cunningham,PG,DET,dk,54.0,10200,5.3,18.4,3,CHI,119.5,233,,,,,Proj 👉,24.3,2.4,6.5,9.4,0.8,0.9,4.4,36.0,1232182,37509362
Jayson Tatum,SF/PF,BOS,dk,50.8,9600,5.3,23.0,2,PHI,117.75,224.5,,,,,Proj 👉,27.7,3.7,9.3,5.4,0.5,1.3,2.8,36.0,937647,37509368
Damian Lillard,PG,MIL,dk,48.0,8800,5.5,20.3,4,MEM,125,247,,,,,Proj 👉,25.7,3.6,4.5,7.3,0.2,1.3,3.0,37.0,463121,37509385
James Harden,PG,LAC,dk,46.3,9100,5.1,13.3,,TOR,112.5,219.5,,,,,Proj 👉,20.8,2.7,5.6,7.9,0.6,1.4,4.5,35.0,395388,37509379
Jaren Jackson Jr,PF/C,MEM,dk,45.6,8100,5.6,26.4,5,MIL,122,247,,,,,Proj 👉,20.7,1.6,5.8,1.9,1.6,1.4,2.1,33.0,1078662,37509402
Scottie Barnes,PG/SF,TOR,dk,44.6,9300,4.8,4.9,-1,LAC,107,219.5,,,,,Proj 👉,19.3,1.4,7.8,6.4,0.9,1.5,3.3,35.0,1251666,37509374
Tyrese Maxey,PG,PHI,dk,43.8,10000,4.4,7.6,-6,BOS,106.75,224.5,,,,,Proj 👉,27.9,3.4,3.7,6.1,0.4,2.1,2.5,38.0,1186160,37509365
Desmond Bane,SG,MEM,dk,43.1,7700,5.6,23.4,4,MIL,122,247,,,,,Proj 👉,16.8,2.1,5.4,5.1,0.5,1.3,2.5,35.0,944263,37509420
RJ Barrett,SF,TOR,dk,42.3,7300,5.8,3.4,5,LAC,107,219.5,,,,,Proj 👉,21.2,1.7,6.2,5.7,0.4,0.8,3.0,34.0,1132031,37509428
Nikola Vucevic,C,CHI,dk,41.7,8100,5.1,18.8,1,DET,113.5,233,,,,,Proj 👉,18.2,1.8,9.2,3.0,0.5,0.7,1.3,32.0,457598,37509400
Jaylen Brown,SG/SF,BOS,dk,39.8,8000,5,5.9,,PHI,117.75,224.5,,,,,Proj 👉,22.7,1.9,5.9,4.8,0.3,1.3,2.7,35.0,883436,37509406
Donovan Mitchell,PG/SG,CLE,dk,39.4,8600,4.6,4.2,-3,DAL,124,233.5,,,,,Proj 👉,19.9,3.2,3.9,3.9,0.2,1.2,1.7,31.0,879707,37509388
Ivica Zubac,C,LAC,dk,38.6,7400,5.2,13.1,1,TOR,112.5,219.5,,,,,Proj 👉,13.3,0.0,11.3,2.3,1.1,0.6,1.6,32.0,920093,37509426
Evan Mobley,PF/C,CLE,dk,38.6,7900,4.9,9.9,,DAL,124,233.5,,,,,Proj 👉,15.5,1.0,7.3,2.4,1.2,0.8,1.7,30.0,1231862,37509411
Darius Garland,PG,CLE,dk,38.5,7600,5.1,6.1,,DAL,124,233.5,,,,,Proj 👉,18.3,2.5,2.2,5.9,0.2,0.9,2.1,31.0,1134262,37509423
Josh Giddey,PG,CHI,dk,37.3,6800,5.5,9.7,3,DET,113.5,233,,,,,Proj 👉,9.3,1.0,6.1,5.5,0.4,0.9,2.3,30.0,1323503,37509444
Jakob Poeltl,C,TOR,dk,35.6,6600,5.4,6.6,2,LAC,107,219.5,,,,,Proj 👉,12.7,0.0,9.1,2.2,1.0,1.0,1.7,31.0,844478,37509451
Kristaps Porzingis,C,BOS,dk,35.5,7000,5.1,8.4,,PHI,117.75,224.5,,,,,Proj 👉,15.1,1.8,5.7,1.3,1.2,0.6,0.8,29.0,877869,37509437
