Player,Team,Position,Salary,Minutes,Max Minutes,MIN_CUM_AVG,MIN_LAST_3_AVG,MIN_LAST_5_AVG,MIN_LAST_10_AVG,MIN_TREND,MIN_CONSISTENCY,MIN_CONSISTENCY_SCORE,MIN_ABOVE_20,MIN_ABOVE_25,MIN_ABOVE_30,MIN_ABOVE_AVG_STREAK,FREQ_ABOVE_20,FREQ_ABOVE_25,FREQ_ABOVE_30,Projected Pts,DK,DK_CUM_AVG,DK_LAST_3_AVG,DK_LAST_5_AVG,DK_LAST_10_AVG,DK_TREND,DK_TREND_5,DK_CONSISTENCY,PTS_LAST_3_AVG,PTS_LAST_5_AVG,PTS_LAST_10_AVG,REB_LAST_3_AVG,REB_LAST_5_AVG,REB_LAST_10_AVG,AST_LAST_3_AVG,AST_LAST_5_AVG,AST_LAST_10_AVG,PTS_CUM_AVG,REB_CUM_AVG,AST_CUM_AVG,PTS_PER_MIN,REB_PER_MIN,AST_PER_MIN,SCORING_EFFICIENCY,RECENT_SCORING_EFF,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,PLUS_MINUS_PER_MIN,PLUS MINUS_LAST_3_AVG,PLUS MINUS_LAST_5_AVG,PLUS MINUS_LAST_10_AVG,PLUS MINUS_CUM_AVG,PLUS MINUS_TREND,PLUS MINUS_CONSISTENCY,PTS_TREND,REB_TREND,AST_TREND,PTS_CONSISTENCY,REB_CONSISTENCY,AST_CONSISTENCY,TEAM_MIN_PERCENTAGE,TEAM_PROJ_RANK,PTS_VS_TEAM_AVG,REB_VS_TEAM_AVG,AST_VS_TEAM_AVG,MIN_VS_TEAM_AVG,ROLE_CHANGE_3_10,ROLE_CHANGE_5_10,IS_TOP_3_PROJ,LOW_MIN_TOP_PLAYER,GAME_DATE,IS_HOME,IS_B2B,DAYS_REST,MATCHUP,WL,BLOWOUT_GAME,STL,BLK,TOV,OREB,DREB,PF,PLAYER_ID,TEAM_ID,TEAM_NAME,GAME_ID,SEASON_ID,VIDEO_AVAILABLE
Giannis Antetokounmpo,MIL,PF/C,11700,36.0,40.0,34.85,35.667,34.8,34.3,0.0,2.497,0.073,1.0,1.0,1.0,0.0,1.0,1.0,0.9,64.5545,61.8,57.94,63.267,59.06,56.39,1.0,0.16,9.82,36.333,34.0,32.2,14.667,13.8,13.2,6.0,4.6,5.1,31.8,12.2,5.85,1.029,0.412,0.176,1.029,1.02,0.565,0.0,0.643,13.0,23.0,0.0,1.0,9.0,14.0,-13.0,-0.382,-1.667,0.8,7.8,3.65,0.0,19.002,1.0,1.0,0.0,5.224,2.098,3.348,14.108,1.0,3.856,3.872,3.25,1.834,1.367,0.5,1.0,0.0,2025-01-31,0.0,0.0,3.0,MIL @ SAS,L,0.0,0.0,1.0,2.0,4.0,10.0,3.0,203507.0,1610612749.0,Milwaukee Bucks,22400684.0,22024.0,1.0
Luka Doncic,DAL,PG,10900,0.0,0.0,35.545,28.0,32.4,32.8,0.0,7.376,0.225,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.0,23.0,53.664,52.867,54.28,54.64,1.0,-6.0,19.992,28.667,26.4,26.8,7.667,9.4,8.7,7.333,7.6,7.6,28.136,8.318,7.818,0.875,0.312,0.125,0.875,0.986,0.556,0.6,1.0,5.0,9.0,3.0,5.0,1.0,1.0,-6.0,-0.375,9.333,4.8,12.0,7.636,0.0,15.033,0.0,1.0,0.0,10.337,3.02,3.893,6.667,1.0,1.414,1.163,1.333,0.667,4.8,0.4,1.0,1.0,2024-12-25,1.0,0.0,2.0,DAL vs. MIN,L,0.0,1.0,0.0,3.0,1.0,4.0,1.0,1629029.0,1610612742.0,Dallas Mavericks,22400406.0,22024.0,1.0
Cade Cunningham,DET,PG,10200,36.0,40.0,35.591,35.333,35.6,35.7,1.0,2.214,0.062,1.0,1.0,1.0,2.0,1.0,1.0,1.0,56.11450000000001,53.2,47.318,45.933,49.6,48.32,1.0,0.78,8.864,31.333,31.6,28.8,4.667,5.0,5.6,6.667,8.4,9.0,25.295,6.364,9.227,1.111,0.167,0.111,1.111,0.881,0.567,0.375,1.0,17.0,30.0,3.0,8.0,3.0,3.0,11.0,0.306,-9.333,-5.0,0.9,0.318,0.0,13.395,1.0,0.0,0.0,7.33,2.459,3.859,14.938,1.0,4.103,1.532,2.667,1.793,0.367,0.1,1.0,0.0,2025-01-31,1.0,0.0,2.0,DET vs. DAL,W,0.0,1.0,0.0,3.0,2.0,4.0,0.0,1630595.0,1610612765.0,Detroit Pistons,22400680.0,22024.0,1.0
Tyrese Maxey,PHI,PG,10000,38.0,40.0,37.975,37.667,39.2,39.5,1.0,3.375,0.085,1.0,1.0,1.0,2.0,1.0,1.0,1.0,48.758500000000005,58.9,45.29,53.433,53.98,50.42,1.0,1.9,7.403,38.333,35.0,33.0,3.0,3.4,3.6,6.333,7.0,6.6,27.5,3.45,6.05,1.077,0.051,0.231,1.077,1.02,0.577,0.545,0.75,15.0,26.0,6.0,11.0,6.0,8.0,-1.0,-0.026,6.333,6.6,-1.2,-0.575,1.0,11.574,1.0,0.0,1.0,5.696,1.713,2.633,16.25,1.0,2.821,0.667,2.793,1.462,1.833,0.3,1.0,0.0,2025-01-31,1.0,0.0,2.0,PHI vs. DEN,L,0.0,2.0,0.0,5.0,0.0,2.0,2.0,1630178.0,1610612755.0,Philadelphia 76ers,22400681.0,22024.0,1.0
Jayson Tatum,BOS,SF/PF,9600,36.0,40.0,36.326,37.667,35.6,36.3,0.0,5.376,0.148,1.0,1.0,1.0,1.0,1.0,1.0,0.8,49.649499999999996,47.2,47.941,37.0,36.28,41.69,0.0,-0.24,7.647,20.667,20.4,21.7,6.667,6.4,7.2,7.333,6.0,6.3,26.674,8.891,5.543,0.692,0.154,0.256,0.692,0.548,0.476,0.4,0.6,10.0,21.0,4.0,10.0,3.0,5.0,4.0,0.103,9.667,2.4,6.4,7.674,0.0,12.782,0.0,0.0,1.0,4.877,1.476,2.058,16.25,1.0,2.288,1.714,3.125,1.625,1.367,0.7,1.0,0.0,2025-01-31,0.0,0.0,2.0,BOS @ NOP,W,0.0,1.0,0.0,5.0,1.0,5.0,2.0,1628369.0,1610612738.0,Boston Celtics,22400683.0,22024.0,1.0
Joel Embiid,PHI,C,9600,0.0,0.0,29.385,32.0,32.4,29.2,1.0,7.584,0.26,1.0,1.0,0.0,0.0,0.8,0.8,0.7,0.0,48.4,42.046,50.5,50.26,45.98,1.0,6.06,14.891,31.0,30.4,27.3,11.667,9.8,8.4,3.667,3.4,3.8,24.385,7.923,3.846,0.966,0.414,0.207,0.966,0.966,0.5,0.667,1.0,8.0,16.0,2.0,3.0,10.0,10.0,22.0,0.759,7.667,2.6,4.4,0.462,1.0,17.418,1.0,1.0,0.0,9.452,3.893,2.394,12.033,2.0,2.732,2.88,2.323,1.444,2.8,3.2,1.0,1.0,2025-01-04,0.0,0.0,2.0,PHI @ BKN,W,1.0,0.0,0.0,3.0,1.0,11.0,2.0,203954.0,1610612755.0,Philadelphia 76ers,22400478.0,22024.0,1.0
Scottie Barnes,TOR,PG/SF,9300,35.0,40.0,34.629,33.0,34.0,35.3,0.0,3.401,0.096,1.0,1.0,1.0,0.0,1.0,1.0,0.9,39.58500000000001,41.5,43.886,46.167,46.82,46.55,1.0,-1.54,6.713,21.667,22.8,19.8,8.333,8.6,8.5,5.667,5.4,6.3,20.257,8.143,6.457,0.606,0.303,0.152,0.606,0.667,0.4,0.0,0.8,8.0,20.0,0.0,2.0,4.0,5.0,0.0,0,7.0,11.6,8.0,-2.457,1.0,13.776,1.0,1.0,0.0,4.662,3.274,2.497,13.808,1.0,2.075,2.5,2.037,1.519,2.3,1.3,1.0,1.0,2025-01-31,1.0,0.0,2.0,TOR vs. CHI,L,0.0,0.0,1.0,1.0,1.0,9.0,1.0,1630567.0,1610612761.0,Toronto Raptors,22400682.0,22024.0,1.0
James Harden,LAC,PG,9100,35.0,40.0,33.844,37.0,35.6,34.3,1.0,5.012,0.146,1.0,1.0,1.0,4.0,1.0,0.9,0.8,43.0535,32.0,42.676,42.767,48.14,45.21,1.0,-1.4,9.483,19.667,23.2,22.0,4.667,6.2,5.3,10.333,10.6,10.3,21.533,5.822,8.4,0.378,0.135,0.27,0.378,0.532,0.333,0.167,1.0,4.0,12.0,1.0,6.0,5.0,5.0,13.0,0.351,8.333,9.8,9.3,3.133,1.0,16.432,1.0,1.0,1.0,7.226,2.669,1.889,15.417,1.0,1.25,1.111,3.846,1.542,2.7,1.3,1.0,0.0,2025-01-31,0.0,0.0,2.0,LAC @ CHA,W,0.0,1.0,0.0,6.0,0.0,5.0,3.0,201935.0,1610612746.0,LA Clippers,22400679.0,22024.0,1.0
Ja Morant,MEM,PG,8900,0.0,40.0,28.393,28.333,29.2,29.1,1.0,3.843,0.132,1.0,1.0,0.0,0.0,1.0,0.8,0.3,0.0,15.0,37.407,28.0,33.42,33.26,0.0,-5.72,11.375,12.333,15.4,18.5,3.333,3.6,3.3,7.333,8.2,6.8,20.321,4.179,7.5,0.37,0.185,0.074,0.37,0.431,0.385,0.0,0.0,5.0,13.0,0.0,1.0,0.0,0.0,-41.0,-1.519,-4.333,4.8,7.8,6.464,0.0,20.466,0.0,0.0,1.0,6.835,1.337,3.706,11.297,3.0,1.226,1.383,1.238,1.469,0.767,0.1,1.0,1.0,2025-01-27,0.0,0.0,2.0,MEM @ NYK,L,1.0,0.0,0.0,4.0,1.0,4.0,0.0,1629630.0,1610612763.0,Memphis Grizzlies,22400653.0,22024.0,1.0
Damian Lillard,MIL,PG,8800,37.0,40.0,36.41,38.667,38.4,37.0,1.0,3.162,0.085,1.0,1.0,1.0,4.0,1.0,1.0,0.9,43.747000000000014,38.1,43.205,41.233,48.84,45.34,1.0,0.42,10.634,25.667,27.0,26.2,3.667,6.2,5.2,7.0,8.4,7.0,25.256,4.615,7.282,0.595,0.081,0.189,0.595,0.658,0.353,0.429,1.0,6.0,17.0,3.0,7.0,7.0,7.0,-16.0,-0.432,-5.333,-0.2,3.2,1.051,0.0,15.704,1.0,1.0,1.0,4.566,2.7,2.357,15.353,2.0,2.424,0.83,3.792,1.996,1.667,1.4,1.0,0.0,2025-01-31,0.0,0.0,3.0,MIL @ SAS,L,0.0,0.0,1.0,1.0,1.0,2.0,2.0,203081.0,1610612749.0,Milwaukee Bucks,22400684.0,22024.0,1.0
