TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,49,22,27,0.449,2367.0,2064,4503,0.458,628,1829,0.343,907,1173,0.773,595,1618,2213,1422,793.0,507,250,262,910,980,5663,-158.0,2,20,21,21,4,8,2,18,17,10,26,1,1,22,6,12,6,3,28,2,9,21,16,3,7,21
1610612738,Boston Celtics,49,34,15,0.694,2377.0,2035,4445,0.458,868,2376,0.365,809,1022,0.792,535,1661,2196,1260,578.0,373,277,210,797,922,5747,433.0,2,3,3,3,2,11,5,19,1,1,11,18,20,9,14,3,8,13,2,21,5,4,4,13,5,3
1610612751,Brooklyn Nets,49,16,33,0.327,2367.0,1838,4165,0.441,670,1895,0.354,825,1038,0.795,496,1490,1986,1217,760.0,363,192,280,996,949,5171,-336.0,2,25,25,25,4,28,20,27,8,6,19,13,14,6,22,29,27,20,22,24,27,26,27,5,27,27
1610612766,Charlotte Hornets,46,12,34,0.261,2223.0,1776,4135,0.43,638,1858,0.343,725,936,0.775,600,1514,2114,1098,719.0,378,224,259,914,876,4915,-234.0,28,27,27,27,28,30,23,30,16,7,25,28,28,16,5,27,17,28,18,19,22,20,17,20,30,24
1610612741,Chicago Bulls,49,21,28,0.429,2357.0,2101,4510,0.466,785,2108,0.372,720,902,0.798,482,1771,2253,1426,736.0,365,237,244,876,794,5707,-161.0,2,21,22,22,9,5,1,15,2,2,9,29,30,4,24,1,3,2,19,23,17,18,10,30,6,22
1610612739,Cleveland Cavaliers,48,39,9,0.813,2304.0,2154,4323,0.498,772,1971,0.392,785,1003,0.783,497,1628,2125,1396,616.0,402,213,216,874,892,5865,488.0,12,1,1,1,20,3,14,2,3,4,1,20,22,15,21,8,14,5,3,11,26,7,8,18,3,2
1610612742,Dallas Mavericks,49,26,23,0.531,2357.0,2065,4314,0.479,643,1729,0.372,890,1150,0.774,545,1655,2200,1235,714.0,390,294,226,929,932,5663,143.0,2,12,13,13,9,7,15,8,14,21,10,4,5,19,11,4,7,17,17,14,3,11,18,9,7,10
1610612743,Denver Nuggets,49,30,19,0.612,2372.0,2219,4392,0.505,572,1514,0.378,893,1155,0.773,542,1683,2225,1522,708.0,411,238,258,852,945,5903,196.0,2,7,7,7,3,1,8,1,27,30,6,3,3,23,12,2,4,1,16,10,16,19,6,6,2,7
1610612765,Detroit Pistons,48,24,24,0.5,2324.0,2000,4290,0.466,628,1743,0.36,749,968,0.774,540,1619,2159,1214,752.0,359,245,233,967,853,5377,-58.0,12,15,16,16,13,14,17,14,17,17,14,27,26,20,13,10,9,21,21,26,12,14,25,24,16,19
1610612744,Golden State Warriors,48,24,24,0.5,2309.0,1955,4394,0.445,741,2030,0.365,692,959,0.722,612,1609,2221,1372,681.0,416,248,287,933,837,5343,-15.0,12,15,16,16,18,17,7,26,4,3,13,30,27,30,3,14,5,7,14,9,10,29,20,27,17,16
1610612745,Houston Rockets,48,32,16,0.667,2319.0,2009,4480,0.448,589,1718,0.343,848,1123,0.755,699,1602,2301,1076,659.0,434,244,284,946,964,5455,249.0,12,4,4,4,14,13,3,24,25,22,27,9,6,27,1,15,1,29,11,8,13,28,22,4,12,6
1610612754,Indiana Pacers,47,27,20,0.574,2266.0,2045,4154,0.492,602,1604,0.375,771,996,0.774,420,1537,1957,1345,643.0,390,243,216,906,874,5463,53.0,22,10,9,10,24,10,21,4,19,27,7,22,23,17,29,23,28,9,9,14,14,7,15,22,11,13
1610612746,LA Clippers,48,28,20,0.583,2314.0,1951,4136,0.472,583,1619,0.36,812,1023,0.794,507,1631,2138,1169,777.0,463,218,222,887,847,5297,160.0,12,8,9,9,16,18,22,12,26,26,15,16,18,8,20,7,11,24,26,4,25,9,12,26,20,8
1610612747,Los Angeles Lakers,47,28,19,0.596,2261.0,1929,4014,0.481,563,1583,0.356,852,1072,0.795,427,1521,1948,1244,638.0,355,229,197,767,912,5273,-6.0,22,8,7,8,26,22,29,7,28,28,18,7,9,7,28,24,29,15,6,27,21,2,3,14,21,15
1610612763,Memphis Grizzlies,48,32,16,0.667,2304.0,2175,4471,0.486,674,1808,0.373,890,1151,0.773,623,1651,2274,1413,804.0,439,293,275,1025,1003,5914,362.0,12,4,4,4,20,2,4,5,6,15,8,4,4,21,2,5,2,4,29,7,4,24,28,2,1,4
1610612748,Miami Heat,47,24,23,0.511,2291.0,1870,4089,0.457,667,1826,0.365,798,1010,0.79,443,1617,2060,1245,642.0,387,179,236,745,835,5205,9.0,22,15,13,15,22,25,27,20,9,12,12,19,21,10,26,13,24,14,8,17,30,15,1,28,24,14
1610612749,Milwaukee Bucks,46,26,20,0.565,2213.0,1934,3994,0.484,649,1684,0.385,754,1025,0.736,393,1643,2036,1160,628.0,335,237,180,856,863,5271,115.0,28,12,9,11,30,21,30,6,10,25,2,25,17,29,30,6,26,25,5,29,17,1,7,23,22,11
1610612750,Minnesota Timberwolves,49,27,22,0.551,2362.0,1945,4196,0.464,739,1920,0.385,810,1031,0.786,516,1627,2143,1243,760.0,395,239,229,882,929,5439,153.0,2,10,12,12,6,20,19,16,5,5,3,17,15,14,17,9,10,16,22,12,15,13,11,10,13,9
1610612740,New Orleans Pelicans,49,12,37,0.245,2362.0,1975,4426,0.446,599,1732,0.346,831,1088,0.764,592,1515,2107,1230,705.0,465,273,270,893,884,5380,-408.0,2,27,29,28,6,15,6,25,22,20,23,12,7,26,7,26,19,18,15,3,7,22,13,19,15,29
1610612752,New York Knicks,49,32,17,0.653,2362.0,2149,4348,0.494,646,1708,0.378,825,1026,0.804,532,1590,2122,1360,638.0,390,188,240,836,937,5769,322.0,2,4,6,6,6,4,10,3,12,24,4,13,16,3,15,18,15,8,6,14,29,16,5,8,4,5
1610612760,Oklahoma City Thunder,47,38,9,0.809,2256.0,2051,4333,0.473,646,1813,0.356,751,913,0.823,495,1576,2071,1229,567.0,522,263,227,963,852,5499,578.0,22,2,1,2,27,9,13,11,12,14,16,26,29,1,23,20,23,19,1,1,8,12,24,25,10,1
1610612753,Orlando Magic,50,24,26,0.48,2410.0,1868,4279,0.437,554,1828,0.303,895,1168,0.766,559,1513,2072,1158,742.0,460,313,222,1025,1047,5185,-84.0,1,15,20,19,1,27,18,28,29,11,30,2,2,25,10,28,22,26,20,5,2,9,28,1,25,20
1610612755,Philadelphia 76ers,47,19,28,0.404,2276.0,1836,4038,0.455,600,1711,0.351,853,1084,0.787,465,1358,1823,1062,644.0,446,189,242,936,912,5125,-165.0,22,24,22,24,23,29,28,22,21,23,20,6,8,12,25,30,30,30,10,6,28,17,21,14,29,23
1610612756,Phoenix Suns,48,25,23,0.521,2314.0,1951,4098,0.476,671,1775,0.378,849,1064,0.798,443,1596,2039,1313,674.0,362,236,205,874,927,5422,-39.0,12,14,13,14,16,18,25,9,7,16,5,8,10,5,26,16,25,11,13,25,19,3,8,11,14,17
1610612757,Portland Trail Blazers,49,20,29,0.408,2352.0,1959,4336,0.452,596,1742,0.342,815,1057,0.771,608,1521,2129,1135,788.0,391,275,277,946,926,5329,-284.0,2,23,24,23,11,16,11,23,24,18,28,15,12,24,4,24,13,27,27,13,6,25,22,12,19,26
1610612758,Sacramento Kings,48,24,24,0.5,2329.0,2074,4380,0.474,598,1735,0.345,844,1044,0.808,519,1619,2138,1293,624.0,382,223,215,930,906,5590,58.0,12,15,16,16,12,6,9,10,23,19,24,10,13,2,16,10,11,12,4,18,23,6,19,16,9,12
