Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4654511644,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Scoot Henderson (37838992),Quentin Grimes (37838978),Deni Avdija (37838916),Justin Champagnie (37839271),Onyeka Okongwu (37838958),Tyler Herro (37838826),Jaren Jackson Jr. (37838848),Jonas Valanciunas (37839005)
4654511645,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Stephen Curry (37838818),Quentin Grimes (37838978),Caris LeVert (37839040),Bam Adebayo (37838832),Onyeka Okongwu (37838958),Davion Mitchell (37839095),Naji Marshall (37839007),Jonas Valanciunas (37839005)
4654511646,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Tyler Herro (37838826),Quentin Grimes (37838978),Shaedon Sharpe (37838946),Kessler Edwards (37839321),Draymond Green (37838967),Ja Morant (37838836),Ausar Thompson (37839013),Onyeka Okongwu (37838958)
4654511647,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Trae Young (37838810),Carlton Carrington (37839049),Duncan Robinson (37839112),Justin Champagnie (37839271),Kel'el Ware (37838973),Cade Cunningham (37838801),Ausar Thompson (37839013),Onyeka Okongwu (37838958)
4654511648,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Trae Young (37838810),Quentin Grimes (37838978),Deni Avdija (37838916),Kessler Edwards (37839321),Quinten Post (37839102),Ja Morant (37838836),Shaedon Sharpe (37838946),Jonas Valanciunas (37839005)
4654511649,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Tyrese Maxey (37838821),Duncan Robinson (37839112),Ausar Thompson (37839013),Deni Avdija (37838916),Alexandre Sarr (37839011),Trae Young (37838810),Justin Champagnie (37839271),Jonas Valanciunas (37839005)
4654511650,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Trae Young (37838810),Davion Mitchell (37839095),Duncan Robinson (37839112),Justin Champagnie (37839271),Jonas Valanciunas (37839005),Cade Cunningham (37838801),Caris LeVert (37839040),Jalen Duren (37838897)
4654511651,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Stephen Curry (37838818),Quentin Grimes (37838978),Deni Avdija (37838916),Kyshawn George (37839031),Onyeka Okongwu (37838958),Malik Monk (37838859),Mouhamed Gueye (37839274),Jonas Valanciunas (37839005)
4654511652,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Stephen Curry (37838818),Desmond Bane (37838863),Terance Mann (37839224),Justin Champagnie (37839271),Jalen Duren (37838897),Trae Young (37838810),Kessler Edwards (37839321),Ausar Thompson (37839013)
4654511653,NBA $30K Sharpshooter [$5K to 1st],174440684,$3,Stephen Curry (37838818),Caris LeVert (37839040),Zach LaVine (37838854),Kessler Edwards (37839321),Onyeka Okongwu (37838958),Desmond Bane (37838863),Naji Marshall (37839007),Jonas Valanciunas (37839005)
