Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4634463858,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Darius Garland (37654787),Ja'Kobe Walter (37655039),Aaron Wiggins (37654921),Kyle Kuzma (37654842),Onyeka Okongwu (37654833),Jordan Poole (37654812),Chris Boucher (37655147),Joel Embiid (37654742)
4634463859,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Damian Lillard (37654759),Vit Krejci (37654976),Kyshawn George (37655072),Evan Mobley (37654772),Joel Embiid (37654742),Gradey Dick (37655002),Chris Boucher (37655147),Onyeka Okongwu (37654833)
4634463860,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Jordan Poole (37654812),Donovan Mitchell (37654762),Bilal Coulibaly (37654868),Bobby Portis (37654864),Tristan Vukcevic (37655242),Cade Cunningham (37654736),Jonathan Mogbo (37655191),Kyle Kuzma (37654842)
4634463861,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Jordan Poole (37654812),Dyson Daniels (37654803),Kyshawn George (37655072),Chris Boucher (37655147),Bobby Portis (37654864),Damian Lillard (37654759),Ja'Kobe Walter (37655039),Joel Embiid (37654742)
4634463862,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Damian Lillard (37654759),Bilal Coulibaly (37654868),Taurean Prince (37655048),Nikola Jovic (37654889),Tristan Vukcevic (37655242),Scottie Barnes (37654750),Chris Boucher (37655147),Victor Wembanyama (37654731)
4634463863,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Jordan Poole (37654812),Bilal Coulibaly (37654868),Kyle Kuzma (37654842),Bobby Portis (37654864),Richaun Holmes (37655113),Max Strus (37654961),Scottie Barnes (37654750),Damian Lillard (37654759)
4634463864,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Jordan Poole (37654812),Donovan Mitchell (37654762),Max Strus (37654961),Jonathan Mogbo (37655191),Onyeka Okongwu (37654833),Cade Cunningham (37654736),Chris Boucher (37655147),Jalen Duren (37654835)
4634463865,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Cade Cunningham (37654736),Carlton Carrington (37655159),Jaylon Tyson (37655340),Kyle Kuzma (37654842),Tristan Vukcevic (37655242),Trae Young (37654747),Ja'Kobe Walter (37655039),Joel Embiid (37654742)
4634463866,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Damian Lillard (37654759),Keon Johnson (37654900),Jaylon Tyson (37655340),Bobby Portis (37654864),Bam Adebayo (37654779),Dyson Daniels (37654803),Kyle Kuzma (37654842),Onyeka Okongwu (37654833)
4634463867,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Damian Lillard (37654759),Carlton Carrington (37655159),Bilal Coulibaly (37654868),Kyle Kuzma (37654842),Tristan Vukcevic (37655242),Scottie Barnes (37654750),Jonathan Mogbo (37655191),Victor Wembanyama (37654731)
4634463868,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Damian Lillard (37654759),Corey Kispert (37655022),Kyle Kuzma (37654842),Jeremy Sochan (37654944),Joel Embiid (37654742),Trae Young (37654747),Chris Boucher (37655147),Jonathan Mogbo (37655191)
4634463869,NBA $30K Sharpshooter [$5K to 1st],173821033,$3,Damian Lillard (37654759),Bilal Coulibaly (37654868),Jaylon Tyson (37655340),Chris Boucher (37655147),Richaun Holmes (37655113),Shai Gilgeous-Alexander (37654733),Scottie Barnes (37654750),Bobby Portis (37654864)
