PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cason Wallace (37303281),Cole Anthony (37303107),Paul George (37303009),Aaron Wiggins (37303377),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),324.4319661458333,345.37490972333336,49600,100.00%,10000,88610.19%,6417,251.77999999999997,$3544.41,OKC 4,ORL 1,opp,2,artillero1,43,4607333324
Cole Anthony (37303107),Cason Wallace (37303281),Paul George (37303009),Aaron Wiggins (37303377),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),324.4319661458333,345.37490972333336,49600,100.00%,10000,88610.19%,6417,251.77999999999997,$3544.41,OKC 4,ORL 1,opp,2,SoonersTide,43,4607809192
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Paul George (37303009),Kyle Filipowski (37303285),Kristaps Porzingis (37303041),T.J. McConnell (37303334),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),322.8359592013889,345.7465658336768,49900,100.00%,10000,51600.75%,1698,269.37,$2064.03,OKC 2,UTA 2,opp,1,Naten,113,4606686783
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Luguentz Dort (37303218),Kyle Filipowski (37303285),Kristaps Porzingis (37303041),Cason Wallace (37303281),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),321.1381987847222,341.068863366721,49700,100.00%,10000,28194.94%,622,272.37,$1127.8,OKC 4,ORL 1,opp,1,Billcun,435,4607589645
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Paul George (37303009),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Cason Wallace (37303281),Brice Sensabaugh (37303235),Collin Sexton (37303043),321.84003906250007,348.5959586657275,50000,100.00%,10000,25721.17%,535,304.40999999999997,$1028.85,OKC 3,UTA 3,opp,3,gutp,885,4607293470
Cole Anthony (37303107),Cason Wallace (37303281),Paul George (37303009),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Collin Sexton (37303043),321.8400390625,348.59595866572744,50000,100.00%,10000,25721.17%,535,304.40999999999997,$1028.85,OKC 3,UTA 3,opp,3,BRUMMIE22,885,4607669429
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),Cole Anthony (37303107),Kyle Filipowski (37303285),Collin Sexton (37303043),321.8400390625,348.59595866572744,50000,100.00%,10000,25721.17%,535,304.40999999999997,$1028.85,OKC 3,UTA 3,opp,3,SoonersTide,885,4607809186
Cason Wallace (37303281),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Paul George (37303009),Drew Eubanks (37303397),320.9676605902777,341.2068516546606,49900,100.00%,10000,24312.36%,302,191.31,$972.49,OKC 3,ORL 1,opp,1,dallasmike44,22,4607632929
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Kristaps Porzingis (37303041),Paul George (37303009),Kyle Filipowski (37303285),Micah Potter (37303452),320.0167057291667,340.89131290623624,49700,100.00%,10000,17847.2%,177,223.76999999999998,$713.89,OKC 2,UTA 2,opp,1,SoonersTide,72,4607809182
Cason Wallace (37303281),Cole Anthony (37303107),Jayson Tatum (37302938),Aaron Wiggins (37303377),Evan Mobley (37302989),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Brice Sensabaugh (37303235),319.71094184027777,341.9372306512758,50000,100.00%,10000,16241.87%,164,293.82,$649.67,OKC 3,UTA 2,opp,1,spundin,114,4607451350
T.J. McConnell (37303334),Cole Anthony (37303107),Aaron Wiggins (37303377),Obi Toppin (37303242),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Evan Mobley (37302989),Isaiah Hartenstein (37303039),318.76179253472225,337.35491033532145,49900,100.00%,9980,11591.14%,41,167.07,$463.65,OKC 3,IND 2,opp,1,RudebwoyKev,0,4607658800
Cole Anthony (37303107),Cason Wallace (37303281),Paul George (37303009),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Collin Sexton (37303043),319.48509114583334,344.773593164496,49500,100.00%,9999,11462.39%,0,252.74,$458.5,OKC 4,UTA 2,opp,1,sportsfanatic89,338,4606758750
Cole Anthony (37303107),Cason Wallace (37303281),Paul George (37303009),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),319.3350911458333,344.10338406940605,49100,100.00%,10000,10843.25%,6,277.39,$433.73,OKC 4,UTA 2,opp,2,psumav,339,4607640394
Cole Anthony (37303107),Cason Wallace (37303281),Paul George (37303009),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),319.3350911458333,344.10338406940605,49100,100.00%,10000,10843.25%,6,277.39,$433.73,OKC 4,UTA 2,opp,2,dariuskj,339,4607717268
Cason Wallace (37303281),Cole Anthony (37303107),Brice Sensabaugh (37303235),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Evan Mobley (37302989),Collin Sexton (37303043),318.92649739583334,344.3071477068735,50000,100.00%,9999,9990.22%,7,251.78000000000003,$399.61,OKC 4,UTA 2,opp,2,jsanders61,284,4606885371
Cason Wallace (37303281),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Collin Sexton (37303043),318.92649739583334,344.3071477068735,50000,100.00%,9999,9990.22%,7,251.78,$399.61,OKC 4,UTA 2,opp,2,Foleyface,284,4607781540
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Cason Wallace (37303281),Kyle Filipowski (37303285),Collin Sexton (37303043),318.77649739583336,343.63886675620006,49600,100.00%,9999,9106.09%,21,276.42999999999995,$364.24,OKC 4,UTA 2,opp,5,cagea65,283,4607847798
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Cason Wallace (37303281),Kyle Filipowski (37303285),Collin Sexton (37303043),318.77649739583336,343.63886675620006,49600,100.00%,9999,9106.09%,21,276.42999999999995,$364.24,OKC 4,UTA 2,opp,5,biggbrd27,283,4607850392
Cole Anthony (37303107),Cason Wallace (37303281),Aaron Wiggins (37303377),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),318.7764973958333,343.6388667562,49600,100.00%,9999,9106.09%,21,276.43,$364.24,OKC 4,UTA 2,opp,5,sportsfanatic89,283,4606758754
Cason Wallace (37303281),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),318.7764973958333,343.6388667562,49600,100.00%,9999,9106.09%,21,276.43,$364.24,OKC 4,UTA 2,opp,5,mmm1010,283,4607223202
Cason Wallace (37303281),Cole Anthony (37303107),Aaron Wiggins (37303377),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),318.7764973958333,343.6388667562,49600,100.00%,9999,9106.09%,21,276.43,$364.24,OKC 4,UTA 2,opp,5,cedthebeast,283,4607749826
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Jayson Tatum (37302938),Aaron Wiggins (37303377),Kyle Filipowski (37303285),Cole Anthony (37303107),Paul George (37303009),Isaiah Collier (37303246),317.3895355902778,338.19243294729273,49400,100.00%,9974,7157.7%,5,270.9,$286.31,OKC 3,UTA 2,opp,1,alphad,134,4607775203
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Aaron Wiggins (37303377),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Cason Wallace (37303281),Kyle Filipowski (37303285),Kristaps Porzingis (37303041),316.97425781249996,337.7793034419305,49700,100.00%,9977,5906.31%,0,282.15,$236.25,OKC 5,ORL 1,opp,1,gutp,603,4607293472
Cole Anthony (37303107),Isaiah Collier (37303246),Paul George (37303009),Aaron Wiggins (37303377),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),316.7741362847222,342.64275828521295,49400,100.00%,9921,5574.4%,2,260.85,$222.98,UTA 3,OKC 3,opp,1,SnowGoon99,947,4606947136
