PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Stephon Castle (37338477),Quentin Grimes (37338318),Paul George (37338105),Giannis Antetokounmpo (37338014),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Scottie Barnes (37338057),Onyeka Okongwu (37338359),315.6482986111111,352.2811262458043,50000,100.00%,16,122.12%,0,141.45,$9.77,ATL 2,SAS 1,user63,1,marvalshot,4473,4611344379_63
Stephon Castle (37338477),CJ McCollum (37338156),Josh Hart (37338127),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),Keaton Wallace (37338930),Julius Randle (37338149),Wendell Carter Jr. (37338391),315.26266059027773,351.55444782217927,49700,100.00%,7,117.62%,0,154.88,$9.41,SAS 1,NOP 1,user28,1,marvalshot,4537,4611344380_28
Keaton Wallace (37338930),Mikal Bridges (37338239),Buddy Hield (37338351),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Dejounte Murray (37338096),Julius Randle (37338149),Giannis Antetokounmpo (37338014),313.47755642361113,350.1079588241042,50000,100.00%,0,100.24%,0,118.22,$8.02,ATL 1,NYK 1,user1,1,marvalshot,4609,4611344381_1
Keaton Wallace (37338930),Amen Thompson (37338122),Jayson Tatum (37338023),Giannis Antetokounmpo (37338014),Wendell Carter Jr. (37338391),Stephon Castle (37338477),Brice Sensabaugh (37338383),Daniel Gafford (37338424),304.11,341.6501451781956,49900,85.38%,0,28.87%,0,176.36,$2.31,ATL 1,HOU 1,user48,1,marvalshot,4755,4611344382_48
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Buddy Hield (37338351),Brice Sensabaugh (37338383),Alperen Sengun (37338065),Keaton Wallace (37338930),Tristan da Silva (37338374),Victor Wembanyama (37338018),315.0383203125,350.84141310532607,50000,100.00%,0,114.22%,0,145.32999999999998,$9.14,ATL 2,NYK 1,user21,1,marvalshot,4827,4611344383_21
Jalen Brunson (37338088),Mikal Bridges (37338239),Trey Murphy III (37338144),David Roddy (37338933),Victor Wembanyama (37338018),Keaton Wallace (37338930),Buddy Hield (37338351),Mark Williams (37338232),326.87587673611114,360.8845349506565,50000,100.00%,74402,481.46%,0,131.39999999999998,$38.52,NYK 2,ATL 2,user67,1,marvalshot,4972,4611344384_67
Keaton Wallace (37338930),Buddy Hield (37338351),Paul George (37338105),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Bogdan Bogdanovic (37338369),Scottie Barnes (37338057),Giannis Antetokounmpo (37338014),313.91829861111114,351.1007092445429,50000,100.00%,0,103.81%,0,143.93,$8.3,ATL 2,GSW 1,user15,1,marvalshot,4425,4611344379_15
Keaton Wallace (37338930),Stephon Castle (37338477),Josh Hart (37338127),Jaren Jackson Jr. (37338053),Alperen Sengun (37338065),Buddy Hield (37338351),Amen Thompson (37338122),Onyeka Okongwu (37338359),311.09266059027783,343.65476157417646,50000,99.99%,0,83.06%,0,115.22,$6.64,ATL 2,HOU 2,user11,1,marvalshot,4520,4611344380_11
Stephon Castle (37338477),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Nikola Jokic (37338012),Keaton Wallace (37338930),Jonathan Isaac (37338510),Wendell Carter Jr. (37338391),312.8175564236111,350.70150394788647,49800,100.00%,0,94.12%,0,178.7,$7.53,ATL 2,ORL 2,user23,1,marvalshot,4631,4611344381_23
Cole Anthony (37338216),Stephon Castle (37338477),Jayson Tatum (37338023),Julius Randle (37338149),Onyeka Okongwu (37338359),Keaton Wallace (37338930),Devin Vassell (37338234),Ja Morant (37338082),293.87,328.8677899302227,50000,0.33%,0,-99.5%,0,124.60000000000001,$-7.96,SAS 2,ATL 2,user58,1,marvalshot,4765,4611344382_58
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Trey Murphy III (37338144),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Keaton Wallace (37338930),Buddy Hield (37338351),Devin Vassell (37338234),313.2883203125,347.30509049327577,50000,100.00%,0,97.07%,0,146.14,$7.77,ATL 2,SAS 2,user78,1,marvalshot,4884,4611344383_78
Jalen Brunson (37338088),Mikal Bridges (37338239),Brice Sensabaugh (37338383),David Roddy (37338933),Victor Wembanyama (37338018),Stephen Curry (37338062),Buddy Hield (37338351),Keaton Wallace (37338930),326.0458767361111,360.21913577814223,49900,100.00%,62311,418.96%,0,120.33999999999999,$33.52,NYK 2,ATL 2,user40,1,marvalshot,4945,4611344384_40
Keyonte George (37338282),Anthony Edwards (37338044),Paul George (37338105),Brice Sensabaugh (37338383),Mark Williams (37338232),Keaton Wallace (37338930),Scottie Barnes (37338057),Daniel Gafford (37338424),313.82829861111105,349.38582468525095,49700,100.00%,0,103.7%,0,144.02999999999997,$8.3,UTA 2,MIN 1,user88,1,marvalshot,4498,4611344379_88
Keaton Wallace (37338930),Cole Anthony (37338216),Josh Hart (37338127),Keldon Johnson (37338409),Victor Wembanyama (37338018),Devin Vassell (37338234),Julius Randle (37338149),Daniel Gafford (37338424),311.04266059027776,346.45574603175845,50000,99.98%,0,82.78%,0,121.67,$6.62,SAS 3,ATL 1,user83,1,marvalshot,4592,4611344380_83
Keaton Wallace (37338930),Mikal Bridges (37338239),Garrison Mathews (37338609),Giannis Antetokounmpo (37338014),Daniel Gafford (37338424),Keyonte George (37338282),Julius Randle (37338149),Alperen Sengun (37338065),311.77755642361114,349.8631124786571,49800,99.99%,0,87.54%,0,133.33999999999997,$7.0,ATL 2,NYK 1,user89,1,marvalshot,4697,4611344381_89
Keaton Wallace (37338930),Anthony Edwards (37338044),Jayson Tatum (37338023),Julius Randle (37338149),Daniel Gafford (37338424),Josh Giddey (37338141),Kyle Filipowski (37338420),Stephon Castle (37338477),293.62,328.09906756279815,49800,0.32%,0,-99.53%,0,133.23000000000002,$-7.96,MIN 2,ATL 1,user73,1,marvalshot,4780,4611344382_73
Jalen Brunson (37338088),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Jaren Jackson Jr. (37338053),Giannis Antetokounmpo (37338014),Keaton Wallace (37338930),Brice Sensabaugh (37338383),Buddy Hield (37338351),309.18832031249997,346.4555412114577,50000,99.96%,0,70.03%,0,163.29999999999998,$5.6,ATL 2,NYK 1,user12,1,marvalshot,4818,4611344383_12
Jalen Brunson (37338088),Mikal Bridges (37338239),Keldon Johnson (37338409),Julius Randle (37338149),Daniel Gafford (37338424),Keaton Wallace (37338930),Quentin Grimes (37338318),Giannis Antetokounmpo (37338014),325.5358767361111,363.1585418936164,49900,100.00%,53943,389.97%,0,128.24,$31.2,NYK 2,DAL 2,user74,1,marvalshot,4979,4611344384_74
Keaton Wallace (37338930),Quentin Grimes (37338318),Paul George (37338105),Keldon Johnson (37338409),Wendell Carter Jr. (37338391),Buddy Hield (37338351),Scottie Barnes (37338057),Victor Wembanyama (37338018),313.47829861111114,347.3322963146784,50000,100.00%,1,100.99%,0,99.68,$8.08,SAS 2,ATL 1,user90,1,marvalshot,4500,4611344379_90
Keaton Wallace (37338930),Stephon Castle (37338477),Josh Hart (37338127),Cam Whitmore (37338526),Victor Wembanyama (37338018),Devin Vassell (37338234),Buddy Hield (37338351),Alperen Sengun (37338065),310.53266059027777,344.3555037659425,49200,99.98%,0,79.36%,0,126.03,$6.35,SAS 3,HOU 2,user43,1,marvalshot,4552,4611344380_43
Keaton Wallace (37338930),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Julius Randle (37338149),Alperen Sengun (37338065),Russell Westbrook (37338173),Buddy Hield (37338351),Dejounte Murray (37338096),310.8075564236112,342.9079019049615,50000,99.97%,0,80.83%,0,102.08,$6.47,ATL 2,NYK 1,user68,1,marvalshot,4676,4611344381_68
Keaton Wallace (37338930),Jalen Green (37338162),Jayson Tatum (37338023),Jonathan Isaac (37338510),Daniel Gafford (37338424),Devin Vassell (37338234),Cam Whitmore (37338526),Victor Wembanyama (37338018),293.7,329.8711072542713,49200,0.31%,0,-99.54%,0,128.43,$-7.96,HOU 2,SAS 2,user92,1,marvalshot,4799,4611344382_92
Jalen Brunson (37338088),Vit Krejci (37338481),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Onyeka Okongwu (37338359),Stephon Castle (37338477),Jonathan Isaac (37338510),Alperen Sengun (37338065),306.20832031250006,345.04552352709464,50000,98.01%,0,51.94%,0,183.69,$4.16,ATL 3,NYK 1,user99,1,marvalshot,4905,4611344383_99
Jalen Brunson (37338088),Mikal Bridges (37338239),Nickeil Alexander-Walker (37338562),Jaren Jackson Jr. (37338053),Victor Wembanyama (37338018),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Daniel Gafford (37338424),325.3158767361111,361.2407710790839,50000,100.00%,49582,373.24%,0,158.56,$29.86,NYK 2,ATL 2,user3,1,marvalshot,4908,4611344384_3
Keaton Wallace (37338930),Vit Krejci (37338481),Paul George (37338105),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Stephon Castle (37338477),Scottie Barnes (37338057),Mark Williams (37338232),313.3182986111111,348.4366265968387,49900,100.00%,0,98.72%,0,185.64999999999998,$7.9,ATL 2,SAS 2,user40,1,marvalshot,4450,4611344379_40
Keaton Wallace (37338930),Stephon Castle (37338477),Josh Hart (37338127),Jonathan Isaac (37338510),Nikola Jokic (37338012),Garrison Mathews (37338609),Bogdan Bogdanovic (37338369),Victor Wembanyama (37338018),310.47266059027777,346.95227983836764,49900,100.00%,0,78.86%,0,176.31,$6.31,ATL 3,SAS 2,user99,1,marvalshot,4608,4611344380_99
Keaton Wallace (37338930),Mikal Bridges (37338239),Buddy Hield (37338351),Giannis Antetokounmpo (37338014),Wendell Carter Jr. (37338391),Bogdan Bogdanovic (37338369),Andrew Wiggins (37338228),Alperen Sengun (37338065),310.69755642361116,345.59305011580653,49500,99.97%,0,80.28%,0,128.42,$6.42,ATL 2,GSW 2,user41,1,marvalshot,4649,4611344381_41
Keaton Wallace (37338930),Quentin Grimes (37338318),Jayson Tatum (37338023),Peyton Watson (37338441),Nikola Jokic (37338012),Cole Anthony (37338216),Buddy Hield (37338351),Daniel Gafford (37338424),293.65999999999997,330.5237613382031,50000,0.30%,0,-99.56%,0,107.0,$-7.96,DAL 2,DEN 2,user66,1,marvalshot,4773,4611344382_66
Jalen Brunson (37338088),CJ McCollum (37338156),Buddy Hield (37338351),PJ Washington (37338176),Trayce Jackson-Davis (37338258),Keaton Wallace (37338930),Paolo Banchero (37338047),Wendell Carter Jr. (37338391),306.2183203125,339.64133863119343,50000,96.31%,0,49.99%,0,87.32,$4.0,GSW 2,ORL 2,user22,1,marvalshot,4828,4611344383_22
Jalen Brunson (37338088),Mikal Bridges (37338239),Zach LaVine (37338073),Tristan da Silva (37338374),Victor Wembanyama (37338018),Keaton Wallace (37338930),Jonathan Isaac (37338510),Daniel Gafford (37338424),324.7458767361111,359.8437033576237,49900,100.00%,39643,341.52%,0,132.06,$27.32,NYK 2,ORL 2,user24,1,marvalshot,4929,4611344384_24
Keaton Wallace (37338930),Quentin Grimes (37338318),Paul George (37338105),Jonathan Isaac (37338510),Onyeka Okongwu (37338359),Stephon Castle (37338477),Scottie Barnes (37338057),Nikola Jokic (37338012),313.0582986111111,349.38289717067045,50000,100.00%,0,97.05%,0,134.26999999999998,$7.76,ATL 2,DAL 1,user47,1,marvalshot,4457,4611344379_47
Stephon Castle (37338477),Amen Thompson (37338122),Josh Hart (37338127),Keldon Johnson (37338409),Daniel Gafford (37338424),Keaton Wallace (37338930),PJ Washington (37338176),Victor Wembanyama (37338018),310.37266059027775,343.6015549517459,49300,99.97%,0,78.25%,0,142.85,$6.26,SAS 3,DAL 2,user73,1,marvalshot,4582,4611344380_73
Keaton Wallace (37338930),Mikal Bridges (37338239),Brice Sensabaugh (37338383),Harrison Barnes (37338459),Wendell Carter Jr. (37338391),Buddy Hield (37338351),Giannis Antetokounmpo (37338014),Victor Wembanyama (37338018),310.51755642361115,346.54153149608265,49800,99.97%,0,79.23%,0,122.41,$6.34,SAS 2,ATL 1,user90,1,marvalshot,4698,4611344381_90
Keaton Wallace (37338930),Cole Anthony (37338216),Jayson Tatum (37338023),Naji Marshall (37338314),Daniel Gafford (37338424),Dejounte Murray (37338096),Amen Thompson (37338122),Onyeka Okongwu (37338359),293.35,328.2810062838161,49800,0.27%,0,-99.6%,0,110.81,$-7.97,ATL 2,DAL 2,user11,1,marvalshot,4718,4611344382_11
Jalen Brunson (37338088),CJ McCollum (37338156),Trey Murphy III (37338144),Julius Randle (37338149),Mark Williams (37338232),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Daniel Gafford (37338424),305.5583203125,340.923792931026,49900,95.61%,0,46.7%,0,158.58999999999997,$3.74,NOP 2,NYK 1,user88,1,marvalshot,4894,4611344383_88
Jalen Brunson (37338088),Mikal Bridges (37338239),Nickeil Alexander-Walker (37338562),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Keaton Wallace (37338930),Paolo Banchero (37338047),Daniel Gafford (37338424),324.4758767361111,361.73418766875756,50000,100.00%,34694,325.23%,0,147.91,$26.02,NYK 2,MIN 1,user32,1,marvalshot,4937,4611344384_32
