PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Shai Gilgeous-Alexander (37302935),Isaiah Collier (37303246),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kevin Durant (37302953),Drew Eubanks (37303397),296.53000000000003,277.46,402.63,49300,0.2%,7.1%,4.19%,64.1%,276.72,$16.75,UTA 5,OKC 2,generated,1
Collin Sexton (37303043),Cole Anthony (37303107),Brice Sensabaugh (37303235),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Luguentz Dort (37303218),Kevin Durant (37302953),Kyle Filipowski (37303285),283.59,273.57,381.27,49800,0.4%,5.0%,3.85%,46.2%,247.6,$15.41,UTA 3,OKC 2,generated,1
Cole Anthony (37303107),Kelly Oubre Jr. (37303089),Aaron Wiggins (37303377),Pascal Siakam (37303036),Jarrett Allen (37303060),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Collin Sexton (37303043),286.89000000000004,274.79999999999995,385.7300000000001,50000,0.4%,4.8%,3.79%,54.4%,218.12,$15.16,OKC 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Aaron Wiggins (37303377),Kristaps Porzingis (37303041),Isaiah Collier (37303246),Jalen Williams (37302986),Jarrett Allen (37303060),285.29,276.59,387.96999999999997,49800,0.3%,5.6%,3.77%,50.5%,214.32999999999998,$15.08,OKC 3,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Brice Sensabaugh (37303235),Cason Wallace (37303281),296.27,276.59000000000003,400.76000000000005,49800,0.2%,8.0%,3.76%,63.8%,260.23,$15.06,OKC 4,UTA 2,generated,1
Devin Booker (37302957),Luguentz Dort (37303218),Ricky Council IV (37303632),Jalen Williams (37302986),Jarrett Allen (37303060),Collin Sexton (37303043),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),287.61,268.24,385.22,49800,0.2%,7.3%,3.75%,50.9%,180.48999999999998,$14.99,OKC 3,UTA 2,generated,1
Cason Wallace (37303281),Devin Booker (37302957),Luguentz Dort (37303218),Brice Sensabaugh (37303235),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kyle Filipowski (37303285),Shai Gilgeous-Alexander (37302935),297.82000000000005,277.82,398.53,49900,0.3%,6.8%,3.66%,66.4%,293.62,$14.66,OKC 4,UTA 3,generated,1
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Jalen Williams (37302986),Jarrett Allen (37303060),Devin Booker (37302957),Kyle Filipowski (37303285),Svi Mykhailiuk (37303337),285.66999999999996,272.45000000000005,384.48,49900,0.4%,4.4%,3.61%,50.0%,216.39,$14.43,OKC 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Collin Sexton (37303043),Luguentz Dort (37303218),Jalen Williams (37302986),Kristaps Porzingis (37303041),Grayson Allen (37303185),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),288.88,272.61999999999995,390.25,49900,0.3%,6.5%,3.48%,53.4%,228.36,$13.93,OKC 3,UTA 3,generated,1
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Devin Booker (37302957),Kyle Filipowski (37303285),Collin Sexton (37303043),294.36,276.88,400.20000000000005,50000,0.2%,7.4%,3.45%,62.5%,257.13,$13.81,UTA 3,OKC 2,generated,1
