Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
collin sexton,PG/SG/G/UTIL,UTA,32.03%,0.01%,1.88%,14.1%,10.57%,$1.62
jalen williams,PF/F/UTIL,OKC,29.63%,0.01%,1.49%,17.29%,13.62%,$0.64
jonas valanciunas,C/UTIL,WAS,23.69%,0.01%,1.27%,2.24%,3.74%,$0.4
isaiah hartenstein,C/UTIL,OKC,30.02%,0.01%,1.38%,24.91%,37.44%,$0.37
devin booker,PG/SG/G/UTIL,PHX,27.67%,0.01%,1.3%,18.64%,10.45%,$0.11
kristaps porzingis,C/UTIL,BOS,25.58%,0.01%,1.21%,6.67%,9.61%,$0.0
drew eubanks,C/UTIL,UTA,25.86%,0.01%,1.18%,6.55%,20.82%,$-0.03
jarrett allen,C/UTIL,CLE,25.77%,0.01%,1.2%,7.27%,10.81%,$-0.04
kevin durant,C/PF/F/UTIL,PHX,27.11%,0.01%,1.18%,21.09%,10.54%,$-0.17
shai gilgeous-alexander,PG/G/UTIL,OKC,29.37%,0.01%,1.12%,52.79%,44.21%,$-0.18
ricky council iv,PF/SF/F/UTIL,PHI,27.07%,0.01%,1.15%,20.87%,25.54%,$-0.2
brice sensabaugh,PF/SF/F/UTIL,UTA,27.61%,0.01%,1.13%,44.81%,50.79%,$-0.25
jared butler,PG/G/UTIL,WAS,24.12%,0.01%,1.01%,0.8%,1.48%,$-0.3
isaiah collier,PG/SG/G/UTIL,UTA,26.36%,0.01%,1.11%,20.21%,26.91%,$-0.32
kyle filipowski,C/PF/F/UTIL,UTA,27.37%,0.0%,1.09%,55.81%,75.44%,$-0.35
mark williams,C/UTIL,CHA,24.2%,0.01%,1.08%,8.66%,14.21%,$-0.39
aaron wiggins,PF/SF/F/UTIL,OKC,26.1%,0.01%,1.07%,20.32%,23.77%,$-0.42
kelly oubre jr.,SG/G/UTIL,PHI,26.54%,0.0%,1.02%,10.02%,12.37%,$-0.57
cason wallace,PG/SG/G/UTIL,OKC,26.0%,0.0%,1.01%,30.56%,43.45%,$-0.58
cole anthony,PG/SG/G/UTIL,ORL,25.41%,0.0%,1.0%,32.82%,34.61%,$-0.62
pascal siakam,PF/F/UTIL,IND,23.99%,0.01%,0.99%,6.91%,6.34%,$-0.63
svi mykhailiuk,SF/SG/G/F/UTIL,UTA,24.81%,0.01%,0.99%,20.19%,18.87%,$-0.65
isaiah joe,SF/SG/G/F/UTIL,OKC,25.01%,0.0%,0.99%,17.44%,16.17%,$-0.65
micah potter,C/PF/F/UTIL,UTA,25.38%,0.0%,0.96%,16.83%,21.29%,$-0.69
day'ron sharpe,C/UTIL,BKN,22.74%,0.01%,0.91%,1.89%,4.55%,$-0.72
myles turner,C/UTIL,IND,23.85%,0.01%,0.94%,3.93%,6.06%,$-0.75
keon johnson,PG/SG/G/UTIL,BKN,24.66%,0.0%,0.96%,8.08%,7.47%,$-0.75
goga bitadze,C/UTIL,ORL,21.51%,0.01%,0.88%,1.03%,1.43%,$-0.76
luguentz dort,SF/SG/G/F/UTIL,OKC,25.34%,0.0%,0.93%,25.24%,21.27%,$-0.81
paul george,SF/SG/G/F/UTIL,PHI,24.27%,0.0%,0.92%,16.59%,7.9%,$-0.84
jaylen brown,SF/SG/G/F/UTIL,BOS,24.23%,0.0%,0.91%,17.88%,7.87%,$-0.89
tyrese martin,SF/SG/G/F/UTIL,BKN,23.97%,0.0%,0.89%,8.32%,5.74%,$-0.93
bradley beal,SF/SG/G/F/UTIL,PHX,22.8%,0.0%,0.86%,6.18%,3.25%,$-1.0
mason plumlee,C/UTIL,PHX,23.47%,0.0%,0.82%,0.23%,0.52%,$-1.06
andrew nembhard,PG/SG/G/UTIL,IND,23.54%,0.0%,0.83%,15.89%,17.45%,$-1.1
t.j. mcconnell,PG/G/UTIL,IND,21.71%,0.0%,0.83%,3.96%,9.37%,$-1.1
derrick white,PG/SG/G/UTIL,BOS,23.79%,0.0%,0.82%,8.33%,6.33%,$-1.11
jayson tatum,PF/SF/F/UTIL,BOS,23.62%,0.0%,0.79%,34.19%,14.61%,$-1.15
evan mobley,C/PF/F/UTIL,CLE,21.96%,0.0%,0.82%,13.01%,6.94%,$-1.15
darius garland,PG/G/UTIL,CLE,21.54%,0.0%,0.8%,7.21%,6.94%,$-1.2
nic claxton,C/UTIL,BKN,21.08%,0.0%,0.76%,1.86%,2.77%,$-1.2
dejounte murray,PG/G/UTIL,NOP,21.32%,0.0%,0.77%,4.86%,4.03%,$-1.26
tyrese maxey,PG/G/UTIL,PHI,21.57%,0.0%,0.76%,9.8%,6.56%,$-1.3
wendell carter jr.,C/UTIL,ORL,21.21%,0.0%,0.74%,1.43%,2.91%,$-1.3
lamelo ball,PG/G/UTIL,CHA,20.91%,0.0%,0.77%,11.76%,7.6%,$-1.32
ziaire williams,SF/SG/G/F/UTIL,BKN,21.5%,0.0%,0.74%,4.73%,3.36%,$-1.32
tyrese haliburton,PG/G/UTIL,IND,20.84%,0.0%,0.76%,6.14%,5.13%,$-1.33
grayson allen,SG/G/UTIL,PHX,22.4%,0.0%,0.72%,1.76%,2.85%,$-1.33
bennedict mathurin,SF/SG/G/F/UTIL,IND,22.08%,0.0%,0.74%,7.48%,4.6%,$-1.35
miles bridges,PF/F/UTIL,CHA,21.0%,0.0%,0.72%,4.46%,4.0%,$-1.35
jrue holiday,PG/G/UTIL,BOS,21.88%,0.0%,0.73%,2.91%,4.26%,$-1.39
jonathan isaac,C/PF/F/UTIL,ORL,21.13%,0.0%,0.71%,3.35%,3.8%,$-1.39
guerschon yabusele,C/PF/F/UTIL,PHI,22.6%,0.0%,0.72%,8.28%,6.38%,$-1.41
noah clowney,C/PF/F/UTIL,BKN,22.07%,0.0%,0.71%,7.76%,6.18%,$-1.43
max strus,SF/SG/G/F/UTIL,CLE,22.34%,0.0%,0.71%,11.22%,9.57%,$-1.46
tyus jones,PG/G/UTIL,PHX,20.85%,0.0%,0.69%,0.83%,1.16%,$-1.47
ben simmons,PG/G/UTIL,BKN,19.51%,0.0%,0.68%,0.9%,1.24%,$-1.51
oso ighodaro,C/PF/F/UTIL,PHX,21.37%,0.0%,0.67%,0.72%,0.94%,$-1.52
anthony black,PG/G/UTIL,ORL,20.64%,0.0%,0.65%,0.4%,0.7%,$-1.54
jordan hawkins,SG/G/UTIL,NOP,24.11%,0.0%,0.87%,0.04%,0.07%,$-1.55
